env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
3328,,,20,98.3671,72.6593,,,,,,,,,,
3368,,,40,214.8979,72.7494,,,,,,,,,,
3387,,,19,92.6705,72.5678,,,,,,,,,,
3414,,,27,135.1595,72.8769,,,,,,,,,,
3449,,,35,184.5783,71.8028,,,,,,,,,,
3477,,,28,139.9714,73.0426,,,,,,,,,,
3500,,,,,,0.5558,0.587,0.1463,-101.0552,6.6712,0.0494,-0.2703,9.221,186.5655,2.0192
3521,,,44,227.9766,72.878,,,,,,,,,,
3554,,,33,167.4214,72.9983,,,,,,,,,,
3573,,,19,91.6334,72.8707,,,,,,,,,,
3596,,,23,114.5076,72.8917,,,,,,,,,,
3630,,,34,159.8357,72.7762,,,,,,,,,,
3668,,,38,197.5114,72.5681,,,,,,,,,,
3718,,,50,266.2853,75.0748,,,,,,,,,,
3738,,,20,98.5713,78.1661,,,,,,,,,,
3755,,,17,81.6046,78.2026,,,,,,,,,,
3786,,,31,158.7763,78.1772,,,,,,,,,,
3819,,,33,169.7409,78.1355,,,,,,,,,,
3854,,,35,171.5838,78.0979,,,,,,,,,,
3871,,,17,80.8735,78.2391,,,,,,,,,,
3888,,,17,80.9903,78.6562,,,,,,,,,,
3911,,,23,117.4805,78.2116,,,,,,,,,,
3930,,,19,93.6555,78.5056,,,,,,,,,,
3965,,,35,178.1014,78.3982,,,,,,,,,,
3981,,,16,76.5046,77.9514,,,,,,,,,,
4000,,,,,,0.5548,0.58,0.1399,-117.2794,11.0157,0.0453,-0.2716,13.9628,133.0209,1.8114
4001,,,20,99.0961,77.9148,,,,,,,,,,
4034,,,33,167.159,78.3215,,,,,,,,,,
4058,,,24,118.0939,78.1289,,,,,,,,,,
4078,,,20,99.4431,78.1146,,,,,,,,,,
4114,,,36,177.0133,78.1092,,,,,,,,,,
4139,,,25,124.601,78.1344,,,,,,,,,,
4171,,,32,156.3076,78.1979,,,,,,,,,,
4196,,,25,121.5744,78.4459,,,,,,,,,,
4250,,,54,255.2514,78.1005,,,,,,,,,,
4280,,,30,144.2112,78.1464,,,,,,,,,,
4320,,,40,189.9322,78.1338,,,,,,,,,,
4339,,,19,92.6082,78.3501,,,,,,,,,,
4360,,,21,101.8347,78.0471,,,,,,,,,,
4381,,,21,100.3759,78.3251,,,,,,,,,,
4398,,,17,81.5498,78.1674,,,,,,,,,,
4415,,,17,81.8128,77.8682,,,,,,,,,,
4465,,,50,232.0641,77.8637,,,,,,,,,,
4494,,,29,147.8884,78.0208,,,,,,,,,,
4500,,,,,,0.5358,0.5879,0.1374,-138.2202,11.3315,0.0545,-0.2594,16.514,44.9856,2.4198
4540,,,46,253.1752,77.7614,,,,,,,,,,
4560,,,20,97.2413,78.1339,,,,,,,,,,
4583,,,23,115.5426,77.8715,,,,,,,,,,
4630,,,47,256.0795,77.8729,,,,,,,,,,
4647,,,17,82.7818,78.0298,,,,,,,,,,
4681,,,34,169.387,78.0275,,,,,,,,,,
4714,,,33,173.6344,78.0904,,,,,,,,,,
4733,,,19,93.1461,78.242,,,,,,,,,,
4756,,,23,116.2,77.6714,,,,,,,,,,
4811,,,55,315.7013,77.7714,,,,,,,,,,
4856,,,45,226.1954,73.3638,,,,,,,,,,
4888,,,32,165.4827,72.5671,,,,,,,,,,
4911,,,23,113.8299,72.6539,,,,,,,,,,
4933,,,22,109.3589,72.701,,,,,,,,,,
4961,,,28,143.7923,72.6977,,,,,,,,,,
4996,,,35,185.4249,72.7003,,,,,,,,,,
5000,,,,,,0.5503,0.5932,0.1731,-153.4327,12.9591,0.0644,-0.2778,22.4919,59.5444,2.0116
5000,243.2619,44.3,,,,,,,,,,,,,
5022,,,26,133.0119,35.2341,,,,,,,,,,
5074,,,52,251.6193,72.4429,,,,,,,,,,
5092,,,18,86.726,72.8886,,,,,,,,,,
5122,,,30,134.1159,72.5316,,,,,,,,,,
5154,,,32,164.1628,72.5967,,,,,,,,,,
5171,,,17,80.9854,72.5794,,,,,,,,,,
5206,,,35,177.9789,72.6604,,,,,,,,,,
5230,,,24,120.4298,72.3426,,,,,,,,,,
5261,,,31,148.8326,72.0017,,,,,,,,,,
5286,,,25,124.1574,72.4894,,,,,,,,,,
5319,,,33,165.7817,72.5262,,,,,,,,,,
5340,,,21,104.7206,72.8042,,,,,,,,,,
5372,,,32,169.7511,72.6699,,,,,,,,,,
5405,,,33,171.9884,72.3594,,,,,,,,,,
5452,,,47,221.7287,72.6205,,,,,,,,,,
5476,,,24,119.436,72.6127,,,,,,,,,,
5500,,,,,,0.545,0.5886,0.1408,-174.0226,15.9545,0.053,-0.2781,27.5318,144.0683,3.205
5501,,,25,124.6175,72.4227,,,,,,,,,,
5536,,,35,177.6538,72.5577,,,,,,,,,,
5555,,,19,93.5915,72.8222,,,,,,,,,,
