env_steps,return,length,train/length,train/return,FPS,op-kl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
12500,,,,,,-0.1404,-80.7972,93.4907,-0.1404,13.4405,171.582,2.5045
12756,,,314,432.5721,101.3549,,,,,,,
12923,,,167,240.6401,101.0744,,,,,,,
13000,,,,,,-0.1404,-85.6639,142.7417,-0.1404,11.5618,258.6625,3.1367
13048,,,125,228.6938,100.6475,,,,,,,
13178,,,130,213.8475,103.1706,,,,,,,
13315,,,137,161.8001,101.3204,,,,,,,
13447,,,132,262.0097,101.5198,,,,,,,
13500,,,,,,-0.2456,-88.2177,88.3914,-0.2456,9.324,327.5501,3.5125
13564,,,117,237.3858,101.4393,,,,,,,
13689,,,125,59.4109,101.4821,,,,,,,
13849,,,160,201.3583,101.5497,,,,,,,
14000,,,,,,-0.3231,-90.5084,81.2308,-0.3231,11.0434,272.9339,2.9604
14009,,,160,332.3079,101.4199,,,,,,,
14187,,,178,295.5002,101.6252,,,,,,,
14200,,,13,0.5656,101.3678,,,,,,,
14300,,,100,132.3939,101.2638,,,,,,,
14326,,,26,0.3536,101.4883,,,,,,,
14350,,,24,-0.2587,101.6351,,,,,,,
14489,,,139,216.8276,101.6319,,,,,,,
14500,,,,,,-0.7911,-94.451,139.834,-0.7911,11.0798,293.9982,2.958
14641,,,152,302.5804,101.123,,,,,,,
14768,,,127,195.887,101.5795,,,,,,,
14879,,,111,230.8896,101.4951,,,,,,,
14888,,,9,-5.6949,101.3743,,,,,,,
14997,,,109,119.5788,101.5949,,,,,,,
15000,,,,,,-0.4007,-95.7255,97.1563,-0.4007,11.5765,273.5915,3.1456
15000,190.1416,131.7,,,,,,,,,,
15130,,,133,188.7977,81.2986,,,,,,,
15166,,,36,9.2779,105.2635,,,,,,,
15370,,,204,331.752,105.0089,,,,,,,
15475,,,105,166.6874,105.0076,,,,,,,
15500,,,,,,-0.5941,-98.8524,86.5293,-0.5941,12.857,308.6009,3.6452
15595,,,120,225.3855,104.8526,,,,,,,
15711,,,116,190.2681,103.3231,,,,,,,
15721,,,10,-1.2294,101.3276,,,,,,,
15813,,,92,114.8785,101.5097,,,,,,,
15929,,,116,165.4176,104.7109,,,,,,,
16000,,,,,,-0.6716,-101.6507,110.2339,-0.6716,13.008,262.0764,4.2477
16016,,,87,93.9347,105.0855,,,,,,,
16157,,,141,221.7918,104.9058,,,,,,,
16179,,,22,5.3854,105.2318,,,,,,,
16188,,,9,-6.0642,105.9822,,,,,,,
16298,,,110,149.8673,101.8416,,,,,,,
16306,,,8,-4.5419,100.8722,,,,,,,
16343,,,37,9.9911,101.0512,,,,,,,
16355,,,12,-0.3365,100.8452,,,,,,,
16442,,,87,51.4472,101.4553,,,,,,,
16500,,,,,,-0.7002,-102.3304,129.6514,-0.7002,13.8218,289.6181,3.7521
16539,,,97,109.0856,101.2415,,,,,,,
16652,,,113,195.1837,101.3162,,,,,,,
16800,,,148,306.4439,101.3088,,,,,,,
16841,,,41,22.841,101.5623,,,,,,,
17000,,,,,,-0.6924,-107.6497,126.9294,-0.6924,15.5998,506.1688,2.5895
17011,,,170,314.1604,101.4956,,,,,,,
17153,,,142,304.9636,101.229,,,,,,,
17242,,,89,121.9262,101.2737,,,,,,,
17385,,,143,230.9159,101.2926,,,,,,,
17500,,,,,,-1.2977,-107.3121,126.7237,-1.2977,18.2346,324.7503,3.5295
17509,,,124,226.1699,101.4923,,,,,,,
17605,,,96,117.4757,101.3546,,,,,,,
17630,,,25,1.0935,101.2573,,,,,,,
17643,,,13,-3.3446,101.385,,,,,,,
18000,,,,,,-1.2718,-113.1751,103.5418,-1.2718,17.9983,396.8179,2.8985
18029,,,386,279.2193,101.4107,,,,,,,
18038,,,9,-3.6123,101.1285,,,,,,,
18135,,,97,149.2535,101.2169,,,,,,,
18228,,,93,121.0309,101.4069,,,,,,,
18316,,,88,130.6554,101.5391,,,,,,,
18433,,,117,185.8994,101.2778,,,,,,,
18500,,,,,,-1.295,-113.6927,125.0048,-1.295,17.8951,328.0454,5.1271
18628,,,195,374.0713,101.3821,,,,,,,
18740,,,112,165.3858,101.4432,,,,,,,
18777,,,37,16.5268,101.629,,,,,,,
18885,,,108,198.957,101.3495,,,,,,,
19000,,,,,,-1.4289,-115.123,142.6847,-1.4289,16.5265,377.0996,3.2688
19075,,,190,248.9077,101.3596,,,,,,,
19161,,,86,127.2346,101.716,,,,,,,
19261,,,100,143.6102,101.6833,,,,,,,
19446,,,185,253.5948,101.3766,,,,,,,
19500,,,,,,-1.3526,-117.1413,161.8625,-1.3526,16.477,348.1947,3.4438
19662,,,216,-146.2131,101.3299,,,,,,,
19674,,,12,-1.8683,101.3792,,,,,,,
19685,,,11,-0.7924,99.1067,,,,,,,
19802,,,117,216.0364,101.5369,,,,,,,
19913,,,111,157.7077,101.6616,,,,,,,
20000,,,,,,-1.4582,-116.7744,164.5237,-1.4582,20.861,458.9424,3.1846
20000,174.8474,109.5,,,,,,,,,,
20035,,,122,161.0468,81.8146,,,,,,,
20167,,,132,189.3798,101.4732,,,,,,,
20285,,,118,159.6239,101.1094,,,,,,,
20407,,,122,-3.9955,101.2998,,,,,,,
20500,,,,,,-1.8026,-118.9647,123.3811,-1.8026,18.9146,629.7878,3.603
20541,,,134,202.9777,101.6362,,,,,,,
20720,,,179,263.1781,102.8588,,,,,,,
20934,,,214,235.0643,105.1483,,,,,,,
20946,,,12,-3.0236,105.1549,,,,,,,
21000,,,,,,-1.4179,-119.9409,153.7334,-1.4179,21.9965,624.0551,3.0435
21065,,,119,184.1296,105.1912,,,,,,,
21073,,,8,-3.2011,104.4216,,,,,,,
21268,,,195,306.443,105.2891,,,,,,,
21380,,,112,174.3168,105.33,,,,,,,
21482,,,102,169.8813,105.2737,,,,,,,
21500,,,,,,-1.6323,-122.1026,124.8754,-1.6323,19.6444,428.48,3.9078
21507,,,25,1.8476,101.6945,,,,,,,
21654,,,147,188.0601,101.4444,,,,,,,
21816,,,162,206.5978,102.0745,,,,,,,
21938,,,122,200.0507,105.016,,,,,,,
22000,,,,,,-1.7997,-125.906,118.8216,-1.7997,25.0092,555.4405,3.8613
22204,,,266,24.2305,102.4105,,,,,,,
22322,,,118,163.9516,104.2166,,,,,,,
22352,,,30,10.6052,101.3681,,,,,,,
22473,,,121,158.9494,101.361,,,,,,,
22483,,,10,-4.4125,101.4857,,,,,,,
22500,,,,,,-1.6927,-124.8579,120.529,-1.6927,22.866,756.1633,3.4912
22581,,,98,135.8731,101.1412,,,,,,,
22678,,,97,108.9417,101.6607,,,,,,,
22779,,,101,165.8874,101.7679,,,,,,,
22803,,,24,1.2564,101.8536,,,,,,,
22827,,,24,3.7101,102.7553,,,,,,,
22933,,,106,157.2743,105.2315,,,,,,,
23000,,,,,,-2.1575,-127.9742,154.3023,-2.1575,21.334,628.3511,3.4884
23031,,,98,177.4184,102.5177,,,,,,,
23054,,,23,-1.0299,100.3437,,,,,,,
23153,,,99,167.1745,101.5179,,,,,,,
23175,,,22,-3.4588,101.0534,,,,,,,
23285,,,110,188.9547,101.4017,,,,,,,
23394,,,109,178.2948,101.0926,,,,,,,
23498,,,104,166.7787,101.3421,,,,,,,
23500,,,,,,-2.087,-128.8454,180.9782,-2.087,25.5102,656.0829,3.6444
23598,,,100,144.7347,102.3181,,,,,,,
23709,,,111,196.2442,105.188,,,,,,,
23804,,,95,161.7588,105.0593,,,,,,,
23911,,,107,143.5848,105.2017,,,,,,,
23935,,,24,0.5872,105.1338,,,,,,,
24000,,,,,,-2.2647,-129.2369,137.1278,-2.2647,21.208,489.7715,7.4417
24041,,,106,197.4376,104.8564,,,,,,,
24144,,,103,190.0794,105.1107,,,,,,,
24250,,,106,182.2096,104.8882,,,,,,,
24346,,,96,153.431,104.9921,,,,,,,
24355,,,9,-3.5887,104.8361,,,,,,,
24500,,,,,,-1.9245,-131.1451,148.2278,-1.9245,22.2117,901.3077,4.258
24500,,,145,259.099,101.6108,,,,,,,
24637,,,137,282.0,101.0336,,,,,,,
24750,,,113,186.0961,101.1688,,,,,,,
24891,,,141,209.6558,102.0174,,,,,,,
25000,,,,,,-2.3537,-134.7322,175.4989,-2.3537,24.0072,478.8576,3.7057
25000,143.6035,94.4,,,,,,,,,,
25005,,,114,190.617,85.761,,,,,,,
25101,,,96,162.3495,105.0148,,,,,,,
25194,,,93,122.3757,103.6111,,,,,,,
25292,,,98,114.0835,101.1696,,,,,,,
25399,,,107,168.7348,100.9169,,,,,,,
25414,,,15,-3.2975,100.7458,,,,,,,
25500,,,,,,-2.4689,-131.2705,144.635,-2.4689,20.8664,815.6272,4.1168
25541,,,127,246.0166,100.8214,,,,,,,
25620,,,79,141.0201,101.1621,,,,,,,
25715,,,95,131.8244,101.3214,,,,,,,
25844,,,129,148.7752,101.3875,,,,,,,
25941,,,97,167.3501,103.7708,,,,,,,
26000,,,,,,-2.3996,-133.2504,138.9751,-2.3996,23.8239,1071.5159,4.1237
26042,,,101,147.6955,105.1322,,,,,,,
26169,,,127,224.2806,105.1381,,,,,,,
26187,,,18,-6.8935,105.0734,,,,,,,
26319,,,132,268.1828,102.4831,,,,,,,
26418,,,99,153.9444,101.3788,,,,,,,
26500,,,,,,-2.4088,-133.4863,152.1514,-2.4088,21.306,751.9988,3.797
26527,,,109,187.7403,100.7993,,,,,,,
26632,,,105,155.0022,101.4282,,,,,,,
26641,,,9,-1.8765,101.1887,,,,,,,
26771,,,130,208.5589,101.5911,,,,,,,
26874,,,103,159.0209,101.6271,,,,,,,
26984,,,110,185.7207,101.7398,,,,,,,
27000,,,,,,-2.6345,-136.1634,187.2522,-2.6345,29.5733,598.8855,4.8166
27105,,,121,232.3013,101.6273,,,,,,,
27199,,,94,125.9371,101.4363,,,,,,,
27311,,,112,180.1638,101.3811,,,,,,,
27428,,,117,188.3883,101.3878,,,,,,,
27500,,,,,,-2.8303,-137.8181,123.7734,-2.8303,21.7442,437.9768,6.0281
27518,,,90,159.8402,101.4492,,,,,,,
27614,,,96,188.3852,101.3666,,,,,,,
27723,,,109,191.8472,101.2046,,,,,,,
27850,,,127,230.0782,101.2343,,,,,,,
27866,,,16,-7.3965,100.8855,,,,,,,
27882,,,16,-5.2664,101.4455,,,,,,,
28000,,,,,,-2.6968,-136.3289,127.4059,-2.6968,22.8052,1052.9108,4.2562
28020,,,138,286.0076,104.1919,,,,,,,
28131,,,111,192.6731,104.8989,,,,,,,
28237,,,106,174.5141,104.9631,,,,,,,
28334,,,97,163.6332,104.9772,,,,,,,
28440,,,106,185.0494,101.1176,,,,,,,
28500,,,,,,-2.8813,-136.7215,120.5741,-2.8813,20.1269,483.9494,4.1474
28555,,,115,171.7388,101.1078,,,,,,,
28693,,,138,269.8231,101.0925,,,,,,,
28794,,,101,217.8562,101.0133,,,,,,,
28901,,,107,163.517,101.1324,,,,,,,
29000,,,,,,-3.0807,-141.8798,124.6491,-3.0807,20.4913,595.3524,4.4815
29003,,,102,146.384,100.9728,,,,,,,
29106,,,103,195.5837,100.8791,,,,,,,
29136,,,30,5.9122,100.9685,,,,,,,
29169,,,33,7.3462,101.0868,,,,,,,
29199,,,30,7.1273,101.2388,,,,,,,
29224,,,25,0.1116,101.3806,,,,,,,
29259,,,35,10.3754,101.2983,,,,,,,
29378,,,119,209.6923,101.1282,,,,,,,
29388,,,10,-5.2582,100.9384,,,,,,,
29495,,,107,179.7966,101.271,,,,,,,
29500,,,,,,-3.1331,-142.5816,127.5433,-3.1331,23.7299,942.8961,5.0037
29604,,,109,151.8715,101.9513,,,,,,,
29699,,,95,152.1651,100.9036,,,,,,,
29811,,,112,145.1387,101.034,,,,,,,
29962,,,151,234.8794,101.0104,,,,,,,
30000,,,,,,-3.2805,-140.041,126.9597,-3.2805,27.4686,705.7199,4.183
30000,258.8771,125.4,,,,,,,,,,
30073,,,111,187.4779,77.5783,,,,,,,
30230,,,157,273.5218,103.1168,,,,,,,
30336,,,106,162.0625,104.8425,,,,,,,
30430,,,94,156.9894,104.9052,,,,,,,
30500,,,,,,-2.9357,-140.0368,186.2436,-2.9357,21.1683,535.4163,3.5829
30577,,,147,292.4267,101.2482,,,,,,,
30702,,,125,220.4972,100.6509,,,,,,,
30859,,,157,292.2273,100.7446,,,,,,,
30994,,,135,257.8555,101.1602,,,,,,,
31000,,,,,,-3.4824,-142.8603,129.052,-3.4824,21.0125,678.9136,4.0437
31143,,,149,291.4375,101.2677,,,,,,,
31308,,,165,333.1281,100.8362,,,,,,,
31463,,,155,221.4576,101.0652,,,,,,,
31500,,,,,,-3.1901,-146.1509,155.3677,-3.1901,22.5553,1015.9433,5.437
31611,,,148,296.7166,103.3629,,,,,,,
31682,,,71,86.3944,103.3446,,,,,,,
31847,,,165,248.3823,100.8932,,,,,,,
