env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
9079,,,23,26.5068,83.8111,,,,,,,
9104,,,25,29.8043,84.1145,,,,,,,
9126,,,22,25.86,84.0181,,,,,,,
9147,,,21,23.5802,84.1282,,,,,,,
9288,,,141,259.1065,83.8986,,,,,,,
9304,,,16,15.3831,84.0948,,,,,,,
9331,,,27,33.7139,83.5913,,,,,,,
9354,,,23,27.2496,84.2643,,,,,,,
9379,,,25,30.7538,83.6609,,,,,,,
9500,,,,,,-95.6865,4.1033,0.0022,-0.0338,14.4067,321.6339,1.5068
9527,,,148,273.8225,83.7075,,,,,,,
9545,,,18,19.0225,83.6857,,,,,,,
9566,,,21,23.2574,83.9105,,,,,,,
9588,,,22,23.9876,83.3263,,,,,,,
9601,,,13,10.2602,84.3131,,,,,,,
9619,,,18,17.6863,83.2216,,,,,,,
9635,,,16,13.7066,83.4189,,,,,,,
9645,,,10,6.3732,83.1662,,,,,,,
9658,,,13,8.9636,83.6689,,,,,,,
9676,,,18,17.0718,81.8192,,,,,,,
9696,,,20,20.6796,83.431,,,,,,,
9710,,,14,10.9461,84.1591,,,,,,,
9724,,,14,10.8886,83.6938,,,,,,,
9860,,,136,263.0308,83.6637,,,,,,,
9871,,,11,9.5954,84.2068,,,,,,,
9885,,,14,10.8945,82.7378,,,,,,,
9906,,,21,22.5405,84.0487,,,,,,,
9936,,,30,37.1067,83.8327,,,,,,,
9945,,,9,6.3562,84.3114,,,,,,,
9970,,,25,29.155,83.7001,,,,,,,
10000,,,,,,-100.7753,2.1082,0.0011,-0.0241,19.4753,536.9952,0.3354
10000,305.7669,125.2,,,,,,,,,,
10085,,,115,268.9543,70.8367,,,,,,,
10105,,,20,21.2232,83.9876,,,,,,,
10243,,,138,318.2609,83.8371,,,,,,,
10266,,,23,25.5701,83.7912,,,,,,,
10403,,,137,280.3524,83.9661,,,,,,,
10425,,,22,24.8264,83.4835,,,,,,,
10455,,,30,38.4653,83.8347,,,,,,,
10470,,,15,13.0721,84.3752,,,,,,,
10500,,,,,,-107.8885,2.6055,0.0005,-0.0162,13.2699,204.4532,1.5355
10606,,,136,320.069,83.8294,,,,,,,
10619,,,13,9.8826,84.152,,,,,,,
10633,,,14,11.3203,83.6737,,,,,,,
10766,,,133,309.7062,88.5256,,,,,,,
10934,,,168,370.8005,88.5754,,,,,,,
10953,,,19,18.7459,83.7226,,,,,,,
11000,,,,,,-113.3323,5.9388,0.0007,-0.0195,13.2929,322.5889,2.0784
11069,,,116,271.7363,83.7738,,,,,,,
11213,,,144,350.8338,83.6195,,,,,,,
11254,,,41,57.1997,83.7294,,,,,,,
11290,,,36,47.0524,84.031,,,,,,,
11318,,,28,33.0224,84.1609,,,,,,,
11344,,,26,30.6061,83.9341,,,,,,,
11485,,,141,306.8455,83.8842,,,,,,,
11500,,,,,,-117.4644,3.3734,0.0018,-0.0261,18.4899,304.395,1.3455
11510,,,25,28.5041,83.41,,,,,,,
11550,,,40,54.3419,83.5392,,,,,,,
11579,,,29,37.2591,83.9518,,,,,,,
11729,,,150,352.6716,83.7738,,,,,,,
11738,,,9,8.1122,84.0134,,,,,,,
11753,,,15,13.7722,83.3047,,,,,,,
11768,,,15,13.05,83.4426,,,,,,,
11800,,,32,40.0224,83.5598,,,,,,,
11950,,,150,363.7576,83.8209,,,,,,,
12000,,,,,,-122.417,3.7119,0.0004,-0.0139,39.0526,1109.0524,2.1458
12106,,,156,393.3472,83.7227,,,,,,,
12147,,,41,56.3138,84.0986,,,,,,,
12293,,,146,335.1529,84.6176,,,,,,,
12340,,,47,69.2793,90.628,,,,,,,
12357,,,17,16.3726,90.513,,,,,,,
12371,,,14,11.7329,90.8007,,,,,,,
12412,,,41,59.1514,90.5049,,,,,,,
12458,,,46,64.3712,90.5623,,,,,,,
12472,,,14,13.2184,90.9376,,,,,,,
12500,,,,,,-124.4036,4.728,0.0019,-0.0264,28.1583,365.8326,3.4307
12617,,,145,374.5176,90.5514,,,,,,,
12632,,,15,14.459,90.1519,,,,,,,
12697,,,65,104.7876,90.5811,,,,,,,
12727,,,30,39.2947,90.5223,,,,,,,
12757,,,30,35.9186,90.2333,,,,,,,
12766,,,9,8.1598,90.4809,,,,,,,
12779,,,13,12.6021,90.2601,,,,,,,
12787,,,8,6.5127,90.3458,,,,,,,
12877,,,90,206.1611,90.2139,,,,,,,
13000,,,,,,-132.8253,4.6101,0.0012,-0.0264,26.6503,480.0079,1.8067
13027,,,150,366.3103,90.5814,,,,,,,
13037,,,10,9.3559,90.5614,,,,,,,
13062,,,25,31.1541,90.1553,,,,,,,
13193,,,131,362.7199,87.9058,,,,,,,
13210,,,17,16.0056,83.7663,,,,,,,
13221,,,11,10.4233,83.6816,,,,,,,
13242,,,21,25.4125,83.7068,,,,,,,
13261,,,19,21.0762,83.7914,,,,,,,
13286,,,25,31.9907,83.5837,,,,,,,
13298,,,12,11.8187,83.8208,,,,,,,
13461,,,163,416.0216,83.8411,,,,,,,
13493,,,32,39.7268,83.7262,,,,,,,
13500,,,,,,-138.3586,6.6537,0.0009,-0.016,33.7862,689.5124,3.5487
13528,,,35,46.3988,83.4446,,,,,,,
13638,,,110,278.8419,83.6159,,,,,,,
13657,,,19,21.0561,82.6995,,,,,,,
13670,,,13,13.8401,83.9756,,,,,,,
13682,,,12,12.0592,84.1744,,,,,,,
13806,,,124,283.815,83.5068,,,,,,,
13823,,,17,17.6398,83.4833,,,,,,,
13859,,,36,47.857,82.8812,,,,,,,
13869,,,10,9.0422,84.0655,,,,,,,
13886,,,17,19.5808,83.8123,,,,,,,
13900,,,14,13.3417,82.1338,,,,,,,
13929,,,29,39.0323,83.7318,,,,,,,
14000,,,,,,-142.7974,6.3256,0.0012,-0.0254,43.9657,1712.9886,3.9441
14059,,,130,360.4865,83.5003,,,,,,,
14101,,,42,62.4929,83.8388,,,,,,,
14218,,,117,302.7087,87.9832,,,,,,,
14233,,,15,15.5621,90.7489,,,,,,,
14252,,,19,20.6791,90.2419,,,,,,,
14405,,,153,369.4935,90.4922,,,,,,,
14415,,,10,9.6673,87.4294,,,,,,,
14440,,,25,32.1141,87.8375,,,,,,,
14449,,,9,6.6988,90.7768,,,,,,,
14500,,,,,,-149.8594,5.1155,0.0008,-0.0178,38.4784,1358.613,5.4239
14547,,,98,234.2671,88.8332,,,,,,,
14557,,,10,8.0872,83.8576,,,,,,,
14698,,,141,305.3477,83.7554,,,,,,,
14832,,,134,382.1538,84.874,,,,,,,
14995,,,163,369.2254,90.6178,,,,,,,
15000,,,,,,-152.7641,10.232,0.0008,-0.0188,20.5981,381.0566,8.3873
15000,563.412,196.3,,,,,,,,,,
15005,,,10,8.0798,20.1066,,,,,,,
15051,,,46,71.3101,83.1075,,,,,,,
15103,,,52,78.9591,83.2373,,,,,,,
15114,,,11,9.9319,83.2902,,,,,,,
15254,,,140,340.0584,83.5725,,,,,,,
15393,,,139,329.9413,83.479,,,,,,,
15443,,,50,77.4091,83.7976,,,,,,,
15464,,,21,27.7144,81.9625,,,,,,,
15481,,,17,18.6355,83.8309,,,,,,,
15500,,,,,,-156.5196,6.2965,0.0072,-0.0574,53.952,1537.8997,5.3147
15554,,,73,123.9616,83.6914,,,,,,,
15581,,,27,35.9033,82.7867,,,,,,,
15664,,,83,148.1449,83.571,,,,,,,
15681,,,17,20.1545,83.9919,,,,,,,
15829,,,148,333.9108,83.537,,,,,,,
15944,,,115,298.5869,83.6531,,,,,,,
16000,,,,,,-167.8758,6.8555,0.0014,-0.024,52.2513,848.5736,2.2283
16088,,,144,316.9314,83.4183,,,,,,,
16229,,,141,329.8161,83.4417,,,,,,,
16256,,,27,34.992,84.2522,,,,,,,
16306,,,50,73.5676,83.275,,,,,,,
16320,,,14,15.995,83.3823,,,,,,,
16371,,,51,73.278,83.4264,,,,,,,
16383,,,12,10.8106,82.847,,,,,,,
16433,,,50,75.7715,83.0745,,,,,,,
16500,,,,,,-168.9382,7.7882,0.0011,-0.0214,61.0809,1762.8971,5.8603
16585,,,152,341.5746,83.4098,,,,,,,
16634,,,49,75.4668,83.7979,,,,,,,
16799,,,165,346.4666,83.1579,,,,,,,
16931,,,132,323.3113,83.1952,,,,,,,
16947,,,16,16.5155,82.8044,,,,,,,
17000,,,,,,-176.544,11.3243,0.0018,-0.0287,51.3881,2074.4229,7.9151
17089,,,142,309.972,83.4168,,,,,,,
17115,,,26,32.8632,82.9789,,,,,,,
17142,,,27,33.3307,83.2717,,,,,,,
17188,,,46,69.583,83.2111,,,,,,,
17202,,,14,14.2278,83.7604,,,,,,,
17213,,,11,9.3746,84.1508,,,,,,,
17267,,,54,87.1069,83.9319,,,,,,,
17295,,,28,37.0772,83.3049,,,,,,,
17455,,,160,376.3774,83.959,,,,,,,
17469,,,14,14.6773,84.1806,,,,,,,
17485,,,16,15.6306,84.294,,,,,,,
17500,,,,,,-181.0945,8.0199,0.0008,-0.0198,65.0577,1964.0394,3.7068
17529,,,44,63.3356,83.9482,,,,,,,
17623,,,94,164.7349,84.0229,,,,,,,
17674,,,51,77.3721,84.1575,,,,,,,
17727,,,53,84.1652,88.9495,,,,,,,
17777,,,50,72.622,90.2054,,,,,,,
