env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
1910000,0.9194,12.9,1.0,0.6617,14.1443,0.8713,-2.4811,6.4795,0.0021,524.9401
1920000,0.9156,13.5,1.0,0.6366,14.1044,0.859,-2.481,6.4792,0.0021,520.9609
1930000,0.9031,15.5,1.0,0.6569,13.7363,0.8681,-2.4816,6.481,0.0021,523.9148
1940000,0.9019,15.7,1.0,0.6542,14.0252,0.8668,-2.4819,6.482,0.0021,524.5097
1950000,0.905,15.2,1.0,0.6547,14.3062,0.8684,-2.4813,6.4783,0.0021,522.0486
1960000,0.9187,13.0,1.0,0.6714,14.1844,0.8766,-2.4813,6.4792,0.0021,522.519
1970000,0.8812,19.0,1.0,0.6964,13.7931,0.8883,-2.4818,6.481,0.0021,520.057
1980000,0.9169,13.3,1.0,0.6583,14.2653,0.8702,-2.4819,6.481,0.0021,521.3272
1990000,0.9038,15.4,1.0,0.6827,13.6799,0.881,-2.4819,6.4812,0.0021,521.1903
2000000,0.9163,13.4,1.0,0.6317,13.587,0.8546,-2.4813,6.4774,0.002,519.4246
2010000,0.9056,15.1,1.0,0.6749,14.0252,0.878,-2.4823,6.4824,0.002,518.4507
2020000,0.9319,10.9,1.0,0.6816,13.4953,0.8799,-2.4823,6.4817,0.002,518.9766
2030000,0.9113,14.2,1.0,0.6928,14.245,0.8875,-2.4825,6.4827,0.002,517.6413
2040000,0.9131,13.9,1.0,0.6598,14.1443,0.8699,-2.4819,6.4795,0.002,516.5276
2050000,0.9112,14.2,1.0,0.6441,13.6612,0.8607,-2.482,6.4804,0.002,516.8658
2060000,0.9119,14.1,1.0,0.6621,13.5501,0.8699,-2.482,6.4796,0.002,515.7402
2070000,0.8856,18.3,1.0,0.6823,13.9665,0.8813,-2.4822,6.4803,0.002,516.6322
2080000,0.9125,14.0,1.0,0.6619,14.2653,0.8716,-2.4823,6.4802,0.002,517.149
2090000,0.9163,13.4,1.0,0.71,14.1044,0.8956,-2.4825,6.4807,0.002,513.6245
2100000,0.9125,14.0,1.0,0.7089,13.8122,0.895,-2.4821,6.4791,0.002,514.8464
2110000,0.9131,13.9,1.0,0.6675,13.8504,0.874,-2.4822,6.4787,0.002,515.3626
2120000,0.9125,14.0,1.0,0.6703,13.5685,0.8738,-2.4834,6.4844,0.002,512.3186
2130000,0.9225,12.4,1.0,0.6915,14.0252,0.8864,-2.4821,6.4778,0.002,514.0944
2140000,0.9219,12.5,1.0,0.7146,14.1044,0.8984,-2.4832,6.4823,0.002,514.3736
2150000,0.915,13.6,1.0,0.6387,13.7552,0.8583,-2.4824,6.4798,0.002,514.123
2160000,0.9025,15.6,1.0,0.671,13.6986,0.8753,-2.4824,6.4781,0.002,512.0531
2170000,0.9319,10.9,1.0,0.7021,14.6199,0.8933,-2.4825,6.4777,0.002,510.3038
2180000,0.9069,14.9,1.0,0.7092,13.3333,0.8933,-2.4829,6.4805,0.0019,510.0186
2190000,0.88,19.2,1.0,0.698,13.8313,0.8893,-2.4833,6.4823,0.0019,509.146
2200000,0.8975,16.4,1.0,0.6439,13.4409,0.8602,-2.4825,6.4772,0.0019,509.3925
2210000,0.9056,15.1,1.0,0.6916,13.4953,0.8853,-2.483,6.4804,0.002,504.3053
2220000,0.9387,9.8,1.0,0.6752,13.7741,0.8774,-2.4828,6.4788,0.0019,507.6852
2230000,0.9269,11.7,1.0,0.6854,14.3266,0.884,-2.4831,6.4787,0.0019,508.5012
2240000,0.9056,15.1,1.0,0.6868,13.7552,0.8831,-2.4833,6.4796,0.0019,507.6992
2250000,0.9206,12.7,1.0,0.7171,13.947,0.8996,-2.4829,6.478,0.0019,505.4946
2260000,0.9069,14.9,1.0,0.6843,13.7174,0.882,-2.4829,6.4769,0.0019,504.6004
2270000,0.9113,14.2,1.0,0.6792,13.7552,0.879,-2.4832,6.4807,0.0019,508.7646
2280000,0.9269,11.7,1.0,0.6903,14.5138,0.8868,-2.4828,6.4773,0.0019,506.618
2290000,0.9,16.0,1.0,0.6991,14.0647,0.8903,-2.4833,6.4793,0.0019,504.5669
2300000,0.905,15.2,1.0,0.6347,13.7741,0.8567,-2.4825,6.4751,0.0019,505.2809
2310000,0.9144,13.7,1.0,0.6444,13.6426,0.8608,-2.4838,6.4815,0.0019,505.053
2320000,0.915,13.6,1.0,0.719,13.6426,0.899,-2.4842,6.4827,0.0018,503.2823
2330000,0.9219,12.5,1.0,0.6918,13.7552,0.8858,-2.4827,6.4757,0.0018,501.5399
2340000,0.8725,20.4,1.0,0.6787,14.0845,0.8803,-2.4835,6.4778,0.0018,502.5939
2350000,0.9244,12.1,1.0,0.6718,13.5135,0.8743,-2.4827,6.4741,0.0018,500.2745
2360000,0.895,16.8,1.0,0.7012,14.5138,0.8926,-2.4853,6.4882,0.0018,503.9843
2370000,0.9275,11.6,1.0,0.6986,14.0449,0.8904,-2.4832,6.4768,0.0018,500.2861
2380000,0.9169,13.3,1.0,0.6905,13.8122,0.8854,-2.4834,6.4782,0.0018,499.3059
2390000,0.8975,16.4,1.0,0.6943,13.8889,0.8875,-2.484,6.4809,0.0018,498.6055
2400000,0.9262,11.8,1.0,0.7188,14.0449,0.9003,-2.4833,6.4757,0.0018,499.9924
2410000,0.9125,14.0,1.0,0.6938,13.9082,0.8873,-2.4834,6.4771,0.0018,500.603
2420000,0.905,15.2,1.0,0.7028,14.2653,0.893,-2.4841,6.4814,0.0018,497.6527
2430000,0.9206,12.7,1.0,0.6632,13.6054,0.8707,-2.4836,6.4776,0.0018,498.1616
2440000,0.9,16.0,1.0,0.7017,13.8122,0.8909,-2.4844,6.4821,0.0018,500.1973
2450000,0.9275,11.6,1.0,0.6908,14.1643,0.8867,-2.484,6.4804,0.0018,498.0333
2460000,0.9163,13.4,1.0,0.685,13.947,0.8828,-2.4842,6.4803,0.0018,500.2176
2470000,0.9075,14.8,1.0,0.6671,14.1643,0.8739,-2.4835,6.4763,0.0018,497.0966
2480000,0.9206,12.7,1.0,0.6625,13.1234,0.8688,-2.4842,6.4796,0.0018,496.5779
2490000,0.9062,15.0,1.0,0.692,13.6612,0.8852,-2.4844,6.4812,0.0018,489.7233
2500000,0.9106,14.3,1.0,0.6929,13.9276,0.8872,-2.4843,6.4804,0.0018,502.2642
2510000,0.925,12.0,1.0,0.717,13.986,0.8993,-2.4839,6.4785,0.0018,500.0068
2520000,0.915,13.6,1.0,0.7309,13.8313,0.9059,-2.4845,6.4814,0.0018,498.3733
2530000,0.9288,11.4,1.0,0.7314,14.3472,0.9082,-2.484,6.4789,0.0018,499.7937
2540000,0.9156,13.5,1.0,0.6844,13.4953,0.8812,-2.4841,6.4778,0.0018,498.6936
2550000,0.9044,15.3,1.0,0.6863,13.9082,0.8832,-2.4839,6.4779,0.0018,497.4311
2560000,0.9094,14.5,1.0,0.6995,13.986,0.8895,-2.4835,6.4746,0.0017,497.7639
2570000,0.9131,13.9,1.0,0.6692,13.4771,0.8733,-2.4841,6.4786,0.0017,498.1765
2580000,0.92,12.8,1.0,0.7119,13.6986,0.8959,-2.4844,6.4805,0.0018,496.5061
2590000,0.9387,9.8,1.0,0.6924,13.7363,0.886,-2.4843,6.4785,0.0017,497.4711
2600000,0.9081,14.7,1.0,0.6983,14.1044,0.89,-2.4848,6.4826,0.0017,496.8645
2610000,0.9044,15.3,1.0,0.6962,14.0252,0.8892,-2.4845,6.4798,0.0017,496.3466
2620000,0.9287,11.4,1.0,0.6682,13.4048,0.8727,-2.4845,6.4797,0.0017,495.6923
2630000,0.9194,12.9,1.0,0.7041,13.21,0.8904,-2.4848,6.4807,0.0017,496.1634
2640000,0.9337,10.6,1.0,0.6971,13.7552,0.8886,-2.4844,6.4783,0.0017,495.7181
2650000,0.9131,13.9,1.0,0.7117,13.5685,0.8955,-2.4851,6.4818,0.0017,496.1501
2660000,0.9213,12.6,1.0,0.7447,14.1243,0.9138,-2.4841,6.4765,0.0017,495.4773
2670000,0.93,11.2,1.0,0.7171,13.587,0.8981,-2.4847,6.4798,0.0017,494.1957
2680000,0.9156,13.5,1.0,0.6979,13.8313,0.8893,-2.4845,6.4779,0.0017,493.4463
2690000,0.9256,11.9,1.0,0.6888,13.7931,0.8841,-2.4849,6.4805,0.0017,493.4766
2700000,0.8837,18.6,1.0,0.6654,13.7552,0.8721,-2.485,6.4793,0.0017,493.1283
2710000,0.9244,12.1,1.0,0.6636,13.587,0.8709,-2.4846,6.4779,0.0017,494.1242
2720000,0.9175,13.2,1.0,0.6495,13.5135,0.8635,-2.4845,6.4764,0.0017,496.1704
2730000,0.8981,16.3,1.0,0.7266,13.6054,0.9034,-2.4844,6.4763,0.0017,491.1541
2740000,0.9125,14.0,1.0,0.6684,13.7174,0.8738,-2.4849,6.4793,0.0017,492.1956
2750000,0.905,15.2,1.0,0.6699,13.6612,0.8743,-2.485,6.48,0.0017,489.8047
2760000,0.9075,14.8,1.0,0.7413,13.6612,0.9112,-2.4847,6.4786,0.0017,492.0299
2770000,0.93,11.2,1.0,0.7115,13.9082,0.8957,-2.485,6.4796,0.0017,490.915
2780000,0.9175,13.2,1.0,0.7269,13.6054,0.9034,-2.4852,6.481,0.0017,490.2568
2790000,0.8956,16.7,1.0,0.719,13.7552,0.8996,-2.4848,6.4784,0.0017,490.1905
2800000,0.8962,16.6,1.0,0.6919,13.5501,0.8848,-2.4848,6.4788,0.0017,489.3651
2810000,0.9244,12.1,1.0,0.6685,13.4228,0.8725,-2.4846,6.4774,0.0017,489.9457
2820000,0.9213,12.6,1.0,0.6949,13.8889,0.8875,-2.4852,6.4795,0.0017,490.6914
2830000,0.9187,13.0,1.0,0.6959,13.7174,0.8875,-2.486,6.4843,0.0017,490.7827
2840000,0.9188,13.0,1.0,0.6976,13.7741,0.8884,-2.4845,6.4756,0.0017,489.1627
2850000,0.92,12.8,1.0,0.7277,13.2802,0.9031,-2.4851,6.4785,0.0017,490.0035
2860000,0.9063,15.0,1.0,0.6792,13.4953,0.8785,-2.4854,6.4796,0.0016,488.7235
2870000,0.9206,12.7,1.0,0.6988,13.6799,0.8892,-2.4846,6.4757,0.0016,488.1735
2880000,0.91,14.4,1.0,0.6832,13.7931,0.8814,-2.4851,6.4785,0.0016,487.3233
2890000,0.8962,16.6,1.0,0.7153,14.4092,0.8991,-2.485,6.4779,0.0016,487.4685
2900000,0.92,12.8,1.0,0.7495,13.6426,0.9154,-2.4851,6.4771,0.0016,486.1326
2910000,0.9188,13.0,1.0,0.669,13.624,0.8733,-2.4852,6.478,0.0016,487.3714
2920000,0.93,11.2,1.0,0.7067,14.1044,0.8942,-2.4854,6.4788,0.0016,486.0474
2930000,0.9206,12.7,1.0,0.7047,13.6612,0.8921,-2.4847,6.4764,0.0016,486.6809
2940000,0.9138,13.8,1.0,0.7494,13.8696,0.9154,-2.4854,6.4777,0.0016,486.1565
2950000,0.9206,12.7,1.0,0.7005,13.459,0.8896,-2.4861,6.4821,0.0016,486.9826
2960000,0.9131,13.9,1.0,0.7258,13.4048,0.9021,-2.4852,6.4768,0.0016,483.9393
2970000,0.9238,12.2,1.0,0.7108,13.7552,0.8955,-2.4852,6.4775,0.0016,486.1339
2980000,0.915,13.6,1.0,0.7156,14.1643,0.8994,-2.4867,6.4859,0.0016,485.8254
2990000,0.9088,14.6,1.0,0.711,13.4771,0.8949,-2.4855,6.4791,0.0016,487.1185
3000000,0.9113,14.2,1.0,0.7216,13.8696,0.9015,-2.4844,6.4744,0.0016,486.2864
3010000,0.9263,11.8,1.0,0.6927,13.7174,0.8861,-2.4857,6.4804,0.0016,486.0583
3020000,0.8931,17.1,1.0,0.7086,13.8696,0.8946,-2.4855,6.4798,0.0016,481.3954
3030000,0.9269,11.7,1.0,0.7238,14.0252,0.9032,-2.4853,6.4786,0.0016,482.8839
3040000,0.935,10.4,1.0,0.7196,14.1643,0.9008,-2.4854,6.4796,0.0016,483.7863
3050000,0.9019,15.7,1.0,0.7258,14.0845,0.9042,-2.4852,6.4778,0.0016,485.7174
3060000,0.9219,12.5,1.0,0.7026,13.8889,0.8917,-2.4856,6.4793,0.0016,481.4124
3070000,0.8956,16.7,1.0,0.7231,13.8122,0.9019,-2.4847,6.4733,0.0016,482.5618
3080000,0.9094,14.5,1.0,0.7507,13.9082,0.9166,-2.485,6.475,0.0016,486.0189
3090000,0.9094,14.5,1.0,0.7083,13.587,0.894,-2.4852,6.4768,0.0016,485.1355
3100000,0.9094,14.5,1.0,0.7086,13.6986,0.8945,-2.485,6.4751,0.0016,483.3034
3110000,0.9225,12.4,1.0,0.7137,13.8504,0.8975,-2.4854,6.4761,0.0016,481.1577
3120000,0.9081,14.7,1.0,0.6969,13.7931,0.8883,-2.4848,6.4735,0.0016,482.2796
3130000,0.9088,14.6,1.0,0.7297,13.587,0.9049,-2.4856,6.4775,0.0016,481.6218
3140000,0.9088,14.6,1.0,0.7133,13.4953,0.8961,-2.4853,6.4755,0.0016,485.3482
3150000,0.8881,17.9,1.0,0.7107,13.7363,0.8956,-2.4849,6.4722,0.0016,485.7347
3160000,0.9044,15.3,1.0,0.6767,13.9665,0.8785,-2.4855,6.4769,0.0016,484.8701
3170000,0.9219,12.5,1.0,0.7377,14.0252,0.9102,-2.485,6.4733,0.0016,484.5545
3180000,0.9256,11.9,1.0,0.7134,13.7741,0.8967,-2.4859,6.479,0.0015,482.599
3190000,0.9281,11.5,1.0,0.7041,13.6799,0.8919,-2.4846,6.4718,0.0016,485.1365
3200000,0.9038,15.4,1.0,0.696,13.4228,0.8872,-2.4852,6.4748,0.0016,484.4776
3210000,0.9131,13.9,1.0,0.7255,13.9276,0.9039,-2.4845,6.4706,0.0016,481.2396
3220000,0.9056,15.1,1.0,0.7317,13.7931,0.9062,-2.4848,6.4721,0.0015,479.096
3230000,0.8919,17.3,1.0,0.7201,13.947,0.901,-2.4844,6.4702,0.0015,479.4738
3240000,0.9163,13.4,1.0,0.7029,13.459,0.891,-2.4849,6.4722,0.0015,481.9752
3250000,0.9069,14.9,1.0,0.7288,13.8122,0.9047,-2.4853,6.4747,0.0015,485.4485
3260000,0.9269,11.7,1.0,0.6836,13.7552,0.8817,-2.4845,6.4702,0.0015,481.1386
3270000,0.9356,10.3,1.0,0.7314,14.0845,0.907,-2.4849,6.4728,0.0015,481.0298
3280000,0.8944,16.9,1.0,0.6895,13.7174,0.8848,-2.4852,6.4734,0.0015,481.2161
3290000,0.9131,13.9,1.0,0.6893,13.5135,0.8838,-2.4854,6.4742,0.0015,479.7583
3300000,0.9187,13.0,1.0,0.7142,13.8696,0.8974,-2.4837,6.4654,0.0015,480.3651
3310000,0.9063,15.0,1.0,0.7009,13.4409,0.8898,-2.4848,6.4721,0.0015,483.4308
3320000,0.9325,10.8,1.0,0.7116,13.3333,0.8947,-2.4852,6.4723,0.0014,479.439
3330000,0.8994,16.1,1.0,0.7266,14.0252,0.9046,-2.4845,6.4685,0.0015,484.5885
3340000,0.9106,14.3,1.0,0.7127,13.7741,0.8967,-2.4849,6.4723,0.0014,484.0612
3350000,0.91,14.4,1.0,0.7276,13.9665,0.905,-2.4839,6.4655,0.0014,483.6074
3360000,0.9038,15.4,1.0,0.7071,13.4228,0.8926,-2.485,6.4713,0.0014,479.6359
3370000,0.9094,14.5,1.0,0.7495,13.6612,0.9153,-2.4848,6.4715,0.0014,479.3919
3380000,0.91,14.4,1.0,0.6974,13.9082,0.8887,-2.4845,6.4686,0.0014,479.4156
3390000,0.9287,11.4,1.0,0.7641,14.0845,0.9239,-2.4848,6.4698,0.0014,480.0115
3400000,0.9019,15.7,1.0,0.7121,13.5685,0.8955,-2.4848,6.4699,0.0014,484.8795
3410000,0.9113,14.2,1.0,0.7223,13.6986,0.9014,-2.4845,6.4676,0.0014,481.8201
3420000,0.9306,11.1,1.0,0.6857,14.1643,0.8839,-2.4852,6.4714,0.0014,484.0593
3430000,0.9044,15.3,1.0,0.7583,13.947,0.9205,-2.4849,6.4698,0.0014,482.4278
3440000,0.9181,13.1,1.0,0.7108,14.1643,0.8966,-2.4841,6.4663,0.0014,478.736
3450000,0.9262,11.8,1.0,0.7148,13.4409,0.8965,-2.4849,6.4693,0.0014,479.2179
3460000,0.91,14.4,1.0,0.7193,13.8313,0.9004,-2.4847,6.4683,0.0014,478.4417
3470000,0.9044,15.3,1.0,0.7087,13.3333,0.8933,-2.4851,6.4703,0.0014,483.3433
3480000,0.9294,11.3,1.0,0.7256,13.6799,0.9029,-2.4842,6.4656,0.0014,482.2913
3490000,0.89,17.6,1.0,0.7353,14.0449,0.9087,-2.4851,6.4699,0.0014,482.2548
3500000,0.9137,13.8,1.0,0.7034,13.7552,0.8913,-2.4847,6.4682,0.0014,481.1237
3510000,0.8988,16.2,1.0,0.7295,14.0449,0.9059,-2.4848,6.4685,0.0014,480.3054
3520000,0.9163,13.4,1.0,0.7477,14.5349,0.9172,-2.4854,6.4702,0.0014,481.8668
3530000,0.92,12.8,1.0,0.7032,13.6054,0.8912,-2.485,6.4684,0.0014,483.2149
3540000,0.9012,15.8,1.0,0.6556,13.9276,0.8677,-2.4852,6.4693,0.0014,482.303
3550000,0.8819,18.9,1.0,0.7231,13.6612,0.9016,-2.4851,6.4683,0.0014,480.1821
3560000,0.9256,11.9,1.0,0.7206,14.0449,0.9017,-2.4855,6.4697,0.0013,482.9119
3570000,0.925,12.0,1.0,0.7366,13.6612,0.9085,-2.485,6.4674,0.0013,480.2236
3580000,0.9156,13.5,1.0,0.726,13.3869,0.9023,-2.4862,6.4737,0.0013,484.6186
3590000,0.9269,11.7,1.0,0.6895,13.6612,0.8839,-2.4846,6.4659,0.0013,485.2607
3600000,0.915,13.6,1.0,0.6941,13.5318,0.8863,-2.4852,6.4694,0.0013,480.244
3610000,0.9062,15.0,1.0,0.6908,13.6986,0.8849,-2.4853,6.47,0.0013,480.4252
3620000,0.9238,12.2,1.0,0.721,14.0252,0.9018,-2.4857,6.4724,0.0013,484.3239
3630000,0.9306,11.1,1.0,0.7282,13.9665,0.905,-2.4852,6.4682,0.0013,485.7281
3640000,0.9169,13.3,1.0,0.7003,13.7552,0.89,-2.4847,6.4662,0.0013,481.022
3650000,0.9081,14.7,1.0,0.7264,13.7363,0.9038,-2.4857,6.4713,0.0013,480.8273
3660000,0.9163,13.4,1.0,0.7333,13.7931,0.9076,-2.4854,6.469,0.0013,481.6849
