env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
21000,,,,,,,,,,500,-2205.8801,75.0893
21500,,,16045.1387,1604999.125,10203515.0,16045.1387,375.9135,12928.6738,3.2902,,,
21500,,,,,,,,,,500,-3455.5361,73.697
22000,,,15644.166,1564923.125,13172709.0,15644.166,453.1615,6690.6992,1.5007,,,
22000,,,,,,,,,,500,-2388.4011,71.9592
22500,,,16254.9072,1625993.375,17643664.0,16254.9072,96.6838,4272.0054,1.8931,,,
22500,,,,,,,,,,500,-2768.375,70.6029
23000,,,16995.6836,1700061.125,15485260.0,16995.6836,156.4082,10163.0566,1.7873,,,
23000,,,,,,,,,,500,-4961.9569,73.2785
23500,,,16622.0254,1662705.625,10365326.0,16622.0254,332.0456,5309.1177,2.2605,,,
23500,,,,,,,,,,500,-1626.1451,76.5929
24000,,,15416.1211,1542120.0,15942642.0,15416.1211,410.2847,5248.6084,2.5593,,,
24000,,,,,,,,,,500,-4279.4473,75.5783
24500,,,17166.8047,1717175.5,21886576.0,17166.8047,398.9482,8981.7236,1.8848,,,
24500,,,,,,,,,,500,-4147.5876,74.3477
25000,,,16884.3828,1688952.625,12646034.0,16884.3828,390.5863,3720.7017,2.3247,,,
25000,-15034.0686,500.0,,,,,,,,,,
25000,,,,,,,,,,500,-3535.9804,55.4071
25500,,,15860.2227,1586542.875,15846510.0,15860.2227,148.6764,9584.2861,1.6672,,,
25500,,,,,,,,,,500,-3793.4673,72.0971
26000,,,15912.5596,1591766.125,12126348.0,15912.5596,704.6708,13877.4902,2.7736,,,
26000,,,,,,,,,,500,-3452.4226,75.2781
26500,,,16906.6641,1691180.25,16057463.0,16906.6641,195.3016,6178.3896,1.4669,,,
26500,,,,,,,,,,500,-4373.1063,76.0768
27000,,,16795.6465,1680088.0,23563834.0,16795.6465,367.6061,12121.0742,2.4375,,,
27000,,,,,,,,,,500,-3944.8102,74.8442
27500,,,15985.1846,1599040.5,19800466.0,15985.1846,128.0732,9585.5645,2.8749,,,
27500,,,,,,,,,,500,-3142.4634,72.0555
28000,,,16958.291,1696359.875,12323096.0,16958.291,396.2269,5651.1289,2.5252,,,
28000,,,,,,,,,,500,-4137.2555,76.3907
28500,,,15388.416,1539372.625,13776651.0,15388.416,133.2051,11376.8447,2.4083,,,
28500,,,,,,,,,,500,-2336.4788,70.5237
29000,,,16204.9209,1621014.125,21776132.0,16204.9209,986.328,6241.0093,2.7015,,,
29000,,,,,,,,,,500,-2864.0401,70.4479
29500,,,16586.6094,1659179.625,20071988.0,16586.6094,264.5789,11503.2158,1.8004,,,
29500,,,,,,,,,,500,-4258.4,74.1009
30000,,,16618.0352,1662336.0,18034872.0,16618.0352,427.7645,8176.4678,2.4301,,,
30000,-16388.5346,500.0,,,,,,,,,,
30000,,,,,,,,,,500,-3935.5446,54.8306
30500,,,15088.915,1509433.75,22638106.0,15088.915,318.463,22057.9355,4.0924,,,
30500,,,,,,,,,,500,-4188.2629,73.8846
31000,,,14990.9902,1499627.25,17036906.0,14990.9902,123.2345,7652.8955,2.4763,,,
31000,,,,,,,,,,500,-2860.1529,70.6615
31500,,,14628.6016,1463396.0,17091252.0,14628.6016,194.8927,7533.8311,3.4396,,,
31500,,,,,,,,,,500,-3608.2134,73.8489
32000,,,15003.3604,1500862.75,23728436.0,15003.3604,104.1432,8077.1768,2.1952,,,
32000,,,,,,,,,,500,-3130.1884,71.1383
32500,,,15607.5215,1561285.75,22709336.0,15607.5215,181.2841,10389.7021,2.8592,,,
32500,,,,,,,,,,500,-2158.5199,71.0932
33000,,,14393.1875,1439854.375,18853356.0,14393.1875,398.9416,8641.3975,2.6995,,,
33000,,,,,,,,,,500,-5089.8731,72.2948
33500,,,15842.9648,1584829.0,33109684.0,15842.9648,389.8328,6270.439,3.0837,,,
33500,,,,,,,,,,500,-3315.9146,74.1769
34000,,,14531.7246,1453717.875,21462690.0,14531.7246,114.823,11934.8984,3.8021,,,
34000,,,,,,,,,,500,-2959.2861,72.3743
34500,,,15051.0762,1505646.0,14752940.0,15051.0762,175.0695,11939.8857,4.1099,,,
34500,,,,,,,,,,500,-2770.9846,73.4648
35000,,,14800.0215,1480551.25,19572840.0,14800.0215,118.0053,5413.8354,3.713,,,
35000,-15377.5922,500.0,,,,,,,,,,
35000,,,,,,,,,,500,-1951.9146,54.2895
35500,,,14225.958,1423135.75,23967548.0,14225.958,558.64,8770.499,2.8338,,,
35500,,,,,,,,,,500,-2798.0193,72.5065
36000,,,14264.4258,1426985.5,29843738.0,14264.4258,459.9214,17122.7324,3.4971,,,
36000,,,,,,,,,,500,-2065.6699,69.4533
36500,,,14585.4258,1459089.75,21301966.0,14585.4258,546.2998,8172.8027,2.7433,,,
36500,,,,,,,,,,500,-4306.0845,68.6623
37000,,,14011.252,1401679.75,26921308.0,14011.252,146.7029,14270.5918,3.1033,,,
37000,,,,,,,,,,500,-2832.0657,73.3456
37500,,,14962.4746,1496794.5,18969106.0,14962.4746,314.5078,4643.6143,3.4558,,,
37500,,,,,,,,,,500,-1994.0952,75.4056
38000,,,13516.5527,1352199.125,19109292.0,13516.5527,363.3234,13789.6465,2.4692,,,
38000,,,,,,,,,,500,-1515.1852,71.425
38500,,,14244.5664,1425008.5,26829486.0,14244.5664,363.4051,14656.8047,4.6325,,,
38500,,,,,,,,,,500,-1983.5022,71.6275
39000,,,13280.8203,1328623.125,30304790.0,13280.8203,352.8551,6573.5786,2.9918,,,
39000,,,,,,,,,,500,-2099.6537,72.8864
39500,,,14720.0947,1472553.125,23785904.0,14720.0947,487.0665,13607.7041,4.1301,,,
39500,,,,,,,,,,500,-4679.4664,75.9513
40000,,,13849.918,1385539.125,20990006.0,13849.918,106.2835,7751.8623,3.0644,,,
40000,-15935.9374,500.0,,,,,,,,,,
40000,,,,,,,,,,500,-2284.8356,53.5721
40500,,,13108.834,1311427.75,20044586.0,13108.834,233.3981,8203.2373,3.4488,,,
40500,,,,,,,,,,500,-2126.4902,69.4414
41000,,,13311.2832,1331670.25,28164770.0,13311.2832,475.9395,10347.5078,2.9945,,,
41000,,,,,,,,,,500,-3575.5345,75.6637
41500,,,13369.459,1337480.75,18828466.0,13369.459,132.8378,11397.2168,3.8108,,,
41500,,,,,,,,,,500,-4177.6547,70.3473
42000,,,13141.5859,1314709.75,26202196.0,13141.5859,182.5356,15044.793,3.5257,,,
42000,,,,,,,,,,500,-3139.389,72.0228
42500,,,12741.332,1274662.875,28070818.0,12741.332,455.9347,8556.7832,4.0253,,,
42500,,,,,,,,,,500,-2800.5945,69.0581
43000,,,12687.7656,1269316.625,25058210.0,12687.7656,490.6699,12694.9902,4.254,,,
43000,,,,,,,,,,500,-1269.6356,74.4276
43500,,,11777.9727,1178337.875,26002198.0,11777.9727,111.1002,12237.4619,3.728,,,
43500,,,,,,,,,,500,-2791.3619,74.6253
