env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
9192,,,15,-16.058,76.1845,,,,,,,,,,
9216,,,24,-22.0159,75.7501,,,,,,,,,,
9231,,,15,-25.4028,75.7266,,,,,,,,,,
9267,,,36,-35.6202,75.9045,,,,,,,,,,
9282,,,15,-36.0046,72.3415,,,,,,,,,,
9340,,,58,-58.0064,75.4454,,,,,,,,,,
9372,,,32,-37.1121,75.3657,,,,,,,,,,
9396,,,24,-39.1038,75.7988,,,,,,,,,,
9438,,,42,-38.5681,75.7356,,,,,,,,,,
9500,,,,,,0.4349,0.7539,0.1281,-262.78,37.3391,0.1015,-0.2413,421.8677,2488.4297,21.899
10000,,,,,,0.4368,0.7508,0.1299,-267.9013,34.5903,0.1012,-0.2463,675.4952,3647.9104,13.1066
10000,-1026.1268,983.6,,,,,,,,,,,,,
10438,,,1000,-1412.2238,57.6705,,,,,,,,,,
10459,,,21,-19.195,74.5161,,,,,,,,,,
10477,,,18,-9.2502,72.6503,,,,,,,,,,
10500,,,,,,0.4246,0.7642,0.1152,-281.9736,39.2089,0.102,-0.2225,535.1902,4046.5435,18.1956
10511,,,34,-32.2321,73.6722,,,,,,,,,,
10540,,,29,-64.2422,74.4862,,,,,,,,,,
10588,,,48,-68.266,73.5402,,,,,,,,,,
10619,,,31,-34.2895,77.0155,,,,,,,,,,
10710,,,91,-152.8909,74.3688,,,,,,,,,,
10796,,,86,-92.0554,75.704,,,,,,,,,,
10817,,,21,-13.9688,73.1793,,,,,,,,,,
10836,,,19,-42.8025,74.0704,,,,,,,,,,
11000,,,,,,0.4359,0.7566,0.1217,-317.4279,34.8239,0.105,-0.2377,660.2836,4604.7676,11.2237
11500,,,,,,0.4514,0.7585,0.1424,-343.3633,32.9016,0.1029,-0.2618,536.9255,4354.4688,16.2194
11836,,,1000,-1363.8329,75.024,,,,,,,,,,
11945,,,109,-107.0449,75.6121,,,,,,,,,,
