env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-111.4966,103.2,,,,,,,,,,,,,,,,,,
57,,,57,-110.6989,5.2882,,,,,,,,,,,,,,,
104,,,47,-121.933,30.6858,,,,,,,,,,,,,,,
182,,,78,-120.2289,31.4337,,,,,,,,,,,,,,,
228,,,46,-116.3317,32.169,,,,,,,,,,,,,,,
276,,,48,-119.9372,29.5995,,,,,,,,,,,,,,,
319,,,43,-115.5667,29.4717,,,,,,,,,,,,,,,
369,,,50,-115.5586,29.652,,,,,,,,,,,,,,,
414,,,45,-122.1767,30.7472,,,,,,,,,,,,,,,
461,,,47,-120.8756,31.885,,,,,,,,,,,,,,,
500,,,,,,30,6,1,3108.7437,0.889,1.1195,0.375,1.307,0.1266,1.6894,1.5242,-0.3114,8.6914,11.4843,0.0028
619,,,158,-128.0442,30.3419,,,,,,,,,,,,,,,
670,,,51,-116.9242,29.4138,,,,,,,,,,,,,,,
712,,,42,-121.2967,30.0306,,,,,,,,,,,,,,,
752,,,40,-114.6294,31.2658,,,,,,,,,,,,,,,
800,,,48,-118.8461,32.4956,,,,,,,,,,,,,,,
