env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
20500,,,0.5828,0.7478,0.2032,-77.5337,4.413,0.0232,-0.4003,2.1225,37.3371,2.073,,,
21000,,,0.5836,0.7521,0.2188,-84.0088,5.0158,0.0239,-0.4164,2.1832,58.1482,1.8624,,,
21000,,,,,,,,,,,,,1000,1085.2528,81.3703
21500,,,0.5855,0.7494,0.2066,-84.7209,5.7648,0.0243,-0.4096,2.3735,50.3151,2.7864,,,
22000,,,0.5869,0.7602,0.2242,-86.5429,4.2077,0.0262,-0.4163,2.8513,46.6618,2.7071,,,
22000,,,,,,,,,,,,,1000,1386.5352,81.6616
22500,,,0.58,0.7675,0.2128,-91.2352,4.1881,0.0261,-0.4088,2.5455,55.7757,2.0417,,,
23000,,,0.5867,0.7544,0.2255,-93.2153,4.7513,0.0237,-0.4363,2.3837,68.699,2.8148,,,
23000,,,,,,,,,,,,,1000,1551.4254,80.9723
23500,,,0.5852,0.7628,0.1969,-98.5478,5.2096,0.0253,-0.3934,2.7492,63.189,1.7596,,,
24000,,,0.5876,0.7692,0.2169,-102.1922,5.768,0.0241,-0.4181,2.4794,58.9244,2.7293,,,
24000,,,,,,,,,,,,,1000,1314.8093,81.5313
24500,,,0.5922,0.7623,0.2261,-101.6879,4.5331,0.025,-0.4246,2.7016,74.0872,3.4882,,,
25000,,,0.5861,0.7788,0.2081,-107.318,4.8611,0.0244,-0.41,2.2892,43.9036,4.2315,,,
25000,2968.3706,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,1437.0882,72.5181
25500,,,0.5872,0.7707,0.2143,-110.834,4.7864,0.0221,-0.4162,2.7623,95.3082,3.9009,,,
26000,,,0.5865,0.7725,0.2201,-113.0065,5.244,0.0247,-0.4366,2.7221,82.9142,2.3457,,,
26000,,,,,,,,,,,,,1000,1531.0488,81.2616
26500,,,0.5892,0.7793,0.2146,-116.6372,4.6962,0.0254,-0.4091,2.5984,50.2091,2.5211,,,
27000,,,0.5876,0.7759,0.2097,-119.594,5.8723,0.0243,-0.4061,2.921,63.7983,2.5833,,,
27000,,,,,,,,,,,,,1000,1750.4898,81.235
27500,,,0.586,0.7737,0.2012,-122.6075,4.4939,0.0236,-0.4029,2.7457,68.6437,2.5146,,,
28000,,,0.5877,0.7852,0.2092,-123.4701,4.6524,0.0245,-0.4224,2.8857,114.7331,3.7706,,,
28000,,,,,,,,,,,,,1000,1561.9329,83.4467
28500,,,0.5931,0.7863,0.2028,-127.7597,4.4074,0.023,-0.3921,2.7211,105.8186,3.0597,,,
29000,,,0.5879,0.7839,0.2215,-127.4297,4.3564,0.0269,-0.4276,2.8981,57.905,3.4895,,,
29000,,,,,,,,,,,,,1000,441.8337,81.7411
29500,,,0.5902,0.787,0.2,-131.7397,5.7013,0.0263,-0.4009,2.8228,55.2788,2.3458,,,
30000,,,0.5939,0.7867,0.2125,-134.9728,4.6253,0.0242,-0.4182,3.1118,78.4646,2.4514,,,
30000,3226.0594,1000.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,1000,1761.0588,72.6393
30500,,,0.5876,0.7904,0.2174,-137.289,5.545,0.0235,-0.4248,3.177,117.1247,2.3917,,,
31000,,,0.5892,0.7822,0.2288,-137.4016,4.2825,0.0274,-0.439,2.9982,77.736,2.8386,,,
31000,,,,,,,,,,,,,1000,847.5034,84.0501
31500,,,0.5974,0.7945,0.216,-140.8313,4.9061,0.0253,-0.4283,3.1115,124.9783,2.8774,,,
32000,,,0.5969,0.7972,0.226,-144.2648,5.0072,0.0272,-0.4402,2.9019,65.2457,4.1119,,,
32000,,,,,,,,,,,,,1000,2067.9043,84.1196
32500,,,0.5963,0.7972,0.2115,-150.111,4.5418,0.0252,-0.4198,3.0322,83.689,3.5972,,,
