env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
15000,,,,,,1163.0914,1148.712,10092.6387,1163.0914,2.8998,179.6902,2.7687
15000,29.1549,614.6,,,,,,,,,,
15281,,,1000,-995.8806,73.1108,,,,,,,
15345,,,64,-72.025,89.1609,,,,,,,
15385,,,40,-15.0932,89.2193,,,,,,,
15395,,,10,-13.9232,85.7752,,,,,,,
15408,,,13,-14.4826,89.2055,,,,,,,
15500,,,,,,1085.3813,1070.7778,14498.3799,1085.3813,4.0758,307.1841,2.7793
15547,,,139,-169.5422,88.8369,,,,,,,
15599,,,52,-50.2805,88.5272,,,,,,,
15643,,,44,-28.9376,88.9201,,,,,,,
15718,,,75,-73.2329,88.8622,,,,,,,
16000,,,,,,1154.8333,1139.1971,9516.748,1154.8333,4.9535,206.6418,3.1064
16500,,,,,,1111.2433,1096.0724,9960.4834,1111.2433,4.2581,500.3073,2.8471
16718,,,1000,-938.7412,91.0741,,,,,,,
16746,,,28,-1.7217,90.1823,,,,,,,
16805,,,59,-43.385,91.0808,,,,,,,
16818,,,13,-11.7896,93.9552,,,,,,,
16923,,,105,-103.357,94.1928,,,,,,,
16959,,,36,-52.063,89.3341,,,,,,,
17000,,,,,,1170.3506,1153.0087,13864.0381,1170.3506,5.8546,469.0676,3.5803
17500,,,,,,1141.7373,1125.3894,10146.9062,1141.7373,5.7105,171.7979,3.5147
17959,,,1000,-937.6684,91.3844,,,,,,,
18000,,,,,,1141.4065,1123.7936,12059.4385,1141.4065,4.5821,344.8322,3.4116
18093,,,134,-123.6899,92.3314,,,,,,,
18115,,,22,-20.3985,89.0093,,,,,,,
18157,,,42,-17.0179,88.9785,,,,,,,
18253,,,96,-96.6703,89.4533,,,,,,,
18335,,,82,-122.6742,89.1543,,,,,,,
18477,,,142,-146.3811,89.1732,,,,,,,
18500,,,,,,1173.7166,1155.3282,11513.4268,1173.7166,9.7818,521.9418,3.9002
18539,,,62,-68.1653,88.6753,,,,,,,
18624,,,85,-80.2158,89.1924,,,,,,,
18642,,,18,-18.4617,88.8653,,,,,,,
