env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
577,,,3,3.0,99.3903,,,,,,,,,
581,,,4,4.0,100.729,,,,,,,,,
589,,,8,8.0,100.7241,,,,,,,,,
592,,,3,3.0,100.1378,,,,,,,,,
595,,,3,3.0,100.9686,,,,,,,,,
600,,,5,5.0,99.0119,,,,,,,,,
605,,,5,5.0,101.7827,,,,,,,,,
610,,,5,5.0,99.552,,,,,,,,,
614,,,4,4.0,101.4324,,,,,,,,,
619,,,5,5.0,98.6542,,,,,,,,,
625,,,6,6.0,101.8356,,,,,,,,,
629,,,4,4.0,98.6738,,,,,,,,,
633,,,4,4.0,101.5496,,,,,,,,,
637,,,4,4.0,99.6615,,,,,,,,,
641,,,4,4.0,102.0934,,,,,,,,,
650,,,9,9.0,95.0259,,,,,,,,,
654,,,4,4.0,97.948,,,,,,,,,
658,,,4,4.0,99.8121,,,,,,,,,
662,,,4,4.0,100.7259,,,,,,,,,
667,,,5,5.0,99.7969,,,,,,,,,
671,,,4,4.0,101.8449,,,,,,,,,
675,,,4,4.0,101.7011,,,,,,,,,
679,,,4,4.0,99.7599,,,,,,,,,
683,,,4,4.0,101.4624,,,,,,,,,
687,,,4,4.0,99.2746,,,,,,,,,
691,,,4,4.0,101.669,,,,,,,,,
695,,,4,4.0,101.7492,,,,,,,,,
698,,,3,3.0,98.0008,,,,,,,,,
703,,,5,5.0,101.0126,,,,,,,,,
707,,,4,4.0,99.7113,,,,,,,,,
711,,,4,4.0,100.8313,,,,,,,,,
716,,,5,5.0,101.589,,,,,,,,,
721,,,5,5.0,99.9672,,,,,,,,,
725,,,4,4.0,101.5957,,,,,,,,,
730,,,5,5.0,99.5775,,,,,,,,,
734,,,4,4.0,101.3203,,,,,,,,,
737,,,3,3.0,98.5496,,,,,,,,,
742,,,5,5.0,100.1037,,,,,,,,,
746,,,4,4.0,101.0493,,,,,,,,,
753,,,7,7.0,99.6072,,,,,,,,,
775,,,22,22.0,100.4253,,,,,,,,,
795,,,20,20.0,100.5358,,,,,,,,,
819,,,24,24.0,95.4692,,,,,,,,,
840,,,21,21.0,93.7348,,,,,,,,,
886,,,46,46.0,97.0946,,,,,,,,,
915,,,29,29.0,100.1822,,,,,,,,,
1000,,,,,,0.6173,0.5,0.0514,-4.3554,2.4332,0.1326,0.51,2.4629,0.0341
1005,,,90,90.0,100.2728,,,,,,,,,
1049,,,44,44.0,99.6944,,,,,,,,,
1064,,,15,15.0,95.3447,,,,,,,,,
1081,,,17,17.0,94.2824,,,,,,,,,
1135,,,54,54.0,94.5511,,,,,,,,,
1150,,,15,15.0,94.8354,,,,,,,,,
1160,,,10,10.0,94.5918,,,,,,,,,
1221,,,61,61.0,94.316,,,,,,,,,
1230,,,9,9.0,94.0539,,,,,,,,,
1245,,,15,15.0,94.3755,,,,,,,,,
1250,,,5,5.0,92.3428,,,,,,,,,
1258,,,8,8.0,94.9515,,,,,,,,,
1297,,,39,39.0,99.6704,,,,,,,,,
1314,,,17,17.0,100.5281,,,,,,,,,
1338,,,24,24.0,100.3378,,,,,,,,,
1342,,,4,4.0,93.2518,,,,,,,,,
1390,,,48,48.0,94.5791,,,,,,,,,
1456,,,66,66.0,98.0894,,,,,,,,,
1500,,,,,,0.6665,0.5,0.0653,-6.2319,3.8041,0.1803,0.9395,2.9891,0.0244
1526,,,70,70.0,101.1068,,,,,,,,,
1602,,,76,76.0,101.1545,,,,,,,,,
1642,,,40,40.0,101.2995,,,,,,,,,
1686,,,44,44.0,101.304,,,,,,,,,
1761,,,75,75.0,101.3456,,,,,,,,,
1780,,,19,19.0,101.1126,,,,,,,,,
1797,,,17,17.0,100.9181,,,,,,,,,
1807,,,10,10.0,101.0931,,,,,,,,,
1828,,,21,21.0,100.7388,,,,,,,,,
1905,,,77,77.0,100.5837,,,,,,,,,
1912,,,7,7.0,99.6864,,,,,,,,,
1949,,,37,37.0,100.3543,,,,,,,,,
1969,,,20,20.0,100.7165,,,,,,,,,
1980,,,11,11.0,99.8702,,,,,,,,,
1988,,,8,8.0,100.7069,,,,,,,,,
2000,,,,,,0.7076,0.5,0.0716,-8.1504,4.7016,0.225,1.1568,3.0435,0.1157
2020,,,32,32.0,100.0508,,,,,,,,,
2035,,,15,15.0,100.1418,,,,,,,,,
2055,,,20,20.0,100.3184,,,,,,,,,
2109,,,54,54.0,100.4312,,,,,,,,,
2161,,,52,52.0,100.2505,,,,,,,,,
2246,,,85,85.0,100.401,,,,,,,,,
2306,,,60,60.0,100.3424,,,,,,,,,
2363,,,57,57.0,100.7872,,,,,,,,,
2370,,,7,7.0,99.9681,,,,,,,,,
2416,,,46,46.0,100.5076,,,,,,,,,
2475,,,59,59.0,100.8638,,,,,,,,,
2495,,,20,20.0,100.4259,,,,,,,,,
2500,,,,,,0.7571,0.5,0.0844,-10.0413,5.7462,0.2811,1.8572,6.0918,0.0945
2528,,,33,33.0,100.2479,,,,,,,,,
2575,,,47,47.0,100.5682,,,,,,,,,
2607,,,32,32.0,100.5677,,,,,,,,,
2644,,,37,37.0,100.4862,,,,,,,,,
2719,,,75,75.0,100.59,,,,,,,,,
2769,,,50,50.0,100.7475,,,,,,,,,
2792,,,23,23.0,100.4973,,,,,,,,,
2826,,,34,34.0,100.357,,,,,,,,,
2864,,,38,38.0,95.5644,,,,,,,,,
2887,,,23,23.0,94.6558,,,,,,,,,
2926,,,39,39.0,95.0887,,,,,,,,,
2959,,,33,33.0,93.9782,,,,,,,,,
3000,,,,,,0.7904,0.5,0.0888,-11.8321,6.4005,0.3271,2.1254,7.2205,0.0194
3010,,,51,51.0,94.8358,,,,,,,,,
3058,,,48,48.0,93.6358,,,,,,,,,
3081,,,23,23.0,94.4097,,,,,,,,,
3126,,,45,45.0,94.5358,,,,,,,,,
3144,,,18,18.0,94.5483,,,,,,,,,
3152,,,8,8.0,94.2847,,,,,,,,,
3159,,,7,7.0,95.2008,,,,,,,,,
3164,,,5,5.0,94.6261,,,,,,,,,
3179,,,15,15.0,95.1022,,,,,,,,,
3187,,,8,8.0,94.7207,,,,,,,,,
3191,,,4,4.0,94.8101,,,,,,,,,
3214,,,23,23.0,94.8769,,,,,,,,,
3232,,,18,18.0,94.318,,,,,,,,,
3237,,,5,5.0,92.9057,,,,,,,,,
3252,,,15,15.0,93.5892,,,,,,,,,
3269,,,17,17.0,93.976,,,,,,,,,
3277,,,8,8.0,93.9974,,,,,,,,,
3282,,,5,5.0,95.9281,,,,,,,,,
3320,,,38,38.0,94.5023,,,,,,,,,
3340,,,20,20.0,93.955,,,,,,,,,
3362,,,22,22.0,94.3007,,,,,,,,,
3385,,,23,23.0,93.3875,,,,,,,,,
3391,,,6,6.0,94.131,,,,,,,,,
3418,,,27,27.0,94.5962,,,,,,,,,
3451,,,33,33.0,95.1224,,,,,,,,,
3466,,,15,15.0,94.3588,,,,,,,,,
3485,,,19,19.0,94.7293,,,,,,,,,
3490,,,5,5.0,95.3277,,,,,,,,,
3500,,,,,,0.8362,0.5,0.0983,-13.5167,7.6595,0.3956,2.2336,6.8011,0.1241
3517,,,27,27.0,91.4677,,,,,,,,,
3549,,,32,32.0,93.9955,,,,,,,,,
3562,,,13,13.0,94.2806,,,,,,,,,
3589,,,27,27.0,94.6609,,,,,,,,,
3599,,,10,10.0,93.8044,,,,,,,,,
3653,,,54,54.0,94.6449,,,,,,,,,
3696,,,43,43.0,88.8479,,,,,,,,,
3714,,,18,18.0,88.6727,,,,,,,,,
3725,,,11,11.0,93.9446,,,,,,,,,
3769,,,44,44.0,92.485,,,,,,,,,
3773,,,4,4.0,93.9789,,,,,,,,,
3801,,,28,28.0,93.3878,,,,,,,,,
3822,,,21,21.0,93.7448,,,,,,,,,
3825,,,3,3.0,86.4389,,,,,,,,,
3831,,,6,6.0,92.7304,,,,,,,,,
3842,,,11,11.0,93.0455,,,,,,,,,
3854,,,12,12.0,93.7168,,,,,,,,,
3866,,,12,12.0,93.5922,,,,,,,,,
3910,,,44,44.0,93.9409,,,,,,,,,
3919,,,9,9.0,89.1156,,,,,,,,,
3947,,,28,28.0,87.6018,,,,,,,,,
3954,,,7,7.0,93.3719,,,,,,,,,
3966,,,12,12.0,93.7917,,,,,,,,,
3983,,,17,17.0,90.6004,,,,,,,,,
3993,,,10,10.0,93.9736,,,,,,,,,
3997,,,4,4.0,94.927,,,,,,,,,
4000,,,,,,0.8619,0.5,0.0996,-15.6401,7.9436,0.4312,3.3138,11.5888,0.0338
4011,,,14,14.0,91.4651,,,,,,,,,
4048,,,37,37.0,89.1746,,,,,,,,,
4086,,,38,38.0,93.6534,,,,,,,,,
4114,,,28,28.0,95.5301,,,,,,,,,
4136,,,22,22.0,92.3373,,,,,,,,,
4177,,,41,41.0,93.9533,,,,,,,,,
4190,,,13,13.0,94.0953,,,,,,,,,
4197,,,7,7.0,94.8083,,,,,,,,,
4227,,,30,30.0,94.0816,,,,,,,,,
4264,,,37,37.0,94.5279,,,,,,,,,
4303,,,39,39.0,94.4804,,,,,,,,,
4317,,,14,14.0,94.6315,,,,,,,,,
4323,,,6,6.0,94.1092,,,,,,,,,
4344,,,21,21.0,93.2017,,,,,,,,,
4372,,,28,28.0,93.5464,,,,,,,,,
4382,,,10,10.0,94.3883,,,,,,,,,
4399,,,17,17.0,93.9843,,,,,,,,,
4408,,,9,9.0,94.3367,,,,,,,,,
