env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-101.0919,148.9,,,,,,,,,,,,,,,,,,
70,,,70,-111.8756,7.2761,,,,,,,,,,,,,,,
155,,,85,-115.5458,31.5035,,,,,,,,,,,,,,,
200,,,45,-121.4929,28.5336,,,,,,,,,,,,,,,
337,,,137,-124.3475,29.8106,,,,,,,,,,,,,,,
400,,,63,-115.5175,27.0785,,,,,,,,,,,,,,,
466,,,66,-116.7613,27.4218,,,,,,,,,,,,,,,
500,,,,,,14,3,1,15082.085,0.0534,0.0018,0.0108,0.0019,1.0193,0.3226,0.052,-0.0204,1.396,13.2308,0.0059
544,,,78,-119.0216,27.2449,,,,,,,,,,,,,,,
614,,,70,-118.8812,31.5266,,,,,,,,,,,,,,,
664,,,50,-113.6727,32.5191,,,,,,,,,,,,,,,
740,,,76,-124.5397,29.4906,,,,,,,,,,,,,,,
823,,,83,-102.5798,29.7389,,,,,,,,,,,,,,,
912,,,89,-124.8158,28.0502,,,,,,,,,,,,,,,
1000,,,,,,16,5,1,13713.2617,0.0749,0.0012,0.0143,0.0013,0.9849,0.9458,0.0735,-0.0276,5.009,64.4784,1.3819
1500,,,,,,19,7,2,7266.3042,0.1686,0.0005,0.0275,0.0008,-1.6532,0.3635,0.1678,-0.0528,1.9606,20.2612,0.0587
