env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-22.7988,1000.0,,,,,,,,,,,,,
500,,,1.2221,0.7398,0.1527,4.5008,21.1496,0.4543,-0.1545,0.437,1.0422,0.2402,,,
1000,,,1.1404,0.7141,0.1179,4.1018,20.6749,0.3941,-0.0783,0.6009,1.6168,0.2199,,,
1000,,,,,,,,,,,,,1000,-293.6949,23.1281
1500,,,1.1555,0.7511,0.1775,3.8543,20.3654,0.3894,-0.1226,0.9105,2.2469,0.5205,,,
2000,,,1.1688,0.7006,0.1951,3.5556,25.2441,0.3948,-0.1645,1.1027,1.5121,0.3981,,,
2000,,,,,,,,,,,,,1000,-358.9434,30.3814
2500,,,1.2035,0.7888,0.2233,2.9202,23.4087,0.3564,-0.1686,1.1506,1.1894,0.3782,,,
3000,,,1.2179,0.7482,0.2574,2.3974,28.4924,0.3366,-0.1974,1.216,1.5997,0.3186,,,
3000,,,,,,,,,,,,,1000,-406.4806,28.5778
3500,,,1.2121,0.7357,0.2428,2.1997,38.6671,0.3613,-0.1899,1.2929,3.9154,0.1805,,,
4000,,,1.2317,0.7556,0.2648,1.424,22.6726,0.3478,-0.2022,1.2733,1.8514,0.3484,,,
4000,,,,,,,,,,,,,1000,-351.4853,28.2881
4500,,,1.1898,0.7112,0.2402,1.1864,23.4058,0.326,-0.1868,1.2194,1.1475,0.4638,,,
5000,,,1.1981,0.7031,0.2482,1.1212,21.0775,0.3324,-0.1908,1.2384,1.6745,0.2047,,,
5000,-174.692,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-249.2813,26.4656
5500,,,1.205,0.7166,0.2545,0.8773,22.6141,0.329,-0.2022,1.2787,2.4257,0.3667,,,
6000,,,1.2043,0.7051,0.2602,0.8678,19.891,0.3419,-0.2083,1.201,1.5818,0.4513,,,
6000,,,,,,,,,,,,,1000,-282.6391,26.9773
6500,,,1.2448,0.7506,0.2725,0.798,29.6099,0.3169,-0.232,1.2538,2.9342,0.3228,,,
7000,,,1.1984,0.7043,0.2651,0.5963,18.626,0.3228,-0.2145,1.2548,2.5113,0.3318,,,
7000,,,,,,,,,,,,,1000,-359.2373,29.9615
7500,,,1.2158,0.7128,0.2601,0.2362,28.1987,0.3047,-0.2214,1.4138,1.2947,0.2731,,,
8000,,,1.2216,0.7007,0.2651,0.2812,24.9979,0.337,-0.2239,1.6136,1.2248,0.2824,,,
8000,,,,,,,,,,,,,1000,-265.5404,28.0459
8500,,,1.2202,0.7276,0.2629,0.3652,22.9006,0.3366,-0.233,1.7524,1.7852,0.4716,,,
9000,,,1.2276,0.7164,0.2679,0.3294,19.7931,0.3418,-0.2335,1.6751,1.2474,0.4464,,,
9000,,,,,,,,,,,,,1000,-437.4522,27.2895
9500,,,1.1875,0.69,0.2479,-0.3036,17.1868,0.3126,-0.2232,1.6869,2.8814,0.3995,,,
10000,,,1.2358,0.7051,0.2641,0.1154,21.3507,0.3532,-0.2217,1.7003,2.8798,0.2787,,,
10000,-77.7135,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-384.6333,25.3361
10500,,,1.2282,0.7202,0.271,-0.4956,19.8949,0.3325,-0.2435,1.604,1.9019,0.3277,,,
11000,,,1.2172,0.7252,0.2607,-0.625,17.0748,0.3365,-0.2281,1.9964,5.0333,0.7063,,,
11000,,,,,,,,,,,,,1000,-250.2375,28.4608
11500,,,1.222,0.7078,0.2739,-0.8754,20.309,0.3479,-0.2436,1.9112,2.7261,0.4532,,,
12000,,,1.2173,0.6934,0.2684,-0.9134,25.9057,0.314,-0.2455,1.9657,3.588,0.9047,,,
12000,,,,,,,,,,,,,1000,-352.8433,27.4271
12500,,,1.2217,0.7067,0.2444,-0.912,17.6484,0.3565,-0.2279,1.9107,4.0264,0.4797,,,
13000,,,1.214,0.6566,0.2591,-1.7284,19.8994,0.3042,-0.2224,1.92,1.8238,0.4954,,,
13000,,,,,,,,,,,,,1000,-318.4103,26.9494
13500,,,1.2447,0.7199,0.2772,-1.7966,18.4058,0.3349,-0.2595,2.1307,2.1724,0.7056,,,
14000,,,1.2272,0.6887,0.2833,-1.992,21.2967,0.3401,-0.2716,2.305,4.0151,1.3108,,,
14000,,,,,,,,,,,,,1000,-283.239,26.6468
14500,,,1.2454,0.7289,0.2792,-1.8544,22.78,0.364,-0.2647,2.0759,2.8741,0.5773,,,
15000,,,1.2535,0.7295,0.2837,-2.3164,21.8912,0.3637,-0.2627,2.2097,2.4797,0.8347,,,
15000,-53.8002,1000.0,,,,,,,,,,,,,
15000,,,,,,,,,,,,,1000,-269.3742,25.4701
15500,,,1.2486,0.7157,0.2814,-2.6781,18.0015,0.3411,-0.2544,2.4407,5.7868,0.6292,,,
16000,,,1.2637,0.6931,0.2983,-3.476,25.348,0.3404,-0.2861,2.1459,6.7832,0.5608,,,
16000,,,,,,,,,,,,,1000,-295.2369,28.9894
16500,,,1.2646,0.7135,0.2879,-3.3176,22.2016,0.3576,-0.2691,2.2547,2.3653,0.5394,,,
17000,,,1.2737,0.7214,0.299,-3.9722,18.0968,0.3487,-0.286,1.9078,2.4662,0.49,,,
17000,,,,,,,,,,,,,1000,-275.4982,28.4566
17500,,,1.2839,0.7506,0.3085,-4.5827,15.0495,0.3394,-0.2962,1.8933,4.6278,0.5572,,,
18000,,,1.2671,0.6917,0.2949,-4.9191,19.2128,0.3285,-0.2786,1.8576,3.3096,0.4879,,,
18000,,,,,,,,,,,,,1000,-233.1304,29.0903
18500,,,1.2777,0.712,0.2991,-4.7817,21.7736,0.3401,-0.2824,1.6837,3.397,0.9211,,,
19000,,,1.2673,0.6673,0.296,-5.0691,19.7285,0.343,-0.2739,1.5055,2.6824,0.5767,,,
19000,,,,,,,,,,,,,1000,-297.0949,28.4099
19500,,,1.2742,0.7059,0.302,-4.9587,18.9198,0.3306,-0.2926,1.6654,2.8141,0.7174,,,
20000,,,1.2821,0.7053,0.2859,-5.1935,21.0633,0.3548,-0.273,1.374,2.4974,0.7895,,,
20000,-51.5569,1000.0,,,,,,,,,,,,,
