env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
9496,,,120,294.3619,106.4217,,,,,,,
9500,,,,,,0.0046,-87.1583,1.5908,0.0046,10.6976,214.5005,0.3757
9528,,,32,49.2359,106.3359,,,,,,,
9558,,,30,46.2128,105.8939,,,,,,,
9600,,,42,68.9075,105.9989,,,,,,,
9718,,,118,285.8477,106.3356,,,,,,,
9830,,,112,267.6935,105.8214,,,,,,,
9867,,,37,61.1415,106.3428,,,,,,,
9906,,,39,64.0043,106.2667,,,,,,,
9942,,,36,58.1786,106.4782,,,,,,,
10000,,,,,,0.0047,-90.758,2.2781,0.0047,13.3871,524.6831,0.9503
10000,313.6773,123.5,,,,,,,,,,
10057,,,115,282.3745,87.2967,,,,,,,
10097,,,40,64.5941,106.6138,,,,,,,
10149,,,52,88.1071,106.5377,,,,,,,
10272,,,123,292.4123,105.7516,,,,,,,
10302,,,30,47.896,106.0255,,,,,,,
10349,,,47,81.9865,106.2032,,,,,,,
10474,,,125,298.5809,106.3922,,,,,,,
10500,,,,,,0.0044,-95.3319,2.4172,0.0044,7.0975,166.0745,0.8932
10599,,,125,301.8079,108.0585,,,,,,,
10722,,,123,310.3882,106.3738,,,,,,,
10744,,,22,32.0005,106.4165,,,,,,,
10864,,,120,305.7423,106.473,,,,,,,
10983,,,119,301.1982,106.4587,,,,,,,
11000,,,,,,0.0047,-98.7625,3.3033,0.0047,22.0059,331.8459,0.9354
11101,,,118,300.9487,106.6122,,,,,,,
11215,,,114,289.389,106.8106,,,,,,,
11331,,,116,298.9993,106.5113,,,,,,,
11452,,,121,304.9721,107.0435,,,,,,,
11486,,,34,53.7325,110.4477,,,,,,,
11500,,,,,,0.0045,-103.2777,2.3552,0.0045,8.4658,237.9166,0.8661
11597,,,111,270.1703,110.3948,,,,,,,
11710,,,113,270.7911,110.3654,,,,,,,
11818,,,108,271.937,110.0927,,,,,,,
11936,,,118,279.5334,110.1864,,,,,,,
12000,,,,,,0.0048,-106.6163,4.2837,0.0048,14.883,290.1715,0.9552
12039,,,103,245.026,109.3306,,,,,,,
12159,,,120,286.2947,106.4144,,,,,,,
12198,,,39,62.4784,106.2546,,,,,,,
12308,,,110,259.7062,109.5544,,,,,,,
12368,,,60,110.0484,109.6996,,,,,,,
12391,,,23,34.4896,110.2404,,,,,,,
12500,,,,,,0.0049,-112.3633,2.509,0.0049,16.2319,175.709,1.5213
12504,,,113,265.5853,110.3676,,,,,,,
12615,,,111,257.4565,110.4131,,,,,,,
12711,,,96,216.6589,106.1183,,,,,,,
12760,,,49,81.5426,105.46,,,,,,,
12780,,,20,28.7069,106.0618,,,,,,,
12882,,,102,254.4323,106.2455,,,,,,,
12981,,,99,212.1574,106.231,,,,,,,
13000,,,,,,0.0047,-115.2559,7.4783,0.0047,24.2479,946.5091,2.3903
13033,,,52,87.0923,105.9241,,,,,,,
13136,,,103,229.814,106.0176,,,,,,,
13185,,,49,80.2734,105.2011,,,,,,,
13285,,,100,230.5992,110.5074,,,,,,,
13398,,,113,283.6635,110.6092,,,,,,,
13500,,,,,,0.0047,-120.2009,1.421,0.0047,36.5699,510.5467,0.4558
13512,,,114,285.3989,110.4675,,,,,,,
13608,,,96,202.2599,110.2906,,,,,,,
13703,,,95,210.811,109.466,,,,,,,
13810,,,107,265.8127,107.9483,,,,,,,
13850,,,40,61.8582,108.6293,,,,,,,
13955,,,105,250.784,107.1777,,,,,,,
14000,,,,,,0.0047,-126.3057,5.1591,0.0047,25.6277,761.8091,3.1798
14064,,,109,266.8812,106.6674,,,,,,,
14176,,,112,256.054,110.2279,,,,,,,
14285,,,109,269.1538,110.3891,,,,,,,
14398,,,113,279.0963,110.4355,,,,,,,
14500,,,,,,0.005,-128.3828,6.2093,0.005,18.7679,621.993,4.2529
14502,,,104,260.0327,110.095,,,,,,,
14630,,,128,327.3911,109.3627,,,,,,,
14748,,,118,302.8608,106.7585,,,,,,,
14856,,,108,268.2797,108.6826,,,,,,,
14903,,,47,77.5767,110.5983,,,,,,,
14929,,,26,38.7391,110.285,,,,,,,
15000,,,,,,0.0048,-130.2532,3.0406,0.0048,25.2093,375.5194,1.9259
15000,300.8748,116.6,,,,,,,,,,
15025,,,96,230.2659,88.0883,,,,,,,
15091,,,66,125.5991,110.0759,,,,,,,
15195,,,104,245.2853,106.9412,,,,,,,
15311,,,116,299.5535,110.6139,,,,,,,
15411,,,100,239.1824,110.5659,,,,,,,
15500,,,,,,0.0044,-134.9954,4.2022,0.0044,20.4704,375.6655,2.2415
15519,,,108,250.0414,106.6406,,,,,,,
