env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
26500,,,-75.0631,3.9159,0.0036,-0.0478,1.4125,33.1243,2.4922,,,
27000,,,-77.2944,3.7662,0.0042,-0.0533,1.1834,29.289,2.0238,,,
27000,,,,,,,,,,1000,290.7977,81.5654
27500,,,-79.8429,4.3381,0.0045,-0.052,1.7845,53.4272,2.475,,,
28000,,,-80.7358,3.8546,0.007,-0.0549,1.5003,42.3853,1.9287,,,
28000,,,,,,,,,,1000,448.3485,81.477
28500,,,-80.3416,4.725,0.0047,-0.0541,1.6576,53.9922,3.4262,,,
29000,,,-84.2724,4.7037,0.0043,-0.0503,1.7012,38.1473,4.1891,,,
29000,,,,,,,,,,1000,1153.4802,81.2697
29500,,,-85.2668,4.1571,0.0044,-0.0533,1.8466,81.6551,2.4707,,,
30000,,,-86.4123,5.0549,0.0041,-0.05,1.6222,45.1245,2.0353,,,
30000,1022.8986,1000.0,,,,,,,,,,
30000,,,,,,,,,,1000,306.6255,72.0431
30500,,,-86.5425,5.0442,0.004,-0.0498,1.83,58.8772,3.5666,,,
31000,,,-89.5477,3.5139,0.0046,-0.0535,1.9291,77.3493,2.0245,,,
31000,,,,,,,,,,1000,961.3096,81.5278
31500,,,-87.7484,4.5924,0.0055,-0.0536,1.9448,46.4425,1.8262,,,
32000,,,-94.3945,4.0185,0.0041,-0.0493,1.9375,53.8585,2.7934,,,
32000,,,,,,,,,,1000,522.3274,81.3431
32500,,,-94.6742,4.2752,0.0052,-0.0529,2.0661,55.7531,2.1971,,,
33000,,,-93.1206,3.8159,0.0038,-0.0501,1.8687,61.8709,2.5971,,,
33000,,,,,,,,,,1000,383.016,84.7075
33500,,,-95.1841,4.8692,0.0037,-0.0477,2.3165,68.8751,3.3515,,,
34000,,,-95.6885,4.2782,0.0039,-0.0498,1.9488,48.218,3.0732,,,
34000,,,,,,,,,,1000,398.2964,81.8647
34500,,,-101.882,4.1033,0.004,-0.05,2.3072,98.4425,2.6484,,,
35000,,,-101.0586,4.8089,0.0039,-0.0495,2.3726,123.7994,3.8884,,,
35000,1997.7641,1000.0,,,,,,,,,,
35000,,,,,,,,,,1000,1427.1579,73.9896
35500,,,-100.8727,4.4136,0.0043,-0.0506,2.0707,50.6566,4.1122,,,
36000,,,-104.6946,4.6375,0.0034,-0.046,2.4436,137.7353,4.6077,,,
36000,,,,,,,,,,1000,925.4072,83.2943
36500,,,-105.8221,4.6323,0.0037,-0.0481,2.3759,76.3253,3.5253,,,
37000,,,-106.1896,4.7474,0.0035,-0.0474,2.7307,90.8624,2.7395,,,
37000,,,,,,,,,,1000,1473.596,84.3697
37500,,,-108.1303,5.1283,0.0041,-0.0503,2.1313,80.7525,3.292,,,
38000,,,-114.5087,4.3537,0.0036,-0.0483,2.7563,79.2294,3.1438,,,
38000,,,,,,,,,,1000,657.8146,87.5554
38500,,,-113.1324,4.3646,0.0034,-0.0463,2.1479,68.498,3.3272,,,
39000,,,-115.2579,4.2076,0.0033,-0.0451,3.3356,108.9851,2.4119,,,
39000,,,,,,,,,,1000,1621.0006,83.8673
39500,,,-116.3084,3.2907,0.0035,-0.0461,2.2093,84.8822,2.7469,,,
40000,,,-113.9548,4.0898,0.0033,-0.0458,2.7149,57.8607,3.6951,,,
40000,3068.782,1000.0,,,,,,,,,,
40000,,,,,,,,,,1000,1189.1092,71.9686
40500,,,-119.6718,3.9376,0.0041,-0.051,2.9144,66.1129,3.2569,,,
41000,,,-123.9022,4.3927,0.0043,-0.0473,2.2886,65.3641,4.0653,,,
41000,,,,,,,,,,1000,1804.2692,83.4417
41500,,,-119.1071,3.7327,0.0041,-0.0512,2.2578,53.139,3.2448,,,
42000,,,-124.7541,4.0156,0.0045,-0.0498,2.2008,110.9986,2.1175,,,
42000,,,,,,,,,,1000,1909.9757,81.7218
42500,,,-127.7511,4.6442,0.0032,-0.0408,2.0796,71.1872,2.6662,,,
43000,,,-129.2569,4.0502,0.0042,-0.0493,2.1778,111.3912,2.4962,,,
43000,,,,,,,,,,1000,1782.2652,83.9783
43500,,,-131.3586,4.245,0.0036,-0.0474,2.5635,76.0169,3.5669,,,
44000,,,-130.6516,4.9801,0.0036,-0.047,2.251,63.4336,5.4363,,,
44000,,,,,,,,,,1000,1132.7766,81.2045
44500,,,-138.0853,3.647,0.0035,-0.0468,2.538,70.709,2.6229,,,
45000,,,-133.7654,4.6414,0.0034,-0.0455,2.4511,92.7093,3.6854,,,
45000,3387.2348,1000.0,,,,,,,,,,
45000,,,,,,,,,,1000,1997.5362,72.0724
45500,,,-138.6388,4.3983,0.0033,-0.0446,3.6948,121.6958,2.704,,,
46000,,,-138.3001,4.0811,0.0028,-0.0401,2.1294,50.47,4.4015,,,
46000,,,,,,,,,,1000,1270.258,81.501
46500,,,-138.5406,4.3902,0.0032,-0.0442,3.1449,101.9494,3.8285,,,
47000,,,-143.0704,3.887,0.0037,-0.0487,2.2301,96.0467,3.2122,,,
47000,,,,,,,,,,1000,2137.4123,81.5066
47500,,,-143.9954,4.9729,0.0043,-0.0478,2.2126,94.9001,3.5829,,,
48000,,,-146.3519,3.8195,0.0034,-0.0457,1.907,59.4344,2.425,,,
48000,,,,,,,,,,1000,1718.4046,86.2898
48500,,,-143.8822,3.6915,0.0034,-0.046,2.5122,82.152,3.2932,,,
49000,,,-148.079,3.395,0.0034,-0.045,2.9149,83.9723,2.8463,,,
49000,,,,,,,,,,1000,2259.4405,87.0231
49500,,,-148.2943,4.1936,0.0032,-0.0412,2.593,78.2209,3.3448,,,
50000,,,-151.7222,3.3145,0.0033,-0.0447,2.3986,132.4902,2.0023,,,
50000,3526.7889,1000.0,,,,,,,,,,
50000,,,,,,,,,,1000,2160.102,73.8747
50500,,,-152.8008,4.0049,0.0034,-0.0466,2.6805,76.3339,3.4684,,,
51000,,,-156.1631,4.9519,0.0034,-0.0448,2.1605,82.7439,2.2385,,,
51000,,,,,,,,,,1000,2295.1996,81.1467
51500,,,-158.5096,3.9852,0.0035,-0.046,3.987,115.4739,4.0692,,,
52000,,,-161.6059,3.9248,0.0033,-0.0432,2.2944,66.4233,3.4732,,,
52000,,,,,,,,,,1000,2226.0586,81.0292
52500,,,-159.7146,3.2371,0.0038,-0.0482,2.6395,62.6047,3.5838,,,
53000,,,-161.9904,4.8988,0.0036,-0.0476,2.3393,78.9178,4.3933,,,
53000,,,,,,,,,,1000,2468.8064,83.0702
53500,,,-162.87,4.5654,0.003,-0.0433,2.3969,66.888,3.2386,,,
54000,,,-164.068,3.7288,0.0037,-0.0491,6.3808,135.2852,4.4027,,,
54000,,,,,,,,,,1000,2497.2689,81.5592
54500,,,-166.0528,4.5562,0.0033,-0.0463,2.7772,80.2568,4.5525,,,
55000,,,-171.3828,4.6078,0.0032,-0.0443,3.5164,125.8814,4.3397,,,
55000,3720.5778,1000.0,,,,,,,,,,
55000,,,,,,,,,,1000,2579.0655,71.8178
55500,,,-172.6411,4.2116,0.0035,-0.0474,2.5786,151.638,4.6597,,,
56000,,,-171.3015,3.5667,0.0033,-0.045,2.6022,91.1518,2.4904,,,
56000,,,,,,,,,,1000,2466.5473,81.8095
56500,,,-173.7209,3.9087,0.003,-0.041,3.7417,151.7963,5.9075,,,
57000,,,-175.2971,3.8997,0.0034,-0.0476,2.5486,94.0834,3.7692,,,
57000,,,,,,,,,,1000,2633.14,82.0171
57500,,,-179.0013,4.1862,0.0035,-0.0471,2.4074,107.6489,4.0837,,,
58000,,,-180.8923,4.3041,0.0032,-0.0448,4.3532,151.6747,4.1095,,,
