env_steps,return,length,success,train/return,train/length,train/success,op_loss,rp_loss,critic_loss,FPS
2770000,0.9419,9.3,1.0,0.8647,7.5873,0.9552,0.2666,0.0001,0.0008,538.7186
2780000,0.9662,5.4,1.0,0.8643,7.5245,0.9549,0.2662,0.0001,0.0008,539.4751
2790000,0.9437,9.0,1.0,0.8337,7.6394,0.9396,0.2664,0.0001,0.0008,544.539
2800000,0.965,5.6,1.0,0.879,7.5301,0.9623,0.2661,0.0001,0.0008,540.0169
2810000,0.9669,5.3,1.0,0.8568,7.4405,0.9509,0.2665,0.0001,0.0008,541.9646
2820000,0.9456,8.7,1.0,0.8705,7.776,0.9588,0.2664,0.0001,0.0008,540.8736
2830000,0.97,4.8,1.0,0.854,7.2254,0.9487,0.2667,0.0001,0.0008,540.2817
2840000,0.9619,6.1,1.0,0.833,7.8125,0.9398,0.2667,0.0001,0.0008,538.9236
2850000,0.9644,5.7,1.0,0.8487,7.5019,0.9467,0.2668,0.0001,0.0008,539.0103
2860000,0.95,8.0,1.0,0.8405,7.5415,0.9427,0.2668,0.0001,0.0008,539.9371
2870000,0.95,8.0,1.0,0.8574,7.4906,0.9513,0.2671,0.0001,0.0008,538.2035
2880000,0.9531,7.5,1.0,0.8483,7.4516,0.9463,0.2671,0.0001,0.0008,537.6633
2890000,0.9456,8.7,1.0,0.8525,7.6161,0.949,0.2668,0.0001,0.0008,539.3475
2900000,0.9637,5.8,1.0,0.8525,7.1736,0.9476,0.267,0.0001,0.0008,537.9526
2910000,0.9469,8.5,1.0,0.8541,7.4405,0.9494,0.2675,0.0001,0.0008,537.8861
2920000,0.9512,7.8,1.0,0.8518,7.6278,0.9489,0.2669,0.0001,0.0008,538.4496
2930000,0.9669,5.3,1.0,0.8678,7.5075,0.9565,0.2673,0.0001,0.0008,539.8914
2940000,0.9556,7.1,1.0,0.8673,7.446,0.9561,0.2672,0.0001,0.0008,539.154
2950000,0.9569,6.9,1.0,0.8464,7.5358,0.9457,0.2674,0.0001,0.0008,539.0834
2960000,0.96,6.4,1.0,0.8612,7.7042,0.9538,0.2678,0.0001,0.0008,538.4907
2970000,0.9644,5.7,1.0,0.8645,7.4349,0.9546,0.2676,0.0001,0.0008,538.3614
2980000,0.9681,5.1,1.0,0.8571,7.4349,0.9509,0.2678,0.0001,0.0008,540.3805
2990000,0.9638,5.8,1.0,0.8541,7.622,0.9497,0.2678,0.0001,0.0008,542.1642
3000000,0.9581,6.7,1.0,0.8526,7.5415,0.9487,0.2676,0.0001,0.0008,540.2988
3010000,0.9431,9.1,1.0,0.8359,7.5301,0.9405,0.2679,0.0001,0.0008,539.8709
3020000,0.9394,9.7,1.0,0.8596,7.5472,0.9525,0.2676,0.0001,0.0008,538.9473
3030000,0.9544,7.3,1.0,0.8744,7.485,0.9596,0.268,0.0001,0.0008,540.1302
3040000,0.9631,5.9,1.0,0.8587,7.593,0.9522,0.2677,0.0001,0.0008,542.0234
3050000,0.9475,8.4,1.0,0.8569,7.77,0.9518,0.2679,0.0001,0.0008,541.2637
3060000,0.9713,4.6,1.0,0.8713,7.6336,0.9588,0.2681,0.0001,0.0008,539.4205
3070000,0.95,8.0,1.0,0.8677,7.6687,0.9571,0.2681,0.0001,0.0008,539.4725
3080000,0.9719,4.5,1.0,0.8373,7.6161,0.9414,0.2683,0.0001,0.0008,541.7679
3090000,0.9506,7.9,1.0,0.8609,7.722,0.9537,0.2683,0.0001,0.0008,539.8335
3100000,0.9594,6.5,1.0,0.8548,7.722,0.9506,0.2682,0.0001,0.0008,539.1038
3110000,0.9662,5.4,1.0,0.8596,7.7882,0.9533,0.2684,0.0001,0.0008,539.7435
3120000,0.9394,9.7,1.0,0.8558,7.6805,0.9508,0.2685,0.0001,0.0008,541.7259
3130000,0.9675,5.2,1.0,0.8759,7.5415,0.9608,0.2684,0.0001,0.0008,540.6945
3140000,0.9587,6.6,1.0,0.8506,7.7042,0.9484,0.2685,0.0001,0.0008,540.7779
3150000,0.9625,6.0,1.0,0.8649,7.57,0.9553,0.2683,0.0001,0.0008,540.9091
3160000,0.9444,8.9,1.0,0.8522,7.4683,0.9485,0.2685,0.0001,0.0008,542.0266
3170000,0.945,8.8,1.0,0.8615,7.3529,0.9529,0.2686,0.0001,0.0008,536.0252
3180000,0.9606,6.3,1.0,0.8613,7.4627,0.953,0.2686,0.0001,0.0008,539.7441
3190000,0.9644,5.7,1.0,0.8468,7.593,0.9461,0.269,0.0001,0.0008,541.2531
3200000,0.9494,8.1,1.0,0.826,7.6746,0.9355,0.2687,0.0001,0.0008,538.2803
3210000,0.9463,8.6,1.0,0.8618,7.5815,0.9538,0.2688,0.0001,0.0008,539.0832
3220000,0.9656,5.5,1.0,0.8588,7.6046,0.9521,0.2693,0.0001,0.0008,538.0303
3230000,0.9338,10.6,1.0,0.858,7.6511,0.9518,0.2688,0.0001,0.0008,538.6634
3240000,0.955,7.2,1.0,0.8441,7.3638,0.944,0.2685,0.0001,0.0008,537.3992
3250000,0.9581,6.7,1.0,0.8595,7.7882,0.9533,0.2691,0.0001,0.0008,537.7942
3260000,0.9688,5.0,1.0,0.861,7.7101,0.9537,0.2694,0.0001,0.0008,540.0795
3270000,0.9575,6.8,1.0,0.8398,7.4349,0.942,0.2692,0.0001,0.0008,540.2284
3280000,0.9119,14.1,1.0,0.8585,7.7821,0.9525,0.2693,0.0001,0.0008,538.5494
3290000,0.9563,7.0,1.0,0.8688,7.722,0.9575,0.2694,0.0001,0.0008,540.4808
3300000,0.9569,6.9,1.0,0.8737,7.5815,0.9598,0.2695,0.0001,0.0008,539.7861
3310000,0.95,8.0,1.0,0.8661,7.6805,0.9562,0.2694,0.0001,0.0008,536.7012
3320000,0.9644,5.7,1.0,0.8522,7.5358,0.9488,0.2696,0.0001,0.0008,538.2661
3330000,0.9519,7.7,1.0,0.8596,7.716,0.9529,0.2693,0.0001,0.0008,537.2621
3340000,0.9612,6.2,1.0,0.8536,7.5586,0.9494,0.2697,0.0001,0.0008,538.7553
3350000,0.9631,5.9,1.0,0.8571,7.3692,0.9506,0.2699,0.0001,0.0008,542.7734
3360000,0.9494,8.1,1.0,0.857,7.5358,0.951,0.2695,0.0001,0.0008,541.7523
3370000,0.95,8.0,1.0,0.8262,7.5873,0.9355,0.27,0.0001,0.0008,537.3683
3380000,0.9575,6.8,1.0,0.8493,7.5358,0.9472,0.2698,0.0001,0.0008,537.6391
3390000,0.9769,3.7,1.0,0.8562,7.4963,0.9505,0.2696,0.0001,0.0008,537.8454
3400000,0.9444,8.9,1.0,0.867,7.4516,0.956,0.2701,0.0001,0.0008,539.0047
3410000,0.9269,11.7,1.0,0.8595,7.3964,0.9519,0.2702,0.0001,0.0008,538.366
3420000,0.95,8.0,1.0,0.8694,7.7519,0.9581,0.2701,0.0001,0.0008,538.8377
3430000,0.9512,7.8,1.0,0.857,7.5358,0.951,0.2701,0.0001,0.0008,539.9662
3440000,0.9569,6.9,1.0,0.866,7.4294,0.9554,0.2698,0.0001,0.0008,539.2587
3450000,0.9569,6.9,1.0,0.8745,7.446,0.9598,0.2701,0.0001,0.0008,540.7665
3460000,0.9613,6.2,1.0,0.8551,7.4019,0.9497,0.2696,0.0001,0.0008,540.3009
3470000,0.9531,7.5,1.0,0.8721,7.9618,0.9602,0.27,0.0001,0.0008,540.3247
3480000,0.9581,6.7,1.0,0.8446,7.6864,0.9454,0.27,0.0001,0.0008,539.7794
3490000,0.96,6.4,1.0,0.8451,7.5131,0.9452,0.2701,0.0001,0.0008,538.9617
3500000,0.9419,9.3,1.0,0.8469,7.657,0.9464,0.2703,0.0001,0.0008,540.1229
3510000,0.9575,6.8,1.0,0.8486,7.6453,0.9472,0.2703,0.0001,0.0008,539.0081
3520000,0.9563,7.0,1.0,0.8474,7.6453,0.9465,0.2701,0.0001,0.0008,541.3383
3530000,0.9656,5.5,1.0,0.8712,7.7399,0.959,0.2705,0.0001,0.0008,540.4485
3540000,0.9531,7.5,1.0,0.8524,7.4627,0.9485,0.2702,0.0001,0.0008,538.7358
3550000,0.9469,8.5,1.0,0.861,7.6278,0.9535,0.2699,0.0001,0.0008,538.4852
3560000,0.9425,9.2,1.0,0.8663,7.8678,0.9567,0.2705,0.0001,0.0008,543.5622
3570000,0.9688,5.0,1.0,0.8534,7.5586,0.9494,0.2706,0.0001,0.0008,540.907
3580000,0.9656,5.5,1.0,0.8448,7.3314,0.9443,0.2702,0.0001,0.0008,517.0329
3590000,0.9506,7.9,1.0,0.8611,7.3855,0.9527,0.2705,0.0001,0.0008,524.3756
3600000,0.9431,9.1,1.0,0.8496,7.5245,0.9473,0.2707,0.0001,0.0008,535.353
3610000,0.9594,6.5,1.0,0.8544,7.5019,0.9497,0.2705,0.0001,0.0008,538.4988
3620000,0.9519,7.7,1.0,0.8478,7.5472,0.9464,0.2701,0.0001,0.0008,540.6802
3630000,0.9662,5.4,1.0,0.8491,7.4738,0.9469,0.2707,0.0001,0.0008,540.9686
3640000,0.9625,6.0,1.0,0.8615,7.6104,0.9536,0.2705,0.0001,0.0008,539.7799
3650000,0.9456,8.7,1.0,0.8663,7.5758,0.9561,0.2705,0.0001,0.0008,538.6613
3660000,0.93,11.2,1.0,0.8721,7.5075,0.9587,0.2706,0.0001,0.0008,543.0471
3670000,0.9369,10.1,1.0,0.8748,7.776,0.9611,0.2709,0.0001,0.0008,540.0952
3680000,0.9569,6.9,1.0,0.8638,7.6278,0.955,0.2708,0.0001,0.0008,538.444
3690000,0.9469,8.5,1.0,0.8459,7.7101,0.946,0.2708,0.0001,0.0008,539.4361
3700000,0.9587,6.6,1.0,0.8568,7.6923,0.9515,0.2704,0.0001,0.0008,542.2439
3710000,0.9694,4.9,1.0,0.8788,7.5529,0.9622,0.2707,0.0001,0.0008,539.9041
3720000,0.9612,6.2,1.0,0.8484,7.3855,0.9461,0.2709,0.0001,0.0008,537.9401
3730000,0.9481,8.3,1.0,0.853,7.57,0.9493,0.2711,0.0001,0.0008,539.3931
3740000,0.9488,8.2,1.0,0.8474,7.4019,0.946,0.2707,0.0001,0.0008,537.6589
3750000,0.9638,5.8,1.0,0.8434,7.4683,0.944,0.2709,0.0001,0.0008,537.5133
3760000,0.9619,6.1,1.0,0.8736,7.485,0.9596,0.2711,0.0001,0.0008,539.7667
3770000,0.9475,8.4,1.0,0.855,7.6278,0.9504,0.2714,0.0001,0.0008,538.3982
3780000,0.94,9.6,1.0,0.8645,7.6104,0.9551,0.271,0.0001,0.0008,538.0914
3790000,0.945,8.8,1.0,0.8434,7.6923,0.9446,0.2712,0.0001,0.0008,538.5798
3800000,0.9556,7.1,1.0,0.8677,7.6687,0.9571,0.2708,0.0001,0.0008,540.0356
3810000,0.9581,6.7,1.0,0.8373,7.6864,0.9416,0.2713,0.0001,0.0008,539.6526
3820000,0.9612,6.2,1.0,0.8449,7.6982,0.9453,0.2708,0.0001,0.0008,529.2764
3830000,0.9594,6.5,1.0,0.8419,7.6923,0.9438,0.2712,0.0001,0.0008,532.3802
3840000,0.955,7.2,1.0,0.866,7.3529,0.9551,0.2712,0.0001,0.0008,527.2141
3850000,0.9363,10.2,1.0,0.8535,7.716,0.9498,0.2708,0.0001,0.0008,530.4652
3860000,0.9675,5.2,1.0,0.8395,7.5245,0.9421,0.2715,0.0001,0.0008,526.7269
3870000,0.9462,8.6,1.0,0.8563,7.728,0.9513,0.2713,0.0001,0.0008,533.8616
3880000,0.9519,7.7,1.0,0.84,7.5643,0.9425,0.271,0.0001,0.0008,525.86
3890000,0.9569,6.9,1.0,0.8572,7.446,0.9509,0.2709,0.0001,0.0008,526.0945
3900000,0.9644,5.7,1.0,0.8507,7.622,0.9482,0.2717,0.0001,0.0008,524.7424
3910000,0.9556,7.1,1.0,0.8506,7.3964,0.9475,0.2713,0.0001,0.0008,524.6575
3920000,0.9675,5.2,1.0,0.8793,7.6923,0.9631,0.271,0.0001,0.0008,535.4266
3930000,0.9656,5.5,1.0,0.8612,7.7042,0.9538,0.2711,0.0001,0.0008,533.7708
3940000,0.9506,7.9,1.0,0.8567,7.6982,0.9515,0.2713,0.0001,0.0008,538.5763
3950000,0.9594,6.5,1.0,0.8511,7.3692,0.9477,0.2711,0.0001,0.0008,527.1811
3960000,0.9425,9.2,1.0,0.8504,7.485,0.9476,0.2713,0.0001,0.0008,525.2926
3970000,0.9662,5.4,1.0,0.8743,7.391,0.9593,0.2715,0.0001,0.0008,523.6542
3980000,0.965,5.6,1.0,0.862,7.57,0.9538,0.2712,0.0001,0.0008,533.0596
3990000,0.9631,5.9,1.0,0.8656,7.6336,0.9557,0.2717,0.0001,0.0008,529.3475
4000000,0.9694,4.9,1.0,0.8431,7.7042,0.9445,0.2716,0.0001,0.0008,525.1916
