env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-92.1422,97.3,,,,,,,,,,,,,,,,,,
59,,,59,-113.9168,15.0409,,,,,,,,,,,,,,,
156,,,97,-121.812,15.6367,,,,,,,,,,,,,,,
206,,,50,-109.9904,15.8709,,,,,,,,,,,,,,,
251,,,45,-118.3269,16.3438,,,,,,,,,,,,,,,
295,,,44,-120.9942,16.0279,,,,,,,,,,,,,,,
355,,,60,-113.256,15.9215,,,,,,,,,,,,,,,
420,,,65,-112.1278,16.2495,,,,,,,,,,,,,,,
470,,,50,-120.5715,16.8569,,,,,,,,,,,,,,,
500,,,,,,14,5,1,22405.0938,0.3887,0.0195,2.4583,0.0318,-0.2594,1.1573,0.2735,-2.2102,22.294,9.9039,0.0019
513,,,43,-122.0234,15.7943,,,,,,,,,,,,,,,
571,,,58,-110.878,15.4601,,,,,,,,,,,,,,,
681,,,110,-125.0658,15.7064,,,,,,,,,,,,,,,
776,,,95,-122.5032,16.2224,,,,,,,,,,,,,,,
937,,,161,-129.4455,15.7775,,,,,,,,,,,,,,,
1000,,,,,,13,4,1,38935.2266,0.7085,1.184,3.3441,1.2007,109.6606,7.8208,109.6957,-3.642,4.8486,15.2747,0.0072
1017,,,80,-118.7379,15.8179,,,,,,,,,,,,,,,
1123,,,106,-123.5352,15.4745,,,,,,,,,,,,,,,
1211,,,88,-122.626,16.0154,,,,,,,,,,,,,,,
1340,,,129,-127.8037,15.6818,,,,,,,,,,,,,,,
1500,,,,,,13,4,1,36460.9805,0.7793,0.4088,3.8776,0.4282,40.3608,3.5494,38.7874,-4.0877,10.3451,42.5117,0.0202
1516,,,176,-122.264,15.6771,,,,,,,,,,,,,,,
1560,,,44,-120.0656,15.6839,,,,,,,,,,,,,,,
1709,,,149,-117.9997,16.0414,,,,,,,,,,,,,,,
1779,,,70,-112.7223,15.4631,,,,,,,,,,,,,,,
1884,,,105,-117.967,16.0214,,,,,,,,,,,,,,,
1928,,,44,-116.2994,15.3441,,,,,,,,,,,,,,,
2000,,,,,,13,5,1,38107.1602,0.7921,0.4066,4.1675,0.4274,40.4711,4.3078,39.7133,-4.5934,11.1187,174.9896,0.0599
2106,,,178,-109.6273,15.8473,,,,,,,,,,,,,,,
2199,,,93,-105.1005,15.9193,,,,,,,,,,,,,,,
2301,,,102,-104.5554,15.8913,,,,,,,,,,,,,,,
2500,,,,,,14,5,1,33469.6094,1.2392,0.7971,5.9373,0.8267,64.1723,10.2459,62.4519,-6.6011,1.3372,29.5295,0.0068
3000,,,,,,14,5,1,32266.7676,1.0836,0.0224,5.3247,0.049,5.7276,11.2235,3.9692,-5.8649,1.209,47.3868,0.0295
3397,,,1096,-196.4182,16.368,,,,,,,,,,,,,,,
