env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-101.0919,148.9,,,,,,,,,,,,,,,,,,
70,,,70,-111.8746,3.4871,,,,,,,,,,,,,,,
262,,,192,-124.4819,29.2188,,,,,,,,,,,,,,,
314,,,52,-122.3048,29.5891,,,,,,,,,,,,,,,
382,,,68,-112.3933,29.4373,,,,,,,,,,,,,,,
425,,,43,-114.0402,29.0848,,,,,,,,,,,,,,,
500,,,,,,13,3,1,15896.6943,0.0666,0.0015,0.0136,0.0151,0.7602,0.1528,0.052,-0.0239,4.2086,10.174,0.0226
516,,,91,-120.8452,29.093,,,,,,,,,,,,,,,
624,,,108,-114.5519,29.0301,,,,,,,,,,,,,,,
677,,,53,-116.0775,29.4557,,,,,,,,,,,,,,,
727,,,50,-115.6793,29.5977,,,,,,,,,,,,,,,
785,,,58,-113.1168,29.2907,,,,,,,,,,,,,,,
855,,,70,-117.9269,29.0807,,,,,,,,,,,,,,,
953,,,98,-114.1762,29.6673,,,,,,,,,,,,,,,
1000,,,,,,14,4,1,13040.6748,0.0933,0.0012,0.0192,0.0204,1.6096,0.2382,0.0736,-0.0364,4.0445,11.3563,0.2434
1092,,,139,-110.6306,29.6531,,,,,,,,,,,,,,,
1181,,,89,-119.343,29.7405,,,,,,,,,,,,,,,
1284,,,103,-106.2316,32.8937,,,,,,,,,,,,,,,
1384,,,100,-112.5851,31.4515,,,,,,,,,,,,,,,
1493,,,109,-105.6082,30.0373,,,,,,,,,,,,,,,
1500,,,,,,20,7,2,7653.9956,0.1638,0.0012,0.029,0.0302,2.9271,1.0448,0.1338,-0.0578,6.8402,31.4759,0.7613
1586,,,93,-119.4236,32.764,,,,,,,,,,,,,,,
1790,,,204,-135.3924,30.1356,,,,,,,,,,,,,,,
1832,,,42,-117.3103,29.8109,,,,,,,,,,,,,,,
1933,,,101,-114.3371,31.1863,,,,,,,,,,,,,,,
2000,,,,,,23,9,2,4941.7192,0.1893,0.0006,0.0333,0.0339,0.8927,0.5454,0.1555,-0.0622,1.6169,15.9285,0.0699
2081,,,148,-120.8869,32.9332,,,,,,,,,,,,,,,
2164,,,83,-119.2426,32.2893,,,,,,,,,,,,,,,
2258,,,94,-123.1356,32.8186,,,,,,,,,,,,,,,
2435,,,177,-120.2199,31.8081,,,,,,,,,,,,,,,
2500,,,,,,25,9,2,4739.1934,0.2099,0.0019,0.036,0.0379,2.6263,0.951,0.172,-0.0701,1.9064,14.0669,0.0376
2534,,,99,-115.9704,31.6954,,,,,,,,,,,,,,,
2727,,,193,-133.6493,32.3477,,,,,,,,,,,,,,,
2815,,,88,-124.8837,32.8461,,,,,,,,,,,,,,,
2901,,,86,-121.8579,32.9407,,,,,,,,,,,,,,,
3000,,,,,,26,10,3,3767.5432,0.2378,0.0022,0.0405,0.0427,2.8519,2.4322,0.1951,-0.0793,1.6105,16.6802,0.1627
3500,,,,,,28,11,3,3528.043,0.2308,0.0018,0.044,0.0458,2.9822,1.2976,0.1849,-0.0868,1.1777,7.7409,0.2614
4000,,,,,,28,11,2,3859.1194,0.2268,0.0009,0.044,0.0449,2.5676,0.6486,0.1819,-0.0868,1.4131,9.7786,0.1978
4500,,,,,,31,11,3,3423.9304,0.2614,0.0015,0.0496,0.0512,4.3132,0.6897,0.2103,-0.0973,1.0685,10.0065,0.3928
4501,,,1600,-130.8972,30.8501,,,,,,,,,,,,,,,
5000,,,,,,31,10,3,3202.1008,0.2268,0.0015,0.043,0.0446,3.6475,0.5399,0.1823,-0.0865,0.4851,5.3133,0.1436
5000,-95.9289,1600.0,,,,,,,,,,,,,,,,,,
5500,,,,,,32,9,3,3218.7568,0.1929,0.0009,0.0337,0.0346,2.9612,0.4595,0.1583,-0.0653,0.4727,11.3897,0.2978
6000,,,,,,32,9,3,2966.8418,0.209,0.0025,0.0436,0.046,4.4354,0.329,0.1629,-0.0864,0.4669,7.8735,0.1926
6101,,,1600,-109.5431,27.2518,,,,,,,,,,,,,,,
6397,,,296,-130.0111,29.4649,,,,,,,,,,,,,,,
6500,,,,,,33,8,3,2858.3721,0.2119,0.0015,0.0446,0.0461,4.9722,0.7666,0.1658,-0.0882,0.5686,13.7164,0.331
6518,,,121,-117.8243,29.5013,,,,,,,,,,,,,,,
6629,,,111,-114.859,29.4997,,,,,,,,,,,,,,,
6801,,,172,-122.7642,28.9946,,,,,,,,,,,,,,,
7000,,,,,,33,7,2,2840.4954,0.1921,0.0002,0.0399,0.0401,4.4555,0.4687,0.152,-0.0785,0.456,6.6205,0.1793
7500,,,,,,35,8,3,2897.376,0.2261,0.0018,0.0496,0.0515,5.9499,0.5895,0.1746,-0.0992,0.3814,6.6782,0.2549
8000,,,,,,35,8,3,2587.5664,0.2293,0.0015,0.05,0.0515,6.4453,0.4475,0.1778,-0.1016,0.3839,5.9384,0.2807
8401,,,1600,-105.1837,27.6533,,,,,,,,,,,,,,,
8500,,,,,,36,8,2,2301.3325,0.2047,0.0015,0.0448,0.0463,5.449,0.4877,0.1585,-0.0887,0.5119,21.5921,0.1913
9000,,,,,,36,8,2,2291.208,0.2017,0.0015,0.0436,0.0451,6.3032,0.6983,0.1566,-0.0876,0.5722,19.6453,0.6271
