env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
6888,,,9,-1.013,32.8608,,,,,,,,,,
6998,,,110,205.5797,32.9948,,,,,,,,,,
7000,,,,,,2.0843,0.9722,0.7053,-60.3008,6.5612,0.6456,-0.6887,33.5304,73.9071,1.1552
7034,,,36,29.6629,33.3125,,,,,,,,,,
7048,,,14,3.6565,32.7914,,,,,,,,,,
7056,,,8,-3.6988,33.3876,,,,,,,,,,
7074,,,18,8.1596,33.1984,,,,,,,,,,
7088,,,14,-0.2058,33.2349,,,,,,,,,,
7206,,,118,258.2323,33.192,,,,,,,,,,
7242,,,36,31.7143,33.2872,,,,,,,,,,
7272,,,30,23.1028,33.2456,,,,,,,,,,
7295,,,23,17.6199,33.27,,,,,,,,,,
7318,,,23,13.9107,33.0267,,,,,,,,,,
7327,,,9,-3.7706,33.2433,,,,,,,,,,
7357,,,30,16.9968,33.2149,,,,,,,,,,
7365,,,8,-2.6919,33.2916,,,,,,,,,,
7376,,,11,-0.2673,33.2213,,,,,,,,,,
7393,,,17,1.4737,33.1359,,,,,,,,,,
7478,,,85,139.8682,33.1441,,,,,,,,,,
7485,,,7,-3.5616,32.7741,,,,,,,,,,
7498,,,13,3.7793,32.8713,,,,,,,,,,
7500,,,,,,2.1603,0.9725,0.7131,-67.2006,7.4574,0.7503,-0.6983,35.4422,96.6125,1.7404
7519,,,21,4.6142,32.8192,,,,,,,,,,
7565,,,46,35.4037,32.7743,,,,,,,,,,
7582,,,17,4.2233,32.6522,,,,,,,,,,
7632,,,50,34.5235,33.0968,,,,,,,,,,
7640,,,8,-3.0879,33.1455,,,,,,,,,,
7677,,,37,29.357,33.1427,,,,,,,,,,
7697,,,20,2.068,32.5863,,,,,,,,,,
7705,,,8,-3.948,31.9913,,,,,,,,,,
7717,,,12,-1.3451,33.2277,,,,,,,,,,
7730,,,13,1.7711,33.2423,,,,,,,,,,
7744,,,14,0.4366,33.2513,,,,,,,,,,
7791,,,47,33.551,33.1481,,,,,,,,,,
7803,,,12,1.2699,32.8045,,,,,,,,,,
7812,,,9,-3.1678,32.8148,,,,,,,,,,
7828,,,16,0.0161,33.3002,,,,,,,,,,
7850,,,22,14.8975,33.1454,,,,,,,,,,
7893,,,43,40.01,33.2506,,,,,,,,,,
7998,,,105,105.1257,33.1793,,,,,,,,,,
8000,,,,,,2.1434,1.002,0.6558,-76.8633,10.5579,0.7118,-0.6592,54.1852,80.7328,1.5757
8013,,,15,4.9751,33.2828,,,,,,,,,,
8034,,,21,10.2664,33.2277,,,,,,,,,,
8047,,,13,3.5528,33.2684,,,,,,,,,,
8061,,,14,3.6909,33.154,,,,,,,,,,
8084,,,23,15.3011,33.231,,,,,,,,,,
8093,,,9,-0.7233,33.3362,,,,,,,,,,
8104,,,11,-3.347,33.2685,,,,,,,,,,
8119,,,15,5.7969,33.2176,,,,,,,,,,
8131,,,12,-0.5727,33.2236,,,,,,,,,,
8142,,,11,-1.8869,33.2469,,,,,,,,,,
8150,,,8,-1.3775,33.2895,,,,,,,,,,
8185,,,35,17.8489,33.211,,,,,,,,,,
8243,,,58,35.214,33.2351,,,,,,,,,,
