env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5463,1000.0,,,,,,,,,,,,,
500,,,0.1586,0.7016,0.0413,-0.1988,1.1456,0.0161,-0.0775,0.2086,1.0532,0.2342,,,
1000,,,0.1849,0.6958,0.0329,-0.1012,1.7351,0.0263,-0.0608,0.3189,1.8643,0.4749,,,
1000,,,,,,,,,,,,,1000,-281.429,10.4477
1500,,,0.2068,0.7,0.0667,-0.9727,1.1243,0.0229,-0.134,0.4651,2.4248,0.2275,,,
2000,,,0.217,0.6921,0.0404,-1.6239,1.7087,0.0347,-0.1336,0.6247,2.6922,0.5089,,,
2000,,,,,,,,,,,,,1000,-381.7711,12.9552
2500,,,0.2349,0.6964,0.0638,-2.303,2.3122,0.0333,-0.1215,0.6685,4.4877,1.0999,,,
3000,,,0.2553,0.6913,0.0616,-2.8748,2.941,0.0412,-0.1216,0.8179,6.8926,0.7382,,,
3000,,,,,,,,,,,,,1000,-370.7566,13.585
3500,,,0.278,0.6959,0.088,-4.5646,3.3469,0.0408,-0.1749,1.1724,8.0598,0.5093,,,
4000,,,0.293,0.6955,0.0902,-6.3923,4.4488,0.047,-0.1788,1.1485,15.2015,1.9118,,,
4000,,,,,,,,,,,,,1000,-114.0174,12.697
4500,,,0.2998,0.7044,0.0927,-8.1647,6.6704,0.0484,-0.185,1.2065,14.569,1.0368,,,
5000,,,0.3097,0.7025,0.034,-9.6174,9.0545,0.0834,-0.0644,1.2538,24.2359,3.1595,,,
5000,701.4017,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,71.7046,12.1499
5500,,,0.3151,0.7027,1.2356,-9.2301,8.3522,0.9311,-2.6928,1.2381,14.3765,1.4433,,,
6000,,,0.3248,0.7039,0.0986,-12.1182,6.0019,0.0579,-0.1899,1.3049,25.01,0.7648,,,
6000,,,,,,,,,,,,,1000,-345.7055,12.7421
6500,,,0.3288,0.7038,0.1008,-13.5902,5.129,0.0593,-0.2027,1.4307,14.1552,0.9054,,,
7000,,,0.3302,0.7035,0.105,-14.3499,5.4871,0.0579,-0.2096,1.2718,12.6348,1.0205,,,
7000,,,,,,,,,,,,,1000,-251.7152,12.8417
7500,,,0.3448,0.703,0.1128,-17.6291,6.0713,0.061,-0.2261,1.623,41.245,2.0992,,,
8000,,,0.3521,0.701,0.1125,-20.1276,6.8055,0.0647,-0.2149,1.8686,33.9234,2.3991,,,
8000,,,,,,,,,,,,,1000,-51.5008,13.2418
8500,,,0.3659,0.7196,0.1184,-21.5078,7.6299,0.0687,-0.2267,2.1251,76.8163,0.999,,,
9000,,,0.3576,0.7059,0.1175,-23.1883,6.368,0.0655,-0.2278,1.8229,25.7838,1.6134,,,
9000,,,,,,,,,,,,,1000,20.4209,13.0208
9500,,,0.3787,0.7176,0.1224,-26.9968,7.0815,0.0738,-0.2422,2.5606,39.9818,1.7598,,,
10000,,,0.3788,0.7177,0.1228,-29.1576,8.1023,0.074,-0.242,2.6002,40.2717,1.6813,,,
10000,1128.0519,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-51.5249,12.0481
10500,,,0.3843,0.714,0.1252,-32.8257,7.2251,0.0747,-0.2513,3.6328,33.6743,1.6003,,,
11000,,,0.3875,0.7181,0.1185,-34.5492,8.5375,0.0811,-0.2364,3.283,51.3667,1.3435,,,
11000,,,,,,,,,,,,,1000,322.9828,12.698
11500,,,0.3952,0.7148,0.1267,-36.5305,8.5062,0.081,-0.2562,2.8827,46.6557,2.7038,,,
12000,,,0.3951,0.7082,0.1259,-36.29,7.1419,0.0813,-0.2456,2.6143,35.0315,0.9723,,,
12000,,,,,,,,,,,,,1000,-381.6789,12.8521
12500,,,0.4086,0.7199,0.1349,-39.3587,6.1529,0.0837,-0.2699,3.2477,83.2782,1.494,,,
13000,,,0.41,0.7307,0.1392,-43.1285,5.7626,0.0846,-0.2625,3.4564,53.6338,2.2293,,,
13000,,,,,,,,,,,,,1000,832.4712,12.9957
13500,,,0.4185,0.7278,0.1444,-45.1597,7.5084,0.0854,-0.2764,3.7351,87.1152,1.813,,,
14000,,,0.4309,0.742,0.148,-50.0186,8.8444,0.091,-0.2953,3.3771,86.0464,1.2429,,,
14000,,,,,,,,,,,,,1000,815.3081,12.9462
14500,,,0.4263,0.7318,0.1377,-56.0494,7.3187,0.0938,-0.28,3.368,101.275,2.056,,,
15000,,,0.4329,0.7351,0.1439,-58.6304,8.5465,0.0945,-0.2887,3.3663,59.4386,2.5164,,,
