env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
2603,,,17,81.4709,70.2003,,,,,,,,,,
2622,,,19,92.5885,71.1198,,,,,,,,,,
2652,,,30,146.1634,70.481,,,,,,,,,,
2668,,,16,76.4901,70.4835,,,,,,,,,,
2694,,,26,125.8357,70.4182,,,,,,,,,,
2717,,,23,116.6917,70.5008,,,,,,,,,,
2733,,,16,76.2767,70.0092,,,,,,,,,,
2749,,,16,76.2782,70.2198,,,,,,,,,,
2770,,,21,104.4603,70.3406,,,,,,,,,,
2788,,,18,86.8393,70.2213,,,,,,,,,,
2814,,,26,128.7146,69.7005,,,,,,,,,,
2835,,,21,105.4611,70.1067,,,,,,,,,,
2853,,,18,88.2355,70.1459,,,,,,,,,,
2875,,,22,108.8828,70.4142,,,,,,,,,,
2893,,,18,87.3826,70.4402,,,,,,,,,,
2910,,,17,81.6083,69.6714,,,,,,,,,,
2932,,,22,108.5826,70.4305,,,,,,,,,,
2950,,,18,86.8152,70.6582,,,,,,,,,,
2966,,,16,76.4123,70.2639,,,,,,,,,,
2993,,,27,137.943,71.1667,,,,,,,,,,
3000,,,,,,0.3879,0.5766,0.1258,-71.4984,6.1737,0.0819,-0.2501,3.5258,65.983,2.1408
3013,,,20,95.9772,70.6766,,,,,,,,,,
3033,,,20,99.5071,71.1784,,,,,,,,,,
3053,,,20,97.3444,71.4171,,,,,,,,,,
3072,,,19,93.2493,70.8875,,,,,,,,,,
3090,,,18,88.21,69.6481,,,,,,,,,,
3109,,,19,91.6091,70.8371,,,,,,,,,,
3133,,,24,120.1858,71.4292,,,,,,,,,,
3153,,,20,99.568,71.1828,,,,,,,,,,
3170,,,17,81.6614,71.6921,,,,,,,,,,
3187,,,17,82.0364,70.8252,,,,,,,,,,
3209,,,22,108.1815,71.3482,,,,,,,,,,
3233,,,24,119.9259,70.5025,,,,,,,,,,
3252,,,19,91.3882,71.5609,,,,,,,,,,
3278,,,26,130.6837,70.6981,,,,,,,,,,
3296,,,18,86.0231,70.6382,,,,,,,,,,
3316,,,20,96.8352,71.3545,,,,,,,,,,
3345,,,29,142.7293,70.9847,,,,,,,,,,
3365,,,20,99.2798,70.5237,,,,,,,,,,
3386,,,21,103.5581,70.233,,,,,,,,,,
3402,,,16,76.5624,70.8386,,,,,,,,,,
3420,,,18,86.9936,70.1614,,,,,,,,,,
3441,,,21,104.9983,69.8166,,,,,,,,,,
3457,,,16,76.5436,70.5146,,,,,,,,,,
3474,,,17,81.7811,71.0315,,,,,,,,,,
3491,,,17,81.4419,70.1404,,,,,,,,,,
3500,,,,,,0.3906,0.5731,0.1339,-86.507,10.4714,0.0782,-0.2451,4.8375,20.4406,3.1324
3508,,,17,81.0201,70.0069,,,,,,,,,,
3524,,,16,76.6382,70.3746,,,,,,,,,,
3549,,,25,127.6328,68.5365,,,,,,,,,,
3565,,,16,76.6809,69.3609,,,,,,,,,,
3585,,,20,102.1328,68.9773,,,,,,,,,,
3606,,,21,100.3088,70.3925,,,,,,,,,,
3624,,,18,88.6536,69.9575,,,,,,,,,,
3653,,,29,144.8352,71.1256,,,,,,,,,,
3672,,,19,92.816,70.5026,,,,,,,,,,
3700,,,28,142.5208,69.3635,,,,,,,,,,
3717,,,17,82.0646,69.9191,,,,,,,,,,
3734,,,17,81.4281,70.5401,,,,,,,,,,
3753,,,19,92.1463,69.2949,,,,,,,,,,
3772,,,19,92.4595,69.7541,,,,,,,,,,
3789,,,17,81.2713,65.4947,,,,,,,,,,
3805,,,16,76.2149,67.8422,,,,,,,,,,
3827,,,22,103.4435,69.4737,,,,,,,,,,
3859,,,32,167.7068,70.2817,,,,,,,,,,
3884,,,25,123.7782,69.9141,,,,,,,,,,
3900,,,16,76.4288,70.3644,,,,,,,,,,
3923,,,23,115.9568,70.2732,,,,,,,,,,
3943,,,20,98.9887,70.1791,,,,,,,,,,
3970,,,27,136.2145,69.2534,,,,,,,,,,
3988,,,18,87.6978,69.6309,,,,,,,,,,
4000,,,,,,0.3782,0.5755,0.1285,-100.622,15.7949,0.0723,-0.229,8.1435,41.022,3.8059
4028,,,40,185.2036,69.2605,,,,,,,,,,
4049,,,21,103.3567,69.403,,,,,,,,,,
4067,,,18,86.8558,69.1399,,,,,,,,,,
4106,,,39,200.2298,69.5377,,,,,,,,,,
4129,,,23,114.3962,69.1828,,,,,,,,,,
4151,,,22,110.667,70.3901,,,,,,,,,,
4167,,,16,76.5306,71.1417,,,,,,,,,,
4196,,,29,138.2399,70.3531,,,,,,,,,,
4213,,,17,81.1603,70.2244,,,,,,,,,,
4230,,,17,81.2885,70.4471,,,,,,,,,,
4251,,,21,102.3014,69.9482,,,,,,,,,,
4274,,,23,108.8889,69.9256,,,,,,,,,,
4290,,,16,76.7487,70.0931,,,,,,,,,,
4309,,,19,91.5453,70.148,,,,,,,,,,
4329,,,20,97.6467,70.2674,,,,,,,,,,
4346,,,17,80.7443,69.833,,,,,,,,,,
4369,,,23,109.7959,69.7549,,,,,,,,,,
4390,,,21,102.6725,69.8959,,,,,,,,,,
4409,,,19,93.9669,69.7847,,,,,,,,,,
