env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
20500,,,1.6052,0.7259,0.5158,-46.3287,4.2753,0.2127,-1.0237,2.3981,15.9699,1.3442,,,
21000,,,1.6341,0.727,0.5395,-49.3799,3.4461,0.1997,-1.0432,1.7446,15.3263,1.48,,,
21000,,,,,,,,,,,,,1000,177.0951,85.2282
21500,,,1.6124,0.7322,0.5325,-49.9406,3.7038,0.1854,-1.0584,2.0605,13.8733,1.3787,,,
22000,,,1.609,0.7293,0.5161,-50.4357,3.799,0.2019,-1.0756,2.115,9.6279,1.6488,,,
22000,,,,,,,,,,,,,1000,225.3795,86.7721
22500,,,1.6366,0.7282,0.5231,-51.7613,3.8256,0.219,-1.0231,2.6979,53.9949,2.0354,,,
23000,,,1.6035,0.7326,0.51,-51.5662,4.5709,0.2054,-1.0135,2.1001,10.1026,1.7298,,,
23000,,,,,,,,,,,,,1000,216.2085,85.3057
23500,,,1.6253,0.7396,0.5339,-54.4918,3.9355,0.2011,-1.0682,2.0323,11.3092,1.627,,,
24000,,,1.6064,0.7205,0.5168,-55.9458,4.2099,0.2072,-1.0113,2.4885,30.0058,1.4302,,,
24000,,,,,,,,,,,,,1000,386.2493,85.3469
24500,,,1.6305,0.7368,0.518,-56.9891,4.1571,0.2211,-1.0211,2.5302,18.9729,1.6417,,,
25000,,,1.6065,0.7383,0.5363,-56.3627,4.9228,0.1808,-1.054,2.2164,22.3435,1.6488,,,
25000,845.6774,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,245.1488,72.5814
25500,,,1.6337,0.7316,0.5268,-59.5013,4.5307,0.2201,-1.0662,2.1614,18.88,1.6141,,,
26000,,,1.6334,0.7366,0.507,-59.5894,4.59,0.2347,-1.0126,1.6688,10.5686,2.4734,,,
26000,,,,,,,,,,,,,1000,381.2172,86.7144
26500,,,1.6169,0.7411,0.5194,-62.6303,3.9927,0.2055,-1.0484,2.4711,17.9704,1.5043,,,
27000,,,1.6418,0.7488,0.5529,-62.612,4.9176,0.1915,-1.0528,2.7249,14.1603,1.1234,,,
27000,,,,,,,,,,,,,1000,542.7061,85.0891
27500,,,1.6483,0.7377,0.5343,-66.7918,4.5606,0.2158,-1.073,2.2652,14.9341,2.1727,,,
28000,,,1.6609,0.7443,0.5304,-64.3128,4.407,0.237,-1.0669,2.5142,17.2157,1.9709,,,
28000,,,,,,,,,,,,,1000,464.8049,85.7131
28500,,,1.6766,0.7499,0.5512,-67.503,6.6935,0.2399,-1.1025,2.1053,16.0708,1.8215,,,
29000,,,1.7085,0.7452,0.56,-70.0969,4.3239,0.2525,-1.135,3.1016,36.8878,1.9287,,,
29000,,,,,,,,,,,,,1000,1161.8881,86.117
29500,,,1.6818,0.7438,0.5316,-73.0213,5.4658,0.2518,-1.0514,2.1648,36.6954,1.6295,,,
30000,,,1.7027,0.7419,0.556,-73.9733,5.3779,0.2541,-1.1032,2.4253,14.9967,2.4553,,,
30000,2165.1294,1000.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,1000,853.195,72.2062
30500,,,1.6618,0.7441,0.5473,-74.7186,6.5908,0.2214,-1.0808,2.5341,41.7116,2.5737,,,
31000,,,1.7089,0.7493,0.5736,-80.019,4.9703,0.237,-1.1232,2.6787,42.5734,1.5496,,,
31000,,,,,,,,,,,,,1000,912.5387,84.9842
