env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
20500,,,0.3084,0.7331,0.0992,-51.1293,5.3346,0.0484,-0.1962,1.5438,44.0219,2.4475,,,
21000,,,0.3044,0.7327,0.0973,-52.9803,5.7616,0.0467,-0.197,1.4157,32.5013,1.507,,,
21000,,,,,,,,,,,,,1000,795.5326,80.4682
21500,,,0.3135,0.7389,0.103,-56.1473,5.631,0.048,-0.2019,1.5126,36.331,1.823,,,
22000,,,0.3152,0.7301,0.1011,-57.6949,4.4965,0.0498,-0.2042,1.4846,39.4237,1.3655,,,
22000,,,,,,,,,,,,,1000,973.8433,79.2486
22500,,,0.3117,0.7433,0.105,-58.995,5.316,0.0469,-0.2062,1.4011,37.6824,1.4187,,,
23000,,,0.32,0.7377,0.106,-63.0665,5.4158,0.05,-0.2102,1.537,38.9066,2.1183,,,
23000,,,,,,,,,,,,,1000,1286.2569,79.7398
23500,,,0.31,0.7501,0.0996,-63.4644,4.3893,0.0484,-0.2051,1.9248,29.0452,0.7914,,,
24000,,,0.3136,0.7526,0.0998,-66.9193,4.7004,0.0496,-0.204,1.3326,36.5906,1.1627,,,
24000,,,,,,,,,,,,,1000,1457.8617,80.1759
24500,,,0.3194,0.7509,0.1148,-70.152,5.0458,0.0461,-0.2219,1.6445,26.7723,1.4443,,,
25000,,,0.3267,0.7634,0.1054,-73.614,6.4633,0.0531,-0.2078,1.6414,38.9584,2.7455,,,
25000,2661.8947,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,1678.6334,64.395
25500,,,0.3231,0.7657,0.1083,-75.2808,5.5492,0.0506,-0.222,1.8537,87.1383,2.158,,,
26000,,,0.3227,0.7591,0.1038,-75.8989,4.9695,0.0525,-0.2055,1.7468,55.2877,1.2022,,,
26000,,,,,,,,,,,,,1000,137.2286,77.8544
26500,,,0.3253,0.7603,0.1087,-77.2674,4.6154,0.0515,-0.2175,2.1831,127.2846,2.9006,,,
27000,,,0.33,0.7759,0.128,-81.0583,6.3491,0.0453,-0.2441,2.0636,54.2384,1.4796,,,
27000,,,,,,,,,,,,,1000,1709.284,78.4318
27500,,,0.3387,0.7717,0.1133,-81.4081,5.6034,0.0553,-0.2141,2.1176,60.6136,1.5643,,,
28000,,,0.3415,0.7762,0.133,-86.6963,5.7654,0.0485,-0.252,2.0999,38.7626,1.5781,,,
28000,,,,,,,,,,,,,1000,654.663,78.163
28500,,,0.3309,0.7638,0.1096,-83.3188,5.7604,0.0536,-0.223,2.0468,68.6223,1.3828,,,
29000,,,0.3371,0.7681,0.1111,-87.4408,6.6014,0.0559,-0.2205,2.3214,91.7865,1.8028,,,
29000,,,,,,,,,,,,,1000,620.444,79.4941
29500,,,0.3415,0.7736,0.1116,-87.7783,5.7691,0.0577,-0.2261,2.7794,83.8685,2.4294,,,
30000,,,0.3447,0.7736,0.1175,-93.6515,6.6145,0.0562,-0.2273,2.8991,129.0731,3.0995,,,
30000,3433.6167,1000.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,1000,1665.0508,64.0743
30500,,,0.3413,0.7759,0.1151,-95.338,7.1431,0.0555,-0.2248,3.0094,126.3333,2.7274,,,
31000,,,0.3496,0.7831,0.1146,-98.4758,7.3262,0.06,-0.2288,2.6815,80.2562,3.3182,,,
31000,,,,,,,,,,,,,1000,1812.3945,80.4335
31500,,,0.3564,0.7905,0.1166,-104.5652,6.944,0.0624,-0.2279,3.1287,79.3275,3.5067,,,
32000,,,0.3612,0.7975,0.1222,-110.5683,6.9004,0.0616,-0.2392,3.542,87.0133,2.6848,,,
32000,,,,,,,,,,,,,1000,1929.3907,78.5616
32500,,,0.3561,0.7882,0.1234,-108.7948,6.2399,0.0586,-0.2394,2.9611,52.5446,1.3276,,,
33000,,,0.3582,0.805,0.1217,-116.3013,6.2986,0.0605,-0.2444,4.463,75.2023,1.7643,,,
33000,,,,,,,,,,,,,1000,2233.7648,78.181
33500,,,0.3653,0.7877,0.115,-119.5394,7.0055,0.0671,-0.2257,2.8471,75.4288,1.7265,,,
34000,,,0.3621,0.7941,0.1251,-116.1307,6.6625,0.0609,-0.256,3.4817,186.1072,2.504,,,
34000,,,,,,,,,,,,,1000,563.0511,78.0123
34500,,,0.3601,0.8007,0.1271,-119.7,6.97,0.0588,-0.2444,2.9781,85.8353,3.3547,,,
35000,,,0.357,0.7956,0.1252,-119.7019,5.8709,0.0582,-0.2495,3.25,168.9506,1.8198,,,
35000,3952.9516,1000.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,1000,2292.2275,64.5319
35500,,,0.3655,0.8049,0.1321,-126.2361,7.5928,0.0595,-0.262,3.0995,86.8662,3.8003,,,
36000,,,0.3721,0.8141,0.123,-130.1325,7.6624,0.0671,-0.2407,3.5469,86.8038,2.5895,,,
36000,,,,,,,,,,,,,1000,2318.7065,78.4961
36500,,,0.3726,0.8043,0.1342,-130.8517,6.0779,0.0617,-0.2754,3.4451,115.3015,1.7451,,,
37000,,,0.3672,0.7925,0.1307,-134.9939,8.1567,0.0607,-0.2582,3.5166,145.4933,3.6252,,,
37000,,,,,,,,,,,,,1000,2296.3161,77.6784
37500,,,0.3712,0.8049,0.142,-141.5434,6.2776,0.0572,-0.2735,2.8579,102.9186,1.7014,,,
38000,,,0.3695,0.8165,0.1307,-142.2621,7.0853,0.0619,-0.2605,3.2991,282.5773,1.9355,,,
38000,,,,,,,,,,,,,1000,2390.9513,78.4996
38500,,,0.3741,0.8213,0.1305,-145.9696,6.7385,0.0638,-0.2591,3.2267,107.9739,2.5292,,,
39000,,,0.3723,0.8144,0.1413,-152.0577,5.1354,0.0579,-0.2807,3.3615,129.1164,2.1569,,,
39000,,,,,,,,,,,,,1000,2479.6915,79.8898
39500,,,0.3711,0.8246,0.1266,-155.4792,7.5148,0.0642,-0.2509,3.617,178.9048,3.8624,,,
40000,,,0.3749,0.8199,0.1363,-153.3002,6.1462,0.0616,-0.261,2.5502,89.1046,2.0651,,,
40000,4258.9863,1000.0,,,,,,,,,,,,,
40000,,,,,,,,,,,,,1000,2680.0351,65.2751
40500,,,0.3829,0.8364,0.1331,-165.509,6.7252,0.0669,-0.2631,3.2723,116.4609,1.4944,,,
41000,,,0.3719,0.825,0.1299,-162.1984,6.8012,0.0629,-0.2516,2.8577,104.8951,2.5611,,,
41000,,,,,,,,,,,,,1000,2541.86,78.0658
41500,,,0.3686,0.8205,0.1262,-167.2223,6.3489,0.063,-0.2517,3.0338,112.417,1.8881,,,
42000,,,0.3681,0.8277,0.1245,-169.8827,6.4868,0.0636,-0.2548,2.4557,81.8734,2.5248,,,
42000,,,,,,,,,,,,,1000,2559.9404,77.1808
42500,,,0.3659,0.841,0.1309,-171.8981,6.9985,0.0593,-0.2609,2.6642,106.5065,2.1023,,,
43000,,,0.3742,0.8273,0.1344,-172.2866,6.2799,0.0617,-0.2669,3.1085,165.1841,2.3475,,,
43000,,,,,,,,,,,,,1000,2714.3337,78.0972
43500,,,0.3786,0.8282,0.1344,-175.0464,5.8517,0.0643,-0.2665,3.5508,138.5764,2.2241,,,
44000,,,0.3887,0.8446,0.1427,-179.8134,5.6633,0.065,-0.2718,2.9245,92.1807,2.0079,,,
44000,,,,,,,,,,,,,1000,2826.8621,79.6813
44500,,,0.3825,0.8412,0.1358,-187.2866,6.7289,0.0651,-0.2679,2.8997,149.4216,3.1995,,,
45000,,,0.3725,0.8403,0.1288,-184.7583,5.2002,0.064,-0.2645,2.5546,87.2695,2.9146,,,
45000,4111.4573,1000.0,,,,,,,,,,,,,
45000,,,,,,,,,,,,,1000,2754.9165,64.5991
45500,,,0.3761,0.8471,0.1349,-189.4287,5.0717,0.0626,-0.2749,2.4711,76.6761,2.1001,,,
46000,,,0.3708,0.8416,0.125,-190.7221,5.6672,0.0641,-0.2584,3.3786,230.4689,1.6305,,,
46000,,,,,,,,,,,,,1000,3057.4708,79.2351
46500,,,0.3716,0.8472,0.136,-189.6333,6.048,0.0598,-0.2805,2.9537,263.0947,2.8133,,,
47000,,,0.3674,0.8429,0.1295,-186.0963,6.4634,0.0611,-0.2681,2.9294,79.6128,3.0173,,,
47000,,,,,,,,,,,,,1000,3173.7784,79.4245
47500,,,0.3747,0.8523,0.1318,-199.9308,4.9648,0.063,-0.2628,2.8078,158.2541,1.6709,,,
48000,,,0.3771,0.841,0.1349,-202.2836,5.8488,0.0629,-0.267,4.0297,247.7788,3.2325,,,
48000,,,,,,,,,,,,,1000,3076.1447,78.3944
48500,,,0.3786,0.8566,0.1302,-200.9118,4.9316,0.0656,-0.2551,2.3897,87.6644,1.7079,,,
49000,,,0.3758,0.853,0.1323,-204.5162,6.022,0.064,-0.2576,2.6919,118.5277,2.6772,,,
49000,,,,,,,,,,,,,1000,3169.3238,78.6918
49500,,,0.3798,0.8493,0.142,-201.3799,6.2329,0.0611,-0.277,2.5315,145.4827,2.6906,,,
50000,,,0.3771,0.8573,0.1389,-209.8053,5.6123,0.0612,-0.2773,2.7876,132.5526,3.1519,,,
50000,4247.1999,1000.0,,,,,,,,,,,,,
50000,,,,,,,,,,,,,1000,2975.4306,63.6381
50500,,,0.3656,0.8597,0.1277,-210.0625,5.2672,0.0606,-0.2493,2.9922,143.7649,1.9553,,,
51000,,,0.3689,0.849,0.1284,-217.8561,6.807,0.0618,-0.2496,2.7619,185.04,2.4034,,,
51000,,,,,,,,,,,,,1000,3228.1001,78.5305
51500,,,0.3727,0.8518,0.1275,-216.5761,4.9787,0.0646,-0.2514,3.3838,111.1388,2.5319,,,
52000,,,0.3723,0.8592,0.1335,-225.8193,6.4963,0.0612,-0.2582,2.7725,146.0503,3.13,,,
52000,,,,,,,,,,,,,1000,3240.8829,77.155
52500,,,0.3786,0.8582,0.1308,-221.6069,5.5547,0.0653,-0.2566,2.8726,185.7509,1.898,,,
53000,,,0.3688,0.8653,0.1372,-222.6272,5.3937,0.0578,-0.2732,2.6521,230.8102,2.2746,,,
53000,,,,,,,,,,,,,1000,3351.7405,78.5539
53500,,,0.368,0.8644,0.1277,-231.8481,7.2957,0.0617,-0.2522,2.6619,185.9227,3.3852,,,
54000,,,0.3696,0.8622,0.1298,-231.7603,5.5629,0.0617,-0.259,2.4636,84.8251,3.0266,,,
54000,,,,,,,,,,,,,1000,3238.0123,79.1041
54500,,,0.3814,0.8732,0.1328,-232.2671,6.2499,0.0662,-0.2594,3.0181,91.3154,3.8021,,,
55000,,,0.3763,0.8712,0.1332,-240.0001,5.7296,0.0634,-0.2614,3.0065,280.6364,2.7001,,,
55000,4570.2105,1000.0,,,,,,,,,,,,,
55000,,,,,,,,,,,,,1000,3511.4218,65.7464
55500,,,0.3797,0.8672,0.1381,-238.3069,5.5251,0.0627,-0.27,3.3491,115.9198,3.3671,,,
56000,,,0.3779,0.8698,0.1338,-238.8382,6.5954,0.0639,-0.2636,2.9704,177.1267,3.0779,,,
56000,,,,,,,,,,,,,1000,3538.7932,78.1211
56500,,,0.3734,0.8673,0.1266,-243.231,5.4038,0.0652,-0.2497,2.456,87.2649,2.3216,,,
57000,,,0.3708,0.87,0.1268,-239.5463,5.9865,0.0637,-0.2575,2.6462,174.0539,2.094,,,
57000,,,,,,,,,,,,,1000,3829.1237,78.8397
57500,,,0.3732,0.865,0.133,-246.4228,5.4753,0.0617,-0.2745,2.7957,149.2246,2.9577,,,
58000,,,0.3728,0.8684,0.1339,-247.7006,6.3766,0.061,-0.2678,2.8647,173.4376,2.2586,,,
58000,,,,,,,,,,,,,1000,3620.8644,77.5286
58500,,,0.3721,0.874,0.128,-252.9188,6.5426,0.0637,-0.2582,3.2004,171.5564,3.0315,,,
59000,,,0.3724,0.8862,0.1313,-257.6823,5.3556,0.062,-0.2594,2.5737,100.712,3.0433,,,
59000,,,,,,,,,,,,,1000,3800.8716,79.5572
59500,,,0.3692,0.8721,0.1412,-259.5137,5.1267,0.056,-0.2735,4.1728,151.5929,1.9914,,,
60000,,,0.369,0.8779,0.1283,-260.8578,4.8567,0.062,-0.261,2.867,288.07,2.1543,,,
60000,4683.0937,1000.0,,,,,,,,,,,,,
60000,,,,,,,,,,,,,1000,3700.9039,64.6629
60500,,,0.3777,0.8812,0.1382,-257.2228,5.3602,0.0619,-0.268,2.4858,152.2864,2.6073,,,
61000,,,0.3754,0.8755,0.1308,-259.421,5.5916,0.0638,-0.2646,3.1605,132.5769,2.4228,,,
61000,,,,,,,,,,,,,1000,3707.6249,79.5129
61500,,,0.3671,0.8796,0.1215,-265.9881,5.1947,0.0645,-0.2409,2.688,182.8314,2.4965,,,
62000,,,0.374,0.882,0.1282,-271.8015,5.5575,0.0648,-0.2622,2.5872,213.8675,2.2189,,,
62000,,,,,,,,,,,,,1000,3909.729,79.2011
62500,,,0.3692,0.8852,0.1271,-265.3456,4.8099,0.0629,-0.2569,3.1041,136.1426,2.8173,,,
63000,,,0.3722,0.8829,0.1325,-268.9304,5.6436,0.0618,-0.2629,3.0039,172.0769,1.8214,,,
63000,,,,,,,,,,,,,1000,4058.0859,79.2281
63500,,,0.3751,0.8838,0.1309,-275.5932,6.1186,0.0636,-0.2556,2.9639,274.8486,2.4364,,,
64000,,,0.371,0.8903,0.1403,-274.2225,4.5638,0.0573,-0.2779,3.119,208.1019,2.5,,,
