env_steps,return,length,train/length,train/return,FPS,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
12573,,,97,-92.9585,103.1257,,,,,,,
12599,,,26,-11.0189,102.7346,,,,,,,
12651,,,52,-39.8631,102.8766,,,,,,,
12765,,,114,-108.7568,102.8334,,,,,,,
12797,,,32,-40.6684,102.7252,,,,,,,
12811,,,14,-12.4315,103.1137,,,,,,,
12922,,,111,-69.1041,103.0796,,,,,,,
13000,,,,,,21.4601,-154.3325,102.3607,21.4601,77.4496,1556.8179,9.1371
13065,,,143,-82.09,103.0306,,,,,,,
13161,,,96,-115.9079,102.8809,,,,,,,
13500,,,,,,21.2958,-165.3501,114.7106,21.2958,92.1347,2198.8562,11.4278
14000,,,,,,20.335,-173.9599,120.1202,20.335,87.6892,1575.6324,7.9505
14161,,,1000,-1017.1282,105.39,,,,,,,
14224,,,63,-49.6332,107.057,,,,,,,
14268,,,44,-56.5573,106.9142,,,,,,,
14302,,,34,2.8115,106.9715,,,,,,,
14350,,,48,-26.9721,106.7259,,,,,,,
14500,,,,,,17.5074,-199.4601,108.9158,17.5074,104.8063,1935.2151,13.7794
14509,,,159,-192.9105,106.7926,,,,,,,
14564,,,55,-72.4881,106.743,,,,,,,
14612,,,48,-40.2669,106.5243,,,,,,,
14672,,,60,-98.9053,106.8105,,,,,,,
14843,,,171,-94.6505,106.8476,,,,,,,
15000,,,,,,16.838,-215.7348,142.4677,16.838,140.1104,3714.5359,20.0563
15000,-204.3966,1000.0,,,,,,,,,,
15500,,,,,,15.6801,-218.3835,104.3372,15.6801,125.0882,1860.7567,16.514
15843,,,1000,-979.2661,79.5209,,,,,,,
15876,,,33,-30.6535,106.9166,,,,,,,
15982,,,106,-39.5907,106.5852,,,,,,,
16000,,,,,,14.9889,-227.6647,122.2138,14.9889,136.258,2819.1157,13.5285
16500,,,,,,15.2253,-241.3255,105.4744,15.2253,143.193,2639.5276,14.5086
16982,,,1000,-998.3779,104.1678,,,,,,,
17000,,,,,,14.3085,-239.8148,100.951,14.3085,159.9499,3300.0166,14.9682
17500,,,,,,14.4631,-252.0516,115.439,14.4631,157.8002,3081.4924,13.3178
17982,,,1000,-972.6927,103.2073,,,,,,,
17999,,,17,-14.458,103.8875,,,,,,,
18000,,,,,,13.9828,-262.0204,109.3055,13.9828,188.0439,5648.2905,12.5746
18151,,,152,-96.0291,103.2678,,,,,,,
18500,,,,,,13.22,-283.6772,105.3293,13.22,167.7559,4586.9961,15.4161
19000,,,,,,12.1896,-308.4416,98.8048,12.1896,219.5763,4515.7471,12.8704
19151,,,1000,-935.3425,102.8862,,,,,,,
19163,,,12,-13.8255,104.2313,,,,,,,
19220,,,57,-52.237,103.6003,,,,,,,
19500,,,,,,10.2545,-310.599,69.647,10.2545,243.4302,4378.6821,12.3794
20000,,,,,,9.72,-306.7402,73.3429,9.72,290.601,6790.2671,18.9978
20000,162.5608,1000.0,,,,,,,,,,
20220,,,1000,-1038.0138,78.8446,,,,,,,
20250,,,30,-66.3158,103.1563,,,,,,,
20500,,,,,,9.8238,-328.1794,93.3916,9.8238,272.4111,4277.8989,18.9887
21000,,,,,,8.9713,-333.7905,78.5709,8.9713,262.7591,5967.4336,20.6136
21250,,,1000,-1149.8293,102.9532,,,,,,,
21312,,,62,-80.0056,103.0703,,,,,,,
21326,,,14,-10.3448,102.0913,,,,,,,
21438,,,112,-121.2503,102.9901,,,,,,,
21500,,,,,,8.1659,-362.075,80.275,8.1659,339.5571,6223.7476,22.5505
22000,,,,,,8.7041,-389.7369,77.7686,8.7041,338.6576,10286.6543,25.951
22438,,,1000,-1136.2403,104.6924,,,,,,,
22500,,,,,,8.2042,-364.8514,75.8216,8.2042,431.0946,8296.8037,24.5817
22521,,,83,-142.7698,106.548,,,,,,,
22585,,,64,-72.7439,106.6902,,,,,,,
22654,,,69,-68.224,106.6974,,,,,,,
22729,,,75,-85.6151,106.564,,,,,,,
22952,,,223,-181.7754,103.6128,,,,,,,
22981,,,29,-15.5541,102.8605,,,,,,,
23000,,,,,,8.6202,-405.8668,78.4498,8.6202,423.168,7956.8975,25.8733
23030,,,49,-57.447,103.0552,,,,,,,
23205,,,175,-128.1742,102.6758,,,,,,,
23500,,,,,,8.426,-389.7464,80.8195,8.426,485.3069,7114.9917,31.5491
24000,,,,,,8.001,-461.1706,74.8479,8.001,496.6486,7936.8452,21.0898
