env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-101.0919,148.9,,,,,,,,,,,,,,,,,,
70,,,70,-111.8779,7.2515,,,,,,,,,,,,,,,
159,,,89,-115.3251,28.9984,,,,,,,,,,,,,,,
241,,,82,-114.7297,30.316,,,,,,,,,,,,,,,
282,,,41,-109.4574,30.6253,,,,,,,,,,,,,,,
329,,,47,-119.7623,31.6368,,,,,,,,,,,,,,,
384,,,55,-117.8267,30.856,,,,,,,,,,,,,,,
440,,,56,-111.5271,28.5768,,,,,,,,,,,,,,,
487,,,47,-121.285,26.4532,,,,,,,,,,,,,,,
500,,,,,,14,3,1,14212.0859,0.0723,0.0012,0.0144,0.0012,0.4025,0.4228,0.0711,-0.0264,13.1604,8.0288,0.0172
548,,,61,-117.0472,26.528,,,,,,,,,,,,,,,
700,,,152,-119.5979,28.8094,,,,,,,,,,,,,,,
833,,,133,-119.4785,29.7453,,,,,,,,,,,,,,,
951,,,118,-116.3989,29.563,,,,,,,,,,,,,,,
1000,,,,,,16,4,1,13568.1572,0.0791,0.0009,0.0137,0.0009,0.1222,0.1939,0.0782,-0.0234,0.8208,10.0004,0.0072
1013,,,62,-111.8927,28.0962,,,,,,,,,,,,,,,
1109,,,96,-118.0046,28.6441,,,,,,,,,,,,,,,
1169,,,60,-112.0936,29.4192,,,,,,,,,,,,,,,
1313,,,144,-113.7082,28.6179,,,,,,,,,,,,,,,
1358,,,45,-120.1801,26.4446,,,,,,,,,,,,,,,
1472,,,114,-115.5149,24.9386,,,,,,,,,,,,,,,
1500,,,,,,19,6,2,8814.9863,0.1485,0.0009,0.0266,0.0009,1.5685,0.3029,0.1476,-0.0534,5.5728,24.975,0.1371
1528,,,56,-115.1412,26.4765,,,,,,,,,,,,,,,
1607,,,79,-114.3299,30.5201,,,,,,,,,,,,,,,
1773,,,166,-106.3481,28.2856,,,,,,,,,,,,,,,
2000,,,,,,21,8,2,6484.3594,0.2217,0.0009,0.0426,0.0009,-2.1001,0.4846,0.2208,-0.0786,2.7163,18.882,0.059
2143,,,370,-132.5902,28.0769,,,,,,,,,,,,,,,
