env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
10179,,,1000,-1069.3216,29.1317,,,,,,,,,,
10216,,,37,-29.7854,32.7613,,,,,,,,,,
10239,,,23,-22.9728,32.9559,,,,,,,,,,
10266,,,27,-13.4528,32.9971,,,,,,,,,,
10367,,,101,-54.7656,32.5366,,,,,,,,,,
10423,,,56,-51.2947,32.9081,,,,,,,,,,
10500,,,,,,2.2928,0.9982,0.5909,-80.4901,13.0045,1.1994,-0.5827,47.606,179.1983,5.1279
11000,,,,,,2.288,1.014,0.6149,-82.12,10.7446,1.221,-0.5963,44.963,265.0687,7.4468
11423,,,1000,-964.6482,32.696,,,,,,,,,,
11500,,,,,,2.3147,1.002,0.6116,-87.4327,10.7528,1.3297,-0.5736,39.7804,294.2684,3.7602
11509,,,86,-72.6864,32.964,,,,,,,,,,
11541,,,32,-28.9235,32.8756,,,,,,,,,,
11575,,,34,-36.0521,32.7899,,,,,,,,,,
11585,,,10,-5.7483,32.9788,,,,,,,,,,
11605,,,20,-13.4784,32.9565,,,,,,,,,,
11680,,,75,-28.0481,32.9211,,,,,,,,,,
11719,,,39,-35.9864,33.0086,,,,,,,,,,
11815,,,96,-100.1047,32.8043,,,,,,,,,,
11870,,,55,-76.9777,32.9377,,,,,,,,,,
11977,,,107,-115.7595,32.9171,,,,,,,,,,
12000,,,,,,2.2946,1.0075,0.5905,-97.2352,13.6261,1.3082,-0.5662,76.5092,308.0247,5.2356
12001,,,24,-26.0781,32.8655,,,,,,,,,,
12145,,,144,-131.2726,32.8557,,,,,,,,,,
12182,,,37,-57.3101,32.915,,,,,,,,,,
12248,,,66,-100.4583,32.9312,,,,,,,,,,
12316,,,68,-84.355,32.8762,,,,,,,,,,
12333,,,17,-8.1581,32.9464,,,,,,,,,,
12500,,,,,,2.3455,1.0289,0.605,-103.2482,15.5434,1.3178,-0.5871,71.019,334.7101,8.5671
13000,,,,,,2.2653,1.0167,0.6017,-102.5658,18.2753,1.1987,-0.5819,84.0915,501.9363,9.651
13333,,,1000,-981.1934,32.7425,,,,,,,,,,
13425,,,92,-83.6182,32.7266,,,,,,,,,,
13439,,,14,7.96,33.0352,,,,,,,,,,
13489,,,50,-18.6975,32.9811,,,,,,,,,,
13500,,,,,,2.2802,0.9807,0.5788,-111.2041,11.09,1.246,-0.589,107.0428,894.3245,6.9809
13560,,,71,-115.6981,32.9367,,,,,,,,,,
13791,,,231,-303.1718,32.8262,,,,,,,,,,
13805,,,14,-29.427,32.8668,,,,,,,,,,
13842,,,37,-33.2743,32.8964,,,,,,,,,,
13886,,,44,-106.7904,32.8919,,,,,,,,,,
14000,,,,,,2.3069,1.026,0.6079,-116.8766,18.0357,1.3211,-0.5998,119.6788,660.0277,8.1904
14500,,,,,,2.2431,1.0436,0.5583,-117.4833,20.0243,1.1879,-0.5892,86.2149,348.624,8.9857
14886,,,1000,-967.0572,32.6661,,,,,,,,,,
14943,,,57,-65.5299,32.9282,,,,,,,,,,
14969,,,26,-4.4378,32.8067,,,,,,,,,,
15000,,,,,,2.2892,1.0499,0.5993,-126.4121,13.7982,1.2044,-0.5951,105.3687,397.3305,5.9915
15000,-12.4961,1000.0,,,,,,,,,,,,,
15008,,,39,-13.0095,7.7352,,,,,,,,,,
15183,,,175,-158.3126,32.8914,,,,,,,,,,
15271,,,88,-69.462,32.7261,,,,,,,,,,
15348,,,77,-109.0288,32.6031,,,,,,,,,,
15500,,,,,,2.3361,0.9916,0.6179,-131.8444,17.8729,1.2451,-0.6067,103.2243,478.647,7.718
15506,,,158,-180.695,32.4316,,,,,,,,,,
15576,,,70,-40.4081,32.4869,,,,,,,,,,
15656,,,80,-34.9774,32.4368,,,,,,,,,,
15815,,,159,-205.9535,32.4595,,,,,,,,,,
15941,,,126,-78.0291,32.5342,,,,,,,,,,
16000,,,,,,2.2902,0.977,0.5985,-142.1983,13.0464,1.2294,-0.5914,198.4785,920.3202,7.4318
16002,,,61,-87.9065,32.8784,,,,,,,,,,
16500,,,,,,2.3224,1.0344,0.6109,-142.5199,18.0059,1.1789,-0.577,129.5844,716.7059,10.6988
17000,,,,,,2.2667,0.9781,0.5774,-144.2963,14.7528,1.1998,-0.5618,125.1607,932.362,7.7659
17002,,,1000,-988.1746,32.7276,,,,,,,,,,
17073,,,71,-62.4894,32.6854,,,,,,,,,,
17122,,,49,-86.7996,32.513,,,,,,,,,,
17141,,,19,-30.7846,32.8205,,,,,,,,,,
17188,,,47,-55.9696,32.9333,,,,,,,,,,
17336,,,148,-131.5154,32.7504,,,,,,,,,,
17425,,,89,-96.9095,32.7008,,,,,,,,,,
17500,,,,,,2.3531,1.0152,0.6297,-154.2953,17.21,1.3115,-0.5872,225.7493,651.559,10.2952
18000,,,,,,2.3439,1.0143,0.6276,-158.0355,16.1634,1.2512,-0.5989,139.0718,728.3193,7.3728
18425,,,1000,-912.1124,32.7439,,,,,,,,,,
18439,,,14,3.6516,32.3794,,,,,,,,,,
