env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.572,1000.0,,,,,,,,,,
500,,,-0.2875,1.196,0.0228,-0.1376,0.184,0.8669,0.1638,,,
1000,,,-1.1358,0.8471,0.0215,-0.1375,0.3702,2.0306,0.3558,,,
1000,,,,,,,,,,1000,-243.7594,12.7123
1500,,,-2.1344,1.4181,0.0183,-0.1297,0.5549,3.9251,0.3357,,,
2000,,,-3.8538,2.3271,0.0201,-0.1367,0.6098,8.9288,0.611,,,
2000,,,,,,,,,,1000,-316.7811,17.1836
2500,,,-5.242,2.9444,0.0188,-0.1308,0.8068,7.5864,0.5335,,,
3000,,,-6.9241,2.6671,0.0224,-0.145,0.9725,14.0632,0.9915,,,
3000,,,,,,,,,,1000,-229.4815,18.0907
3500,,,-9.0094,4.1113,0.0224,-0.1435,1.035,13.9807,0.8425,,,
4000,,,-10.9322,4.831,0.0255,-0.146,1.0855,10.7629,0.9536,,,
4000,,,,,,,,,,1000,-90.5694,16.6554
4500,,,-12.5659,3.7232,0.0222,-0.1418,1.0323,12.0422,0.6943,,,
5000,,,-14.4435,5.1165,0.0198,-0.1325,1.211,11.1183,0.981,,,
5000,-95.3169,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,128.0519,15.7836
5500,,,-16.9627,4.2583,0.0196,-0.1341,1.1598,10.7039,1.1358,,,
6000,,,-17.6746,5.9004,0.0201,-0.1327,1.2197,29.5042,1.2727,,,
6000,,,,,,,,,,1000,-338.8174,17.7402
6500,,,-20.4337,5.1882,0.0169,-0.1221,1.2838,35.3886,1.3076,,,
7000,,,-23.0467,4.3104,0.0179,-0.1253,1.6382,35.1365,0.7549,,,
7000,,,,,,,,,,1000,154.9146,17.3005
7500,,,-24.5741,4.7662,0.0157,-0.1196,1.486,23.672,1.2446,,,
8000,,,-28.6309,5.3132,0.0166,-0.1214,1.6147,23.7185,1.4479,,,
8000,,,,,,,,,,1000,196.4168,16.7502
8500,,,-31.4501,4.5914,0.0157,-0.118,1.416,26.0003,1.439,,,
9000,,,-35.3303,5.7422,0.0168,-0.1237,1.7678,30.2697,1.7655,,,
9000,,,,,,,,,,1000,499.9846,16.7564
9500,,,-39.4822,5.9229,0.0155,-0.1168,1.873,30.7847,1.8701,,,
10000,,,-41.0527,5.7283,0.0138,-0.112,2.1727,43.0637,1.9506,,,
10000,1539.0179,1000.0,,,,,,,,,,
