env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-22.7988,1000.0,,,,,,,,,,,,,
500,,,1.399,0.7482,0.18,0.8298,3.3419,0.6062,-0.1792,0.291,1.1271,0.2849,,,
1000,,,1.2957,0.7283,0.2015,0.4126,3.7891,0.448,-0.2041,0.4726,1.2295,0.3306,,,
1000,,,,,,,,,,,,,1000,-238.3922,40.0772
1500,,,1.3033,0.7205,0.2502,-0.2206,4.1455,0.4149,-0.2361,0.6604,2.119,0.263,,,
2000,,,1.3536,0.684,0.3092,-0.7943,3.5052,0.4421,-0.2815,0.7408,2.0906,0.2304,,,
2000,,,,,,,,,,,,,1000,-251.896,56.8771
2500,,,1.3871,0.7499,0.3135,-1.3676,4.4178,0.4456,-0.2914,0.8218,1.3586,0.3636,,,
3000,,,1.4268,0.6927,0.3353,-1.6861,4.1009,0.4522,-0.319,0.999,2.0371,0.4244,,,
3000,,,,,,,,,,,,,1000,-260.058,55.846
3500,,,1.4755,0.7209,0.3397,-2.1473,3.7819,0.4949,-0.3366,1.1565,1.6738,0.3507,,,
4000,,,1.5226,0.7354,0.3922,-2.9219,5.3088,0.5158,-0.3888,1.2312,2.192,0.4801,,,
4000,,,,,,,,,,,,,1000,-274.1526,56.6305
4500,,,1.5272,0.7367,0.3863,-3.2214,5.6626,0.5013,-0.3919,1.4302,3.5218,0.5082,,,
5000,,,1.5605,0.7553,0.3699,-3.6154,6.9146,0.5256,-0.3642,1.6224,2.1592,0.5773,,,
5000,-215.7966,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-360.4055,49.5344
5500,,,1.5568,0.7741,0.3664,-4.1936,5.0695,0.5087,-0.3632,1.5911,2.5896,0.4032,,,
6000,,,1.6201,0.7086,0.4218,-4.3976,6.3571,0.6019,-0.4208,1.5517,2.1928,0.4669,,,
6000,,,,,,,,,,,,,1000,-362.0063,55.7533
6500,,,1.6438,0.7203,0.4266,-4.6559,5.6923,0.5741,-0.4125,1.6246,5.3968,0.4359,,,
7000,,,1.607,0.7157,0.4051,-4.5635,6.4823,0.5812,-0.4123,1.5047,3.5631,0.7497,,,
7000,,,,,,,,,,,,,1000,-370.5175,56.4145
7500,,,1.6563,0.7004,0.413,-5.2505,6.7983,0.5903,-0.3927,1.4475,3.9932,0.5856,,,
8000,,,1.5992,0.6766,0.4013,-6.1092,5.4073,0.5589,-0.3967,1.286,5.1636,0.6973,,,
8000,,,,,,,,,,,,,1000,-264.1664,55.8781
8500,,,1.5828,0.6947,0.4245,-5.5845,5.2938,0.5221,-0.425,1.2282,2.9844,0.5506,,,
9000,,,1.5974,0.7121,0.4085,-5.9163,5.8693,0.5238,-0.399,1.2415,4.2563,0.9451,,,
9000,,,,,,,,,,,,,1000,-223.5191,56.6703
9500,,,1.595,0.7255,0.4103,-6.0132,8.1701,0.5438,-0.4052,1.3096,5.9171,1.0975,,,
10000,,,1.6194,0.7594,0.4425,-6.1663,4.5433,0.4996,-0.4355,1.2421,4.5349,0.6254,,,
10000,-83.1258,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-265.5913,49.8734
10500,,,1.668,0.7363,0.4392,-6.8802,5.5139,0.5562,-0.4238,1.3122,4.3184,0.8129,,,
11000,,,1.6364,0.7118,0.4165,-7.3016,7.65,0.5714,-0.4117,1.2841,6.2419,1.0657,,,
11000,,,,,,,,,,,,,1000,-121.8069,57.6595
