env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
11000,,,,,,4.6913,1.0086,1.4333,-65.9994,5.665,6.1962,-1.4199,15.4929,167.5892,3.5722
11389,,,1000,-984.2421,28.2249,,,,,,,,,,
11430,,,41,-36.3953,31.3669,,,,,,,,,,
11500,,,,,,4.6102,0.993,1.4065,-70.0521,6.5781,5.962,-1.4164,14.4856,157.2728,4.6752
11513,,,83,-62.0808,31.1689,,,,,,,,,,
11594,,,81,-70.8306,31.3664,,,,,,,,,,
11636,,,42,-42.3245,30.185,,,,,,,,,,
11682,,,46,-48.9493,26.8932,,,,,,,,,,
11805,,,123,-62.5127,26.8459,,,,,,,,,,
11820,,,15,-24.808,26.7558,,,,,,,,,,
11917,,,97,-111.8062,26.8088,,,,,,,,,,
11941,,,24,-3.4334,26.8479,,,,,,,,,,
12000,,,,,,4.6071,0.9795,1.3696,-78.9037,6.0502,6.1658,-1.3959,22.4979,176.8968,6.0149
12169,,,228,-241.4443,26.6247,,,,,,,,,,
12204,,,35,-57.7666,26.831,,,,,,,,,,
12500,,,,,,4.6737,1.0376,1.4552,-78.5271,5.8268,6.0111,-1.4693,18.9998,218.9669,6.2297
13000,,,,,,4.559,0.9979,1.3922,-80.9336,9.3818,5.9153,-1.3743,24.8712,172.5574,6.2896
13204,,,1000,-874.4629,28.2993,,,,,,,,,,
13251,,,47,-52.6105,26.8412,,,,,,,,,,
13265,,,14,-9.0906,26.8203,,,,,,,,,,
13336,,,71,-92.3325,27.9388,,,,,,,,,,
13357,,,21,-9.4606,31.307,,,,,,,,,,
13418,,,61,-57.4031,28.9199,,,,,,,,,,
13500,,,,,,4.6395,0.9784,1.4043,-90.8008,8.4473,6.2002,-1.4003,29.009,200.4816,4.8158
14000,,,,,,4.5483,0.9706,1.3635,-87.6284,7.649,6.021,-1.3894,33.2006,199.4002,4.5247
14418,,,1000,-970.0299,26.6413,,,,,,,,,,
14458,,,40,-34.0505,31.2507,,,,,,,,,,
14492,,,34,-30.067,31.2161,,,,,,,,,,
14500,,,,,,4.5949,0.9843,1.394,-87.5027,6.9214,6.0715,-1.3828,30.6726,230.5698,7.8075
14521,,,29,-17.3678,31.1586,,,,,,,,,,
14576,,,55,-72.7393,31.0505,,,,,,,,,,
14601,,,25,-38.0396,31.1593,,,,,,,,,,
14687,,,86,-134.2516,27.5197,,,,,,,,,,
14770,,,83,-47.7341,26.9155,,,,,,,,,,
14814,,,44,-40.0312,27.0997,,,,,,,,,,
14854,,,40,-53.3994,31.4078,,,,,,,,,,
14886,,,32,-23.0036,31.3863,,,,,,,,,,
14962,,,76,-53.7921,31.4039,,,,,,,,,,
15000,,,,,,4.6353,0.9872,1.4277,-97.6691,10.6658,6.092,-1.3866,37.0085,358.0992,7.94
15000,380.6249,951.2,,,,,,,,,,,,,
15208,,,246,-205.1026,19.5283,,,,,,,,,,
15255,,,47,-80.7767,31.3432,,,,,,,,,,
15500,,,,,,4.6397,0.9733,1.4215,-103.5522,10.1378,6.1429,-1.3843,49.5603,257.0816,8.3885
16000,,,,,,4.5811,0.9849,1.43,-104.0465,10.1897,5.8858,-1.3825,52.8062,352.1454,7.2906
16255,,,1000,-971.3613,29.2247,,,,,,,,,,
16294,,,39,-40.3457,26.8835,,,,,,,,,,
16339,,,45,-67.281,26.2863,,,,,,,,,,
16500,,,,,,4.5803,1.0329,1.3919,-112.3654,12.3872,5.782,-1.4019,42.702,300.2113,8.9698
17000,,,,,,4.479,0.9664,1.3381,-109.4215,10.8129,5.8402,-1.3351,56.1231,350.0168,7.468
17339,,,1000,-964.4303,26.6754,,,,,,,,,,
17356,,,17,-8.7633,26.8557,,,,,,,,,,
17388,,,32,-15.085,26.8151,,,,,,,,,,
17449,,,61,-70.5499,26.6329,,,,,,,,,,
17474,,,25,13.5684,26.1704,,,,,,,,,,
17500,,,,,,4.6186,0.9743,1.4365,-112.7439,9.7605,6.0363,-1.3889,86.6294,506.4497,7.7499
17501,,,27,-32.3154,26.7675,,,,,,,,,,
17580,,,79,-66.337,29.0129,,,,,,,,,,
17595,,,15,-17.7811,30.9953,,,,,,,,,,
17644,,,49,-59.1197,28.6148,,,,,,,,,,
17749,,,105,-37.516,30.9682,,,,,,,,,,
17842,,,93,-29.0589,28.8234,,,,,,,,,,
