env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-79.3447,560.6,,,,,,,,,,,,,
61,,,61,-106.3684,6.6038,,,,,,,,,,
110,,,49,-116.6382,47.5047,,,,,,,,,,
171,,,61,-116.1666,48.0974,,,,,,,,,,
211,,,40,-117.2924,47.2507,,,,,,,,,,
281,,,70,-115.4625,48.3452,,,,,,,,,,
326,,,45,-121.9379,48.6942,,,,,,,,,,
413,,,87,-121.1506,48.8046,,,,,,,,,,
469,,,56,-113.7741,48.6511,,,,,,,,,,
500,,,,,,2.1781,0.9085,0.8627,70.0934,17.7002,68.5869,-1.7263,3.3543,8.3798,0.0002
629,,,160,-127.6662,47.8387,,,,,,,,,,
677,,,48,-117.988,47.7661,,,,,,,,,,
790,,,113,-115.3037,47.5187,,,,,,,,,,
919,,,129,-114.7367,46.3395,,,,,,,,,,
975,,,56,-109.1177,48.2517,,,,,,,,,,
1000,,,,,,1.8074,0.7179,0.7736,46.7762,43.1585,43.8098,-1.5619,11.4881,10.8464,0.0011
1071,,,96,-114.6962,47.4486,,,,,,,,,,
1152,,,81,-117.0344,47.4028,,,,,,,,,,
1271,,,119,-115.0745,48.262,,,,,,,,,,
1427,,,156,-123.6094,48.3485,,,,,,,,,,
1500,,,,,,2.1,0.5201,0.915,37.2018,12.844,31.79,-1.7242,14.0402,30.5691,0.002
1505,,,78,-116.0992,48.053,,,,,,,,,,
1559,,,54,-110.7241,48.2496,,,,,,,,,,
1683,,,124,-116.1036,48.8787,,,,,,,,,,
1800,,,117,-118.3281,48.5985,,,,,,,,,,
1863,,,63,-119.4071,48.2044,,,,,,,,,,
1933,,,70,-115.5524,47.7035,,,,,,,,,,
2000,,,,,,2.6516,0.9163,1.1369,74.5814,20.1063,70.1307,-2.1822,2.6475,23.6395,0.0426
2078,,,145,-123.0612,48.6337,,,,,,,,,,
2177,,,99,-123.6094,48.0439,,,,,,,,,,
2232,,,55,-114.2065,48.8557,,,,,,,,,,
2318,,,86,-120.0177,48.9254,,,,,,,,,,
2425,,,107,-115.3208,48.579,,,,,,,,,,
2488,,,63,-115.2131,48.4219,,,,,,,,,,
2500,,,,,,2.9508,1.5104,1.4103,117.6516,43.9774,111.5191,-2.8063,3.2979,76.9092,0.0809
2550,,,62,-115.1449,48.825,,,,,,,,,,
2651,,,101,-123.3074,49.0553,,,,,,,,,,
2699,,,48,-116.9829,48.7332,,,,,,,,,,
3000,,,,,,2.6233,1.131,1.3085,73.5534,34.1134,67.7783,-2.5287,1.2628,33.1008,0.062
3500,,,,,,2.1472,1.1128,0.7611,46.911,30.7247,41.2907,-1.4544,1.0096,28.0512,0.0238
4000,,,,,,2.7531,1.1108,4.7112,79.9697,108.0513,72.9396,-8.954,1.1971,39.2699,0.0153
4299,,,1600,-146.2365,48.3785,,,,,,,,,,
4500,,,,,,2.6629,1.301,1.0598,60.9333,35.8101,52.9193,-2.1789,1.5043,21.9282,0.0233
4831,,,532,-173.4481,47.8512,,,,,,,,,,
4887,,,56,-102.1625,48.7514,,,,,,,,,,
4969,,,82,-102.1579,48.9766,,,,,,,,,,
5000,,,,,,2.1569,1.2989,0.8422,65.2844,62.6747,56.7258,-1.6795,1.5631,37.8081,0.09
5000,-106.6945,102.5,,,,,,,,,,,,,
5022,,,53,-107.6058,31.2661,,,,,,,,,,
5096,,,74,-104.921,48.9339,,,,,,,,,,
5158,,,62,-105.465,47.8139,,,,,,,,,,
5232,,,74,-121.622,46.7801,,,,,,,,,,
5300,,,68,-107.9925,48.5774,,,,,,,,,,
5369,,,69,-105.8974,49.0133,,,,,,,,,,
5470,,,101,-130.3544,47.5926,,,,,,,,,,
5500,,,,,,2.239,0.5305,1.0333,31.2034,71.6681,22.678,-2.0618,2.8278,22.558,0.0512
5535,,,65,-104.1894,46.7095,,,,,,,,,,
5640,,,105,-133.1531,46.8644,,,,,,,,,,
5698,,,58,-107.2014,47.7467,,,,,,,,,,
5769,,,71,-105.0,46.712,,,,,,,,,,
5838,,,69,-103.1918,45.8316,,,,,,,,,,
5916,,,78,-105.5846,48.1703,,,,,,,,,,
5975,,,59,-106.6213,47.3943,,,,,,,,,,
6000,,,,,,3.6369,2.4931,1.1151,106.7115,146.825,95.2508,-2.2424,2.2596,16.8328,0.077
6086,,,111,-114.5128,47.6366,,,,,,,,,,
6155,,,69,-103.8261,47.0362,,,,,,,,,,
6207,,,52,-107.582,48.184,,,,,,,,,,
6257,,,50,-107.4648,48.1286,,,,,,,,,,
6315,,,58,-107.0387,48.7869,,,,,,,,,,
6370,,,55,-105.6623,47.5676,,,,,,,,,,
6428,,,58,-103.7146,47.8273,,,,,,,,,,
6476,,,48,-107.3296,48.6843,,,,,,,,,,
6500,,,,,,3.5959,1.3302,1.5683,79.2323,114.8932,66.3114,-3.091,3.6986,18.9658,0.0462
6555,,,79,-103.5592,48.5283,,,,,,,,,,
6646,,,91,-105.6161,48.2179,,,,,,,,,,
6704,,,58,-103.1375,48.6521,,,,,,,,,,
6765,,,61,-106.227,47.7802,,,,,,,,,,
6853,,,88,-105.8309,48.8499,,,,,,,,,,
6901,,,48,-106.96,48.8515,,,,,,,,,,
7000,,,,,,2.6463,0.5411,1.2399,47.5547,48.9444,33.8729,-2.4311,5.0819,191.3883,0.1072
7018,,,117,-106.2874,48.6683,,,,,,,,,,
7500,,,,,,3.1514,1.9086,1.2149,82.0225,123.4635,67.0237,-2.4161,4.9179,30.8415,0.053
8000,,,,,,2.7491,1.3161,1.0592,69.3611,72.2707,53.7348,-2.1803,4.8685,199.7935,0.0508
8500,,,,,,3.1423,0.9275,1.5767,77.2159,79.3276,62.3,-3.1235,5.2596,189.3989,0.0725
8618,,,1600,-136.2797,47.9622,,,,,,,,,,
9000,,,,,,2.9156,1.1165,1.3549,54.9956,55.8525,38.2764,-2.6557,3.6665,25.9543,0.0827
9500,,,,,,2.5774,1.3032,0.9972,55.2926,59.1842,40.4315,-2.0498,4.1419,123.2965,0.0218
10000,,,,,,2.2572,0.5302,1.0992,43.1206,48.4186,26.5188,-1.8969,4.4177,33.6057,0.036
10000,-181.8173,1600.0,,,,,,,,,,,,,
10218,,,1600,-145.2147,41.7683,,,,,,,,,,
10500,,,,,,1.8332,0.5273,0.8709,27.668,36.7009,13.1625,-1.5563,4.5772,164.7621,0.0081
11000,,,,,,2.6751,1.2979,1.142,61.2752,103.3272,44.7162,-2.267,4.2914,111.1913,0.0094
11500,,,,,,2.4926,1.1039,1.1479,50.1538,84.3406,34.6642,-2.399,8.9093,331.6131,0.0169
11818,,,1600,-139.6665,48.2547,,,,,,,,,,
12000,,,,,,1.7724,0.5269,0.7279,26.5461,26.3562,8.9417,-1.4278,3.78,147.0892,0.0
12500,,,,,,2.0768,0.5201,0.9934,43.7851,93.3053,27.2705,-2.0669,5.2078,249.6286,0.0386
13000,,,,,,2.5302,0.9049,1.2001,39.3911,56.5798,23.4664,-2.3332,3.4046,127.6207,0.0179
13418,,,1600,-137.3728,47.7243,,,,,,,,,,
13500,,,,,,1.4681,0.512,0.4739,18.8721,11.8407,2.6093,-1.0856,4.8201,159.9138,0.0164
14000,,,,,,1.8207,1.0905,0.6102,40.0965,122.5031,23.6492,-1.2675,3.842,110.6476,0.0002
14500,,,,,,2.0592,0.8975,0.681,31.3281,49.5844,15.0431,-1.3135,3.2707,102.8629,0.0087
15000,,,,,,2.1499,0.896,0.9166,34.3644,32.6551,20.0197,-1.8041,5.6231,240.5355,0.011
15000,-181.8506,1600.0,,,,,,,,,,,,,
15018,,,1600,-137.165,42.2123,,,,,,,,,,
15500,,,,,,1.4738,0.1269,0.7158,22.9295,29.9572,7.0667,-1.3982,2.6052,12.974,0.0246
16000,,,,,,2.7458,1.0942,1.0599,42.7346,61.6112,26.6083,-2.0651,4.5615,116.3877,0.002
16500,,,,,,1.6878,0.4943,0.5579,22.7638,49.4035,7.3788,-1.1021,3.4198,117.1068,0.0259
16618,,,1600,-138.3562,47.7008,,,,,,,,,,
17000,,,,,,2.0225,0.6952,0.8457,36.7259,39.5355,21.9809,-1.6523,5.6954,175.4192,0.013
17500,,,,,,1.3519,0.2966,0.5173,17.5664,16.786,3.9874,-1.0264,5.8719,187.4566,0.0362
18000,,,,,,1.5618,0.6945,0.4988,25.8316,44.3202,11.8796,-0.9688,3.8241,30.738,0.1161
18218,,,1600,-140.0501,47.5096,,,,,,,,,,
18500,,,,,,1.6961,0.3063,0.7785,27.5852,44.7725,12.4487,-1.5413,4.3864,132.7471,1.435
19000,,,,,,1.6826,0.4919,0.6701,32.1065,47.9701,17.419,-1.3335,2.3461,46.0681,2.1476
19500,,,,,,1.8143,0.881,0.5284,23.2719,48.8856,8.2272,-0.966,3.2015,29.6139,0.8804
19818,,,1600,-130.2725,47.8145,,,,,,,,,,
20000,,,,,,2.4645,1.2796,1.0536,43.5836,48.6263,28.0186,-2.1072,3.3311,120.1202,0.145
20000,-151.3977,1600.0,,,,,,,,,,,,,
20500,,,,,,1.9047,0.6881,0.7897,23.0306,25.0058,7.6781,-1.414,2.6603,18.3042,0.1149
21000,,,,,,1.4315,0.4907,0.5941,30.6242,57.1423,16.5686,-1.1094,3.4009,93.3114,0.1839
21418,,,1600,-128.1717,41.6242,,,,,,,,,,
21500,,,,,,2.2981,1.268,0.7206,37.2788,69.8013,22.3925,-1.3801,3.1009,15.1613,1.2233
22000,,,,,,1.3996,0.2983,0.6322,30.6086,55.4145,15.9936,-1.2609,4.2885,95.9616,0.8231
22500,,,,,,1.6928,0.4911,0.6276,28.1233,51.2181,12.5029,-1.2382,3.3459,13.9906,0.8693
23000,,,,,,1.6534,0.6831,0.7388,47.3564,136.6482,33.6117,-1.4609,2.3267,53.6743,0.136
23018,,,1600,-122.751,47.1962,,,,,,,,,,
23500,,,,,,1.8267,0.2879,0.8385,27.6848,90.5279,13.8948,-1.6933,2.5247,36.3034,0.7839
24000,,,,,,1.3275,0.4859,0.4269,19.0481,33.4533,4.5191,-0.795,2.5155,17.3889,0.3387
24500,,,,,,1.3329,0.0969,0.5898,23.6794,50.8232,9.4656,-1.1994,3.7265,24.7859,0.2195
24618,,,1600,-125.5461,48.023,,,,,,,,,,
24658,,,40,-109.9495,48.202,,,,,,,,,,
24795,,,137,-124.7754,47.8286,,,,,,,,,,
25000,,,,,,1.3451,0.105,0.5544,22.5932,67.0545,6.3262,-1.0948,2.9398,60.1658,0.1895
25000,-153.1509,1450.5,,,,,,,,,,,,,
25500,,,,,,1.8808,0.2907,1.0391,37.2707,100.8735,22.3138,-1.9542,3.8783,65.1057,0.3135
26000,,,,,,1.991,1.2689,0.5978,39.7775,133.4007,25.3915,-1.1284,4.3417,36.8435,0.1864
26395,,,1600,-127.3902,42.1714,,,,,,,,,,
26500,,,,,,1.9099,0.8785,0.7032,43.4854,69.4949,28.9786,-1.3767,2.549,22.3072,0.2017
27000,,,,,,1.6908,0.4763,0.6716,29.9695,43.2974,15.3963,-1.3356,4.0566,35.8168,0.1549
27500,,,,,,2.0963,0.8687,1.0491,41.2649,58.5956,26.9332,-1.998,2.1398,29.249,0.0981
27995,,,1600,-136.5597,48.4605,,,,,,,,,,
28000,,,,,,1.1307,0.2918,0.4487,33.8906,91.1906,19.4877,-0.8598,1.2166,5.7752,0.3626
28500,,,,,,1.3706,0.4834,0.4438,24.7929,12.6762,12.0295,-0.8688,2.6184,30.6602,0.844
29000,,,,,,1.2253,0.4783,0.3233,18.6733,28.1467,5.4424,-0.6214,2.8448,35.2555,0.1202
29500,,,,,,1.2493,0.2875,0.3921,18.9073,35.1036,4.9702,-0.7632,3.6669,72.6412,0.2077
29595,,,1600,-133.3576,47.9036,,,,,,,,,,
30000,,,,,,1.5309,0.4894,0.5249,19.3418,22.5126,3.8021,-1.0093,2.0774,31.4442,0.1238
30000,-160.4341,1163.9,,,,,,,,,,,,,
30002,,,407,-131.5568,33.9023,,,,,,,,,,
30112,,,110,-107.4105,45.2392,,,,,,,,,,
30500,,,,,,0.9462,0.0942,0.3242,14.9687,18.699,1.186,-0.6513,1.625,15.4241,0.8133
30606,,,494,-145.5582,47.3695,,,,,,,,,,
31000,,,,,,1.3267,0.4848,0.5269,32.2479,102.9926,17.2515,-1.0227,1.681,11.1835,0.2042
31500,,,,,,1.3918,0.2865,0.4894,21.5753,33.5519,7.873,-0.9694,1.9858,28.6057,0.2102
32000,,,,,,1.4416,0.4827,0.4011,19.4151,23.1506,5.2668,-0.7779,3.0704,53.0089,0.1743
32206,,,1600,-148.5929,48.0756,,,,,,,,,,
32500,,,,,,1.8102,0.2938,0.9014,32.0789,55.0638,17.3213,-1.7936,2.2138,19.686,0.1752
33000,,,,,,1.2454,0.4769,0.3666,18.1631,51.048,4.6758,-0.7064,2.2041,21.1163,0.103
33500,,,,,,1.7987,1.0671,0.5389,33.0842,146.0061,18.1211,-0.9554,2.7552,25.5725,0.1863
33806,,,1600,-139.6142,47.8819,,,,,,,,,,
34000,,,,,,1.3258,0.4801,0.4511,23.6482,29.8485,9.0087,-0.9447,2.5792,7.6652,0.1692
34500,,,,,,1.7262,0.4872,0.6483,25.9305,39.6341,10.5597,-1.2733,2.4396,6.4054,0.1139
35000,,,,,,1.384,0.0952,0.6288,20.9717,75.0012,5.36,-1.224,2.3037,16.0369,0.145
35000,-140.1256,858.8,,,,,,,,,,,,,
35406,,,1600,-139.2375,44.5489,,,,,,,,,,
35500,,,,,,1.8231,0.6761,0.6923,31.9905,51.4305,17.1183,-1.3595,2.5719,15.673,0.0793
36000,,,,,,1.6409,0.6786,0.5446,27.9604,85.2536,13.8892,-1.0651,2.3002,36.825,0.1705
36500,,,,,,1.4918,0.4774,0.652,35.4702,83.4073,20.7488,-1.3298,1.6266,23.7632,0.1663
37000,,,,,,1.2345,0.2843,0.4102,17.7039,36.7573,3.7792,-0.8131,2.3554,12.5683,0.1379
37006,,,1600,-132.2752,47.9168,,,,,,,,,,
37500,,,,,,1.3937,0.0867,0.6367,24.4564,51.1931,11.0744,-1.253,3.8791,42.9391,0.3388
38000,,,,,,0.8595,0.0877,0.2606,13.6616,5.6854,0.6424,-0.4971,1.4976,11.4189,0.2322
38194,,,1188,-188.8701,47.5715,,,,,,,,,,
38500,,,,,,1.3745,0.28,0.5387,18.9482,34.5655,5.9521,-1.046,1.2311,13.2106,0.2225
39000,,,,,,1.1027,0.0949,0.4776,17.4395,22.0934,3.3585,-0.9529,1.9612,22.1603,0.4425
39500,,,,,,0.8436,0.0814,0.2655,13.1228,12.7341,1.1376,-0.5028,1.7499,17.1272,0.2533
39794,,,1600,-101.2044,48.1162,,,,,,,,,,
40000,,,,,,1.2914,0.0934,0.5276,18.6209,32.2616,3.9429,-1.0069,3.2406,24.7247,0.7456
40000,-43.9566,1600.0,,,,,,,,,,,,,
40500,,,,,,0.933,0.0844,0.2819,13.462,15.4619,1.4064,-0.5388,2.4536,32.4443,0.6832
40839,,,1045,-181.6156,39.5444,,,,,,,,,,
41000,,,,,,1.0292,0.0819,0.3735,15.3776,41.7362,3.0575,-0.7494,1.8085,9.9491,0.5437
41500,,,,,,1.9602,1.0628,0.4085,41.7265,74.5995,29.6147,-0.7459,2.1009,23.1087,0.4691
42000,,,,,,1.7445,0.8689,0.4579,21.7196,42.0127,9.6127,-0.8036,1.2627,7.5432,1.2315
42439,,,1600,-83.5654,48.2617,,,,,,,,,,
42500,,,,,,1.3248,0.4738,0.5276,30.2228,59.7958,19.4166,-1.0253,1.3932,4.1532,0.3868
43000,,,,,,1.5097,0.6734,0.5349,36.2132,121.4631,23.513,-1.0409,1.4691,10.2098,0.4651
43500,,,,,,1.1996,0.293,0.3826,13.6474,14.0808,2.6214,-0.7461,1.3973,11.1646,0.3028
44000,,,,,,1.4374,0.6825,0.3087,13.1155,19.7898,2.1273,-0.5729,1.0875,15.1971,0.6728
44039,,,1600,-74.1903,48.5672,,,,,,,,,,
44500,,,,,,1.4127,0.4832,0.3921,17.9963,58.8363,7.511,-0.756,0.7967,4.1615,0.3412
45000,,,,,,1.7655,0.4856,0.7624,28.3734,89.505,17.6047,-1.4929,2.1527,12.0061,0.7429
45000,-127.4189,147.6,,,,,,,,,,,,,
45500,,,,,,1.0761,0.282,0.3188,12.4866,30.8829,2.2732,-0.6036,1.7656,30.0346,0.597
45639,,,1600,-64.8362,47.4063,,,,,,,,,,
46000,,,,,,1.0205,0.0863,0.3989,11.2835,18.3775,2.2953,-0.7625,1.3723,25.8538,0.6221
46500,,,,,,1.0626,0.2802,0.3022,11.048,4.6827,1.5777,-0.589,0.8178,13.8042,0.4488
47000,,,,,,1.3131,0.2895,0.4938,12.78,23.7731,2.5714,-0.9006,1.3676,16.6001,0.8074
47239,,,1600,-56.387,48.1354,,,,,,,,,,
47500,,,,,,1.1646,0.2834,0.3936,13.5665,37.7297,4.5633,-0.7699,1.1652,10.6323,0.9574
48000,,,,,,1.3178,0.2907,0.5154,13.4962,21.968,4.0166,-1.0125,0.7415,10.7566,0.6116
48500,,,,,,1.0,0.2848,0.2181,8.7488,4.5294,0.9317,-0.4081,1.1303,9.5925,0.3329
48839,,,1600,-62.0162,47.2636,,,,,,,,,,
48993,,,154,-140.7848,48.2438,,,,,,,,,,
49000,,,,,,1.42,0.8695,0.2806,30.2762,24.2305,21.7026,-0.5306,1.5758,20.5581,0.4893
49500,,,,,,1.2471,0.2908,0.51,35.8481,48.3126,27.7208,-1.0064,0.8942,8.0857,0.4861
50000,,,,,,1.3038,0.6802,0.2105,9.3808,19.8028,1.8089,-0.3149,0.8166,19.5594,0.2731
50000,-114.9883,277.1,,,,,,,,,,,,,
50001,,,1008,-129.4834,45.2942,,,,,,,,,,
50451,,,450,-115.6239,47.6917,,,,,,,,,,
50500,,,,,,1.5553,0.4823,0.3815,22.2485,26.2923,14.5096,-0.7475,1.2896,8.8496,0.4416
50601,,,150,-115.4454,47.4809,,,,,,,,,,
50664,,,63,-112.5677,48.6498,,,,,,,,,,
50739,,,75,-101.2836,48.1959,,,,,,,,,,
50964,,,225,-131.3768,47.3939,,,,,,,,,,
51000,,,,,,1.5381,0.6921,0.376,24.6338,45.2865,16.751,-0.7368,1.087,23.525,0.891
51088,,,124,-110.2431,48.5806,,,,,,,,,,
51228,,,140,-139.963,48.4383,,,,,,,,,,
51328,,,100,-133.5754,48.3799,,,,,,,,,,
51376,,,48,-114.883,48.8629,,,,,,,,,,
51446,,,70,-108.7293,48.6653,,,,,,,,,,
