env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
7150,,,39,29.3792,80.3366,,,,,,,,,,
7170,,,20,-6.2179,80.4678,,,,,,,,,,
7199,,,29,2.6425,80.2887,,,,,,,,,,
7268,,,69,117.5818,80.1391,,,,,,,,,,
7315,,,47,28.0723,78.8242,,,,,,,,,,
7348,,,33,13.395,78.9621,,,,,,,,,,
7385,,,37,11.0551,78.8082,,,,,,,,,,
7446,,,61,43.3434,78.0557,,,,,,,,,,
7462,,,16,-1.3198,77.5701,,,,,,,,,,
7500,,,,,,0.3026,0.7611,0.0975,-94.7041,8.3955,0.0479,-0.1883,40.2611,295.4764,2.6914
7535,,,73,32.9342,77.3111,,,,,,,,,,
7565,,,30,0.9135,77.4442,,,,,,,,,,
7586,,,21,2.7116,77.4062,,,,,,,,,,
7599,,,13,-6.4983,77.5788,,,,,,,,,,
7618,,,19,-2.0049,77.3922,,,,,,,,,,
7726,,,108,165.5673,77.1541,,,,,,,,,,
7748,,,22,-4.0549,77.2379,,,,,,,,,,
7783,,,35,13.1779,77.3458,,,,,,,,,,
7794,,,11,-5.376,76.8433,,,,,,,,,,
7836,,,42,20.8115,77.388,,,,,,,,,,
7848,,,12,-4.1638,77.4273,,,,,,,,,,
7889,,,41,18.0413,77.0764,,,,,,,,,,
7913,,,24,2.9871,77.2596,,,,,,,,,,
7930,,,17,1.7993,77.5872,,,,,,,,,,
7952,,,22,-4.3764,77.4347,,,,,,,,,,
8000,,,,,,0.3234,0.7619,0.1136,-102.9537,6.6526,0.0502,-0.2202,37.2925,294.0032,1.6371
8046,,,94,71.8705,77.9125,,,,,,,,,,
8068,,,22,0.9833,78.1445,,,,,,,,,,
8183,,,115,147.9812,78.7606,,,,,,,,,,
8250,,,67,13.894,79.4173,,,,,,,,,,
8262,,,12,-6.9375,80.5527,,,,,,,,,,
8272,,,10,-4.3856,80.2736,,,,,,,,,,
8295,,,23,5.8948,78.1134,,,,,,,,,,
8325,,,30,12.4133,79.9642,,,,,,,,,,
8412,,,87,120.6581,80.0218,,,,,,,,,,
