env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
23000,,,0.7692,0.7058,0.0615,-15.7643,5.1724,0.5302,1.6071,4.8613,0.5704,,,
23000,,,,,,,,,,,,1000,-157.2754,88.2118
23500,,,0.7912,0.7101,0.0645,-16.895,6.2865,0.5583,1.73,4.972,0.764,,,
24000,,,0.7726,0.7114,0.0633,-16.7202,5.563,0.5352,1.6618,6.6345,0.7536,,,
24000,,,,,,,,,,,,1000,-60.1023,88.1031
24500,,,0.7758,0.7051,0.0628,-17.2434,5.2605,0.5411,1.5699,9.556,0.5249,,,
25000,,,0.7694,0.704,0.0632,-16.9343,5.8057,0.532,1.8796,5.1414,0.6904,,,
25000,663.4866,1000.0,,,,,,,,,,,,
25000,,,,,,,,,,,,1000,252.4371,68.9885
25500,,,0.7921,0.711,0.0643,-18.682,5.9867,0.5616,1.7152,5.9716,0.7114,,,
26000,,,0.791,0.7048,0.065,-18.9414,7.4596,0.5618,1.6353,6.4709,0.8138,,,
26000,,,,,,,,,,,,1000,-72.0214,87.0167
26500,,,0.7977,0.7159,0.066,-20.4538,7.8011,0.5715,1.8907,3.7406,0.9055,,,
27000,,,0.7676,0.7149,0.0627,-20.2384,5.3556,0.5274,1.9291,11.7188,0.8021,,,
27000,,,,,,,,,,,,1000,346.7482,87.1098
27500,,,0.773,0.713,0.0645,-22.1856,7.3422,0.5319,2.5338,11.0685,1.311,,,
28000,,,0.8094,0.7216,0.0673,-21.9577,7.6108,0.5875,1.8513,8.4909,0.769,,,
28000,,,,,,,,,,,,1000,585.1173,85.8343
28500,,,0.7991,0.7152,0.0652,-23.927,6.2313,0.573,1.8906,7.0835,0.7541,,,
29000,,,0.7907,0.7144,0.0655,-22.8664,6.0406,0.563,1.8581,9.3593,0.6997,,,
29000,,,,,,,,,,,,1000,84.9941,84.6268
29500,,,0.8027,0.72,0.0669,-25.7262,9.8606,0.5776,1.7691,3.5647,0.6966,,,
30000,,,0.8177,0.7161,0.0687,-26.0923,7.807,0.5976,2.6728,23.2421,0.9974,,,
30000,1350.5324,1000.0,,,,,,,,,,,,
30000,,,,,,,,,,,,1000,727.3101,67.2955
30500,,,0.8206,0.7213,0.0692,-27.7357,7.1484,0.6037,2.5393,15.8199,0.8746,,,
31000,,,0.8473,0.717,0.0734,-28.9071,7.5369,0.6464,2.5393,7.1351,1.072,,,
31000,,,,,,,,,,,,1000,728.7617,85.4439
31500,,,0.8343,0.7259,0.0728,-31.6305,7.0182,0.6169,2.5941,5.6094,1.0467,,,
32000,,,0.8591,0.7333,0.0752,-32.7758,8.374,0.6575,2.8525,11.8251,1.0921,,,
32000,,,,,,,,,,,,1000,1133.493,87.2332
32500,,,0.8453,0.7264,0.0739,-34.2755,6.8893,0.6444,2.5065,17.5312,1.4089,,,
33000,,,0.8681,0.7274,0.0766,-35.5543,7.5446,0.6689,2.806,12.6267,1.2859,,,
33000,,,,,,,,,,,,1000,107.2683,87.9558
33500,,,0.867,0.7334,0.0769,-35.7056,7.9804,0.6704,3.0614,7.5436,0.6692,,,
34000,,,0.873,0.7275,0.0766,-37.0534,8.5913,0.6787,3.7506,12.6835,1.9355,,,
34000,,,,,,,,,,,,1000,314.0391,87.945
34500,,,0.8553,0.7352,0.0757,-38.8813,9.5029,0.6512,3.0675,15.3472,1.4556,,,
35000,,,0.8719,0.7331,0.0756,-36.8578,11.2261,0.6851,2.6631,10.3997,2.6242,,,
35000,1513.8708,1000.0,,,,,,,,,,,,
35000,,,,,,,,,,,,1000,82.9409,68.8101
35500,,,0.8651,0.7293,0.0769,-40.1312,8.364,0.6658,3.6435,10.1476,1.0947,,,
36000,,,0.8763,0.7395,0.0789,-43.4586,6.9099,0.689,3.0973,15.6755,1.4912,,,
36000,,,,,,,,,,,,1000,1231.262,87.4061
36500,,,0.8958,0.7347,0.0812,-44.0338,9.2283,0.7204,2.7875,11.615,1.2417,,,
37000,,,0.8895,0.7385,0.0802,-42.1226,8.4346,0.7074,2.7368,9.3113,2.0125,,,
37000,,,,,,,,,,,,1000,143.4543,86.9896
37500,,,0.8755,0.7297,0.0792,-44.648,11.0678,0.6829,2.7715,11.6286,1.6586,,,
38000,,,0.8863,0.7458,0.0797,-48.5122,7.867,0.7025,3.6567,15.0273,1.5279,,,
38000,,,,,,,,,,,,1000,1125.6654,85.3232
38500,,,0.9133,0.7436,0.0833,-50.3992,9.8543,0.7413,3.5272,10.2077,1.1482,,,
39000,,,0.8951,0.7397,0.0818,-50.0434,9.4145,0.7128,3.0943,17.2954,1.9984,,,
39000,,,,,,,,,,,,1000,906.5866,86.9408
39500,,,0.8996,0.7439,0.0826,-51.1347,8.106,0.7301,3.1939,23.7747,2.3645,,,
40000,,,0.9174,0.7519,0.0843,-52.6481,9.8698,0.7542,3.7963,11.0574,1.4213,,,
40000,1772.7996,1000.0,,,,,,,,,,,,
40000,,,,,,,,,,,,1000,1380.5014,67.4821
40500,,,0.8973,0.7501,0.0814,-55.8303,10.15,0.7196,3.6687,28.528,0.8532,,,
41000,,,0.917,0.7466,0.0835,-56.8865,11.1411,0.7473,2.8355,7.7149,1.7801,,,
41000,,,,,,,,,,,,1000,901.5872,86.3569
41500,,,0.9286,0.7513,0.0847,-57.9643,12.699,0.7719,4.311,20.3866,1.295,,,
42000,,,0.8972,0.7491,0.0812,-61.1388,7.8378,0.7192,4.1727,16.8143,1.7858,,,
42000,,,,,,,,,,,,1000,151.6289,87.1529
42500,,,0.9177,0.7574,0.0845,-60.6262,10.9303,0.7551,3.723,26.3097,1.8277,,,
43000,,,0.8893,0.7562,0.0808,-60.2936,10.9529,0.7096,3.6619,21.9372,1.6234,,,
43000,,,,,,,,,,,,1000,1461.4966,87.7523
43500,,,0.9113,0.7517,0.0836,-63.7702,7.9438,0.7448,3.6321,12.948,1.0822,,,
44000,,,0.9268,0.7601,0.0853,-64.201,8.8325,0.7657,4.3326,30.2542,2.1724,,,
44000,,,,,,,,,,,,1000,1008.6995,86.5391
44500,,,0.9386,0.7552,0.0859,-67.7876,9.8186,0.7903,3.9707,14.9573,2.4692,,,
45000,,,0.9198,0.7581,0.0836,-70.8731,11.3545,0.7584,4.0246,10.7235,0.9281,,,
45000,2098.8797,1000.0,,,,,,,,,,,,
45000,,,,,,,,,,,,1000,1377.106,68.3701
45500,,,0.9025,0.7599,0.0814,-66.8715,9.4794,0.734,3.6098,13.6007,2.2495,,,
