env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
13374,,,83,-128.9058,15.8313,,,,,,,,,,,
13421,,,47,-107.0133,14.9125,,,,,,,,,,,
13500,,,,,,39,11,1,1839.173,45.3287,15.7734,13.7973,-58.5117,2.887,72.7396,0.0
13503,,,82,-110.9565,15.9058,,,,,,,,,,,
13579,,,76,-102.1099,15.1677,,,,,,,,,,,
13670,,,91,-105.9091,15.7493,,,,,,,,,,,
13743,,,73,-103.761,15.9795,,,,,,,,,,,
13798,,,55,-107.2309,15.2181,,,,,,,,,,,
13864,,,66,-103.0749,14.9777,,,,,,,,,,,
13923,,,59,-102.5897,15.1492,,,,,,,,,,,
13991,,,68,-104.2625,15.2582,,,,,,,,,,,
14000,,,,,,49,7,2,1007.8831,41.9574,35.8997,8.3152,-27.5605,3.7303,146.1999,0.0
14057,,,66,-103.1976,15.3022,,,,,,,,,,,
14115,,,58,-106.1324,15.2162,,,,,,,,,,,
14171,,,56,-107.8429,15.1169,,,,,,,,,,,
14228,,,57,-102.7381,15.1816,,,,,,,,,,,
14276,,,48,-105.764,15.0668,,,,,,,,,,,
14329,,,53,-102.9424,15.1788,,,,,,,,,,,
14465,,,136,-108.8953,15.3941,,,,,,,,,,,
14500,,,,,,50,9,2,607.1361,63.3114,51.7678,30.2816,-23.9149,3.6026,217.6195,0.0001
14544,,,79,-104.4189,15.8302,,,,,,,,,,,
14603,,,59,-101.5228,15.5007,,,,,,,,,,,
14656,,,53,-103.4523,15.2166,,,,,,,,,,,
14711,,,55,-105.23,15.1022,,,,,,,,,,,
14775,,,64,-124.0928,15.2086,,,,,,,,,,,
14820,,,45,-117.8913,15.7987,,,,,,,,,,,
14931,,,111,-135.1786,15.583,,,,,,,,,,,
15000,,,,,,50,10,3,437.9792,61.9401,340.327,31.2498,-52.8063,5.5516,235.4888,0.0705
15000,-122.4706,43.0,,,,,,,,,,,,,,
15087,,,156,-116.4861,14.8928,,,,,,,,,,,
15219,,,132,-115.7532,15.3498,,,,,,,,,,,
15313,,,94,-115.2259,15.3933,,,,,,,,,,,
15382,,,69,-123.6126,15.1756,,,,,,,,,,,
15496,,,114,-112.1823,15.1866,,,,,,,,,,,
15500,,,,,,50,12,3,347.687,69.3716,52.7184,36.4959,0.323,3.3748,37.6462,0.1098
15574,,,78,-113.0255,15.1785,,,,,,,,,,,
15739,,,165,-114.6867,15.1387,,,,,,,,,,,
15863,,,124,-112.1218,15.0943,,,,,,,,,,,
16000,,,,,,50,13,3,306.286,68.2645,11.0874,36.3329,-7.7268,3.7856,93.4376,0.0636
16012,,,149,-115.9797,15.127,,,,,,,,,,,
16051,,,39,-116.6533,15.1237,,,,,,,,,,,
16137,,,86,-111.5158,15.2014,,,,,,,,,,,
16262,,,125,-109.1641,15.194,,,,,,,,,,,
16312,,,50,-113.9586,15.0576,,,,,,,,,,,
16374,,,62,-121.3314,15.1668,,,,,,,,,,,
16417,,,43,-116.0504,15.1746,,,,,,,,,,,
16459,,,42,-117.5564,15.0672,,,,,,,,,,,
16499,,,40,-118.8844,15.0384,,,,,,,,,,,
16500,,,,,,50,15,4,237.1018,83.4499,23.8846,50.1338,-0.2331,4.6965,82.1343,0.0178
16619,,,120,-112.8393,15.2066,,,,,,,,,,,
16707,,,88,-130.4996,15.1343,,,,,,,,,,,
16746,,,39,-112.6873,15.1938,,,,,,,,,,,
17000,,,,,,50,16,4,222.8087,40.4583,23.2193,6.7693,-0.0934,3.8937,55.8701,0.0811
17500,,,,,,50,19,4,171.0911,35.7751,12.5496,0.974,0.2489,4.3496,43.6818,0.3482
18000,,,,,,50,16,4,213.4586,75.0868,18.589,42.7984,-0.257,3.7867,60.3605,0.066
18346,,,1600,-139.3843,15.196,,,,,,,,,,,
18500,,,,,,50,12,3,306.0185,172.636,49.97,138.2241,-0.329,2.8504,53.9416,0.1041
18767,,,421,-128.6717,15.4716,,,,,,,,,,,
18931,,,164,-98.456,15.147,,,,,,,,,,,
19000,,,,,,50,14,3,249.3557,75.4681,304.1676,41.2215,-37.2115,4.3189,102.6711,0.2782
19115,,,184,-109.1553,15.2164,,,,,,,,,,,
19158,,,43,-115.0979,15.1245,,,,,,,,,,,
19500,,,,,,50,15,3,202.0706,57.9782,106.6409,25.5927,-18.5111,4.307,37.4289,0.1981
19774,,,616,-174.2907,15.1393,,,,,,,,,,,
20000,,,,,,50,50,6,97.0687,31.8156,5.4292,1.5479,-0.7763,4.1344,71.5744,0.2194
20000,-181.4221,1411.3,,,,,,,,,,,,,,
20500,,,,,,50,11,3,309.9437,116.5703,1086.4877,84.4948,-76.3551,4.3471,141.6651,0.2144
20937,,,1163,-216.4531,14.2383,,,,,,,,,,,
21000,,,,,,50,13,3,264.2341,62.2048,24.2953,31.4097,-1.1844,4.3196,34.4345,0.3272
21040,,,103,-125.1618,15.06,,,,,,,,,,,
21159,,,119,-127.061,15.301,,,,,,,,,,,
21226,,,67,-106.697,15.5269,,,,,,,,,,,
21286,,,60,-116.2666,15.4257,,,,,,,,,,,
21500,,,,,,50,15,3,236.79,56.8066,23.3436,24.97,-0.8872,2.5591,57.7953,0.4939
22000,,,,,,50,15,4,250.819,99.9072,30.3566,66.0128,-1.2487,4.9019,94.767,0.1409
22500,,,,,,50,14,3,265.107,139.4135,72.355,105.7319,-1.3978,3.7267,47.2937,0.1805
22886,,,1600,-130.5189,15.2831,,,,,,,,,,,
23000,,,,,,50,29,5,141.9296,35.5134,14.5727,3.0876,-0.1124,2.4928,29.3086,0.1327
23500,,,,,,50,16,4,256.0768,87.5416,21.0979,56.7261,-2.7848,7.4952,108.78,0.2703
24000,,,,,,50,15,4,254.7281,59.2334,25.322,26.9053,-1.893,3.4036,22.4122,0.1806
24486,,,1600,-141.3837,15.2216,,,,,,,,,,,
24500,,,,,,50,14,3,291.0345,84.9584,44.9761,53.944,-1.9326,5.4729,117.3385,0.2975
25000,,,,,,50,17,4,220.7722,75.1633,18.3635,42.109,-0.5576,3.1608,36.7235,0.1326
25000,-181.8344,1600.0,,,,,,,,,,,,,,
25500,,,,,,50,15,4,279.345,62.5796,20.2379,29.4974,-2.2243,4.0955,58.4972,0.258
26000,,,,,,50,13,3,272.1416,81.4879,63.1272,49.9033,-1.5995,3.0859,19.9107,0.1832
26086,,,1600,-142.9559,14.5763,,,,,,,,,,,
26500,,,,,,50,19,4,184.5542,34.2407,9.3012,5.5595,-1.1573,4.0017,36.2115,0.3825
27000,,,,,,50,30,5,136.1635,49.6176,14.5789,20.7851,0.5056,4.5214,69.3457,0.1183
27215,,,1129,-196.5805,15.2763,,,,,,,,,,,
27500,,,,,,50,22,4,172.5536,76.9255,24.1749,46.9513,-0.9529,2.6929,41.9527,0.214
27516,,,301,-128.0895,15.4327,,,,,,,,,,,
27602,,,86,-120.1226,15.156,,,,,,,,,,,
27711,,,109,-133.1837,15.1159,,,,,,,,,,,
27901,,,190,-116.4566,15.5291,,,,,,,,,,,
28000,,,,,,50,18,3,204.9882,79.158,437.8028,49.9787,-47.8437,3.3025,62.9137,0.2862
28328,,,427,-150.713,15.5615,,,,,,,,,,,
28500,,,,,,50,15,3,247.2955,92.1023,36.85,63.1369,-4.6496,3.381,108.4574,0.1975
28501,,,173,-113.1252,15.12,,,,,,,,,,,
29000,,,,,,50,19,4,181.1928,100.313,126.4368,72.1707,-0.4631,2.4035,18.0317,0.1628
29500,,,,,,50,19,4,201.3999,99.5812,33.2378,71.741,-0.4881,2.6621,37.8466,0.1809
30000,,,,,,50,16,4,243.0802,122.1928,37.8063,93.8078,-0.8865,2.8622,40.7551,0.2514
30000,-177.8083,1600.0,,,,,,,,,,,,,,
30101,,,1600,-142.4998,14.5665,,,,,,,,,,,
30500,,,,,,50,23,4,168.4573,64.274,17.946,37.0075,-2.7233,1.7656,23.7855,0.1907
31000,,,,,,50,22,3,176.9046,47.5409,22.3797,21.0115,0.4753,5.2574,78.4959,0.2443
31500,,,,,,50,13,3,320.3401,176.4342,171.6408,148.483,-1.4626,2.5155,32.1632,0.1323
31701,,,1600,-144.1018,15.2019,,,,,,,,,,,
32000,,,,,,50,14,3,288.593,167.3448,42.4147,141.2988,-0.0019,4.1445,80.0517,0.1393
32500,,,,,,50,13,3,313.8058,85.0032,52.412,57.4414,-11.6747,5.443,116.0555,0.1442
33000,,,,,,50,21,3,181.8685,81.5772,13.8488,55.5261,-0.5794,2.4065,36.3615,0.1426
33301,,,1600,-134.7717,15.5,,,,,,,,,,,
33388,,,87,-109.5479,15.1976,,,,,,,,,,,
33500,,,,,,50,19,4,201.6167,114.0679,27.8486,88.3624,-5.4407,2.3175,48.4063,0.4099
34000,,,,,,50,15,4,296.9853,160.3318,52.6902,132.9545,-1.1261,1.6706,16.1191,0.1546
34500,,,,,,50,21,3,181.3172,66.4598,21.4854,41.2604,-0.9129,2.858,108.1007,0.2391
34988,,,1600,-102.8138,15.7418,,,,,,,,,,,
