env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5939,1000.0,,,,,,,,,,,,,
500,,,1.2996,0.7396,0.3988,-0.148,0.2714,1.0019,-0.3872,0.3437,1.2833,0.1785,,,
1000,,,1.2874,0.6814,0.4422,-1.3033,0.3618,0.9631,-0.4352,0.4336,3.431,0.256,,,
1000,,,,,,,,,,,,,1000,-370.3274,30.4736
1500,,,1.2906,0.7377,0.4533,-1.78,0.3855,1.1301,-0.4608,0.4582,4.0956,0.4572,,,
2000,,,1.2936,0.7305,0.4733,-2.8583,0.5062,1.2153,-0.4621,0.5017,3.4868,0.5201,,,
2000,,,,,,,,,,,,,1000,-411.5683,39.6722
2500,,,1.2904,0.711,0.4745,-4.3799,0.5832,1.2176,-0.4594,0.6739,3.9184,0.6596,,,
3000,,,1.2787,0.7232,0.4985,-5.8945,0.7234,1.3822,-0.5138,0.8145,6.6844,0.6574,,,
3000,,,,,,,,,,,,,1000,-158.769,38.039
3500,,,1.2551,0.7548,0.4575,-7.305,0.9834,1.3355,-0.4716,1.0054,7.5489,0.5784,,,
4000,,,1.2814,0.7203,0.4704,-9.3527,1.5679,1.2348,-0.4873,1.3935,11.7904,1.1433,,,
4000,,,,,,,,,,,,,1000,-149.8346,40.1757
4500,,,1.2513,0.7226,0.4623,-11.3683,1.2817,1.2498,-0.4653,1.2814,14.2401,1.2782,,,
5000,,,1.2586,0.6899,0.4651,-12.0851,1.419,1.1892,-0.4672,1.2982,18.8892,1.3682,,,
5000,275.1194,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-340.366,35.0387
5500,,,1.2812,0.7228,0.5172,-13.5508,1.3827,1.5595,-0.4805,1.6586,15.2741,1.1647,,,
6000,,,1.2689,0.6951,0.4913,-15.5991,1.7669,1.3695,-0.4925,1.6833,28.203,1.6836,,,
6000,,,,,,,,,,,,,1000,-63.1735,40.2098
6500,,,1.2809,0.6994,0.4677,-17.6378,1.8363,1.1333,-0.468,1.9607,36.7224,1.5003,,,
7000,,,1.3169,0.7434,0.4831,-18.4353,1.6644,1.2844,-0.4588,2.2564,28.7193,1.4639,,,
7000,,,,,,,,,,,,,1000,-75.3706,40.0906
7500,,,1.2818,0.7418,0.4913,-20.8602,2.3299,1.4014,-0.4886,2.0484,24.2222,1.4477,,,
8000,,,1.296,0.7101,0.4676,-22.0072,2.0952,1.1594,-0.4559,1.9614,28.5924,1.4108,,,
8000,,,,,,,,,,,,,1000,-236.5641,39.9149
8500,,,1.3115,0.7126,0.483,-23.9069,2.4938,1.1751,-0.4701,1.9203,20.5203,1.1808,,,
9000,,,1.2901,0.7105,0.4717,-25.037,2.1467,1.1832,-0.4618,1.7807,19.7139,1.7599,,,
9000,,,,,,,,,,,,,1000,-168.198,40.0207
9500,,,1.2883,0.7492,0.4606,-27.1088,2.7531,1.2401,-0.4573,1.7781,28.723,2.1292,,,
10000,,,1.2747,0.7401,0.4657,-28.3846,2.2821,1.278,-0.4723,1.7665,25.7519,1.5537,,,
10000,229.1136,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,76.7651,35.7437
10500,,,1.2838,0.7847,0.4673,-29.2839,1.8693,1.349,-0.4684,1.5799,19.1267,1.5653,,,
