env_steps,return,length,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
86000,,,50,48,17,121.0593,441.9545,-44.1823,-44.1823,-36.4707,14974.5586,4.6152,500.0862,4.8679,,,
86000,,,,,,,,,,,,,,,1000,6618.8189,21.7943
86500,,,50,48,16,130.2549,548.829,-44.1823,-44.1823,63.7572,36014.4297,4.5641,435.7643,5.6867,,,
87000,,,50,48,17,113.9691,476.9475,-44.1823,-44.1823,-5.8461,15703.0928,5.0517,450.4601,6.666,,,
87000,,,,,,,,,,,,,,,1000,6734.1286,20.9211
87500,,,50,49,17,115.1514,442.0592,-44.1823,-44.1823,-44.4587,13601.833,4.9466,401.6595,6.5504,,,
88000,,,50,48,17,118.9326,444.2248,-44.1823,-44.1823,-49.878,17299.8613,5.2492,433.716,5.1313,,,
88000,,,,,,,,,,,,,,,1000,6476.35,21.422
88500,,,50,49,18,108.9354,489.6735,-44.1823,-44.1823,-1.0666,20470.7383,4.3858,233.3483,3.7374,,,
89000,,,50,49,17,110.6927,537.2368,-44.1823,-44.1823,43.7766,20959.2266,5.2834,233.2702,4.8512,,,
89000,,,,,,,,,,,,,,,1000,7052.9325,20.9792
89500,,,50,49,17,111.4021,456.3922,-44.1823,-44.1823,-39.213,15609.9932,7.1595,639.2734,6.0219,,,
90000,,,50,48,17,113.8509,504.9877,-44.1823,-44.1823,3.7914,22908.1992,5.8284,299.0883,4.5391,,,
90000,8026.4198,1000.0,,,,,,,,,,,,,,,
90000,,,,,,,,,,,,,,,1000,7043.1685,15.1755
90500,,,50,48,17,127.753,448.7711,-44.1823,-44.1823,-54.8593,18227.5605,5.8992,327.186,4.5069,,,
91000,,,50,49,18,114.7426,526.9496,-44.1823,-44.1823,21.0433,39895.1914,4.833,361.0249,6.1262,,,
91000,,,,,,,,,,,,,,,1000,7092.8757,21.2134
91500,,,50,49,17,117.9252,543.986,-44.1823,-44.1823,31.6627,28840.5488,6.8816,655.2556,5.4934,,,
92000,,,50,49,17,110.9184,548.1902,-44.1823,-44.1823,43.6673,29458.3613,5.7646,267.7663,5.1136,,,
92000,,,,,,,,,,,,,,,1000,7097.0392,21.4196
92500,,,50,49,18,102.4195,473.3754,-44.1823,-44.1823,-38.726,17362.0312,5.1533,163.5691,5.8118,,,
93000,,,50,48,17,109.1898,537.459,-44.1823,-44.1823,20.917,20895.7363,5.5262,222.1393,6.0231,,,
93000,,,,,,,,,,,,,,,1000,7153.2229,21.5147
93500,,,50,49,18,110.6475,429.7056,-44.1823,-44.1823,-91.076,15728.0596,5.5598,264.0037,5.683,,,
94000,,,50,49,17,111.65,466.1202,-44.1823,-44.1823,-54.2797,31135.1738,5.4114,221.8395,6.7085,,,
94000,,,,,,,,,,,,,,,1000,7354.136,21.0029
94500,,,50,49,18,110.1877,472.4315,-44.1823,-44.1823,-51.9117,26195.7812,6.4705,428.7237,8.3776,,,
95000,,,50,48,17,121.6926,464.6082,-44.1823,-44.1823,-71.2924,19835.9844,5.6526,226.1164,4.784,,,
95000,7958.5363,1000.0,,,,,,,,,,,,,,,
95000,,,,,,,,,,,,,,,1000,7550.9374,15.7118
95500,,,50,49,17,107.1761,608.9481,-44.1823,-44.1823,85.5828,39914.1992,5.6868,315.8771,4.7593,,,
96000,,,50,49,17,110.6394,510.572,-44.1823,-44.1823,-20.3327,17038.7676,5.911,286.165,4.5948,,,
96000,,,,,,,,,,,,,,,1000,7605.0506,21.656
96500,,,50,49,17,103.2896,493.7296,-44.1823,-44.1823,-40.7378,23114.6816,5.8916,148.458,5.9448,,,
97000,,,50,49,18,101.0186,524.3905,-44.1823,-44.1823,-12.4304,19043.5918,7.6712,223.4685,6.7052,,,
97000,,,,,,,,,,,,,,,1000,7897.4722,21.3884
97500,,,50,49,18,104.473,466.8863,-44.1823,-44.1823,-73.014,26158.6426,6.9559,389.9018,5.6867,,,
98000,,,50,48,18,108.1968,501.3917,-44.1823,-44.1823,-47.8936,29803.7402,6.0756,270.531,4.5259,,,
98000,,,,,,,,,,,,,,,1000,7500.5112,19.7597
98500,,,50,49,18,108.6547,606.1449,-44.1823,-44.1823,54.713,45268.1992,6.739,506.4144,7.5997,,,
99000,,,50,49,18,111.3181,618.4315,-44.1823,-44.1823,62.9873,32876.2383,6.1704,241.9104,5.5791,,,
99000,,,,,,,,,,,,,,,1000,4627.1342,19.7648
99500,,,50,47,16,109.4311,513.3314,-44.1823,-44.1823,-50.7496,17713.9336,5.7687,384.2622,4.7823,,,
100000,,,50,48,16,121.04,467.4582,-44.1823,-44.1823,-98.5412,19935.4004,6.9702,557.4653,9.1986,,,
100000,8203.8606,1000.0,,,,,,,,,,,,,,,
100000,,,,,,,,,,,,,,,1000,7930.3452,16.2527
100500,,,50,48,17,112.5223,537.8467,-44.1823,-44.1823,-21.8876,18706.7852,9.6139,359.9682,5.7643,,,
101000,,,50,49,17,106.5192,535.0459,-44.1823,-44.1823,-25.0276,14905.375,9.6459,222.0372,6.447,,,
101000,,,,,,,,,,,,,,,1000,7854.0107,21.0227
101500,,,50,49,16,113.3391,461.6281,-44.1823,-44.1823,-113.1732,18613.0,7.5774,632.7281,7.4743,,,
102000,,,50,49,16,106.4618,436.3719,-44.1823,-44.1823,-145.2896,11753.4277,12.0534,655.2218,5.5564,,,
102000,,,,,,,,,,,,,,,1000,7699.4264,22.2396
102500,,,50,49,17,105.6607,503.0628,-44.1823,-44.1823,-78.0146,18175.1289,8.7803,624.9347,5.7355,,,
103000,,,50,49,17,105.4506,491.1555,-44.1823,-44.1823,-94.9741,22080.1133,7.423,413.2951,5.4144,,,
103000,,,,,,,,,,,,,,,1000,8058.1226,21.0149
103500,,,50,49,16,104.9047,548.9195,-44.1823,-44.1823,-40.9816,38519.1719,8.0472,423.1569,3.8539,,,
104000,,,50,49,16,112.5507,549.812,-44.1823,-44.1823,-44.0983,22533.75,7.3918,220.3256,6.3179,,,
104000,,,,,,,,,,,,,,,1000,8032.1617,20.6647
104500,,,50,47,16,116.9441,503.9246,-44.1823,-44.1823,-97.6372,36579.8984,7.7459,268.7275,5.3069,,,
105000,,,50,48,16,114.1556,518.0371,-44.1823,-44.1823,-83.8782,22606.334,9.3489,568.0397,5.0272,,,
105000,8067.1797,1000.0,,,,,,,,,,,,,,,
105000,,,,,,,,,,,,,,,1000,8142.7253,15.1786
105500,,,50,47,15,133.6519,486.0722,-44.1823,-44.1823,-126.0576,29012.1094,8.8569,333.6626,7.3649,,,
106000,,,50,46,16,116.6423,511.5582,-44.1823,-44.1823,-99.9333,22917.5566,8.5227,493.6656,7.1029,,,
106000,,,,,,,,,,,,,,,1000,8055.6408,21.0912
106500,,,50,47,16,126.7123,509.333,-44.1823,-44.1823,-104.8568,18563.4375,8.4256,337.1178,6.3776,,,
107000,,,50,46,15,117.583,445.1812,-44.1823,-44.1823,-177.6383,20011.5957,7.8182,607.502,7.6159,,,
107000,,,,,,,,,,,,,,,1000,8060.9586,21.749
107500,,,50,46,15,123.4812,686.8862,-44.1823,-44.1823,66.2509,53540.582,10.9718,453.5893,7.4211,,,
108000,,,50,47,16,118.2838,611.6309,-44.1823,-44.1823,-13.1055,46513.2344,8.6985,313.213,8.6655,,,
108000,,,,,,,,,,,,,,,1000,8265.508,20.4528
108500,,,50,47,15,126.0569,577.6357,-44.1823,-44.1823,-51.0771,24313.3945,6.6852,205.1544,12.6437,,,
109000,,,50,46,15,131.443,427.9472,-44.1823,-44.1823,-206.3312,17539.7168,7.0077,241.0425,10.275,,,
109000,,,,,,,,,,,,,,,1000,8299.6012,21.55
109500,,,50,46,15,118.5212,561.7517,-44.1823,-44.1823,-72.5872,40929.332,8.5731,1004.1681,10.135,,,
110000,,,50,46,15,121.3376,507.9034,-44.1822,-44.1823,-132.6109,29352.5684,7.2849,223.7064,6.019,,,
110000,8814.0866,1000.0,,,,,,,,,,,,,,,
110000,,,,,,,,,,,,,,,1000,8078.0625,15.9294
110500,,,50,47,15,119.503,558.5209,-44.1823,-44.1823,-84.5539,49759.6758,7.8015,300.9254,6.7666,,,
111000,,,50,47,15,116.9983,457.9011,-44.1823,-44.1823,-187.3322,18508.7656,9.2877,227.5721,6.0783,,,
111000,,,,,,,,,,,,,,,1000,8144.857,20.7499
111500,,,50,48,16,113.7181,521.7256,-44.1822,-44.1823,-125.1793,26436.5449,8.6151,470.0525,9.8977,,,
112000,,,50,46,15,120.3885,499.0616,-44.1823,-44.1823,-152.7466,32924.832,9.5571,661.3546,8.7616,,,
112000,,,,,,,,,,,,,,,1000,8087.8484,20.6835
112500,,,50,47,14,122.5501,413.3855,-44.1822,-44.1823,-243.2107,17029.6191,9.0441,418.1726,6.6467,,,
113000,,,50,47,15,123.1312,451.793,-44.1823,-44.1823,-207.723,14718.9453,7.7916,459.9999,4.9506,,,
113000,,,,,,,,,,,,,,,1000,8287.6825,21.4321
113500,,,50,48,16,112.2636,463.1246,-44.1823,-44.1823,-195.98,23782.373,10.9349,313.9266,7.9908,,,
114000,,,50,48,16,111.4275,412.9267,-44.1823,-44.1823,-252.281,18585.1523,11.0493,716.5661,6.1256,,,
114000,,,,,,,,,,,,,,,1000,8233.2636,21.6599
114500,,,50,49,17,105.9642,499.5283,-44.1822,-44.1823,-164.091,16994.9219,8.4444,542.8439,9.4793,,,
115000,,,50,47,15,108.0634,568.2908,-44.1822,-44.1823,-107.2816,37533.0977,8.1037,280.827,9.5207,,,
115000,8726.7381,1000.0,,,,,,,,,,,,,,,
115000,,,,,,,,,,,,,,,1000,8287.6813,15.7777
115500,,,50,48,15,118.1351,478.4378,-44.1821,-44.1823,-198.3868,29175.7578,8.4203,357.5632,10.1012,,,
116000,,,50,48,16,108.5376,493.9195,-44.1822,-44.1823,-180.6558,23678.543,10.3753,504.324,7.813,,,
116000,,,,,,,,,,,,,,,1000,8517.9263,21.8427
116500,,,50,49,16,109.879,418.1468,-44.1822,-44.1823,-260.8795,14287.1523,7.0108,238.9846,9.5395,,,
117000,,,50,48,16,107.5413,556.6242,-44.1823,-44.1823,-125.8127,43044.7344,9.5363,517.8699,8.8359,,,
117000,,,,,,,,,,,,,,,1000,8290.589,20.7739
117500,,,50,48,16,109.5465,467.9554,-44.1822,-44.1823,-219.9815,25372.8672,16.0143,547.3916,10.9712,,,
118000,,,50,48,16,103.0782,443.3835,-44.1823,-44.1823,-239.2449,24683.9512,7.8408,539.2341,8.5464,,,
118000,,,,,,,,,,,,,,,1000,8606.4711,21.9067
118500,,,50,46,14,118.7827,496.7019,-44.1822,-44.1823,-199.6653,28491.3867,10.7317,380.055,8.3036,,,
119000,,,50,47,16,109.3609,486.2731,-44.1823,-44.1823,-205.566,29926.3184,11.0081,536.5574,8.1505,,,
119000,,,,,,,,,,,,,,,1000,8394.4604,21.1153
119500,,,50,48,16,108.7239,443.2328,-44.1822,-44.1823,-254.5723,17548.9961,10.8053,1063.9457,7.8217,,,
120000,,,50,49,16,105.7657,427.0493,-44.1822,-44.1823,-269.1306,12662.6016,10.1364,576.9677,6.8993,,,
120000,8980.5976,1000.0,,,,,,,,,,,,,,,
120000,,,,,,,,,,,,,,,1000,8361.3708,15.9799
120500,,,50,48,16,113.8297,473.3102,-44.1822,-44.1823,-231.8407,22500.0273,7.5158,416.1637,4.6854,,,
121000,,,50,47,15,107.269,500.541,-44.1822,-44.1823,-205.9775,36145.1992,17.0753,590.0214,9.4217,,,
121000,,,,,,,,,,,,,,,1000,8635.1075,21.9865
121500,,,50,47,15,117.7369,538.082,-44.1822,-44.1823,-170.1234,37134.0508,7.7715,431.4498,10.1769,,,
122000,,,50,48,15,117.8649,444.0775,-44.1822,-44.1823,-271.9193,19344.1406,8.8278,442.8111,8.144,,,
122000,,,,,,,,,,,,,,,1000,8710.095,21.8978
122500,,,50,49,17,111.9648,441.0335,-44.1822,-44.1823,-266.437,21261.7676,11.0611,867.2367,11.4808,,,
123000,,,50,47,15,115.1961,499.968,-44.1822,-44.1823,-213.8319,26130.3926,11.1771,457.5496,11.5598,,,
123000,,,,,,,,,,,,,,,1000,8569.3484,22.2351
123500,,,50,47,14,119.4086,446.3513,-44.1822,-44.1823,-275.3455,23647.709,8.8169,646.7826,6.9773,,,
124000,,,50,47,15,111.338,511.9456,-44.1822,-44.1823,-210.199,32866.5391,8.816,318.8805,8.7403,,,
124000,,,,,,,,,,,,,,,1000,8679.1946,21.8552
124500,,,50,47,15,113.6225,436.5616,-44.1822,-44.1823,-290.239,19934.8203,13.354,390.3458,8.415,,,
125000,,,50,47,15,118.4102,488.8886,-44.1822,-44.1823,-236.4457,27203.373,8.6607,312.4077,6.123,,,
125000,8915.2477,1000.0,,,,,,,,,,,,,,,
125000,,,,,,,,,,,,,,,1000,8679.9847,16.2965
125500,,,50,48,15,117.2477,463.4759,-44.1822,-44.1823,-267.3108,20840.3887,9.3003,664.3387,7.7936,,,
126000,,,50,48,15,113.8045,520.2203,-44.1822,-44.1823,-212.674,43894.793,8.8583,370.1859,9.1798,,,
126000,,,,,,,,,,,,,,,1000,8916.8063,22.007
126500,,,50,48,15,106.3644,481.737,-44.1822,-44.1823,-251.1417,23947.9297,9.418,670.3036,15.1829,,,
127000,,,50,47,16,121.1387,583.1224,-44.1822,-44.1823,-147.3808,51496.0078,8.4566,701.951,10.1451,,,
127000,,,,,,,,,,,,,,,1000,8788.0497,22.0437
127500,,,50,47,15,119.2863,513.7286,-44.1822,-44.1823,-228.5147,25551.8867,8.2788,425.6511,7.0446,,,
128000,,,50,46,15,119.8499,488.2206,-44.1822,-44.1823,-252.8951,25200.8555,7.1991,262.7222,8.2297,,,
128000,,,,,,,,,,,,,,,1000,8740.7648,22.0318
128500,,,50,46,15,124.1149,486.9133,-44.1822,-44.1823,-257.9684,33055.5781,12.3153,571.8565,5.1191,,,
129000,,,50,47,15,114.8818,434.3927,-44.1822,-44.1823,-314.4955,21277.5391,7.1084,430.3255,7.1113,,,
129000,,,,,,,,,,,,,,,1000,8787.0707,21.7437
129500,,,50,46,15,118.4851,435.9927,-44.1822,-44.1823,-313.5294,30604.5469,8.1132,330.8147,12.4867,,,
130000,,,50,47,15,120.6096,513.623,-44.1822,-44.1823,-237.6331,28585.4766,10.802,656.7974,7.5024,,,
130000,9391.5209,1000.0,,,,,,,,,,,,,,,
130000,,,,,,,,,,,,,,,1000,8839.285,16.3183
130500,,,50,47,15,125.1007,475.2716,-44.1822,-44.1823,-280.3187,27023.9844,7.6879,402.7808,11.1996,,,
131000,,,50,47,15,118.3301,516.749,-44.1822,-44.1823,-243.4244,61251.1797,9.591,511.775,7.1889,,,
131000,,,,,,,,,,,,,,,1000,8893.9692,21.4713
131500,,,50,44,14,131.8707,519.9554,-44.1822,-44.1823,-240.325,33380.0781,8.36,531.1993,9.6342,,,
132000,,,50,46,15,122.1253,451.3278,-44.1822,-44.1823,-311.2231,25922.4297,6.2897,448.9276,6.2839,,,
132000,,,,,,,,,,,,,,,1000,8947.7668,21.6466
132500,,,50,46,14,130.0611,425.8582,-44.1822,-44.1823,-342.7095,25760.0117,7.4383,212.9667,7.2238,,,
133000,,,50,47,15,113.2922,497.554,-44.1822,-44.1823,-268.5362,21510.002,9.5268,470.8589,10.5253,,,
133000,,,,,,,,,,,,,,,1000,8670.4309,22.6536
133500,,,50,47,15,117.3904,423.8487,-44.1822,-44.1823,-345.1917,15424.6914,8.9927,470.1318,9.4751,,,
134000,,,50,45,14,135.6309,452.5034,-44.1822,-44.1823,-321.955,29081.3418,8.7315,316.7844,8.8117,,,
134000,,,,,,,,,,,,,,,1000,8800.7589,21.8158
134500,,,50,48,15,111.3211,501.056,-44.1822,-44.1823,-270.0948,21214.0293,9.0408,385.642,16.7845,,,
135000,,,50,47,15,115.9126,450.2467,-44.1822,-44.1823,-319.6578,20662.1816,8.0923,514.4259,7.2252,,,
135000,9241.8128,1000.0,,,,,,,,,,,,,,,
135000,,,,,,,,,,,,,,,1000,8966.9799,16.3583
135500,,,50,46,15,123.2874,410.0726,-44.1822,-44.1823,-367.998,21998.3613,9.2897,622.4861,4.2857,,,
136000,,,50,46,14,123.516,475.9395,-44.1822,-44.1823,-307.5653,17535.832,9.0526,416.0255,12.525,,,
136000,,,,,,,,,,,,,,,1000,8934.2934,21.6451
136500,,,50,47,15,119.0571,525.5173,-44.1822,-44.1823,-257.2324,33172.5078,6.4922,198.9651,11.5066,,,
137000,,,50,46,14,117.7748,497.3859,-44.1822,-44.1823,-291.2009,55537.6719,6.7268,467.9619,10.5299,,,
137000,,,,,,,,,,,,,,,1000,9114.9131,21.9694
137500,,,50,46,15,119.0999,606.5868,-44.1822,-44.1823,-178.3341,64357.7695,12.7643,430.8281,12.1409,,,
138000,,,50,46,15,118.2516,539.7559,-44.1822,-44.1823,-248.902,29978.5332,8.9587,289.9117,6.5931,,,
138000,,,,,,,,,,,,,,,1000,9019.1978,22.0903
138500,,,50,47,14,121.9303,434.9478,-44.1822,-44.1823,-355.5112,26969.1387,9.6011,272.8846,11.6341,,,
139000,,,50,46,14,120.1558,442.5106,-44.1822,-44.1823,-352.4372,20666.8223,7.3739,357.8558,7.5211,,,
139000,,,,,,,,,,,,,,,1000,9034.5776,22.398
139500,,,50,47,15,119.0918,512.5054,-44.1822,-44.1823,-283.1887,43298.9219,6.274,257.6264,10.2347,,,
140000,,,50,47,15,116.0209,517.3679,-44.1822,-44.1823,-276.9694,22159.9316,7.5325,458.5559,11.8542,,,
140000,9458.3297,1000.0,,,,,,,,,,,,,,,
140000,,,,,,,,,,,,,,,1000,9037.6083,16.589
140500,,,50,46,15,125.1876,504.3935,-44.1822,-44.1823,-294.2591,42603.7695,8.3229,307.6209,12.3378,,,
141000,,,50,47,14,116.9925,395.6614,-44.1821,-44.1823,-405.2922,11734.3262,7.3723,284.5211,7.2513,,,
141000,,,,,,,,,,,,,,,1000,9020.6439,22.3986
141500,,,50,46,14,121.2945,542.7247,-44.1821,-44.1823,-261.6125,26366.8262,6.8656,259.8526,9.724,,,
142000,,,50,47,15,127.7282,511.2678,-44.1822,-44.1823,-295.1571,27573.7832,8.5328,256.1751,12.2616,,,
142000,,,,,,,,,,,,,,,1000,9252.9198,22.0948
142500,,,50,45,14,123.6917,689.2363,-44.1822,-44.1823,-124.5812,63246.6016,9.1625,341.885,15.7351,,,
143000,,,50,47,15,114.3002,454.3955,-44.1822,-44.1823,-358.3551,15295.9805,7.7889,499.0236,11.59,,,
143000,,,,,,,,,,,,,,,1000,9041.7523,21.6399
143500,,,50,46,15,122.3364,474.4149,-44.1822,-44.1823,-341.5193,28387.2617,8.1076,321.4032,7.7974,,,
144000,,,50,45,14,126.4434,420.9127,-44.1822,-44.1823,-395.6578,27702.9531,8.1428,548.3009,5.5295,,,
144000,,,,,,,,,,,,,,,1000,9248.7407,22.6432
144500,,,50,45,14,121.8973,461.0544,-44.1821,-44.1823,-355.8327,20436.5508,8.8032,612.913,8.5123,,,
145000,,,50,47,15,112.0538,539.8655,-44.1822,-44.1823,-275.7712,47792.6602,7.7593,588.5678,10.5606,,,
145000,9692.6367,1000.0,,,,,,,,,,,,,,,
145000,,,,,,,,,,,,,,,1000,9195.3714,16.7323
145500,,,50,47,15,114.6811,568.0157,-44.1821,-44.1823,-249.3827,61744.6523,7.9368,510.3925,10.5714,,,
146000,,,50,45,14,134.1786,473.2505,-44.1822,-44.1823,-350.8625,23203.959,7.1384,347.3885,7.2051,,,
146000,,,,,,,,,,,,,,,1000,9071.6676,22.481
146500,,,50,46,15,124.2711,531.2089,-44.1822,-44.1823,-293.7262,43237.1523,7.9783,238.742,14.4083,,,
147000,,,50,46,14,120.3048,432.827,-44.1821,-44.1823,-398.3875,35459.6602,6.1357,318.9967,7.4179,,,
147000,,,,,,,,,,,,,,,1000,9236.5161,22.3955
147500,,,50,45,14,129.1964,475.6368,-44.1821,-44.1823,-356.0402,22633.2871,7.9553,354.5729,8.5405,,,
148000,,,50,45,15,121.945,438.8348,-44.1822,-44.1823,-394.1483,19813.4785,7.4166,449.8528,6.5989,,,
148000,,,,,,,,,,,,,,,1000,9407.6388,21.8097
148500,,,50,46,15,122.7994,515.0201,-44.1821,-44.1823,-315.9249,25855.0957,8.678,486.8378,10.8104,,,
149000,,,50,46,15,123.6405,673.364,-44.1822,-44.1823,-156.2177,43121.1055,8.8256,502.9346,13.5598,,,
149000,,,,,,,,,,,,,,,1000,9385.6643,21.8197
149500,,,50,45,14,136.2656,483.6925,-44.1821,-44.1823,-355.343,30675.793,10.1145,386.218,8.2551,,,
150000,,,50,43,14,141.1276,504.4072,-44.1821,-44.1823,-338.0694,39060.2344,7.6632,609.1899,10.439,,,
150000,9859.3833,1000.0,,,,,,,,,,,,,,,
150000,,,,,,,,,,,,,,,1000,9276.9641,16.5006
150500,,,50,45,14,133.4103,438.0959,-44.1822,-44.1823,-404.8001,32417.9863,8.8837,328.3523,8.109,,,
151000,,,50,45,15,128.4937,430.4641,-44.1821,-44.1823,-413.1846,34039.9297,8.4605,365.2041,17.2733,,,
151000,,,,,,,,,,,,,,,1000,9184.4663,20.6758
151500,,,50,45,15,125.0515,485.9771,-44.1821,-44.1823,-363.6212,21663.2461,7.4189,597.1063,7.4476,,,
152000,,,50,45,14,129.5199,540.2048,-44.1821,-44.1823,-308.4744,36418.1328,8.1461,349.5846,10.0481,,,
152000,,,,,,,,,,,,,,,1000,9201.1817,21.2967
152500,,,50,45,14,130.6515,872.2126,-44.1821,-44.1823,19.9943,116031.8125,7.2572,519.6906,13.6131,,,
153000,,,50,45,15,131.4847,513.3607,-44.1822,-44.1823,-336.2576,28416.1738,7.8019,367.32,6.3558,,,
153000,,,,,,,,,,,,,,,1000,9374.5542,20.9605
153500,,,50,44,13,132.1626,490.0634,-44.182,-44.1823,-365.8871,21718.6836,6.3631,291.8406,8.6863,,,
154000,,,50,45,14,130.4991,489.8348,-44.1821,-44.1823,-371.8846,27689.2227,11.1464,455.8893,11.3615,,,
154000,,,,,,,,,,,,,,,1000,9349.2667,20.9061
154500,,,50,45,14,129.7814,447.34,-44.1821,-44.1823,-413.0592,39133.207,7.5338,571.727,15.7397,,,
155000,,,50,45,14,136.4793,456.3067,-44.1822,-44.1823,-404.9705,22450.2871,10.1206,493.1555,14.1044,,,
155000,9766.2392,1000.0,,,,,,,,,,,,,,,
155000,,,,,,,,,,,,,,,1000,9314.1276,15.8401
155500,,,50,45,14,127.3361,664.3228,-44.1821,-44.1823,-196.8637,46877.6523,6.8209,487.7024,10.9918,,,
156000,,,50,44,14,135.3953,547.6965,-44.1821,-44.1823,-317.8192,22062.3496,11.6278,550.2398,10.796,,,
156000,,,,,,,,,,,,,,,1000,9408.5174,21.286
156500,,,50,46,14,129.0932,514.6805,-44.1822,-44.1823,-344.2722,28767.5977,7.0107,472.325,20.2,,,
157000,,,50,44,13,142.3376,539.818,-44.1821,-44.1823,-331.9232,34860.6133,7.5947,400.7504,7.8382,,,
157000,,,,,,,,,,,,,,,1000,9269.7738,21.0832
157500,,,50,45,14,126.0588,584.4756,-44.1821,-44.1823,-287.1362,76181.1641,7.2241,364.3124,6.5559,,,
158000,,,50,45,14,131.7559,537.9589,-44.1821,-44.1823,-337.8618,36567.9492,9.0039,395.2418,13.3898,,,
158000,,,,,,,,,,,,,,,1000,9350.7146,20.7874
158500,,,50,45,14,138.9538,551.7051,-44.1821,-44.1823,-323.7866,52478.75,8.9871,286.671,11.3904,,,
159000,,,50,44,14,138.1469,516.5398,-44.1821,-44.1823,-365.9547,32216.8867,6.4251,550.7608,12.1754,,,
159000,,,,,,,,,,,,,,,1000,9579.0902,20.9327
159500,,,50,46,14,126.3173,485.2137,-44.1821,-44.1823,-394.1141,23830.4805,9.2151,439.493,20.4084,,,
160000,,,50,46,15,126.4201,488.0461,-44.1821,-44.1823,-388.935,25751.0234,8.0047,573.0933,8.3149,,,
160000,9743.9923,1000.0,,,,,,,,,,,,,,,
160000,,,,,,,,,,,,,,,1000,9442.8707,15.7682
160500,,,50,44,13,134.011,483.0201,-44.182,-44.1823,-401.6406,40588.7656,8.2667,394.6054,3.6345,,,
161000,,,50,45,15,135.2419,462.1876,-44.1821,-44.1823,-416.7476,18108.5312,9.0963,283.0734,13.1679,,,
161000,,,,,,,,,,,,,,,1000,9240.837,20.6936
161500,,,50,45,14,132.8153,534.2843,-44.182,-44.1823,-349.1196,44785.5117,7.4263,271.6479,12.3084,,,
162000,,,50,45,15,127.5446,579.2242,-44.1821,-44.1823,-305.5281,35029.7734,14.6414,909.147,10.9977,,,
162000,,,,,,,,,,,,,,,1000,9805.3014,20.6366
162500,,,50,44,14,134.2405,558.6464,-44.1821,-44.1823,-331.7184,54679.8789,6.2947,246.0704,19.2506,,,
163000,,,50,45,13,138.9672,464.7925,-44.1821,-44.1823,-428.663,25877.3066,8.4002,351.8039,10.9215,,,
163000,,,,,,,,,,,,,,,1000,9594.4443,20.9251
163500,,,50,45,14,132.1055,479.8798,-44.1821,-44.1823,-415.3073,32174.3496,8.2824,333.2865,21.2693,,,
164000,,,50,45,13,136.9398,447.2837,-44.182,-44.1823,-447.2778,23932.9141,6.591,312.782,8.7212,,,
164000,,,,,,,,,,,,,,,1000,9543.6208,21.6349
164500,,,50,45,15,136.3116,503.5439,-44.1821,-44.1823,-389.9035,30802.2246,6.2179,311.6021,14.9857,,,
165000,,,50,45,14,145.8445,653.9269,-44.1821,-44.1823,-239.9482,85838.0781,7.4809,377.4622,9.0633,,,
165000,10156.387,1000.0,,,,,,,,,,,,,,,
165000,,,,,,,,,,,,,,,1000,9907.4208,16.1655
165500,,,50,45,14,146.6142,520.3304,-44.1821,-44.1823,-375.282,23810.6055,8.2721,470.3409,14.8904,,,
166000,,,50,43,14,133.2257,543.7996,-44.182,-44.1823,-356.1949,37086.3945,7.4382,297.2686,9.4043,,,
166000,,,,,,,,,,,,,,,1000,9596.9271,21.9102
166500,,,50,47,14,120.2322,570.5439,-44.182,-44.1823,-326.6036,60231.7578,8.0358,404.7405,15.8398,,,
167000,,,50,44,14,144.1155,535.5533,-44.1821,-44.1823,-370.7562,62847.6328,8.208,309.9778,5.9907,,,
167000,,,,,,,,,,,,,,,1000,9478.8364,21.9357
167500,,,50,45,13,134.281,524.6219,-44.1821,-44.1823,-381.124,32865.1016,8.6745,367.8776,25.8509,,,
168000,,,50,46,15,126.6273,513.3751,-44.182,-44.1823,-391.6475,38463.8008,6.2827,304.9109,19.6379,,,
168000,,,,,,,,,,,,,,,1000,9735.4361,22.2652
168500,,,50,46,14,131.4352,675.5181,-44.1821,-44.1823,-226.3071,87403.7812,8.5269,334.4626,15.274,,,
169000,,,50,45,15,140.265,476.6513,-44.1821,-44.1823,-432.9102,38433.5859,6.5648,325.1733,10.7783,,,
169000,,,,,,,,,,,,,,,1000,9164.1488,21.0828
169500,,,50,45,14,129.7689,472.9303,-44.182,-44.1823,-438.0006,31926.168,7.5725,409.4919,16.5457,,,
170000,,,50,46,15,124.8478,489.8052,-44.1821,-44.1823,-418.8254,35958.9961,7.3896,464.497,6.0654,,,
170000,10246.5636,1000.0,,,,,,,,,,,,,,,
170000,,,,,,,,,,,,,,,1000,9813.3047,16.0747
170500,,,50,45,14,133.7572,512.2644,-44.1821,-44.1823,-396.7511,39840.9336,8.7057,559.2637,10.7045,,,
171000,,,50,45,14,137.681,532.5906,-44.1821,-44.1823,-381.9598,33572.2188,9.0547,638.7321,11.2434,,,
171000,,,,,,,,,,,,,,,1000,9809.0891,20.8823
171500,,,50,45,14,140.1053,599.7839,-44.1821,-44.1823,-321.0316,58037.9609,9.0088,764.8373,18.8588,,,
172000,,,50,45,14,139.9544,528.2443,-44.1821,-44.1823,-389.0783,30418.7695,11.4336,1146.6606,10.9234,,,
