env_steps,return,length,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
20000,,,50,48,19,108.646,555.8029,-44.1822,-44.1823,460.3671,13277.7832,2.4177,86.4069,4.0081,,,
20000,3711.1437,1000.0,,,,,,,,,,,,,,,
20000,,,,,,,,,,,,,,,1000,2064.6429,16.4799
20500,,,50,47,19,109.41,502.8961,-44.1822,-44.1823,406.1915,9877.0625,2.1854,74.2498,3.4347,,,
21000,,,50,46,19,110.7381,523.9373,-44.1823,-44.1823,424.0648,12500.957,2.4219,91.383,3.5124,,,
21000,,,,,,,,,,,,,,,1000,2014.2801,23.5032
21500,,,50,48,19,112.368,493.8072,-44.1822,-44.1823,387.2481,11748.748,2.4603,86.6899,3.7677,,,
22000,,,50,48,19,109.7924,529.903,-44.1823,-44.1823,420.7126,14725.1104,2.4595,82.5912,3.6006,,,
22000,,,,,,,,,,,,,,,1000,2164.4268,22.6351
22500,,,50,48,19,113.7039,513.7756,-44.1823,-44.1823,397.1095,11280.2197,2.573,71.4371,3.8234,,,
23000,,,50,48,19,109.0971,469.4349,-44.1823,-44.1823,350.9302,10646.3682,2.5948,91.0741,4.3081,,,
23000,,,,,,,,,,,,,,,1000,2250.6299,22.7905
23500,,,50,47,19,112.3779,525.5925,-44.1823,-44.1823,400.3235,14927.6475,2.5191,76.2537,3.9454,,,
24000,,,50,47,19,111.474,501.556,-44.1823,-44.1823,371.3106,12684.5068,2.7392,47.7007,3.232,,,
24000,,,,,,,,,,,,,,,1000,2362.5616,22.4894
24500,,,50,49,19,106.4179,514.815,-44.1823,-44.1823,381.3158,11971.8418,2.6053,150.7841,2.7181,,,
25000,,,50,48,19,117.4707,525.9996,-44.1823,-44.1823,387.4327,9890.1143,2.8081,117.0793,4.4284,,,
25000,4212.0469,1000.0,,,,,,,,,,,,,,,
25000,,,,,,,,,,,,,,,1000,2296.8578,16.5861
25500,,,50,48,19,110.4567,470.026,-44.1823,-44.1823,326.703,13594.3086,2.6106,78.4795,3.8672,,,
26000,,,50,47,19,106.4051,489.4479,-44.1823,-44.1823,342.2609,10561.9512,2.7662,68.7622,4.0715,,,
26000,,,,,,,,,,,,,,,1000,2249.2866,22.1976
26500,,,50,47,19,112.4704,455.7801,-44.1823,-44.1823,308.6621,10605.167,2.9269,119.7464,3.2616,,,
27000,,,50,49,19,105.4744,488.1042,-44.1823,-44.1823,331.357,12283.4893,3.0991,70.4994,2.7925,,,
27000,,,,,,,,,,,,,,,1000,2575.4731,22.5219
27500,,,50,47,19,119.5414,542.37,-44.1823,-44.1823,381.5426,16417.8926,2.4289,73.008,2.9512,,,
28000,,,50,48,19,107.2922,557.5201,-44.1823,-44.1823,391.9818,23577.2422,2.6455,78.0698,5.4067,,,
28000,,,,,,,,,,,,,,,1000,2418.1958,21.9223
28500,,,50,49,19,109.7676,528.2795,-44.1823,-44.1823,358.151,23507.418,2.533,114.2394,5.4215,,,
29000,,,50,47,19,113.3214,481.7781,-44.1823,-44.1823,308.4816,16077.1475,2.457,140.5233,5.338,,,
29000,,,,,,,,,,,,,,,1000,2620.8087,22.5133
29500,,,50,49,19,109.3532,488.7625,-44.1823,-44.1823,312.0079,15026.3682,2.6405,162.2041,4.5752,,,
30000,,,50,47,19,111.8826,578.1691,-44.1823,-44.1823,398.9053,23746.5312,2.8154,71.4163,3.4995,,,
30000,4671.2989,1000.0,,,,,,,,,,,,,,,
30000,,,,,,,,,,,,,,,1000,2833.0168,15.7434
30500,,,50,47,19,106.0474,470.2652,-44.1823,-44.1823,285.8297,17885.7852,2.5136,90.933,3.5829,,,
31000,,,50,48,19,114.0141,496.649,-44.1823,-44.1823,309.983,18363.0898,3.0559,103.5353,3.7404,,,
31000,,,,,,,,,,,,,,,1000,2574.313,19.7253
31500,,,50,47,19,111.3889,500.3119,-44.1823,-44.1823,308.3569,9398.1016,2.5887,104.8513,6.9879,,,
32000,,,50,48,19,115.4059,506.3638,-44.1823,-44.1823,311.9161,12826.5996,2.4148,90.1634,4.5125,,,
32000,,,,,,,,,,,,,,,1000,2823.3797,20.9512
32500,,,50,48,19,108.0027,544.7827,-44.1823,-44.1823,348.1999,13977.0684,2.9507,99.6584,3.8964,,,
33000,,,50,48,19,115.909,477.1861,-44.1823,-44.1823,276.2146,9498.8379,2.588,133.7307,3.6563,,,
33000,,,,,,,,,,,,,,,1000,2696.4018,20.774
33500,,,50,48,19,108.3066,512.7252,-44.1823,-44.1823,308.364,18745.8789,2.758,107.1453,4.2462,,,
34000,,,50,47,19,108.5015,471.5163,-44.1823,-44.1823,260.9404,14210.1279,3.7103,162.9473,3.1099,,,
34000,,,,,,,,,,,,,,,1000,3007.4251,20.1021
34500,,,50,48,19,109.8886,461.4399,-44.1823,-44.1823,251.708,14250.2803,2.4749,74.3319,4.6391,,,
35000,,,50,47,19,122.3746,505.9616,-44.1823,-44.1823,288.3878,18824.7441,2.7332,115.3184,3.9747,,,
35000,4979.3508,1000.0,,,,,,,,,,,,,,,
35000,,,,,,,,,,,,,,,1000,2915.1397,15.9294
35500,,,50,48,19,116.098,498.7952,-44.1823,-44.1823,282.191,18510.5176,2.9542,126.8522,7.1777,,,
36000,,,50,49,19,110.3637,472.0611,-44.1823,-44.1823,253.6628,18406.3613,3.4484,164.4315,3.6472,,,
36000,,,,,,,,,,,,,,,1000,2863.1553,20.7016
36500,,,50,48,19,109.4124,491.6776,-44.1822,-44.1823,271.5438,13575.5059,3.3033,137.4259,7.8175,,,
37000,,,50,49,19,106.8256,510.3823,-44.1823,-44.1823,285.8947,17772.2871,3.0742,134.7115,2.6962,,,
37000,,,,,,,,,,,,,,,1000,2976.2532,21.0878
37500,,,50,47,19,117.7076,501.0927,-44.1823,-44.1823,270.6295,12672.7402,2.7132,161.3078,4.2472,,,
38000,,,50,47,19,110.2674,457.3113,-44.1823,-44.1823,224.7546,15291.5391,4.0232,153.1138,4.276,,,
38000,,,,,,,,,,,,,,,1000,3025.431,21.3745
38500,,,50,47,19,118.7232,461.4567,-44.1822,-44.1823,221.8186,9395.9697,3.4841,114.1442,4.7135,,,
39000,,,50,46,19,118.0821,540.7477,-44.1823,-44.1823,295.8055,20626.7227,2.8583,278.7569,4.5686,,,
39000,,,,,,,,,,,,,,,1000,3307.2608,18.446
39500,,,50,47,19,112.5117,478.519,-44.1823,-44.1823,232.1384,12604.5166,2.4699,105.0668,6.5609,,,
40000,,,50,47,19,120.5606,514.1775,-44.1823,-44.1823,265.8398,19978.4199,3.318,187.5629,5.2664,,,
40000,5044.1603,1000.0,,,,,,,,,,,,,,,
40000,,,,,,,,,,,,,,,1000,3213.6253,14.5471
40500,,,50,48,19,107.7639,475.1921,-44.1823,-44.1823,227.3197,12013.2324,2.9365,190.1317,5.0343,,,
41000,,,50,48,19,107.2785,510.1826,-44.1823,-44.1823,261.2801,20389.7031,3.1451,159.4318,3.9678,,,
41000,,,,,,,,,,,,,,,1000,3360.7344,22.8258
41500,,,50,48,19,111.5777,505.0094,-44.1823,-44.1823,249.3172,23581.4023,3.1238,166.8055,3.5944,,,
42000,,,50,47,18,114.6136,443.2994,-44.1823,-44.1823,182.9923,10746.7275,2.6046,63.1634,4.4791,,,
42000,,,,,,,,,,,,,,,1000,3357.631,21.9761
42500,,,50,48,19,111.0712,483.3298,-44.1823,-44.1823,224.8673,17362.7285,2.7965,157.1143,6.207,,,
43000,,,50,48,19,107.9834,501.0566,-44.1823,-44.1823,240.7379,14114.7041,2.4314,147.9746,5.1318,,,
43000,,,,,,,,,,,,,,,1000,3447.6285,21.6246
43500,,,50,48,19,110.1275,437.4494,-44.1823,-44.1823,168.8488,17242.6816,3.0875,129.1356,5.5013,,,
44000,,,50,46,19,117.8152,536.6317,-44.1823,-44.1823,265.4069,33898.8711,4.0105,168.6903,4.1542,,,
44000,,,,,,,,,,,,,,,1000,3601.0286,21.6263
44500,,,50,48,19,109.8187,523.0166,-44.1823,-44.1823,250.8605,30573.959,3.6323,230.5487,4.4989,,,
45000,,,50,47,19,109.7408,488.2293,-44.1823,-44.1823,211.9822,12905.5303,3.2109,101.8694,5.173,,,
45000,5461.9491,1000.0,,,,,,,,,,,,,,,
45000,,,,,,,,,,,,,,,1000,3568.3377,16.4104
45500,,,50,49,19,107.8479,476.7654,-44.1823,-44.1823,196.5263,20898.6641,2.8904,76.1153,5.6556,,,
46000,,,50,47,19,111.925,478.6215,-44.1823,-44.1823,193.1407,18099.8574,2.7531,112.3774,5.629,,,
46000,,,,,,,,,,,,,,,1000,3679.0348,21.1092
46500,,,50,48,19,106.0054,462.5009,-44.1823,-44.1823,177.217,18699.4688,2.6535,145.5611,3.8926,,,
47000,,,50,48,19,106.4718,475.9651,-44.1823,-44.1823,187.3891,16134.8223,2.6732,143.5876,6.0124,,,
47000,,,,,,,,,,,,,,,1000,3647.1957,21.2555
