env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
9624,,,131,-138.5312,70.7594,,,,,,,,,,,,
10000,,,,,,50,50,50,7.9508,0.3474,30.9531,30.6458,-24.8788,5.3757,3.1772,3.9586,0.2062
10000,994.7335,1000.0,,,,,,,,,,,,,,,
10500,,,,,,50,50,50,8.4356,0.4099,27.9728,28.0104,-26.108,5.3339,3.7166,5.3578,0.1888
10578,,,954,-872.0807,51.113,,,,,,,,,,,,
10590,,,12,-12.332,67.3604,,,,,,,,,,,,
10616,,,26,-33.2406,71.1415,,,,,,,,,,,,
11000,,,,,,50,50,50,7.7521,0.4498,28.3554,28.6311,-27.199,10.6914,2.707,3.7781,0.1856
11500,,,,,,50,50,50,8.289,0.376,27.7075,27.456,-28.5089,6.2328,2.9626,4.7909,0.1821
11616,,,1000,-915.3845,70.9329,,,,,,,,,,,,
11625,,,9,-4.4643,67.1684,,,,,,,,,,,,
11666,,,41,-19.6126,69.5622,,,,,,,,,,,,
11739,,,73,-37.9691,70.7048,,,,,,,,,,,,
11792,,,53,-31.79,71.9963,,,,,,,,,,,,
12000,,,,,,50,50,50,7.8748,0.4807,26.7765,26.5339,-29.6508,8.6168,1.2534,3.7072,0.1613
12500,,,,,,50,50,50,7.8001,0.4039,26.736,26.8421,-30.9361,6.1218,1.759,4.8266,0.1428
12792,,,1000,-937.3667,71.1181,,,,,,,,,,,,
12835,,,43,-24.253,70.1584,,,,,,,,,,,,
12852,,,17,-3.0934,68.5436,,,,,,,,,,,,
12943,,,91,-41.1453,70.9771,,,,,,,,,,,,
12981,,,38,-23.9105,67.8474,,,,,,,,,,,,
13000,,,,,,50,50,50,8.5408,0.6761,26.5307,26.2191,-31.6181,12.1631,2.959,5.682,0.1678
13284,,,303,-384.5266,74.3582,,,,,,,,,,,,
13353,,,69,34.8533,72.0596,,,,,,,,,,,,
13469,,,116,-78.9836,70.5988,,,,,,,,,,,,
13487,,,18,-16.4703,69.4324,,,,,,,,,,,,
13500,,,,,,50,50,50,8.8315,0.4569,25.9374,26.2632,-32.8677,6.942,6.6121,5.253,0.1391
13691,,,204,-199.8758,74.2051,,,,,,,,,,,,
13720,,,29,-14.7919,71.7319,,,,,,,,,,,,
13735,,,15,-19.6558,69.0486,,,,,,,,,,,,
13783,,,48,3.0122,70.7984,,,,,,,,,,,,
13852,,,69,-50.9789,70.2615,,,,,,,,,,,,
13885,,,33,-19.0244,70.7068,,,,,,,,,,,,
14000,,,,,,50,50,50,8.7333,0.5825,25.2031,25.8382,-33.8548,11.1647,1.7878,4.0016,0.1672
14500,,,,,,50,50,50,8.3126,0.4208,25.7545,25.7199,-35.0146,9.3506,6.1582,7.7052,0.1538
14885,,,1000,-831.3999,71.4977,,,,,,,,,,,,
14906,,,21,-18.2084,70.4261,,,,,,,,,,,,
14930,,,24,-20.2429,70.3499,,,,,,,,,,,,
15000,,,,,,50,50,50,8.4158,0.5016,25.3055,25.1617,-35.8013,10.1721,5.5784,4.2163,0.2031
15000,977.8475,1000.0,,,,,,,,,,,,,,,
15057,,,127,-135.375,17.7855,,,,,,,,,,,,
