env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
2185,,,22,112.0401,82.8743,,,,,,,,,
2207,,,22,108.7922,84.4002,,,,,,,,,
2236,,,29,139.1336,83.8614,,,,,,,,,
2273,,,37,181.2475,84.3153,,,,,,,,,
2303,,,30,147.5346,84.2888,,,,,,,,,
2328,,,25,126.4241,84.3567,,,,,,,,,
2345,,,17,81.1081,84.1927,,,,,,,,,
2378,,,33,170.8767,84.4721,,,,,,,,,
2394,,,16,76.3832,84.2791,,,,,,,,,
2425,,,31,155.0206,84.279,,,,,,,,,
2455,,,30,147.2366,84.2727,,,,,,,,,
2473,,,18,86.1608,84.9041,,,,,,,,,
2492,,,19,94.7674,84.46,,,,,,,,,
2500,,,,,,1.4036,0.2137,0.1111,-52.0598,37.0567,1.2526,20.9782,119.2421,3.3505
2511,,,19,92.3181,84.1269,,,,,,,,,
2554,,,43,230.9222,84.1791,,,,,,,,,
2572,,,18,87.2595,84.3339,,,,,,,,,
2595,,,23,108.2,83.8171,,,,,,,,,
2625,,,30,137.9897,83.7506,,,,,,,,,
2661,,,36,190.8644,83.492,,,,,,,,,
2678,,,17,81.7396,84.1864,,,,,,,,,
2740,,,62,294.9346,83.6943,,,,,,,,,
2756,,,16,76.4962,84.5021,,,,,,,,,
2785,,,29,154.0424,83.8762,,,,,,,,,
2813,,,28,141.1577,84.0429,,,,,,,,,
2843,,,30,145.8986,83.8801,,,,,,,,,
2871,,,28,143.301,84.1848,,,,,,,,,
2888,,,17,81.2218,83.9167,,,,,,,,,
2907,,,19,95.7626,84.6584,,,,,,,,,
2923,,,16,76.3409,84.406,,,,,,,,,
2940,,,17,82.0779,84.4113,,,,,,,,,
2956,,,16,76.5694,83.7912,,,,,,,,,
2972,,,16,76.2501,83.4164,,,,,,,,,
2989,,,17,80.8161,84.7474,,,,,,,,,
3000,,,,,,1.3706,0.2242,0.1056,-64.0087,25.2439,1.1699,26.4883,169.7689,2.1622
3018,,,29,146.2699,84.513,,,,,,,,,
3078,,,60,310.494,84.2509,,,,,,,,,
3095,,,17,81.8502,84.7082,,,,,,,,,
3112,,,17,81.0221,83.2919,,,,,,,,,
3141,,,29,150.5989,84.3917,,,,,,,,,
3158,,,17,81.8681,84.6311,,,,,,,,,
3188,,,30,150.3125,83.3192,,,,,,,,,
3219,,,31,154.4201,84.0649,,,,,,,,,
3264,,,45,223.2053,83.8143,,,,,,,,,
3281,,,17,81.7646,83.9311,,,,,,,,,
3301,,,20,98.882,83.8918,,,,,,,,,
3321,,,20,97.6296,84.0643,,,,,,,,,
3338,,,17,81.3272,83.2369,,,,,,,,,
3356,,,18,86.4094,83.7953,,,,,,,,,
3381,,,25,129.4527,83.3433,,,,,,,,,
3399,,,18,86.473,83.8395,,,,,,,,,
3430,,,31,150.2308,84.2267,,,,,,,,,
