env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
9976,,,16,-9.4403,94.685,,,,,,,
10000,,,,,,0.1377,-325.1931,52.4346,0.1377,523.433,4705.7178,18.8107
10000,-359.4874,834.8,,,,,,,,,,
10030,,,54,-33.1481,16.783,,,,,,,
10136,,,106,-189.1747,94.7286,,,,,,,
10209,,,73,-85.6802,94.5782,,,,,,,
10453,,,244,-305.3976,94.4181,,,,,,,
10470,,,17,-13.7275,94.4024,,,,,,,
10500,,,,,,0.1431,-378.5999,51.3912,0.1431,653.9434,7695.9282,29.6446
11000,,,,,,0.1483,-383.8254,54.7575,0.1483,499.9573,7269.0796,21.8999
11470,,,1000,-1331.0208,94.3713,,,,,,,
11500,,,,,,0.151,-409.5245,50.221,0.151,563.5807,8029.6592,25.5709
11547,,,77,-33.8917,94.3052,,,,,,,
11861,,,314,-493.6582,93.6309,,,,,,,
11876,,,15,-19.6038,98.0521,,,,,,,
11904,,,28,-47.5292,94.0178,,,,,,,
12000,,,,,,0.1626,-456.1836,62.7423,0.1626,870.607,9284.457,24.1384
12069,,,165,-188.3003,94.0273,,,,,,,
12098,,,29,-40.405,93.9671,,,,,,,
12253,,,155,-173.4631,93.5387,,,,,,,
12280,,,27,-41.4606,93.52,,,,,,,
12309,,,29,-30.3159,93.2418,,,,,,,
12333,,,24,-43.1978,93.6279,,,,,,,
12357,,,24,-32.2562,93.9222,,,,,,,
12385,,,28,-27.6469,94.0567,,,,,,,
12500,,,,,,0.1637,-464.1723,62.7716,0.1637,907.296,11804.2783,13.1868
13000,,,,,,0.158,-492.2483,59.371,0.158,1156.1278,14749.7539,20.2148
13385,,,1000,-1350.5742,94.2489,,,,,,,
13500,,,,,,0.157,-532.9088,75.9729,0.157,1045.1732,10431.7412,25.5872
14000,,,,,,0.1594,-568.1968,73.0247,0.1594,1143.6919,11745.293,28.8305
14385,,,1000,-1312.3657,95.4813,,,,,,,
14423,,,38,-52.0168,97.1884,,,,,,,
14500,,,,,,0.1436,-566.9791,70.1219,0.1436,1415.7477,19665.1172,31.4813
14583,,,160,-197.8238,97.9832,,,,,,,
14603,,,20,-19.7294,95.8709,,,,,,,
14679,,,76,-110.1232,100.8843,,,,,,,
15000,,,,,,0.1472,-630.3182,77.9532,0.1472,1469.7041,14415.291,34.4483
15000,-7.3643,1000.0,,,,,,,,,,
15500,,,,,,0.1394,-689.183,67.7107,0.1394,2513.4551,40155.3242,59.5316
15679,,,1000,-1297.6123,72.2898,,,,,,,
16000,,,,,,0.1382,-714.59,69.342,0.1382,2550.0503,22277.8203,47.0449
16500,,,,,,0.1408,-771.0467,76.2248,0.1408,2103.1726,31107.7402,39.554
16679,,,1000,-1334.5136,94.9888,,,,,,,
16806,,,127,-107.7819,94.1113,,,,,,,
16853,,,47,-46.9855,94.353,,,,,,,
16873,,,20,-20.6815,94.1067,,,,,,,
17000,,,,,,0.1333,-785.9207,68.4737,0.1333,3852.4041,37758.6016,35.5971
17002,,,129,-175.4826,94.2238,,,,,,,
17171,,,169,-187.7727,94.5075,,,,,,,
17194,,,23,-37.4501,94.1642,,,,,,,
17266,,,72,-93.901,94.2881,,,,,,,
17302,,,36,-8.259,101.0384,,,,,,,
17316,,,14,-19.1366,100.0429,,,,,,,
17500,,,,,,0.1337,-811.6989,80.5506,0.1337,4095.9775,54047.4648,57.3963
18000,,,,,,0.1323,-868.4028,63.3702,0.1323,4023.8457,35510.5078,50.2902
18316,,,1000,-1326.3311,95.9299,,,,,,,
18500,,,,,,0.1294,-947.0667,69.3741,0.1294,4286.7578,51629.5195,34.4221
19000,,,,,,0.1364,-1069.4764,70.3274,0.1364,4847.2305,44412.7969,43.5348
19316,,,1000,-1355.2091,94.3749,,,,,,,
19353,,,37,-49.6734,93.2355,,,,,,,
19398,,,45,-64.4392,93.9891,,,,,,,
19450,,,52,-49.4679,93.9125,,,,,,,
19500,,,,,,0.1376,-1119.7338,87.6008,0.1376,6828.6787,56241.0312,46.2585
19600,,,150,-161.8128,94.4038,,,,,,,
19672,,,72,-78.5241,94.2054,,,,,,,
19814,,,142,-135.4056,94.5799,,,,,,,
19861,,,47,-63.9711,95.1631,,,,,,,
19918,,,57,-53.3195,94.655,,,,,,,
19939,,,21,-9.9675,100.6328,,,,,,,
20000,,,,,,0.1381,-1165.5726,89.178,0.1381,7523.2319,89370.125,61.4178
20000,-851.3907,904.7,,,,,,,,,,
20500,,,,,,0.1382,-1193.6272,91.0094,0.1382,12388.3242,97171.2266,59.7956
20939,,,1000,-1285.9671,74.9352,,,,,,,
21000,,,,,,0.1475,-1321.1454,111.0726,0.1475,9761.3438,110353.2344,58.2755
21017,,,78,-101.7165,99.169,,,,,,,
21029,,,12,-18.0947,100.6186,,,,,,,
21083,,,54,-90.2041,100.6727,,,,,,,
21211,,,128,-179.6561,100.7535,,,,,,,
21224,,,13,-21.2996,100.8448,,,,,,,
21430,,,206,-153.8914,100.6414,,,,,,,
21459,,,29,-20.7086,100.2217,,,,,,,
21500,,,,,,0.1463,-1399.6444,92.23,0.1463,11993.2578,86839.3047,65.0701
22000,,,,,,0.1472,-1438.188,113.2873,0.1472,12828.8652,106994.7891,67.6355
22459,,,1000,-1121.5353,100.4496,,,,,,,
22500,,,,,,0.1413,-1530.4821,113.2416,0.1413,14399.5918,139353.5938,71.8716
22501,,,42,-43.4821,100.4431,,,,,,,
22554,,,53,-66.9338,100.4811,,,,,,,
23000,,,,,,0.1406,-1617.2825,110.5361,0.1406,22374.1953,132918.3906,70.7009
23500,,,,,,0.1294,-1656.3024,121.2057,0.1294,21198.6191,148015.7812,77.4723
23554,,,1000,-1046.3528,97.0523,,,,,,,
24000,,,,,,0.1353,-1856.02,118.4217,0.1353,25340.2969,250749.2344,128.4726
24500,,,,,,0.1316,-1930.8108,132.4534,0.1316,22959.5898,214252.1406,117.1388
24554,,,1000,-1029.4494,95.3973,,,,,,,
24572,,,18,-12.4223,94.0279,,,,,,,
24642,,,70,-135.0017,93.8632,,,,,,,
24674,,,32,-61.844,94.2814,,,,,,,
24729,,,55,-50.5406,94.0211,,,,,,,
24765,,,36,-46.1999,93.9072,,,,,,,
25000,,,,,,0.1308,-2062.9744,131.5551,0.1308,21405.2148,192419.8438,122.6739
25000,-630.7591,707.9,,,,,,,,,,
25500,,,,,,0.1287,-2238.7683,141.3607,0.1287,33485.3906,370484.3438,145.1774
25765,,,1000,-1029.3392,79.6313,,,,,,,
25812,,,47,-96.4513,100.6069,,,,,,,
25826,,,14,-9.8036,99.6877,,,,,,,
25838,,,12,-18.7109,100.6094,,,,,,,
26000,,,,,,0.1293,-2281.9099,130.8486,0.1293,33858.2656,333801.9688,78.756
26500,,,,,,0.1257,-2340.7434,179.352,0.1257,28093.9551,299718.25,228.2977
26838,,,1000,-960.1998,94.7514,,,,,,,
27000,,,,,,0.1243,-2477.45,169.9623,0.1243,27158.8281,394169.625,122.04
27500,,,,,,0.1222,-2614.7175,180.5178,0.1222,33148.5703,431839.2188,161.4772
27838,,,1000,-897.4192,93.9744,,,,,,,
27905,,,67,-73.6214,93.9657,,,,,,,
27933,,,28,-39.3038,94.0079,,,,,,,
27993,,,60,-79.2442,94.0631,,,,,,,
28000,,,,,,0.1129,-2663.3418,168.2956,0.1129,43369.1562,476444.5625,119.7864
28047,,,54,-109.9206,93.9257,,,,,,,
28112,,,65,-72.5614,94.0464,,,,,,,
