env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
17500,,,1.1564,6.7068,0.4559,335.8224,7.1848,91.7023,-0.4501,152.9236,2681.655,1.7471,,,
17500,,,,,,,,,,,,,500,-4100.0257,38.7089
18000,,,1.1699,6.5332,0.4447,340.8126,23.6092,85.2228,-0.4413,378.8371,4319.1904,1.7578,,,
18000,,,,,,,,,,,,,500,-2888.1936,37.1249
18500,,,1.1856,6.3711,0.4506,347.0522,8.2544,84.7076,-0.4511,190.1185,6344.1509,1.788,,,
18500,,,,,,,,,,,,,500,-3428.3456,38.2007
19000,,,1.1941,6.6654,0.4509,349.6155,13.2163,89.5961,-0.4569,73.8204,3151.1875,2.7034,,,
19000,,,,,,,,,,,,,500,-6119.91,37.4277
19500,,,1.1964,6.3025,0.4562,351.6066,14.5872,76.6322,-0.4522,114.1276,7288.3701,1.5212,,,
19500,,,,,,,,,,,,,500,-3596.8716,37.7583
20000,,,1.1955,6.4344,0.4584,354.146,8.01,83.0639,-0.4524,163.2115,7481.894,2.0614,,,
20000,-6639.4105,500.0,,,,,,,,,,,,,
20000,,,,,,,,,,,,,500,-2735.9409,32.5756
20500,,,1.204,6.5579,0.4625,364.7796,16.3152,85.6925,-0.4528,132.5931,3068.1816,3.2044,,,
20500,,,,,,,,,,,,,500,-1919.2533,37.5566
21000,,,1.2063,6.4644,0.4589,365.779,15.6711,81.1405,-0.4522,301.1923,7570.0728,2.9351,,,
21000,,,,,,,,,,,,,500,-4964.3253,37.0087
21500,,,1.2185,6.2314,0.4759,351.37,11.1163,77.7973,-0.4758,592.6344,8298.1807,2.8928,,,
21500,,,,,,,,,,,,,500,-1864.3195,36.9775
22000,,,1.2353,6.86,0.4746,355.052,29.2302,98.1019,-0.4532,179.3187,6900.7446,3.4033,,,
22000,,,,,,,,,,,,,500,-4629.4135,37.3963
22500,,,1.1879,6.4791,0.4495,362.7526,10.417,85.5927,-0.456,142.9106,2978.9087,2.2363,,,
22500,,,,,,,,,,,,,500,-4307.787,37.1442
23000,,,1.2209,7.1087,0.4673,366.1781,15.457,96.6037,-0.472,182.5192,5350.8306,1.7926,,,
23000,,,,,,,,,,,,,500,-5987.492,37.925
23500,,,1.2008,6.6118,0.4481,369.531,26.9259,85.4557,-0.4557,528.6395,7439.3667,2.522,,,
23500,,,,,,,,,,,,,500,-3948.0568,37.4434
24000,,,1.2224,6.6395,0.4787,366.7377,21.9594,87.1841,-0.4895,217.4587,3766.1262,1.3004,,,
24000,,,,,,,,,,,,,500,-2525.3514,39.8585
24500,,,1.1766,5.7878,0.4347,363.2015,21.9127,69.1996,-0.4429,338.8126,5020.6191,3.171,,,
24500,,,,,,,,,,,,,500,-2744.8473,38.6412
25000,,,1.2492,6.7334,0.4703,377.1731,9.5901,89.8287,-0.4536,200.0556,4942.957,1.8408,,,
25000,-5777.9988,500.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,500,-3924.8988,32.9662
25500,,,1.2363,6.1513,0.4641,371.7291,10.3588,79.0678,-0.4577,105.4963,4449.0259,1.7539,,,
