env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
6964,,,12,-1.8792,100.0285,,,,,,,,,
6988,,,24,9.7959,99.8785,,,,,,,,,
6996,,,8,-4.3527,100.0055,,,,,,,,,
7000,,,,,,1.2314,0.7485,0.1312,-64.1959,10.1074,0.25,24.6366,61.4928,1.5154
7139,,,143,138.5825,99.9401,,,,,,,,,
7146,,,7,-4.2196,100.8877,,,,,,,,,
7180,,,34,14.9162,99.9068,,,,,,,,,
7209,,,29,7.4026,100.227,,,,,,,,,
7233,,,24,14.4423,100.1449,,,,,,,,,
7245,,,12,0.1826,100.188,,,,,,,,,
7255,,,10,0.2108,100.3014,,,,,,,,,
7418,,,163,121.1951,99.7826,,,,,,,,,
7445,,,27,8.3751,99.6809,,,,,,,,,
7500,,,,,,1.2117,0.741,0.1266,-71.6978,7.879,0.2318,30.1267,139.0422,2.1037
7520,,,75,54.1441,99.6442,,,,,,,,,
7636,,,116,178.1418,99.1993,,,,,,,,,
7762,,,126,225.0141,98.8868,,,,,,,,,
7772,,,10,-4.3029,100.1637,,,,,,,,,
7780,,,8,-2.7434,100.8728,,,,,,,,,
7811,,,31,7.9721,99.8474,,,,,,,,,
7840,,,29,3.6656,99.5456,,,,,,,,,
7847,,,7,-3.5207,99.5336,,,,,,,,,
7856,,,9,-1.9734,99.5229,,,,,,,,,
7880,,,24,5.2304,100.0859,,,,,,,,,
7898,,,18,8.4495,99.8557,,,,,,,,,
8000,,,,,,1.2068,0.7384,0.1263,-77.022,7.0597,0.2314,26.5664,118.8956,2.3112
8046,,,148,88.724,99.8182,,,,,,,,,
8063,,,17,1.3473,99.2261,,,,,,,,,
8074,,,11,-0.9831,100.0242,,,,,,,,,
8083,,,9,-1.202,100.038,,,,,,,,,
8093,,,10,-0.3035,99.9791,,,,,,,,,
8100,,,7,-3.3162,100.8142,,,,,,,,,
8113,,,13,-1.5764,99.8995,,,,,,,,,
8214,,,101,122.2969,100.0258,,,,,,,,,
8241,,,27,6.9951,99.7111,,,,,,,,,
8252,,,11,0.5686,99.4144,,,,,,,,,
8277,,,25,6.9694,99.9685,,,,,,,,,
8285,,,8,-1.8882,99.7741,,,,,,,,,
8302,,,17,0.9548,100.4105,,,,,,,,,
8318,,,16,5.2565,99.6627,,,,,,,,,
8344,,,26,14.0206,99.5722,,,,,,,,,
8394,,,50,31.4606,99.9039,,,,,,,,,
8404,,,10,-0.218,100.0822,,,,,,,,,
8417,,,13,1.2033,99.4527,,,,,,,,,
8425,,,8,-5.0589,100.2939,,,,,,,,,
8469,,,44,37.4942,99.9459,,,,,,,,,
8476,,,7,-2.9854,99.8226,,,,,,,,,
8500,,,,,,1.1786,0.7484,0.1248,-83.5876,14.4758,0.1987,37.1553,117.8222,2.105
8511,,,35,16.8251,100.235,,,,,,,,,
