env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
20500,,,0.3661,0.7379,0.1455,-66.0829,4.9915,0.0535,-0.2616,1.7672,52.4338,1.9533,,,
21000,,,0.3652,0.7424,0.1323,-64.9609,4.0629,0.0595,-0.2553,1.828,46.9927,1.4566,,,
21000,,,,,,,,,,,,,1000,238.7834,79.0524
21500,,,0.3693,0.7446,0.1339,-64.6061,5.2228,0.0602,-0.2674,1.5249,86.5662,2.3514,,,
22000,,,0.3704,0.7553,0.1306,-67.3971,4.1222,0.0623,-0.2541,2.1084,80.3791,1.7127,,,
22000,,,,,,,,,,,,,1000,59.5607,80.251
22500,,,0.3712,0.7437,0.1277,-68.0028,5.4324,0.0645,-0.2578,1.7532,75.1001,2.0459,,,
23000,,,0.3769,0.7427,0.1373,-66.2613,5.0215,0.0626,-0.2757,1.9449,127.0058,1.3718,,,
23000,,,,,,,,,,,,,1000,128.3455,79.1789
23500,,,0.3755,0.7562,0.1362,-71.6675,4.3866,0.0626,-0.2565,2.1071,87.1982,1.9095,,,
24000,,,0.3806,0.7493,0.1453,-74.799,4.0607,0.0604,-0.2888,2.1445,70.2218,2.2089,,,
24000,,,,,,,,,,,,,1000,1174.035,79.8688
24500,,,0.3779,0.7508,0.1318,-75.406,4.3046,0.0656,-0.2619,1.8221,73.1148,1.6399,,,
25000,,,0.3744,0.7553,0.1318,-74.3161,4.359,0.0642,-0.2635,2.519,77.6739,1.6511,,,
25000,2743.4184,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,1162.81,66.715
25500,,,0.3784,0.7596,0.1381,-80.3443,4.4985,0.0627,-0.2679,1.8341,123.1012,2.6934,,,
26000,,,0.3753,0.7603,0.1387,-81.1734,4.8089,0.0613,-0.2713,2.0403,170.5494,1.5955,,,
26000,,,,,,,,,,,,,1000,1165.6104,76.46
26500,,,0.3722,0.7666,0.1416,-83.1869,5.8294,0.0583,-0.2808,2.3445,108.5662,3.518,,,
27000,,,0.3777,0.7619,0.1333,-84.6622,6.7795,0.0649,-0.2668,3.6201,81.6712,3.0663,,,
27000,,,,,,,,,,,,,1000,325.9735,78.0375
27500,,,0.3891,0.7615,0.1397,-82.9277,4.7817,0.0673,-0.2698,2.1607,137.0832,2.3614,,,
28000,,,0.3839,0.7573,0.1413,-85.141,5.6026,0.0644,-0.2871,2.1852,70.6681,2.5556,,,
28000,,,,,,,,,,,,,1000,337.6003,78.5923
28500,,,0.3834,0.7547,0.1364,-87.9189,4.894,0.0665,-0.2721,2.4112,87.1733,2.3699,,,
29000,,,0.3938,0.7521,0.1403,-87.1185,5.2638,0.0703,-0.2629,2.1528,56.6815,2.2534,,,
29000,,,,,,,,,,,,,1000,585.7339,78.5599
29500,,,0.3724,0.7634,0.1273,-92.6568,5.6871,0.0655,-0.2612,2.0152,87.3178,2.853,,,
30000,,,0.3838,0.7643,0.139,-93.4063,5.0187,0.0654,-0.271,2.4111,79.1595,2.6891,,,
30000,2847.8866,1000.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,1000,1342.9511,65.9189
30500,,,0.3893,0.7632,0.1506,-94.607,4.0848,0.062,-0.2803,2.6999,57.2996,1.706,,,
31000,,,0.3735,0.7593,0.1491,-99.5979,4.5509,0.0558,-0.2888,2.7216,60.4388,2.6711,,,
31000,,,,,,,,,,,,,1000,767.6907,78.0133
31500,,,0.372,0.7665,0.1238,-99.7559,4.0039,0.0666,-0.2507,2.7005,170.1691,2.762,,,
32000,,,0.3834,0.753,0.1585,-95.4892,4.876,0.0561,-0.2902,1.9839,71.0671,2.0869,,,
32000,,,,,,,,,,,,,1000,512.5047,79.8689
32500,,,0.3858,0.7665,0.1343,-100.1787,5.298,0.0688,-0.2697,2.6664,65.3789,1.5285,,,
33000,,,0.3867,0.7664,0.1371,-102.7591,5.6959,0.0675,-0.2727,2.8582,71.0446,2.3882,,,
33000,,,,,,,,,,,,,1000,246.2358,77.5311
33500,,,0.3869,0.7746,0.1469,-99.8421,3.9909,0.0626,-0.2945,2.2896,74.1702,1.4119,,,
34000,,,0.3926,0.7634,0.1439,-106.6943,5.0977,0.0665,-0.2749,2.7762,76.1893,2.721,,,
34000,,,,,,,,,,,,,1000,504.0821,78.3471
34500,,,0.3886,0.7678,0.1394,-107.6351,5.3363,0.067,-0.2709,4.1383,162.3134,3.5303,,,
35000,,,0.3851,0.7688,0.1442,-108.8645,5.426,0.0636,-0.2759,2.1669,82.1638,3.3493,,,
35000,3038.3799,1000.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,1000,1717.4127,66.0035
35500,,,0.3873,0.773,0.1414,-107.4959,5.0807,0.0658,-0.2665,2.7385,118.2872,2.261,,,
36000,,,0.3841,0.7655,0.1461,-112.9053,4.1773,0.0619,-0.2876,3.111,151.5448,2.6206,,,
36000,,,,,,,,,,,,,1000,499.7873,77.4448
36500,,,0.3833,0.7772,0.1551,-118.1513,5.5262,0.0581,-0.3045,4.6725,122.6869,2.2994,,,
37000,,,0.3809,0.7692,0.1405,-114.0584,5.1044,0.0631,-0.2919,2.5807,94.6334,2.9008,,,
37000,,,,,,,,,,,,,1000,1002.4245,77.4751
37500,,,0.3826,0.7579,0.1353,-116.7957,6.73,0.0667,-0.2718,3.1791,128.1337,3.2482,,,
38000,,,0.3831,0.774,0.1356,-121.9857,4.2004,0.0664,-0.2693,2.8951,105.0797,3.0562,,,
38000,,,,,,,,,,,,,1000,1622.4838,78.305
38500,,,0.3823,0.7722,0.1349,-123.69,5.5217,0.0662,-0.2623,4.5361,173.2543,3.5555,,,
39000,,,0.3838,0.7747,0.1341,-122.469,6.0379,0.068,-0.2588,3.4055,129.0824,3.3156,,,
39000,,,,,,,,,,,,,1000,781.5461,79.7491
39500,,,0.378,0.7737,0.1381,-119.8415,4.7786,0.0632,-0.271,2.8827,92.9997,3.2369,,,
40000,,,0.3676,0.7732,0.1352,-119.7996,3.6553,0.0599,-0.2799,3.0869,51.9523,2.0078,,,
40000,2946.2119,1000.0,,,,,,,,,,,,,
40000,,,,,,,,,,,,,1000,519.1543,66.7459
40500,,,0.375,0.7701,0.1302,-128.4778,4.2977,0.0657,-0.2597,4.5422,117.6083,2.4085,,,
41000,,,0.383,0.7782,0.1404,-126.2521,5.4902,0.0646,-0.2769,3.8101,132.2498,3.9113,,,
41000,,,,,,,,,,,,,1000,871.7525,76.3788
41500,,,0.3803,0.7793,0.1368,-131.3424,4.8198,0.0646,-0.2718,5.1144,109.9704,1.9415,,,
42000,,,0.3812,0.792,0.1332,-130.0041,7.1173,0.0675,-0.2631,5.657,149.1673,7.0326,,,
42000,,,,,,,,,,,,,1000,1943.3674,77.4553
42500,,,0.3869,0.7813,0.1395,-132.5431,5.0718,0.067,-0.2715,4.5535,201.2764,3.7746,,,
43000,,,0.3725,0.7888,0.1386,-137.3772,4.6279,0.0602,-0.2754,2.598,83.1931,1.6892,,,
43000,,,,,,,,,,,,,1000,1904.9697,77.9615
43500,,,0.3767,0.7849,0.1343,-137.2859,5.1676,0.0642,-0.2632,3.3564,161.1167,3.0164,,,
44000,,,0.3587,0.7836,0.2202,-135.7843,5.8831,0.0249,-0.3647,3.6782,125.365,4.362,,,
44000,,,,,,,,,,,,,1000,1810.9207,78.821
44500,,,0.3714,0.7944,0.1366,-143.8145,4.6095,0.0603,-0.2804,3.0309,108.0236,2.3022,,,
45000,,,0.3645,0.7918,0.1297,-144.3427,5.6936,0.0603,-0.2611,3.2879,132.9673,3.5801,,,
45000,3340.6412,1000.0,,,,,,,,,,,,,
45000,,,,,,,,,,,,,1000,2011.2462,66.1866
45500,,,0.3648,0.7999,0.1271,-150.3876,3.6995,0.0615,-0.2487,2.1854,74.2184,1.9749,,,
46000,,,0.3603,0.7968,0.1231,-144.058,4.8256,0.0622,-0.2459,9.3525,303.0412,2.9938,,,
46000,,,,,,,,,,,,,1000,1980.2103,78.1766
46500,,,0.3694,0.8017,0.1316,-146.7746,4.3684,0.0617,-0.2473,4.2948,207.5655,2.4974,,,
47000,,,0.3664,0.7995,0.1245,-146.2362,4.5489,0.0642,-0.2435,3.9486,139.5126,3.3974,,,
47000,,,,,,,,,,,,,1000,2316.8961,80.0706
47500,,,0.3637,0.8014,0.122,-151.8226,3.6265,0.0637,-0.2362,4.6989,160.4261,3.8652,,,
48000,,,0.3555,0.7896,0.1297,-151.1606,4.0203,0.0559,-0.2627,3.0495,106.1598,2.364,,,
48000,,,,,,,,,,,,,1000,2308.9432,78.0377
48500,,,0.3594,0.8015,0.1354,-156.9227,3.8273,0.0548,-0.2747,2.4232,126.4932,2.8263,,,
49000,,,0.3626,0.8109,0.1297,-153.4127,4.7144,0.0592,-0.2572,3.5714,136.2759,2.3689,,,
49000,,,,,,,,,,,,,1000,1595.0763,79.0373
49500,,,0.3523,0.7919,0.1097,-150.1576,4.2972,0.0652,-0.222,2.853,203.4525,4.48,,,
50000,,,0.3711,0.8052,0.1295,-157.7958,3.9115,0.0635,-0.2492,3.489,127.5298,2.6228,,,
50000,3553.8941,1000.0,,,,,,,,,,,,,
50000,,,,,,,,,,,,,1000,548.8647,65.0219
