env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
21500,,,50,50,10,48.7168,-60.2364,2.6094,0.7031,-4.046,1.7029,15.1702,1.9969,,,
22000,,,50,50,10,46.7844,-63.5773,2.0228,0.5955,-4.0365,1.9677,89.6497,2.0172,,,
22000,,,,,,,,,,,,,,1000,910.9384,31.0404
22500,,,50,50,10,46.5605,-63.1259,2.3336,0.606,-3.7871,1.3653,20.0544,0.9224,,,
23000,,,50,50,10,50.4968,-67.9382,1.9796,0.5982,-4.1725,1.9182,49.6267,1.4213,,,
23000,,,,,,,,,,,,,,1000,916.4169,30.9739
23500,,,50,50,11,45.6147,-66.2463,1.9869,0.6595,-4.2025,1.8269,49.5401,1.891,,,
24000,,,50,50,11,48.0688,-67.4923,2.6697,0.7261,-3.9767,1.7612,37.5985,2.2774,,,
24000,,,,,,,,,,,,,,1000,527.0219,31.2841
24500,,,50,50,10,44.9331,-71.6013,2.5868,0.638,-4.0065,1.8315,54.3477,1.8833,,,
25000,,,50,50,10,48.2088,-74.863,2.0642,0.6028,-4.0523,1.904,33.0964,1.9704,,,
25000,1901.5292,1000.0,,,,,,,,,,,,,,
25000,,,,,,,,,,,,,,1000,974.036,28.0293
25500,,,50,50,10,46.7079,-74.7771,2.3653,0.5854,-3.6694,2.1356,20.6816,1.4885,,,
26000,,,50,50,11,47.225,-76.9465,1.8435,0.6625,-4.1332,1.6945,28.5834,1.6433,,,
26000,,,,,,,,,,,,,,1000,438.7844,30.9924
26500,,,50,50,12,46.6478,-75.5922,2.0893,0.68,-4.35,2.4381,34.1058,1.7242,,,
27000,,,50,50,10,46.5865,-80.7757,2.88,0.724,-4.4464,2.3605,31.8852,1.9932,,,
27000,,,,,,,,,,,,,,1000,295.715,31.1013
27500,,,50,50,10,43.2099,-77.0747,2.4578,0.6843,-4.211,1.9229,32.7619,1.8121,,,
28000,,,50,50,12,44.404,-85.3961,2.9444,0.6528,-4.2989,3.9719,51.5946,1.6852,,,
28000,,,,,,,,,,,,,,1000,284.0634,31.0641
28500,,,50,50,12,41.9925,-79.7134,2.7123,0.6708,-4.1448,2.5627,91.6914,1.3307,,,
29000,,,50,50,12,42.5625,-83.7721,2.3686,0.6249,-4.0652,2.5685,78.7654,2.4537,,,
