env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
23000,,,0.9337,0.7187,0.0857,-27.3983,7.3638,0.3301,2.5777,6.8538,0.7937,,,
23000,,,,,,,,,,,,1000,212.4805,93.4234
23500,,,0.9636,0.7225,0.0897,-29.4958,6.5618,0.3671,2.5112,6.0679,1.5137,,,
24000,,,0.9762,0.7286,0.0924,-32.2583,5.6317,0.3787,2.814,6.4135,1.2682,,,
24000,,,,,,,,,,,,1000,829.3724,93.7251
24500,,,0.9753,0.723,0.0917,-31.6924,6.8852,0.3741,2.8308,12.4699,1.2328,,,
25000,,,0.9549,0.7186,0.0911,-32.3272,6.706,0.3618,2.443,17.2601,0.9303,,,
25000,1699.4699,1000.0,,,,,,,,,,,,
25000,,,,,,,,,,,,1000,-36.4099,82.3697
25500,,,0.9904,0.7199,0.0938,-35.5207,6.251,0.4002,2.9534,11.0808,1.4061,,,
26000,,,0.9964,0.7217,0.0947,-36.413,7.2869,0.4102,3.9365,15.4191,1.1095,,,
26000,,,,,,,,,,,,1000,47.6491,96.3708
26500,,,0.9842,0.7268,0.0933,-38.323,7.1382,0.3807,2.999,16.0111,1.1586,,,
27000,,,0.9944,0.7321,0.0946,-37.5321,6.3692,0.401,3.3201,19.5001,1.3163,,,
27000,,,,,,,,,,,,1000,246.7994,93.3009
27500,,,1.0066,0.7225,0.0961,-39.5579,6.7862,0.4213,3.5472,16.3227,1.5912,,,
28000,,,1.0029,0.7287,0.0963,-39.662,9.9184,0.4149,3.5302,33.15,1.5641,,,
28000,,,,,,,,,,,,1000,398.9882,94.5998
28500,,,0.9995,0.7272,0.0956,-42.3483,9.1558,0.4038,2.9919,15.4163,1.0005,,,
29000,,,1.0232,0.7328,0.0985,-44.0984,6.9682,0.4418,3.6436,27.487,1.2009,,,
29000,,,,,,,,,,,,1000,1041.6375,97.2546
29500,,,1.0104,0.7334,0.0989,-48.4032,9.3074,0.4133,4.8887,21.6648,1.8852,,,
30000,,,1.0145,0.7324,0.0975,-49.4194,7.3153,0.4191,3.221,11.9942,1.6831,,,
30000,1793.1538,1000.0,,,,,,,,,,,,
30000,,,,,,,,,,,,1000,477.104,81.0074
30500,,,1.0095,0.7306,0.0958,-48.1859,8.2121,0.4203,3.4017,20.1425,1.393,,,
31000,,,1.0554,0.7368,0.1037,-53.0305,9.2728,0.4754,4.0952,19.8937,2.0763,,,
31000,,,,,,,,,,,,1000,695.0368,94.5612
31500,,,1.0113,0.738,0.0962,-53.1571,7.3414,0.4254,3.5379,14.247,1.8766,,,
32000,,,0.9991,0.7353,0.0961,-52.1248,7.9899,0.4033,3.6292,32.3256,1.6641,,,
32000,,,,,,,,,,,,1000,126.7709,94.9602
32500,,,1.0179,0.7426,0.0988,-55.399,10.0027,0.4223,3.751,27.0996,1.3841,,,
33000,,,0.9721,0.7389,0.0915,-56.3893,7.7212,0.3698,5.6733,18.9612,1.7646,,,
33000,,,,,,,,,,,,1000,1340.668,93.1609
33500,,,1.0704,0.7421,0.1033,-58.0558,9.821,0.497,3.5324,14.6071,1.3984,,,
34000,,,1.0252,0.7347,0.0982,-58.7796,8.5204,0.4372,9.1915,48.1926,1.8863,,,
34000,,,,,,,,,,,,1000,308.7131,96.5374
34500,,,1.0455,0.7455,0.1012,-61.7428,9.2161,0.46,4.6163,20.0923,1.4366,,,
35000,,,0.993,0.7429,0.0941,-60.0986,8.7488,0.3898,4.7359,21.3062,2.2422,,,
35000,2185.2063,1000.0,,,,,,,,,,,,
35000,,,,,,,,,,,,1000,493.867,77.9309
35500,,,0.9728,0.7388,0.0924,-60.6017,7.6307,0.3723,6.2824,55.0603,0.9554,,,
36000,,,0.9936,0.7365,0.0934,-62.0545,7.6133,0.403,4.4403,25.0326,1.3027,,,
36000,,,,,,,,,,,,1000,139.7298,93.136
36500,,,1.0149,0.7441,0.0981,-62.8072,8.4572,0.4334,4.113,22.258,1.5291,,,
37000,,,1.0069,0.7392,0.0973,-68.4484,8.6526,0.421,5.032,41.0506,1.561,,,
37000,,,,,,,,,,,,1000,1421.3474,92.9995
37500,,,0.9987,0.7462,0.0956,-67.0934,9.8456,0.4003,4.7055,30.4187,1.7981,,,
38000,,,1.0174,0.7574,0.0967,-70.6881,8.7238,0.4159,4.5101,18.5417,0.9943,,,
