env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
3000,,,,,,50,50,31,13.6129,-71.4136,3.5094,0.2259,-1.5703,8.0308,64.7854,0.8626
3025,,,31,153.5682,6.7211,,,,,,,,,,,
3082,,,57,294.0913,6.4183,,,,,,,,,,,
3132,,,50,249.2898,7.3228,,,,,,,,,,,
3159,,,27,129.4184,9.0781,,,,,,,,,,,
3186,,,27,131.2062,8.553,,,,,,,,,,,
3219,,,33,154.3005,6.1888,,,,,,,,,,,
3250,,,31,142.7308,6.1832,,,,,,,,,,,
3297,,,47,213.5124,6.8168,,,,,,,,,,,
3342,,,45,210.2023,7.8843,,,,,,,,,,,
3371,,,29,133.657,6.4564,,,,,,,,,,,
3409,,,38,192.126,7.6146,,,,,,,,,,,
3433,,,24,118.6826,6.877,,,,,,,,,,,
3491,,,58,274.1987,6.8142,,,,,,,,,,,
3500,,,,,,50,50,33,14.0326,-81.9953,3.5479,0.2348,-1.6697,9.7454,25.4068,0.4797
3534,,,43,194.8378,6.7234,,,,,,,,,,,
3574,,,40,192.5293,7.0177,,,,,,,,,,,
3600,,,26,119.3836,6.4703,,,,,,,,,,,
3682,,,82,421.0652,6.6017,,,,,,,,,,,
3702,,,20,98.1185,7.4603,,,,,,,,,,,
3737,,,35,180.8321,6.7794,,,,,,,,,,,
3795,,,58,264.1387,7.2368,,,,,,,,,,,
3868,,,73,379.9444,7.1056,,,,,,,,,,,
3893,,,25,125.003,7.807,,,,,,,,,,,
3911,,,18,87.0184,6.7994,,,,,,,,,,,
3956,,,45,233.9007,6.8984,,,,,,,,,,,
3990,,,34,169.7599,6.0739,,,,,,,,,,,
4000,,,,,,50,50,31,14.6575,-94.2439,5.2398,0.2118,-1.5482,16.8254,109.7954,1.2365
4013,,,23,115.0951,6.0265,,,,,,,,,,,
4046,,,33,166.4965,7.5766,,,,,,,,,,,
4107,,,61,325.3088,6.9135,,,,,,,,,,,
4146,,,39,186.8676,6.6218,,,,,,,,,,,
4167,,,21,103.6382,7.1547,,,,,,,,,,,
4207,,,40,211.4052,8.4716,,,,,,,,,,,
4260,,,53,253.9599,7.4751,,,,,,,,,,,
4298,,,38,188.969,6.2915,,,,,,,,,,,
4336,,,38,183.659,6.5224,,,,,,,,,,,
4368,,,32,148.7524,6.5927,,,,,,,,,,,
4414,,,46,232.5895,6.1466,,,,,,,,,,,
4435,,,21,103.4042,6.2219,,,,,,,,,,,
4496,,,61,317.7908,6.8227,,,,,,,,,,,
4500,,,,,,50,50,27,14.6476,-106.1733,4.3847,0.1933,-1.553,26.4974,174.6923,1.2359
4527,,,31,152.6849,7.1426,,,,,,,,,,,
4568,,,41,216.1226,7.3874,,,,,,,,,,,
4616,,,48,224.6246,6.3663,,,,,,,,,,,
4690,,,74,399.1354,6.5815,,,,,,,,,,,
4718,,,28,139.7803,6.1091,,,,,,,,,,,
4744,,,26,131.588,6.637,,,,,,,,,,,
4797,,,53,265.9133,7.2758,,,,,,,,,,,
4853,,,56,277.9157,6.7819,,,,,,,,,,,
4897,,,44,236.0151,7.12,,,,,,,,,,,
4941,,,44,207.7183,6.4051,,,,,,,,,,,
4986,,,45,233.6621,6.877,,,,,,,,,,,
5000,,,,,,50,50,26,15.2871,-117.7163,5.4623,0.1839,-1.553,20.4998,87.3022,1.4656
5000,271.5718,54.8,,,,,,,,,,,,,,
5025,,,39,198.2501,5.2708,,,,,,,,,,,
5072,,,47,236.1734,6.0318,,,,,,,,,,,
5121,,,49,222.3619,7.0669,,,,,,,,,,,
5161,,,40,194.8721,6.439,,,,,,,,,,,
5188,,,27,134.2074,7.0512,,,,,,,,,,,
5237,,,49,255.7131,9.7792,,,,,,,,,,,
5282,,,45,245.2786,8.256,,,,,,,,,,,
5327,,,45,230.1446,7.4608,,,,,,,,,,,
5379,,,52,258.9014,6.7663,,,,,,,,,,,
5425,,,46,240.2457,7.243,,,,,,,,,,,
5442,,,17,80.9451,7.9313,,,,,,,,,,,
5470,,,28,143.2597,7.3188,,,,,,,,,,,
5497,,,27,129.641,6.8311,,,,,,,,,,,
5500,,,,,,50,50,22,16.7917,-128.9108,8.3565,0.1806,-1.5898,23.0888,118.8338,1.1747
5542,,,45,239.7187,6.8936,,,,,,,,,,,
5575,,,33,164.5053,6.8807,,,,,,,,,,,
5607,,,32,154.4116,8.464,,,,,,,,,,,
5649,,,42,215.3318,8.0848,,,,,,,,,,,
5680,,,31,152.5437,7.6648,,,,,,,,,,,
5765,,,85,427.2142,8.0683,,,,,,,,,,,
5789,,,24,117.504,6.3357,,,,,,,,,,,
5831,,,42,209.1592,6.6466,,,,,,,,,,,
5855,,,24,114.1933,7.1923,,,,,,,,,,,
5885,,,30,141.3937,7.2609,,,,,,,,,,,
5930,,,45,238.4652,8.321,,,,,,,,,,,
5965,,,35,184.0004,6.2432,,,,,,,,,,,
6000,,,,,,50,50,23,15.8541,-136.8412,12.0193,0.2034,-1.5326,26.396,108.4479,4.054
6005,,,40,190.8081,7.6064,,,,,,,,,,,
6051,,,46,215.7333,7.2501,,,,,,,,,,,
6108,,,57,274.1064,6.9624,,,,,,,,,,,
6135,,,27,138.4899,5.9306,,,,,,,,,,,
6169,,,34,176.3034,6.6049,,,,,,,,,,,
6192,,,23,111.9221,6.98,,,,,,,,,,,
6221,,,29,135.5813,6.5073,,,,,,,,,,,
6250,,,29,146.8252,6.7583,,,,,,,,,,,
6290,,,40,196.3551,8.2621,,,,,,,,,,,
6340,,,50,278.6304,6.9015,,,,,,,,,,,
6374,,,34,173.1294,6.1833,,,,,,,,,,,
6407,,,33,155.0642,7.7035,,,,,,,,,,,
6436,,,29,148.0938,7.2185,,,,,,,,,,,
6484,,,48,232.2445,6.7272,,,,,,,,,,,
6500,,,,,,50,50,22,16.2022,-152.2653,10.2439,0.1841,-1.4958,70.994,250.0135,2.0896
6517,,,33,169.6709,6.3113,,,,,,,,,,,
6542,,,25,127.5284,6.2716,,,,,,,,,,,
6578,,,36,186.8961,6.7821,,,,,,,,,,,
6600,,,22,108.9647,7.9349,,,,,,,,,,,
6646,,,46,235.2217,6.4254,,,,,,,,,,,
6685,,,39,206.4747,7.8174,,,,,,,,,,,
6715,,,30,148.0042,7.4944,,,,,,,,,,,
6760,,,45,227.0445,7.0853,,,,,,,,,,,
6818,,,58,302.3269,7.1048,,,,,,,,,,,
6867,,,49,237.4474,6.238,,,,,,,,,,,
6912,,,45,227.1119,6.0746,,,,,,,,,,,
6936,,,24,118.8106,6.1426,,,,,,,,,,,
6966,,,30,152.0194,6.8785,,,,,,,,,,,
7000,,,,,,50,50,19,16.8947,-162.4805,10.1061,0.2119,-1.5961,41.627,104.6051,1.7021
7006,,,40,202.5441,7.3806,,,,,,,,,,,
7037,,,31,154.2216,7.7641,,,,,,,,,,,
7068,,,31,142.2845,6.3627,,,,,,,,,,,
7099,,,31,153.528,8.4322,,,,,,,,,,,
7168,,,69,353.2156,6.8792,,,,,,,,,,,
7202,,,34,179.8183,7.2183,,,,,,,,,,,
7223,,,21,104.6346,8.0803,,,,,,,,,,,
7277,,,54,287.5558,7.1948,,,,,,,,,,,
7344,,,67,337.6459,10.1129,,,,,,,,,,,
7367,,,23,115.4104,10.3465,,,,,,,,,,,
7384,,,17,81.2798,10.4287,,,,,,,,,,,
7405,,,21,102.4114,8.183,,,,,,,,,,,
7456,,,51,249.9025,7.6207,,,,,,,,,,,
7474,,,18,86.4305,7.5158,,,,,,,,,,,
7500,,,,,,50,50,22,16.1302,-170.4628,18.0875,0.2085,-1.8241,61.815,252.4627,5.636
7500,,,26,131.627,6.9643,,,,,,,,,,,
7545,,,45,230.153,7.9567,,,,,,,,,,,
7598,,,53,284.7073,7.9698,,,,,,,,,,,
7626,,,28,143.287,6.3226,,,,,,,,,,,
7645,,,19,91.0809,9.0614,,,,,,,,,,,
7696,,,51,275.7049,7.4801,,,,,,,,,,,
7747,,,51,252.0889,7.5992,,,,,,,,,,,
7775,,,28,144.31,7.6079,,,,,,,,,,,
7829,,,54,285.8576,7.0679,,,,,,,,,,,
7873,,,44,225.9018,7.4412,,,,,,,,,,,
7897,,,24,121.327,7.8922,,,,,,,,,,,
7948,,,51,265.267,7.4218,,,,,,,,,,,
7983,,,35,167.281,8.7952,,,,,,,,,,,
7999,,,16,76.3105,6.3901,,,,,,,,,,,
8000,,,,,,50,50,20,17.2247,-186.8531,15.6444,0.2016,-1.6227,81.7645,181.6615,1.959
8031,,,32,154.1987,7.8256,,,,,,,,,,,
8067,,,36,183.5526,6.6841,,,,,,,,,,,
8111,,,44,228.1596,7.5128,,,,,,,,,,,
8153,,,42,211.28,8.3154,,,,,,,,,,,
8180,,,27,141.6154,7.6806,,,,,,,,,,,
8209,,,29,140.1981,7.8606,,,,,,,,,,,
8239,,,30,148.5878,6.2825,,,,,,,,,,,
8259,,,20,97.1857,6.6347,,,,,,,,,,,
8308,,,49,268.3538,7.0509,,,,,,,,,,,
8343,,,35,181.4709,9.2808,,,,,,,,,,,
8397,,,54,266.5976,7.3129,,,,,,,,,,,
8454,,,57,282.6253,10.0871,,,,,,,,,,,
8500,,,,,,50,50,22,16.5433,-196.0658,16.91,0.2289,-1.6573,79.7706,453.687,1.4916
8502,,,48,261.8399,7.501,,,,,,,,,,,
8519,,,17,80.8562,9.5799,,,,,,,,,,,
8538,,,19,90.3903,6.7431,,,,,,,,,,,
8586,,,48,235.8525,7.4708,,,,,,,,,,,
8607,,,21,102.9663,7.7082,,,,,,,,,,,
8651,,,44,235.729,8.6969,,,,,,,,,,,
8709,,,58,298.8799,7.6474,,,,,,,,,,,
8758,,,49,233.0007,7.736,,,,,,,,,,,
8808,,,50,247.5677,9.4516,,,,,,,,,,,
8833,,,25,125.3342,10.0379,,,,,,,,,,,
8852,,,19,91.0429,7.7978,,,,,,,,,,,
8882,,,30,142.7823,6.737,,,,,,,,,,,
8926,,,44,201.8395,9.7971,,,,,,,,,,,
8973,,,47,213.7425,9.9503,,,,,,,,,,,
9000,,,,,,50,50,14,19.9157,-217.3269,18.1214,0.2219,-1.6469,87.8321,217.1635,2.3853
9024,,,51,264.8621,6.5038,,,,,,,,,,,
9059,,,35,165.0395,9.2127,,,,,,,,,,,
9113,,,54,266.5637,10.8861,,,,,,,,,,,
9156,,,43,219.2054,8.4096,,,,,,,,,,,
