env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
26000,,,50,50,12,42.4416,-69.6931,2.2497,1.4186,38.3953,1.4155,,,
26000,,,,,,,,,,,,1000,570.9823,23.2169
26500,,,50,50,13,42.7386,-69.3573,2.6255,1.6843,15.9992,1.9218,,,
27000,,,50,50,13,41.467,-74.4656,4.0118,1.6664,20.9998,1.7502,,,
27000,,,,,,,,,,,,1000,1124.0248,23.4779
27500,,,50,50,12,44.786,-74.5624,2.6724,1.6689,32.0479,1.9843,,,
28000,,,50,50,13,42.1513,-78.0915,2.7881,1.6333,63.8223,1.9963,,,
28000,,,,,,,,,,,,1000,443.8478,22.6647
28500,,,50,50,12,42.8133,-78.5098,3.1117,1.784,29.7581,1.801,,,
29000,,,50,50,11,41.9991,-79.3596,2.7473,1.9354,45.0647,2.3956,,,
29000,,,,,,,,,,,,1000,1239.2822,23.0758
29500,,,50,50,11,43.9671,-82.9573,2.4402,2.172,33.0997,1.5945,,,
30000,,,50,50,11,43.7566,-84.6227,2.0004,1.7757,46.9855,1.7877,,,
30000,1532.3408,1000.0,,,,,,,,,,,,
30000,,,,,,,,,,,,1000,842.0931,17.1019
30500,,,50,50,12,44.5862,-87.21,2.4044,1.7521,27.0132,1.8874,,,
31000,,,50,50,12,44.9125,-85.5105,3.0144,1.8223,21.3866,2.6795,,,
31000,,,,,,,,,,,,1000,594.8456,23.024
31500,,,50,50,12,43.7675,-89.2315,2.4073,1.9911,30.8508,2.2359,,,
32000,,,50,50,13,41.7034,-85.5464,2.8333,2.2857,27.3628,2.1101,,,
32000,,,,,,,,,,,,1000,383.0113,22.0741
32500,,,50,50,12,41.52,-88.4806,2.4669,2.0462,64.2443,2.4904,,,
33000,,,50,50,12,40.9562,-90.566,2.8349,1.867,70.8112,1.8394,,,
33000,,,,,,,,,,,,1000,432.7784,22.774
33500,,,50,50,12,40.6489,-90.8686,2.5581,2.0738,31.5488,3.0367,,,
34000,,,50,50,13,42.9835,-92.4775,2.9921,2.3413,55.146,1.812,,,
34000,,,,,,,,,,,,1000,479.314,20.101
34500,,,50,50,12,39.6995,-93.8285,2.5459,3.4396,67.1542,2.6751,,,
35000,,,50,50,12,41.8627,-97.6063,2.9645,2.0167,75.0094,1.9986,,,
35000,2243.2362,1000.0,,,,,,,,,,,,
35000,,,,,,,,,,,,1000,1065.7733,15.5227
35500,,,50,50,13,38.329,-92.6272,2.9409,1.9303,31.0641,1.8378,,,
36000,,,50,50,13,38.1036,-98.6708,2.3496,1.7294,17.9189,2.3654,,,
36000,,,,,,,,,,,,1000,464.1704,21.607
36500,,,50,50,13,36.3163,-97.7937,2.4852,1.6607,25.785,2.0618,,,
37000,,,50,50,13,36.9771,-99.7895,2.6534,1.7681,26.3359,2.071,,,
37000,,,,,,,,,,,,1000,733.5896,21.8039
37500,,,50,50,12,42.1524,-102.6496,2.939,2.3158,46.5051,2.0679,,,
38000,,,50,50,14,37.2822,-101.7526,2.9841,1.9117,26.1318,2.286,,,
38000,,,,,,,,,,,,1000,537.4516,20.7652
38500,,,50,50,12,38.4158,-102.9223,3.9528,2.6379,93.8886,2.5468,,,
39000,,,50,50,12,39.3464,-103.0702,2.995,2.0395,25.4677,3.1804,,,
39000,,,,,,,,,,,,1000,945.9988,21.7736
39500,,,50,50,14,36.5932,-106.252,2.7363,2.0758,28.8812,2.2394,,,
40000,,,50,50,14,32.4444,-101.9205,4.2473,1.9689,19.908,2.4723,,,
40000,2380.8071,1000.0,,,,,,,,,,,,
40000,,,,,,,,,,,,1000,631.939,15.8748
40500,,,50,50,13,37.562,-109.232,2.6574,2.0524,28.8531,2.2975,,,
41000,,,50,50,14,34.3943,-104.1786,2.4454,2.2351,36.9823,2.9079,,,
41000,,,,,,,,,,,,1000,849.67,20.9946
41500,,,50,50,14,35.7973,-105.1823,3.1516,2.4385,62.2085,3.4889,,,
42000,,,50,50,14,37.196,-108.9609,3.1747,2.5508,58.1703,2.387,,,
42000,,,,,,,,,,,,1000,958.6859,20.7575
42500,,,50,50,13,36.716,-114.7059,2.8015,1.8943,44.4472,1.9547,,,
43000,,,50,50,14,35.0138,-109.0983,2.3141,2.2854,50.6571,2.244,,,
43000,,,,,,,,,,,,1000,1000.9212,19.1002
43500,,,50,50,13,36.966,-117.0155,3.5112,2.4871,28.6834,2.4042,,,
44000,,,50,50,14,35.6406,-116.7007,3.0911,2.7899,52.6836,3.6886,,,
44000,,,,,,,,,,,,1000,724.5463,19.6574
44500,,,50,50,14,34.4127,-114.3396,3.0048,1.7784,35.1521,3.2199,,,
45000,,,50,50,13,37.6739,-118.3171,2.4953,3.0755,84.1005,2.4379,,,
45000,2333.1623,1000.0,,,,,,,,,,,,
45000,,,,,,,,,,,,1000,607.9729,16.1567
45500,,,50,50,13,34.7954,-117.5118,3.0292,4.1827,63.2756,1.8157,,,
46000,,,50,50,13,36.4373,-116.8624,2.6055,2.3011,37.9743,2.1978,,,
46000,,,,,,,,,,,,1000,661.7255,21.857
46500,,,50,50,14,38.157,-119.2603,2.9018,3.9287,33.7086,2.123,,,
47000,,,50,50,13,34.6488,-119.4384,2.7457,6.4471,85.09,2.6087,,,
47000,,,,,,,,,,,,1000,1126.5244,22.2233
47500,,,50,50,13,33.7952,-118.6078,4.4635,2.1211,43.218,2.3271,,,
48000,,,50,50,14,35.7636,-124.3266,3.8953,3.1392,39.3007,4.0085,,,
48000,,,,,,,,,,,,1000,1248.0668,22.7055
48500,,,50,50,13,35.4999,-121.9976,3.0227,2.6769,44.2137,2.369,,,
49000,,,50,50,13,36.1091,-124.756,2.7534,2.5236,47.0392,2.3484,,,
49000,,,,,,,,,,,,1000,719.9618,22.603
49500,,,50,50,12,37.2661,-124.5874,4.1843,3.335,41.2233,2.2897,,,
50000,,,50,50,14,33.8888,-123.1575,3.6965,5.3913,114.0642,3.1249,,,
50000,2752.1607,1000.0,,,,,,,,,,,,
50000,,,,,,,,,,,,1000,1273.982,15.7504
50500,,,50,50,13,35.6409,-127.4801,3.7327,2.5353,51.4739,3.0058,,,
51000,,,50,50,14,35.0799,-126.7058,2.8075,2.3957,66.5408,2.195,,,
51000,,,,,,,,,,,,1000,1645.0635,21.5986
51500,,,50,50,12,36.8817,-130.9778,3.6467,4.0198,108.9467,2.7998,,,
52000,,,50,50,13,37.353,-128.1199,2.6748,3.256,64.3177,2.2198,,,
52000,,,,,,,,,,,,1000,1270.5113,21.4857
52500,,,50,50,11,42.5676,-132.5245,3.9085,2.6205,52.3055,3.6687,,,
53000,,,50,50,13,36.8436,-132.1334,3.0568,2.0518,28.2382,2.0731,,,
53000,,,,,,,,,,,,1000,1872.05,20.709
53500,,,50,50,13,37.6911,-133.8694,3.4033,2.6945,66.8915,2.2967,,,
54000,,,50,50,12,40.3956,-137.7733,3.493,2.9463,77.2048,3.9501,,,
54000,,,,,,,,,,,,1000,1727.5968,20.8226
54500,,,50,50,13,36.3092,-136.0762,3.1104,3.9308,127.6292,3.4392,,,
55000,,,50,50,12,39.2934,-138.3416,3.4599,3.0679,40.8408,3.3571,,,
55000,2898.0517,1000.0,,,,,,,,,,,,
55000,,,,,,,,,,,,1000,1822.8753,16.4177
55500,,,50,50,12,37.3002,-135.9712,4.0379,3.9741,65.4463,2.9838,,,
56000,,,50,50,12,40.2222,-141.0599,2.8368,2.9471,49.3251,2.6935,,,
56000,,,,,,,,,,,,1000,1398.3738,21.1537
56500,,,50,50,12,39.119,-142.2613,3.8652,2.2377,36.3257,2.0047,,,
57000,,,50,50,11,43.5016,-144.1017,2.4593,4.3177,56.2284,3.3114,,,
57000,,,,,,,,,,,,1000,1975.0768,21.7226
57500,,,50,50,11,41.8135,-141.4914,2.7951,2.4888,31.6907,3.8676,,,
58000,,,50,50,11,41.3528,-146.3322,4.3606,4.259,88.2299,4.3514,,,
58000,,,,,,,,,,,,1000,1891.6325,22.0318
58500,,,50,50,12,40.5608,-148.2818,3.2918,4.6349,60.6566,2.8099,,,
59000,,,50,50,11,42.3064,-147.8991,4.6167,3.7558,60.7621,2.4708,,,
59000,,,,,,,,,,,,1000,848.2373,21.4708
59500,,,50,50,11,43.6753,-146.5792,3.0925,2.4306,38.0629,2.5859,,,
60000,,,50,50,11,40.6078,-150.1881,4.16,3.356,136.6512,4.8974,,,
60000,3057.3554,1000.0,,,,,,,,,,,,
60000,,,,,,,,,,,,1000,1894.5558,15.919
60500,,,50,50,10,44.7302,-151.2625,3.0586,2.6443,41.5373,2.0503,,,
61000,,,50,50,11,41.0458,-148.2242,2.8053,3.0188,64.5494,2.4012,,,
61000,,,,,,,,,,,,1000,1995.9763,21.269
61500,,,50,50,11,39.2289,-151.0313,3.7126,4.6278,104.8658,1.8132,,,
62000,,,50,50,11,43.5935,-154.795,3.2286,2.4987,67.7703,1.8092,,,
62000,,,,,,,,,,,,1000,2056.8582,21.122
62500,,,50,50,11,44.3238,-155.7737,2.8126,2.9956,65.6068,1.823,,,
63000,,,50,50,11,44.3759,-154.4126,4.0537,2.7814,60.3746,2.678,,,
63000,,,,,,,,,,,,1000,1088.3726,21.5947
63500,,,50,50,11,41.7839,-156.826,5.6437,3.3714,83.2441,3.7157,,,
64000,,,50,50,11,40.0643,-162.0348,4.6485,3.8461,75.417,1.8263,,,
64000,,,,,,,,,,,,1000,2192.8243,22.0962
64500,,,50,50,10,45.6941,-159.9317,3.0212,3.1547,43.8239,2.7877,,,
65000,,,50,50,10,43.7866,-159.944,3.8366,3.5899,45.1694,1.8198,,,
65000,3181.1673,1000.0,,,,,,,,,,,,
65000,,,,,,,,,,,,1000,2249.7321,16.025
65500,,,50,50,11,42.9988,-164.9134,3.5193,3.4257,51.9158,2.053,,,
66000,,,50,50,11,42.2746,-166.7591,3.9473,2.5298,53.8687,2.6981,,,
66000,,,,,,,,,,,,1000,2268.6311,21.5246
66500,,,50,50,11,40.6862,-164.4493,3.477,3.4413,83.3267,2.0772,,,
67000,,,50,50,11,42.2393,-171.49,4.7351,2.524,38.3148,2.0076,,,
67000,,,,,,,,,,,,1000,2382.3544,21.4552
67500,,,50,50,11,39.371,-165.609,4.3328,2.9624,28.0869,2.2958,,,
68000,,,50,50,10,43.1577,-165.5801,3.2508,3.6009,55.1608,3.0961,,,
68000,,,,,,,,,,,,1000,2221.7258,21.2422
68500,,,50,50,10,43.5818,-171.3109,3.9573,2.812,81.211,2.7799,,,
69000,,,50,50,10,47.4141,-173.7378,4.0232,3.4667,139.0041,2.9994,,,
69000,,,,,,,,,,,,1000,2265.2199,21.7763
69500,,,50,50,8,47.3543,-177.6576,3.6448,4.2874,76.2353,2.4528,,,
70000,,,50,50,11,45.3398,-175.0102,3.6638,3.2873,67.0277,3.2707,,,
70000,3571.3396,1000.0,,,,,,,,,,,,
70000,,,,,,,,,,,,1000,2617.1009,15.9869
70500,,,50,50,11,43.8943,-176.8348,6.0965,3.9007,106.1495,2.615,,,
71000,,,50,50,8,50.8094,-180.8773,4.589,3.6568,82.5037,2.3021,,,
71000,,,,,,,,,,,,1000,2698.6938,20.6704
71500,,,50,50,8,50.3925,-179.9633,3.4402,4.6505,168.1839,1.7453,,,
72000,,,50,50,9,50.0454,-186.5396,4.2388,5.2026,144.6473,2.6694,,,
72000,,,,,,,,,,,,1000,2563.9714,21.4856
72500,,,50,50,9,47.8041,-184.394,3.9409,3.4131,81.1528,2.3041,,,
73000,,,50,50,7,51.2326,-186.2712,6.4321,6.509,122.5549,3.3943,,,
73000,,,,,,,,,,,,1000,2835.9856,22.2536
73500,,,50,50,8,51.9804,-186.369,4.8348,3.7535,74.402,3.517,,,
74000,,,50,50,8,52.8041,-185.2243,3.8384,4.5589,109.8377,3.1957,,,
74000,,,,,,,,,,,,1000,2891.1107,21.561
74500,,,50,50,6,53.8962,-189.6979,4.8414,3.7474,69.9503,2.7971,,,
75000,,,50,50,6,53.9579,-192.0929,4.7253,4.066,70.6055,2.9195,,,
75000,3491.0725,1000.0,,,,,,,,,,,,
75000,,,,,,,,,,,,1000,2868.3159,16.7587
75500,,,50,50,6,54.3184,-190.4691,3.0902,5.5794,208.6549,2.7772,,,
76000,,,50,50,7,51.4315,-192.7358,5.2992,3.6122,70.5922,4.2978,,,
76000,,,,,,,,,,,,1000,2980.8574,21.1975
76500,,,50,50,8,52.3654,-193.2945,4.1243,4.0708,212.6618,4.5207,,,
