env_steps,return,length,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
18000,,,50,50,15,55.8779,0.6907,0.4165,1.062,0.5227,-36.3137,1.5808,0.2448,1.6045,33.2193,1.4842,,,
18000,,,,,,,,,,,,,,,,,1000,431.2717,37.4566
18500,,,50,50,15,55.2211,0.6987,0.4817,1.0953,0.5912,-40.3715,1.9334,0.2873,1.0497,18.5824,1.1716,,,
19000,,,50,50,14,56.1458,0.6729,0.4174,1.0812,0.5255,-39.0533,1.9534,0.2174,1.1848,20.469,1.9677,,,
19000,,,,,,,,,,,,,,,,,1000,835.8543,37.3091
19500,,,50,50,14,58.8203,0.6931,0.5103,1.0941,0.6197,-36.5629,1.8444,0.2969,1.773,44.8793,1.2648,,,
20000,,,50,50,14,54.1539,0.73,0.4764,1.0975,0.5861,-48.0878,1.8713,0.3011,1.742,25.9446,1.8701,,,
20000,1913.8314,1000.0,,,,,,,,,,,,,,,,,
20000,,,,,,,,,,,,,,,,,1000,936.4214,31.6845
20500,,,50,50,14,58.3324,0.7662,0.5139,1.1405,0.628,-47.861,2.1463,0.2235,2.1073,57.8318,1.1199,,,
21000,,,50,50,14,57.3782,0.7182,0.4688,1.1051,0.5793,-47.1127,2.7573,0.2406,1.5475,24.0508,2.0094,,,
21000,,,,,,,,,,,,,,,,,1000,76.6528,37.7114
21500,,,50,50,14,60.6024,0.7747,0.5712,1.1555,0.6867,-54.712,2.4687,0.2816,1.5775,26.9612,1.8031,,,
22000,,,50,50,14,56.9748,0.7824,0.5622,1.1769,0.6799,-49.4115,3.2062,0.2795,1.6597,32.5834,1.3452,,,
22000,,,,,,,,,,,,,,,,,1000,383.2963,37.6995
22500,,,50,50,13,57.93,0.7641,0.5478,1.1419,0.662,-52.1481,2.4075,0.2995,1.6375,68.3104,1.6784,,,
23000,,,50,50,14,53.8607,0.7738,0.5371,1.1426,0.6513,-55.8705,1.7611,0.2401,2.2971,20.0385,1.9853,,,
23000,,,,,,,,,,,,,,,,,1000,732.3907,37.1074
23500,,,50,50,14,64.3408,0.8117,0.5379,1.1935,0.6573,-59.1913,2.303,0.2628,2.0291,38.4402,2.2411,,,
24000,,,50,50,14,58.0373,0.7422,0.4942,1.1243,0.6066,-61.1664,2.3236,0.2878,1.7126,32.5172,2.0896,,,
24000,,,,,,,,,,,,,,,,,1000,424.2815,37.4472
24500,,,50,50,12,60.0988,0.7518,0.4989,1.1456,0.6134,-58.6168,2.1996,0.2921,2.8366,27.3957,1.8372,,,
25000,,,50,50,15,58.9531,0.7946,0.5393,1.1778,0.6571,-63.5641,2.5664,0.3412,1.7874,27.4432,2.158,,,
25000,2032.2675,1000.0,,,,,,,,,,,,,,,,,
25000,,,,,,,,,,,,,,,,,1000,527.6285,28.7
25500,,,50,50,12,68.0414,0.7679,0.529,1.1425,0.6432,-58.3207,2.6779,0.2537,3.0312,36.1,2.2141,,,
