env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5939,1000.0,,,,,,,,,,,,,
500,,,0.8451,0.7277,0.3114,-0.4174,0.7784,0.3522,-0.2964,0.193,1.345,0.135,,,
1000,,,0.9209,0.6674,0.3001,-1.2018,0.5788,0.2816,-0.3063,0.3034,1.6668,0.1547,,,
1000,,,,,,,,,,,,,1000,-268.908,34.1949
1500,,,0.9467,0.7187,0.339,-2.1388,0.8754,0.3427,-0.3464,0.4143,2.2104,0.2413,,,
2000,,,0.9886,0.729,0.351,-3.707,1.2987,0.3222,-0.3489,0.622,5.7008,0.3295,,,
2000,,,,,,,,,,,,,1000,-366.8899,44.9756
2500,,,1.0032,0.6938,0.3449,-5.0925,3.2087,0.3074,-0.3329,0.9035,9.6758,0.4854,,,
3000,,,0.9886,0.7116,0.3879,-7.7652,3.961,0.3109,-0.3851,1.0296,10.4987,1.0003,,,
3000,,,,,,,,,,,,,1000,-246.1499,43.7412
3500,,,0.9868,0.738,0.3595,-9.503,3.7317,0.3433,-0.3599,1.0441,13.4101,0.9898,,,
4000,,,1.0094,0.7026,0.3621,-11.5216,4.7524,0.2985,-0.3641,1.315,28.3682,1.4601,,,
4000,,,,,,,,,,,,,1000,-102.6116,42.9959
4500,,,1.0101,0.7376,0.3576,-14.2614,6.5009,0.3255,-0.3575,1.5944,28.4192,1.5387,,,
5000,,,1.0279,0.7246,0.3541,-15.2116,6.5457,0.2858,-0.3537,1.3863,18.8834,1.5403,,,
5000,120.4943,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-192.8804,39.9902
5500,,,1.0493,0.7295,0.3786,-18.0191,5.5508,0.3189,-0.3591,1.5027,16.5685,1.2694,,,
6000,,,1.0428,0.7046,0.3598,-20.7844,5.372,0.3181,-0.3638,1.5233,28.614,1.265,,,
6000,,,,,,,,,,,,,1000,201.973,42.2493
