env_steps,return,length,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
27000,,,0.0505,-107.0503,4.3186,0.0505,1.9199,35.6853,1.706,,,
27000,,,,,,,,,,1000,1418.4123,105.2217
27500,,,0.0514,-108.4612,4.1319,0.0514,1.9547,45.9076,1.3293,,,
28000,,,0.0521,-108.2466,4.8646,0.0521,2.4062,89.8502,2.1299,,,
28000,,,,,,,,,,1000,1456.6085,105.0014
28500,,,0.0486,-110.934,4.6978,0.0486,1.9444,69.0042,2.352,,,
29000,,,0.0492,-111.717,4.5603,0.0492,2.0671,76.5525,2.4224,,,
29000,,,,,,,,,,1000,714.3808,104.9392
29500,,,0.051,-115.4867,4.2653,0.051,2.1422,73.4284,2.309,,,
30000,,,0.0505,-117.9737,4.3848,0.0505,2.3084,58.1568,1.9866,,,
30000,2898.4519,1000.0,,,,,,,,,,
30000,,,,,,,,,,1000,1626.6121,90.9849
30500,,,0.0502,-118.9823,4.4312,0.0502,2.343,61.6908,2.2681,,,
31000,,,0.0497,-120.3489,4.2448,0.0497,1.927,54.4102,2.96,,,
31000,,,,,,,,,,1000,1398.0891,104.6124
31500,,,0.0485,-124.1881,4.1102,0.0485,2.1482,49.0249,2.0417,,,
32000,,,0.0485,-127.0554,3.7759,0.0485,2.3238,53.9789,2.1604,,,
32000,,,,,,,,,,1000,1690.2472,103.0933
32500,,,0.0478,-128.8409,4.1928,0.0478,2.5747,48.306,1.8848,,,
33000,,,0.0484,-127.5641,3.5173,0.0484,2.2823,94.0766,1.5803,,,
33000,,,,,,,,,,1000,1515.5139,105.3944
33500,,,0.0478,-130.1465,4.025,0.0478,2.4566,115.2568,2.9557,,,
34000,,,0.0465,-130.3724,5.2421,0.0465,3.0553,75.8464,2.5936,,,
34000,,,,,,,,,,1000,1127.5806,102.7747
34500,,,0.0477,-133.0817,4.1909,0.0477,2.4398,96.5456,2.4766,,,
35000,,,0.0468,-133.6972,3.7165,0.0468,2.5255,66.5367,2.0798,,,
35000,2932.4572,1000.0,,,,,,,,,,
35000,,,,,,,,,,1000,1778.7154,89.3162
35500,,,0.0505,-138.328,4.8128,0.0505,2.0817,69.1203,1.6064,,,
36000,,,0.0477,-141.3907,4.1991,0.0477,2.256,38.2559,2.0005,,,
36000,,,,,,,,,,1000,1920.7207,101.9954
36500,,,0.0482,-142.8798,4.7466,0.0482,2.2327,62.7424,2.514,,,
37000,,,0.0471,-142.418,4.4131,0.0471,2.2557,48.7703,2.0707,,,
37000,,,,,,,,,,1000,1962.3476,102.6163
37500,,,0.0495,-142.6494,5.0205,0.0495,3.0185,98.0872,3.8073,,,
38000,,,0.0488,-146.8166,4.5174,0.0488,2.8209,96.6623,2.0842,,,
38000,,,,,,,,,,1000,854.6379,103.0713
38500,,,0.0462,-146.4274,4.395,0.0462,2.748,130.0382,3.2424,,,
39000,,,0.0481,-149.9454,4.9866,0.0481,2.6558,78.399,2.1167,,,
39000,,,,,,,,,,1000,2186.7649,105.7154
39500,,,0.048,-149.9862,3.9735,0.048,3.7995,67.9047,2.4044,,,
40000,,,0.0472,-152.8382,4.1479,0.0472,2.607,106.7756,2.8438,,,
40000,3485.4952,1000.0,,,,,,,,,,
40000,,,,,,,,,,1000,2175.0287,91.8261
40500,,,0.0483,-155.7758,3.7962,0.0483,2.8297,106.5029,3.1912,,,
41000,,,0.0473,-160.1935,3.8311,0.0473,2.7357,87.3633,2.8049,,,
41000,,,,,,,,,,1000,2232.9423,104.9757
41500,,,0.0471,-163.4957,4.4724,0.0471,2.96,85.7636,2.5844,,,
42000,,,0.047,-164.129,4.8687,0.047,3.4269,95.7903,3.1586,,,
42000,,,,,,,,,,1000,2232.976,105.9581
42500,,,0.0471,-161.617,4.0443,0.0471,2.6747,105.0806,2.6951,,,
43000,,,0.0482,-166.2426,5.3695,0.0482,2.6725,130.699,2.8748,,,
43000,,,,,,,,,,1000,2236.6296,104.559
43500,,,0.0468,-169.1589,4.0017,0.0468,2.3797,88.1479,2.9147,,,
44000,,,0.0441,-172.0342,4.8035,0.0441,2.8019,96.1033,3.3962,,,
44000,,,,,,,,,,1000,2509.462,105.0219
44500,,,0.0457,-171.9069,5.1886,0.0457,2.8182,93.4497,3.2599,,,
45000,,,0.0471,-176.0827,3.6762,0.0471,3.0,95.209,1.7322,,,
45000,3877.9207,1000.0,,,,,,,,,,
45000,,,,,,,,,,1000,2567.4542,91.6158
45500,,,0.0475,-176.7193,4.6983,0.0475,3.0937,94.3725,3.4604,,,
46000,,,0.0496,-183.7647,4.9224,0.0496,2.802,87.3668,2.6757,,,
46000,,,,,,,,,,1000,2723.2825,102.1275
46500,,,0.0473,-182.6813,4.5434,0.0473,4.1025,74.7998,4.3663,,,
47000,,,0.0435,-183.5617,5.1183,0.0435,2.7542,89.9559,2.7715,,,
47000,,,,,,,,,,1000,2574.1998,102.887
47500,,,0.0476,-189.2221,5.267,0.0476,3.2491,161.4844,2.7259,,,
48000,,,0.045,-190.8103,4.8354,0.045,3.0996,73.0686,2.3832,,,
48000,,,,,,,,,,1000,2692.8346,101.6708
48500,,,0.0467,-192.1181,4.7573,0.0467,3.2065,142.5842,2.9179,,,
49000,,,0.0484,-197.9244,5.3395,0.0484,3.3741,156.4161,2.4002,,,
49000,,,,,,,,,,1000,2762.7652,101.7226
49500,,,0.0472,-196.1966,5.126,0.0472,3.2955,83.3597,2.9629,,,
50000,,,0.0472,-198.4967,6.4504,0.0472,3.1485,102.3937,3.2018,,,
50000,4395.547,1000.0,,,,,,,,,,
50000,,,,,,,,,,1000,2956.1823,92.2046
50500,,,0.0466,-204.0255,5.472,0.0466,3.9955,173.385,4.328,,,
51000,,,0.0455,-207.2331,4.9418,0.0455,3.7068,163.3799,2.8291,,,
51000,,,,,,,,,,1000,3021.8254,104.8677
51500,,,0.0469,-212.5576,4.619,0.0469,3.6037,88.3277,3.7665,,,
52000,,,0.0492,-212.8456,5.6533,0.0492,3.4769,82.01,3.1077,,,
52000,,,,,,,,,,1000,3146.2754,104.8985
52500,,,0.0495,-217.4757,4.7563,0.0495,3.6168,148.5994,5.7791,,,
53000,,,0.0487,-220.159,5.2576,0.0487,3.875,168.399,4.7936,,,
53000,,,,,,,,,,1000,3234.215,105.9035
53500,,,0.0482,-222.3722,4.195,0.0482,3.6642,69.3582,2.8695,,,
54000,,,0.045,-225.0026,4.6093,0.045,4.2845,180.8055,2.8939,,,
54000,,,,,,,,,,1000,3304.8841,103.5462
