env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
9660,,,46,237.9632,29.2575,,,,,,,,,,,
9711,,,51,261.109,28.5847,,,,,,,,,,,
9731,,,20,97.059,31.2893,,,,,,,,,,,
9813,,,82,398.8946,28.5187,,,,,,,,,,,
9854,,,41,216.1029,34.9458,,,,,,,,,,,
9907,,,53,251.9779,33.0686,,,,,,,,,,,
9954,,,47,250.6168,31.0195,,,,,,,,,,,
9997,,,43,205.8989,28.9883,,,,,,,,,,,
10000,,,,,,50,50,41,13.8566,18.2512,-255.5533,55.2357,18.2512,251.6905,819.9395,1.0814
10000,259.9395,49.7,,,,,,,,,,,,,,
10018,,,21,103.5704,14.8075,,,,,,,,,,,
10041,,,23,113.4394,25.635,,,,,,,,,,,
10084,,,43,227.99,27.7104,,,,,,,,,,,
10110,,,26,128.5892,28.368,,,,,,,,,,,
10127,,,17,81.466,27.962,,,,,,,,,,,
10148,,,21,103.4758,27.8568,,,,,,,,,,,
10173,,,25,124.122,24.8899,,,,,,,,,,,
10192,,,19,92.8106,28.9677,,,,,,,,,,,
10214,,,22,108.7243,26.4499,,,,,,,,,,,
10253,,,39,211.532,27.0422,,,,,,,,,,,
10299,,,46,244.8527,27.2378,,,,,,,,,,,
10339,,,40,209.9287,28.1609,,,,,,,,,,,
10411,,,72,315.1862,27.6218,,,,,,,,,,,
10439,,,28,141.7942,30.1535,,,,,,,,,,,
10468,,,29,138.1317,26.3407,,,,,,,,,,,
10494,,,26,131.2207,28.2074,,,,,,,,,,,
10500,,,,,,50,50,40,15.7004,17.8002,-268.1688,54.9074,17.8002,205.927,691.2703,2.1718
10549,,,55,293.5672,27.1765,,,,,,,,,,,
10601,,,52,279.6181,26.5212,,,,,,,,,,,
10619,,,18,86.2082,30.9104,,,,,,,,,,,
10639,,,20,98.0596,33.9078,,,,,,,,,,,
10717,,,78,411.5726,26.8024,,,,,,,,,,,
10737,,,20,97.2026,25.3934,,,,,,,,,,,
10804,,,67,355.7278,25.5124,,,,,,,,,,,
10853,,,49,252.5951,33.8298,,,,,,,,,,,
10872,,,19,91.9882,30.1894,,,,,,,,,,,
10892,,,20,97.6754,28.8136,,,,,,,,,,,
10914,,,22,108.1032,28.9945,,,,,,,,,,,
10936,,,22,108.3944,31.5959,,,,,,,,,,,
11000,,,,,,50,50,40,15.1775,19.3876,-265.0083,71.7057,19.3876,264.106,758.9725,1.6115
11004,,,68,360.8374,25.5892,,,,,,,,,,,
11029,,,25,126.712,27.4525,,,,,,,,,,,
11063,,,34,166.5758,31.1959,,,,,,,,,,,
11083,,,20,97.732,27.0451,,,,,,,,,,,
11102,,,19,92.348,26.9273,,,,,,,,,,,
11135,,,33,163.5136,27.3007,,,,,,,,,,,
11158,,,23,113.7834,26.8293,,,,,,,,,,,
11184,,,26,127.0233,27.2926,,,,,,,,,,,
11205,,,21,102.8181,29.1362,,,,,,,,,,,
11224,,,19,92.0128,24.8416,,,,,,,,,,,
11245,,,21,101.7089,31.5264,,,,,,,,,,,
11276,,,31,157.5577,25.6823,,,,,,,,,,,
11294,,,18,86.2559,34.4757,,,,,,,,,,,
11339,,,45,245.124,27.1034,,,,,,,,,,,
11391,,,52,283.6507,27.449,,,,,,,,,,,
11417,,,26,128.9769,27.9176,,,,,,,,,,,
11438,,,21,102.7986,22.9957,,,,,,,,,,,
11480,,,42,222.5186,27.5218,,,,,,,,,,,
11500,,,,,,50,50,43,12.7151,17.9682,-289.6174,61.161,17.9682,218.5748,870.9568,1.5085
11500,,,20,97.2507,26.2951,,,,,,,,,,,
11522,,,22,106.8948,24.4221,,,,,,,,,,,
11608,,,86,430.9009,27.6198,,,,,,,,,,,
11628,,,20,98.4,27.7451,,,,,,,,,,,
11647,,,19,91.733,27.0326,,,,,,,,,,,
11667,,,20,97.8583,27.8056,,,,,,,,,,,
11689,,,22,107.9487,28.3103,,,,,,,,,,,
11709,,,20,97.3823,35.4671,,,,,,,,,,,
11787,,,78,387.7021,27.6288,,,,,,,,,,,
11806,,,19,91.6463,32.7245,,,,,,,,,,,
11858,,,52,270.1981,32.3851,,,,,,,,,,,
11905,,,47,258.8137,26.5733,,,,,,,,,,,
11978,,,73,389.21,26.3803,,,,,,,,,,,
12000,,,,,,50,50,42,15.1008,16.5405,-317.4674,58.0259,16.5405,158.815,597.4556,2.4635
12002,,,24,116.1093,31.9019,,,,,,,,,,,
12022,,,20,96.4406,30.9566,,,,,,,,,,,
12055,,,33,163.5593,28.3128,,,,,,,,,,,
12119,,,64,332.5178,25.6692,,,,,,,,,,,
12156,,,37,180.4205,30.4904,,,,,,,,,,,
12222,,,66,346.2094,29.0679,,,,,,,,,,,
12241,,,19,91.7074,25.7088,,,,,,,,,,,
12308,,,67,326.5667,27.0034,,,,,,,,,,,
12354,,,46,244.2644,27.5508,,,,,,,,,,,
12375,,,21,103.8874,27.9598,,,,,,,,,,,
12394,,,19,92.3561,28.867,,,,,,,,,,,
12436,,,42,228.8831,29.2332,,,,,,,,,,,
12454,,,18,86.7371,29.7689,,,,,,,,,,,
12480,,,26,127.9485,27.2369,,,,,,,,,,,
12500,,,,,,50,50,44,13.4596,17.3856,-326.1664,54.153,17.3856,567.1313,535.1446,2.2706
12526,,,46,244.0569,25.484,,,,,,,,,,,
12597,,,71,413.7131,26.7887,,,,,,,,,,,
12621,,,24,119.3276,26.6238,,,,,,,,,,,
12663,,,42,229.2966,31.166,,,,,,,,,,,
12684,,,21,103.3692,25.3068,,,,,,,,,,,
12706,,,22,108.1094,25.7957,,,,,,,,,,,
12730,,,24,119.7837,24.4673,,,,,,,,,,,
12755,,,25,126.1464,28.1885,,,,,,,,,,,
12780,,,25,125.3377,28.4768,,,,,,,,,,,
12801,,,21,103.5591,25.5913,,,,,,,,,,,
12824,,,23,114.2701,27.8306,,,,,,,,,,,
12890,,,66,336.9854,29.8059,,,,,,,,,,,
12913,,,23,114.4073,35.5997,,,,,,,,,,,
12934,,,21,105.1771,32.9319,,,,,,,,,,,
12957,,,23,113.2287,35.0104,,,,,,,,,,,
13000,,,,,,50,50,42,14.1346,17.8499,-323.3591,69.2205,17.8499,319.2974,1217.9777,2.7586
13031,,,74,373.7325,26.3424,,,,,,,,,,,
13053,,,22,109.2186,28.6991,,,,,,,,,,,
13073,,,20,99.176,30.9988,,,,,,,,,,,
13157,,,84,407.8238,26.7719,,,,,,,,,,,
13181,,,24,119.9621,26.3077,,,,,,,,,,,
13236,,,55,292.1843,28.6898,,,,,,,,,,,
13258,,,22,110.5031,28.8189,,,,,,,,,,,
13281,,,23,115.6096,29.7665,,,,,,,,,,,
13300,,,19,92.9584,25.8377,,,,,,,,,,,
13340,,,40,211.1887,26.3898,,,,,,,,,,,
13359,,,19,92.0164,27.9019,,,,,,,,,,,
13387,,,28,139.561,32.8237,,,,,,,,,,,
13404,,,17,81.2062,35.0564,,,,,,,,,,,
13436,,,32,164.7915,35.0107,,,,,,,,,,,
13455,,,19,92.5321,27.9414,,,,,,,,,,,
13483,,,28,142.9947,27.3816,,,,,,,,,,,
13499,,,16,76.0928,26.7123,,,,,,,,,,,
13500,,,,,,50,50,44,13.725,16.6474,-335.3599,53.7193,16.6474,270.2662,999.2214,1.8449
13520,,,21,104.634,28.6598,,,,,,,,,,,
13543,,,23,114.3234,26.7609,,,,,,,,,,,
13567,,,24,121.4373,30.4527,,,,,,,,,,,
13587,,,20,98.0155,32.0884,,,,,,,,,,,
13606,,,19,92.6343,27.4644,,,,,,,,,,,
13627,,,21,103.4384,27.6057,,,,,,,,,,,
13646,,,19,91.2018,24.4305,,,,,,,,,,,
13665,,,19,92.4611,26.5247,,,,,,,,,,,
13706,,,41,219.7646,26.062,,,,,,,,,,,
13725,,,19,92.2824,24.2074,,,,,,,,,,,
13743,,,18,86.9425,27.7265,,,,,,,,,,,
13761,,,18,86.6628,25.6907,,,,,,,,,,,
13807,,,46,242.2171,27.7157,,,,,,,,,,,
13882,,,75,333.8524,26.3138,,,,,,,,,,,
13923,,,41,206.3303,27.5002,,,,,,,,,,,
13958,,,35,185.9296,28.1253,,,,,,,,,,,
13999,,,41,213.9701,26.4578,,,,,,,,,,,
14000,,,,,,50,50,43,14.8544,17.3017,-357.7298,61.5296,17.3017,647.3619,3078.3469,2.2947
14042,,,43,234.4243,26.8074,,,,,,,,,,,
14064,,,22,108.4216,25.6065,,,,,,,,,,,
14086,,,22,108.5865,32.9136,,,,,,,,,,,
14126,,,40,205.7456,31.0656,,,,,,,,,,,
14146,,,20,96.3369,30.1467,,,,,,,,,,,
14166,,,20,96.5465,31.6381,,,,,,,,,,,
14192,,,26,130.1129,28.9954,,,,,,,,,,,
14218,,,26,131.9721,28.7888,,,,,,,,,,,
14262,,,44,214.6505,30.3843,,,,,,,,,,,
14288,,,26,130.4094,28.3281,,,,,,,,,,,
14329,,,41,219.759,29.1661,,,,,,,,,,,
14372,,,43,232.6952,32.7517,,,,,,,,,,,
14392,,,20,98.0855,31.1217,,,,,,,,,,,
14413,,,21,102.7854,30.0188,,,,,,,,,,,
14446,,,33,172.6026,27.2499,,,,,,,,,,,
14466,,,20,97.1484,25.7146,,,,,,,,,,,
14500,,,,,,50,50,42,14.6226,17.5461,-367.45,60.4502,17.5461,297.5599,669.4059,2.1726
14503,,,37,195.6651,24.4246,,,,,,,,,,,
14521,,,18,86.6346,27.9287,,,,,,,,,,,
14574,,,53,284.9189,28.8495,,,,,,,,,,,
14594,,,20,97.477,28.0385,,,,,,,,,,,
14617,,,23,114.6312,25.5634,,,,,,,,,,,
14635,,,18,86.6034,28.8451,,,,,,,,,,,
14654,,,19,91.3663,29.3703,,,,,,,,,,,
14672,,,18,86.7782,25.3544,,,,,,,,,,,
14692,,,20,98.0807,26.4783,,,,,,,,,,,
14714,,,22,107.8193,26.4011,,,,,,,,,,,
14735,,,21,103.507,28.0054,,,,,,,,,,,
14754,,,19,90.6741,29.981,,,,,,,,,,,
14780,,,26,130.6104,29.1389,,,,,,,,,,,
14799,,,19,91.9199,26.0902,,,,,,,,,,,
14821,,,22,108.8759,28.1747,,,,,,,,,,,
14840,,,19,91.8797,29.9147,,,,,,,,,,,
14883,,,43,231.4115,26.6323,,,,,,,,,,,
14900,,,17,81.0049,25.4937,,,,,,,,,,,
14940,,,40,215.4027,26.4242,,,,,,,,,,,
14977,,,37,194.0169,27.3083,,,,,,,,,,,
14994,,,17,81.1078,29.4244,,,,,,,,,,,
15000,,,,,,50,50,45,13.1934,18.204,-362.5689,62.7651,18.204,790.4452,3580.9045,2.688
15000,225.681,44.2,,,,,,,,,,,,,,
15014,,,20,97.3568,15.4169,,,,,,,,,,,
15035,,,21,102.2588,29.2345,,,,,,,,,,,
15060,,,25,123.6363,28.5613,,,,,,,,,,,
15079,,,19,93.4492,26.3363,,,,,,,,,,,
15098,,,19,91.5651,25.972,,,,,,,,,,,
15118,,,20,95.7669,28.5562,,,,,,,,,,,
15138,,,20,97.1222,28.1619,,,,,,,,,,,
15164,,,26,129.5599,28.6247,,,,,,,,,,,
15189,,,25,119.8391,26.7289,,,,,,,,,,,
15209,,,20,97.4641,33.2712,,,,,,,,,,,
15260,,,51,273.9391,27.9099,,,,,,,,,,,
15280,,,20,98.3891,28.2574,,,,,,,,,,,
15300,,,20,96.98,28.0198,,,,,,,,,,,
15319,,,19,91.6835,26.4017,,,,,,,,,,,
15382,,,63,342.5758,27.434,,,,,,,,,,,
15407,,,25,124.5914,29.4711,,,,,,,,,,,
15450,,,43,217.9514,27.5126,,,,,,,,,,,
15470,,,20,98.1253,28.7858,,,,,,,,,,,
15500,,,,,,50,50,42,13.7164,17.2272,-379.1702,71.496,17.2272,482.4857,1678.0677,2.0854
15506,,,36,179.7757,27.6977,,,,,,,,,,,
15524,,,18,86.8299,30.289,,,,,,,,,,,
15544,,,20,98.0707,27.1356,,,,,,,,,,,
15563,,,19,91.2504,25.4945,,,,,,,,,,,
15580,,,17,81.3555,25.4718,,,,,,,,,,,
15598,,,18,86.5904,29.5082,,,,,,,,,,,
15650,,,52,282.767,27.8525,,,,,,,,,,,
15671,,,21,103.0454,26.5359,,,,,,,,,,,
15695,,,24,117.7503,29.7633,,,,,,,,,,,
15744,,,49,266.2932,27.8157,,,,,,,,,,,
15763,,,19,92.1277,28.4191,,,,,,,,,,,
15803,,,40,201.6294,28.2107,,,,,,,,,,,
15821,,,18,86.6188,27.9387,,,,,,,,,,,
15839,,,18,86.5339,34.9099,,,,,,,,,,,
15895,,,56,295.7627,27.0297,,,,,,,,,,,
15955,,,60,313.745,27.914,,,,,,,,,,,
15974,,,19,92.1208,26.317,,,,,,,,,,,
15997,,,23,112.5391,27.396,,,,,,,,,,,
16000,,,,,,50,50,43,13.2805,17.0626,-407.5143,61.7386,17.0626,623.2634,2343.1753,3.2722
16049,,,52,250.2969,31.1762,,,,,,,,,,,
16071,,,22,106.067,31.0268,,,,,,,,,,,
16090,,,19,91.0555,34.2697,,,,,,,,,,,
16119,,,29,147.8796,30.4729,,,,,,,,,,,
16139,,,20,95.8332,33.3028,,,,,,,,,,,
16157,,,18,86.9032,33.9131,,,,,,,,,,,
16181,,,24,117.9587,28.2009,,,,,,,,,,,
16202,,,21,102.5707,30.6903,,,,,,,,,,,
16225,,,23,113.1151,34.1488,,,,,,,,,,,
16247,,,22,108.1218,31.4786,,,,,,,,,,,
16271,,,24,117.5108,26.859,,,,,,,,,,,
16314,,,43,233.3153,31.0568,,,,,,,,,,,
16337,,,23,113.7532,25.1695,,,,,,,,,,,
16372,,,35,191.217,26.8771,,,,,,,,,,,
16391,,,19,93.0418,24.9555,,,,,,,,,,,
16417,,,26,131.7681,25.8112,,,,,,,,,,,
16472,,,55,295.8966,28.6947,,,,,,,,,,,
16493,,,21,103.6832,29.1552,,,,,,,,,,,
16500,,,,,,50,50,42,15.1625,16.3271,-408.0907,68.237,16.3271,854.5155,1761.7004,3.076
16514,,,21,101.5398,29.0879,,,,,,,,,,,
16535,,,21,101.9401,27.3606,,,,,,,,,,,
16605,,,70,344.6808,26.7993,,,,,,,,,,,
16628,,,23,110.3819,29.2776,,,,,,,,,,,
16660,,,32,155.4752,29.0255,,,,,,,,,,,
16717,,,57,272.7593,27.1187,,,,,,,,,,,
16771,,,54,276.8873,26.6296,,,,,,,,,,,
16807,,,36,172.1865,30.1368,,,,,,,,,,,
16850,,,43,232.7153,26.932,,,,,,,,,,,
16901,,,51,264.8092,29.1532,,,,,,,,,,,
16928,,,27,133.5869,25.9695,,,,,,,,,,,
16978,,,50,264.5666,27.8556,,,,,,,,,,,
17000,,,,,,50,50,43,15.9279,18.4722,-414.2559,77.8446,18.4722,1252.1362,6699.3613,3.4267
17018,,,40,214.6076,28.3692,,,,,,,,,,,
17047,,,29,139.6596,34.4841,,,,,,,,,,,
17114,,,67,354.0431,29.0347,,,,,,,,,,,
17165,,,51,274.7409,25.457,,,,,,,,,,,
17186,,,21,101.817,27.5469,,,,,,,,,,,
17209,,,23,113.2896,26.6595,,,,,,,,,,,
17233,,,24,117.7839,26.1302,,,,,,,,,,,
17262,,,29,137.6139,26.7446,,,,,,,,,,,
17299,,,37,196.334,25.9114,,,,,,,,,,,
17324,,,25,118.747,26.8651,,,,,,,,,,,
17375,,,51,272.0431,28.0747,,,,,,,,,,,
17398,,,23,113.7913,27.892,,,,,,,,,,,
17419,,,21,102.4869,26.2219,,,,,,,,,,,
17441,,,22,108.5028,28.271,,,,,,,,,,,
17463,,,22,107.5368,29.8259,,,,,,,,,,,
17500,,,,,,50,50,44,13.6022,16.962,-410.5067,64.705,16.962,543.3497,1596.8813,3.4144
17507,,,44,230.0164,26.2747,,,,,,,,,,,
17566,,,59,317.6487,27.8213,,,,,,,,,,,
17606,,,40,212.6182,27.6276,,,,,,,,,,,
17656,,,50,272.1744,29.3652,,,,,,,,,,,
17685,,,29,144.3901,24.6203,,,,,,,,,,,
17742,,,57,285.37,26.1207,,,,,,,,,,,
17760,,,18,86.4636,28.3658,,,,,,,,,,,
17782,,,22,107.6308,26.3923,,,,,,,,,,,
17825,,,43,236.6597,26.135,,,,,,,,,,,
17862,,,37,202.2821,29.4087,,,,,,,,,,,
17885,,,23,112.0781,29.8221,,,,,,,,,,,
17931,,,46,245.5706,25.4709,,,,,,,,,,,
17978,,,47,252.1916,28.7824,,,,,,,,,,,
17997,,,19,91.1538,27.4015,,,,,,,,,,,
18000,,,,,,50,50,44,13.0981,17.5297,-431.9265,71.4082,17.5297,533.7643,1449.85,4.7082
