env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5463,1000.0,,,,,,,,,,,,,
500,,,0.6469,0.7084,0.186,0.1486,0.5977,1.1629,-0.348,0.2916,0.9338,0.2663,,,
1000,,,0.652,0.6987,0.213,-0.6923,0.5033,1.3928,-0.3974,0.5261,1.6052,0.3681,,,
1000,,,,,,,,,,,,,1000,-382.4441,51.8971
1500,,,0.6504,0.7044,0.1934,-1.7374,0.5711,1.1843,-0.3729,0.7785,3.4142,0.6828,,,
2000,,,0.6427,0.693,0.2287,-3.1505,1.0593,1.6134,-0.4257,0.9339,6.3803,0.8078,,,
2000,,,,,,,,,,,,,1000,-399.965,82.6194
2500,,,0.6484,0.7047,0.2119,-5.1908,1.0825,1.452,-0.4093,1.1675,7.5177,1.0427,,,
3000,,,0.6409,0.7006,0.238,-6.7595,0.9589,1.7539,-0.43,0.9639,7.2749,0.8067,,,
3000,,,,,,,,,,,,,1000,-315.184,83.1107
3500,,,0.6278,0.6935,0.2303,-9.03,1.1716,1.7462,-0.4643,0.9623,8.1898,0.9498,,,
4000,,,0.6395,0.6939,0.2415,-10.7702,1.2794,1.8099,-0.448,0.9129,15.1673,0.9338,,,
4000,,,,,,,,,,,,,1000,-358.7532,80.3684
4500,,,0.6159,0.6968,0.2285,-12.2283,1.5778,1.706,-0.4443,0.9959,15.7544,1.05,,,
5000,,,0.6214,0.6871,0.2168,-13.3365,1.693,1.5441,-0.4268,0.9222,10.9076,0.8392,,,
5000,-195.8006,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-332.3679,69.8006
5500,,,0.6272,0.698,0.2334,-15.3493,1.8785,1.7257,-0.4409,1.2803,16.6519,0.8881,,,
6000,,,0.6287,0.6973,0.2203,-16.3298,2.0855,1.5558,-0.4271,1.2089,18.867,0.8609,,,
6000,,,,,,,,,,,,,1000,-169.3664,81.4928
6500,,,0.6301,0.6954,0.2193,-16.8899,2.6648,1.5394,-0.4239,1.5598,18.4615,2.0001,,,
7000,,,0.6293,0.6907,0.2237,-15.9261,2.0856,1.5987,-0.4283,1.4694,26.2021,1.8766,,,
7000,,,,,,,,,,,,,1000,-355.9349,81.8293
7500,,,0.6347,0.7015,0.2465,-17.5263,2.5032,1.8793,-0.4603,1.4446,19.4056,1.7696,,,
8000,,,0.6429,0.6999,0.2298,-19.938,2.3112,1.6634,-0.4259,1.2925,20.5368,0.9436,,,
8000,,,,,,,,,,,,,1000,-175.8922,83.6834
8500,,,0.6392,0.7109,0.2212,-20.4907,2.7061,1.5901,-0.4269,1.4347,17.6364,1.3098,,,
9000,,,0.6422,0.6941,0.2352,-21.6999,3.5347,1.6967,-0.4423,1.6511,29.4066,1.5226,,,
9000,,,,,,,,,,,,,1000,-286.9849,81.1547
9500,,,0.633,0.7,0.2331,-22.7303,3.2818,1.7441,-0.4451,1.4343,18.6268,1.8422,,,
10000,,,0.6343,0.7047,0.2324,-22.67,3.5944,1.7315,-0.4655,1.402,18.9936,1.9299,,,
10000,854.367,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-266.3618,71.5934
10500,,,0.6299,0.7075,0.2176,-25.0686,2.7666,1.5584,-0.4325,1.5479,29.4936,1.6464,,,
11000,,,0.6428,0.7027,0.2263,-25.1656,2.5641,1.6047,-0.4269,1.6739,29.0574,1.5839,,,
11000,,,,,,,,,,,,,1000,-72.5036,85.9658
11500,,,0.6363,0.7034,0.2689,-27.3686,3.5357,2.2055,-0.4775,1.6829,18.8307,1.3705,,,
12000,,,0.6316,0.707,0.2334,-27.0835,3.382,1.7486,-0.4592,1.476,26.2718,1.6944,,,
12000,,,,,,,,,,,,,1000,-63.5993,83.4382
12500,,,0.6383,0.7045,0.2278,-29.0949,3.3597,1.6658,-0.4468,1.8206,42.3763,2.9775,,,
13000,,,0.6319,0.7051,0.2336,-28.6768,3.4026,1.7719,-0.4445,1.7481,26.5107,1.1036,,,
13000,,,,,,,,,,,,,1000,-136.9904,84.6582
13500,,,0.6378,0.701,0.2325,-30.4268,3.4631,1.6974,-0.4596,1.8514,29.5067,2.1107,,,
14000,,,0.6417,0.7087,0.228,-32.7236,3.1461,1.6927,-0.4646,1.9961,40.9056,1.564,,,
14000,,,,,,,,,,,,,1000,271.5947,79.4138
14500,,,0.6272,0.7074,0.2161,-35.6374,3.0643,1.5415,-0.4394,2.2101,45.5095,1.2089,,,
15000,,,0.6385,0.7035,0.2378,-36.3148,3.3998,1.8098,-0.4695,1.9131,66.0191,1.2258,,,
15000,1119.6514,1000.0,,,,,,,,,,,,,
15000,,,,,,,,,,,,,1000,-65.5766,72.0616
15500,,,0.6326,0.7023,0.2218,-37.1458,3.4283,1.5832,-0.4483,1.9952,44.0362,1.6419,,,
16000,,,0.6328,0.7157,0.2215,-41.516,4.1806,1.6427,-0.4551,2.0403,32.1064,2.0148,,,
16000,,,,,,,,,,,,,1000,327.7329,81.0129
