env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
47500,,,,,,6,3,1,2853.8049,105.6684,256.6883,50.3827,8.8282,3435.7056,0.0
47608,,,135,-111.6332,30.0506,,,,,,,,,,
47717,,,109,-127.1064,32.742,,,,,,,,,,
47892,,,175,-115.2761,26.8331,,,,,,,,,,
48000,,,,,,4,3,1,2960.6741,65.6728,25.9164,9.9594,6.709,2862.3816,0.0
48017,,,125,-103.5188,25.4739,,,,,,,,,,
48500,,,,,,5,3,1,2919.0374,142.3662,239.9586,85.0248,5.163,863.6628,0.0
49000,,,,,,4,3,1,2909.2014,82.1969,66.0908,27.3125,3.7932,1034.7615,0.001
49500,,,,,,5,3,1,2878.6174,86.6238,70.1805,30.3281,4.9533,1711.045,0.0001
49617,,,1600,-145.9571,25.7173,,,,,,,,,,
50000,,,,,,5,3,1,2935.6089,163.5083,316.2769,106.8477,8.4253,3263.8018,0.0
50000,-179.2859,1600.0,,,,,,,,,,,,,
50500,,,,,,4,3,1,2922.9453,62.6878,52.7163,8.9421,3.0308,1408.0781,0.0002
51000,,,,,,6,3,1,2879.6956,105.7589,464.0646,51.0005,4.082,1298.4414,0.0001
51217,,,1600,-144.2395,18.7274,,,,,,,,,,
51356,,,139,-108.1329,25.4253,,,,,,,,,,
51452,,,96,-105.5818,27.1406,,,,,,,,,,
51500,,,,,,6,3,1,2833.1106,119.7685,339.4293,63.8626,3.7838,1253.4379,0.0
51561,,,109,-105.9171,24.5485,,,,,,,,,,
51657,,,96,-105.236,28.689,,,,,,,,,,
51753,,,96,-105.9904,31.5633,,,,,,,,,,
51924,,,171,-111.1265,27.1882,,,,,,,,,,
52000,,,,,,6,3,1,2938.7834,111.121,91.7952,56.3812,3.3823,1342.6606,0.0
52037,,,113,-102.6827,26.9389,,,,,,,,,,
52145,,,108,-106.6647,24.6275,,,,,,,,,,
52238,,,93,-103.6839,24.0493,,,,,,,,,,
52357,,,119,-104.2645,26.0625,,,,,,,,,,
52466,,,109,-127.9481,27.2735,,,,,,,,,,
52500,,,,,,4,3,1,2930.5081,92.4058,184.686,37.2028,3.5538,1172.4739,0.0152
52576,,,110,-127.8062,29.0204,,,,,,,,,,
53000,,,,,,5,3,1,3002.9897,63.7096,147.5325,8.8028,4.7893,1704.2649,0.0555
53500,,,,,,5,3,1,2962.3918,66.3529,23.4026,9.8837,5.3868,1556.4208,0.0
54000,,,,,,4,3,1,2941.6111,72.3535,18.8758,16.7768,4.7416,2416.7751,0.0
54176,,,1600,-145.3682,26.363,,,,,,,,,,
54240,,,64,-119.5221,26.0137,,,,,,,,,,
54386,,,146,-106.5595,25.4973,,,,,,,,,,
54500,,,,,,4,3,1,2983.7468,77.4262,196.3463,21.5226,3.4181,672.8925,0.0
54528,,,142,-111.9034,25.1923,,,,,,,,,,
55000,,,,,,4,3,1,2973.209,93.8361,71.192,39.5082,3.9695,498.4374,0.0
55000,-179.2923,1600.0,,,,,,,,,,,,,
55500,,,,,,5,3,1,2875.947,100.7931,200.9964,43.2125,5.8683,2862.1738,0.0
56000,,,,,,4,3,1,2878.8662,89.8514,251.3002,33.0663,8.1154,3630.1533,0.0099
56128,,,1600,-147.7365,19.6989,,,,,,,,,,
56500,,,,,,4,3,1,3076.0288,92.0958,100.2807,36.477,2.4697,743.6139,0.023
57000,,,,,,5,3,1,3003.3933,88.8973,223.2336,33.3945,4.1868,1538.0684,0.005
57500,,,,,,5,3,1,2865.9626,91.9295,285.4236,36.0996,4.6323,1487.0825,0.0014
57728,,,1600,-148.8448,26.6196,,,,,,,,,,
57832,,,104,-127.3475,24.4188,,,,,,,,,,
57954,,,122,-103.3823,24.609,,,,,,,,,,
58000,,,,,,4,3,1,2942.7356,56.9326,12.5643,1.1979,5.139,3107.2629,0.0
58071,,,117,-105.5611,30.2642,,,,,,,,,,
58177,,,106,-108.9621,24.5246,,,,,,,,,,
58500,,,,,,4,3,1,2943.3621,90.002,109.0765,36.3382,5.6811,3109.9182,0.0
59000,,,,,,4,3,1,2954.843,63.4148,8.1144,8.9864,3.2378,993.7782,0.0
59500,,,,,,4,3,1,3050.4744,75.4594,121.9945,21.4946,3.2543,1071.8258,0.0
59777,,,1600,-149.1253,25.6721,,,,,,,,,,
59899,,,122,-106.9527,24.6151,,,,,,,,,,
60000,,,,,,4,3,1,2906.1362,54.1864,26.6802,0.945,2.725,390.0857,0.0
60000,-150.8892,1005.6,,,,,,,,,,,,,
60002,,,103,-127.4058,5.5134,,,,,,,,,,
60500,,,,,,4,3,1,2913.8245,89.416,123.8983,35.9353,3.2678,1908.2317,0.0
61000,,,,,,5,3,1,2912.8374,73.4543,305.741,20.1199,2.5216,268.809,0.0007
61500,,,,,,4,3,1,2895.553,71.5374,114.1866,19.3379,2.5013,593.924,0.1728
61602,,,1600,-149.9151,26.2429,,,,,,,,,,
62000,,,,,,5,3,1,2967.032,75.514,202.2655,21.9606,5.1516,2853.678,0.0
62500,,,,,,4,2,1,2965.5691,91.2375,26.9637,40.2378,3.8392,1166.6154,0.0001
63000,,,,,,5,3,1,2962.5198,65.9693,154.9365,12.77,5.2374,3279.4612,0.1324
63202,,,1600,-150.4557,26.7153,,,,,,,,,,
63500,,,,,,4,3,1,3046.2739,111.3253,195.9396,59.5332,3.0223,1319.8511,0.0
64000,,,,,,3,2,1,2955.1887,59.3076,4.6537,8.6844,5.1099,2921.9365,0.0
64500,,,,,,4,3,1,2954.4451,89.9536,196.8331,39.5247,3.7021,2419.3452,0.0
64802,,,1600,-151.3784,26.3248,,,,,,,,,,
64962,,,160,-114.3107,25.6498,,,,,,,,,,
65000,,,,,,4,2,1,2937.0225,58.6371,50.3142,9.0272,3.6709,643.1589,0.0
65000,-179.3035,1600.0,,,,,,,,,,,,,
65131,,,169,-113.971,5.6922,,,,,,,,,,
65500,,,,,,3,2,1,2921.9587,95.3993,4.9743,45.1639,3.0667,1337.1947,0.0
66000,,,,,,4,3,1,2920.1091,70.783,122.1764,21.5124,2.2282,568.8051,0.0
66500,,,,,,4,3,1,2982.4336,81.1418,32.7902,31.9678,4.2321,2291.8354,0.0
66731,,,1600,-153.2686,25.772,,,,,,,,,,
66868,,,137,-104.1864,27.0963,,,,,,,,,,
67000,,,,,,4,3,1,3006.9631,74.459,20.9553,24.5273,4.0988,1766.6273,0.0
67500,,,,,,4,3,1,2945.0662,77.2962,113.4646,27.8327,3.0341,1209.3608,0.0018
68000,,,,,,4,3,1,2891.0193,58.9546,113.1362,10.1343,3.5148,1327.3165,0.0
68468,,,1600,-154.3073,27.1178,,,,,,,,,,
68500,,,,,,4,3,1,2999.0225,63.7757,5.1982,16.8512,5.7977,2751.1211,0.0
69000,,,,,,4,3,1,2976.5273,56.1258,98.7297,8.4628,4.9036,709.3598,0.0
69500,,,,,,3,2,1,2948.1904,55.7079,22.5872,9.0796,5.4988,1530.0724,0.0432
70000,,,,,,4,3,1,2989.3723,57.9285,74.6394,10.3266,3.0173,757.3401,0.0
70000,-165.5163,1302.5,,,,,,,,,,,,,
70068,,,1600,-153.5864,20.0009,,,,,,,,,,
70500,,,,,,4,2,1,2914.3,67.1472,157.236,21.2221,5.367,2129.6423,0.0021
71000,,,,,,4,2,1,2923.4465,76.8952,232.1769,30.0646,8.0828,5239.8364,0.0
71500,,,,,,4,2,1,2917.2466,60.6507,37.8439,15.9798,5.7624,2624.0205,0.0
71668,,,1600,-154.2063,26.9318,,,,,,,,,,
71776,,,108,-110.0229,26.5872,,,,,,,,,,
71901,,,125,-103.7925,24.8147,,,,,,,,,,
72000,,,,,,4,2,1,2925.3757,47.9623,88.1945,1.3003,5.2539,2348.063,0.0003
72500,,,,,,4,3,1,3003.9082,63.2876,59.9854,18.3839,9.1604,4767.1265,0.0655
73000,,,,,,4,2,1,2904.3181,64.0902,176.4829,20.3261,6.3567,3607.2141,0.0
73500,,,,,,4,2,1,2974.9939,82.5061,100.1696,37.5654,3.5,1260.9706,0.0
73501,,,1600,-155.2674,25.6982,,,,,,,,,,
74000,,,,,,4,3,1,2920.6052,60.0902,42.1416,14.219,8.4694,3594.8545,0.0204
74238,,,737,-185.1838,25.4636,,,,,,,,,,
74355,,,117,-131.2751,25.8107,,,,,,,,,,
74440,,,85,-111.7935,30.29,,,,,,,,,,
74483,,,43,-122.409,26.1152,,,,,,,,,,
74500,,,,,,4,2,1,3150.845,149.2881,174.8093,103.7443,3.9263,1609.5463,0.0
74525,,,42,-121.5414,25.0918,,,,,,,,,,
74605,,,80,-111.7709,24.5473,,,,,,,,,,
74648,,,43,-122.7282,23.4815,,,,,,,,,,
74693,,,45,-118.0975,23.8931,,,,,,,,,,
74773,,,80,-111.5922,24.036,,,,,,,,,,
74816,,,43,-122.0538,25.4612,,,,,,,,,,
74856,,,40,-116.2456,25.0279,,,,,,,,,,
74917,,,61,-111.7705,25.6706,,,,,,,,,,
75000,,,,,,5,3,1,2953.7473,85.6617,348.6397,38.1913,5.2741,2386.8706,0.0
75000,-135.3101,261.4,,,,,,,,,,,,,
75073,,,156,-118.6966,16.0465,,,,,,,,,,
75116,,,43,-121.464,26.228,,,,,,,,,,
75231,,,115,-130.8229,29.5481,,,,,,,,,,
75275,,,44,-122.7425,27.3054,,,,,,,,,,
75348,,,73,-120.8346,25.4211,,,,,,,,,,
75392,,,44,-122.8986,25.0069,,,,,,,,,,
75500,,,,,,5,3,1,2914.3645,108.4793,451.7823,61.4822,10.2551,2070.3972,0.1527
75592,,,200,-110.8735,26.4556,,,,,,,,,,
76000,,,,,,5,2,1,2876.0288,71.3875,207.5145,24.9546,9.1066,6311.1621,0.0
76500,,,,,,3,2,1,2938.3264,53.1433,8.7335,8.7697,12.7985,7125.6641,0.0
77000,,,,,,5,3,1,2894.1272,61.0823,156.505,17.9525,10.7675,6804.627,0.0
77192,,,1600,-159.8698,25.5847,,,,,,,,,,
77500,,,,,,3,2,1,2883.8718,66.8766,162.7942,22.3997,5.1712,1871.5381,0.0
78000,,,,,,4,2,1,2953.4209,45.8864,21.9125,0.7095,6.8804,1599.0675,0.0
78500,,,,,,4,2,1,3029.075,62.1363,5.2557,16.9381,8.7775,4883.1045,0.0
78792,,,1600,-158.4418,27.415,,,,,,,,,,
79000,,,,,,4,3,1,3058.0557,53.3014,87.4609,10.0763,11.5623,4570.0171,0.0
79500,,,,,,3,2,1,2994.4221,46.1575,4.7092,0.5082,6.669,2631.9873,0.0
80000,,,,,,4,2,1,2858.8323,65.5637,191.3147,19.7311,6.5277,2184.9041,0.0
80000,-143.7651,857.0,,,,,,,,,,,,,
80392,,,1600,-160.5927,21.3614,,,,,,,,,,
80500,,,,,,4,2,1,2934.2949,43.1185,89.1913,1.4971,11.901,2014.8073,0.0
81000,,,,,,3,2,1,2972.9617,42.8738,4.0656,0.25,5.6192,739.8292,0.0
81500,,,,,,4,2,1,2917.8259,72.796,145.1448,28.134,9.4385,5510.8989,0.0
81992,,,1600,-160.1945,25.8295,,,,,,,,,,
82000,,,,,,4,2,1,2856.7395,62.1849,75.6126,18.3584,12.2584,5842.3374,0.0
82500,,,,,,4,3,1,2835.2996,84.4492,43.7879,40.3143,4.0926,458.1477,0.0
83000,,,,,,4,2,1,2970.4951,69.2356,150.9459,24.8349,8.6344,3996.9453,0.0019
83500,,,,,,4,3,1,2959.0947,72.7522,164.7284,29.516,7.5049,1620.8943,0.108
83592,,,1600,-162.1825,26.2081,,,,,,,,,,
84000,,,,,,4,2,1,2949.0212,61.5758,161.5325,17.9851,7.0121,751.2773,0.0053
84500,,,,,,5,2,1,2918.3518,79.3555,577.0665,36.948,3.1419,846.5322,0.0
85000,,,,,,3,2,1,2924.3828,49.6327,20.8265,6.8082,11.6066,1230.5925,0.0
85000,-172.411,1451.2,,,,,,,,,,,,,
85192,,,1600,-163.3673,19.1612,,,,,,,,,,
85500,,,,,,4,3,1,2994.1885,58.9791,54.2755,16.4972,7.3833,3069.6104,0.0017
86000,,,,,,4,3,1,2883.9954,53.2667,68.145,9.6485,3.626,1586.9084,0.0
86500,,,,,,3,2,1,2959.6858,48.2441,5.6289,8.8347,7.3387,1093.7594,0.1707
86792,,,1600,-165.5158,25.5103,,,,,,,,,,
86931,,,139,-104.9697,24.6234,,,,,,,,,,
87000,,,,,,3,2,1,3037.4197,80.9846,156.4978,38.6392,5.4464,3462.7815,0.0
87050,,,119,-107.2576,24.8797,,,,,,,,,,
87162,,,112,-105.6376,28.8292,,,,,,,,,,
87500,,,,,,4,2,1,2933.0417,53.2726,264.7014,11.5884,3.591,2415.7834,0.0
88000,,,,,,4,2,1,3026.2456,51.6008,102.712,9.7668,4.8151,1274.7656,0.0
88500,,,,,,3,2,1,2940.884,64.3247,158.0059,22.82,7.7583,1514.7437,0.0
88762,,,1600,-165.313,25.6241,,,,,,,,,,
89000,,,,,,3,2,1,2920.4067,75.0935,14.8477,34.6249,4.1192,2220.8792,0.0
89500,,,,,,4,2,1,2891.7222,112.0488,292.768,71.2226,5.7542,2751.8562,0.0
90000,,,,,,3,2,1,3007.7661,75.6625,341.5309,34.9627,7.1784,2459.8337,0.0
90000,-179.2862,1600.0,,,,,,,,,,,,,
90362,,,1600,-166.3892,18.7841,,,,,,,,,,
90500,,,,,,4,3,1,2935.5859,122.6797,524.0233,82.4286,4.9717,1319.8011,0.0
91000,,,,,,3,2,1,2820.6411,48.2804,6.7644,8.4072,4.2021,1351.8237,0.0
91500,,,,,,4,3,1,2983.8154,54.26,39.7292,13.9799,4.9864,1281.8662,0.0001
91962,,,1600,-168.0383,25.2822,,,,,,,,,,
92000,,,,,,3,2,1,3062.2117,41.5366,155.8967,2.5013,11.4239,995.6737,0.0
92088,,,126,-108.513,26.159,,,,,,,,,,
92181,,,93,-122.5936,24.2809,,,,,,,,,,
92223,,,42,-119.7838,25.0622,,,,,,,,,,
92430,,,207,-142.5641,25.3451,,,,,,,,,,
92473,,,43,-122.9802,25.9701,,,,,,,,,,
92500,,,,,,4,2,1,2952.4302,41.4935,188.5216,2.4937,6.339,2767.6516,0.0
92515,,,42,-124.047,24.6409,,,,,,,,,,
92705,,,190,-123.4477,25.285,,,,,,,,,,
92889,,,184,-122.5443,23.5617,,,,,,,,,,
92930,,,41,-123.9775,23.8311,,,,,,,,,,
92977,,,47,-120.4424,24.4936,,,,,,,,,,
93000,,,,,,3,1,1,2970.6997,58.3867,23.0899,17.1708,4.5116,1380.1426,0.0
93019,,,42,-123.1571,29.0631,,,,,,,,,,
93061,,,42,-124.1048,26.3248,,,,,,,,,,
93102,,,41,-118.1287,24.2226,,,,,,,,,,
93146,,,44,-121.4572,27.0305,,,,,,,,,,
93188,,,42,-118.9111,30.086,,,,,,,,,,
93229,,,41,-117.8801,28.42,,,,,,,,,,
93271,,,42,-122.9365,27.3888,,,,,,,,,,
93314,,,43,-122.1107,26.0112,,,,,,,,,,
93357,,,43,-121.3396,23.3176,,,,,,,,,,
93397,,,40,-117.2799,25.0264,,,,,,,,,,
93440,,,43,-121.9139,25.9209,,,,,,,,,,
93500,,,,,,5,3,1,2850.6196,61.6801,91.1102,20.0464,7.8751,3863.0439,0.0
93613,,,173,-121.9556,25.0831,,,,,,,,,,
93654,,,41,-119.9941,24.4616,,,,,,,,,,
93743,,,89,-126.2384,24.6095,,,,,,,,,,
93785,,,42,-124.2487,25.0774,,,,,,,,,,
93906,,,121,-132.7716,25.3892,,,,,,,,,,
93948,,,42,-123.4638,26.7172,,,,,,,,,,
93990,,,42,-123.7805,24.8977,,,,,,,,,,
94000,,,,,,4,2,1,2986.5122,43.5732,7.6776,0.3696,2.9572,994.2085,0.0
94033,,,43,-121.9994,26.9493,,,,,,,,,,
94156,,,123,-132.2671,26.4845,,,,,,,,,,
94391,,,235,-145.3578,25.913,,,,,,,,,,
94500,,,,,,3,2,1,2989.6165,51.674,4.337,6.9123,6.2327,2090.8311,0.0
94500,,,109,-130.5806,27.5513,,,,,,,,,,
94542,,,42,-123.5831,23.5203,,,,,,,,,,
94585,,,43,-123.1154,24.3811,,,,,,,,,,
94776,,,191,-141.3106,24.8922,,,,,,,,,,
94818,,,42,-123.9898,26.6217,,,,,,,,,,
94938,,,120,-117.2222,25.9365,,,,,,,,,,
95000,,,,,,3,3,1,3017.1855,46.8072,7.1818,0.6727,8.7566,3039.1001,0.0
95000,-130.4083,116.3,,,,,,,,,,,,,
95123,,,185,-122.6247,20.6636,,,,,,,,,,
95293,,,170,-139.1259,25.1813,,,,,,,,,,
95437,,,144,-119.1474,28.5446,,,,,,,,,,
95500,,,,,,4,2,1,2991.0322,71.9263,101.3445,23.7065,7.071,4302.165,0.0
95541,,,104,-129.2812,23.7241,,,,,,,,,,
95753,,,212,-125.7924,25.6797,,,,,,,,,,
95799,,,46,-119.4522,24.6396,,,,,,,,,,
95922,,,123,-132.762,23.7199,,,,,,,,,,
96000,,,,,,3,2,1,3014.3113,54.1944,102.8881,9.2164,3.5469,697.4927,0.0
96132,,,210,-126.0078,24.6192,,,,,,,,,,
96239,,,107,-130.2143,24.1357,,,,,,,,,,
96344,,,105,-115.8719,25.1429,,,,,,,,,,
96386,,,42,-123.3365,23.161,,,,,,,,,,
96500,,,,,,3,1,1,2952.2253,53.049,4.115,8.5364,5.1394,1323.5131,0.0
96574,,,188,-123.6123,27.3296,,,,,,,,,,
96620,,,46,-119.4293,25.5722,,,,,,,,,,
96664,,,44,-121.5934,24.7301,,,,,,,,,,
96706,,,42,-120.9833,24.5369,,,,,,,,,,
96778,,,72,-112.1937,24.8247,,,,,,,,,,
96821,,,43,-122.3341,30.4807,,,,,,,,,,
96864,,,43,-121.308,32.4538,,,,,,,,,,
96905,,,41,-124.1702,26.6166,,,,,,,,,,
96948,,,43,-122.151,23.5709,,,,,,,,,,
96990,,,42,-123.3386,23.8869,,,,,,,,,,
97000,,,,,,4,2,1,2910.9797,55.1861,103.6446,8.2416,4.8788,2333.3159,0.0
97033,,,43,-121.8761,27.7412,,,,,,,,,,
97076,,,43,-122.0379,26.7312,,,,,,,,,,
97119,,,43,-122.3632,24.4933,,,,,,,,,,
97162,,,43,-121.2989,22.8798,,,,,,,,,,
97272,,,110,-116.5676,25.872,,,,,,,,,,
97314,,,42,-124.6398,29.0295,,,,,,,,,,
97361,,,47,-120.7425,25.0827,,,,,,,,,,
97466,,,105,-129.8084,25.9816,,,,,,,,,,
97500,,,,,,6,3,1,2912.1416,79.3473,495.8653,29.8418,4.7971,901.466,0.0
97513,,,47,-120.3073,26.2957,,,,,,,,,,
97555,,,42,-124.1934,25.3323,,,,,,,,,,
97659,,,104,-129.789,26.3791,,,,,,,,,,
97810,,,151,-111.3959,26.1784,,,,,,,,,,
98000,,,,,,4,3,1,2872.3701,117.6192,66.5505,70.7237,6.6467,2348.2034,0.0
98500,,,,,,4,3,1,2920.4226,49.4265,63.2831,1.2732,5.5023,1589.1237,0.0
99000,,,,,,4,3,1,2868.1975,70.9514,83.0524,23.7339,4.2204,1380.4092,0.0
99410,,,1600,-171.5295,25.9198,,,,,,,,,,
99500,,,,,,4,3,1,2961.5393,73.5958,235.4804,27.4935,8.3049,3209.2344,0.0
100000,,,,,,4,3,1,3031.8477,53.7849,118.6128,9.5919,2.7518,1796.473,0.0
100000,-136.6065,708.3,,,,,,,,,,,,,
100500,,,,,,4,3,1,3052.6853,57.2255,184.7546,12.5201,8.3586,5353.8555,0.0
101000,,,,,,3,2,1,2947.428,52.6727,6.8669,8.8327,5.1801,3344.3586,0.0
101010,,,1600,-173.4137,21.6766,,,,,,,,,,
101500,,,,,,4,3,1,2876.8208,65.1252,314.509,22.5509,4.2839,856.5278,0.0
102000,,,,,,4,2,1,2978.2605,45.0941,174.1341,2.1592,3.5002,2223.7368,0.0
102500,,,,,,4,2,1,2952.864,57.9869,219.907,16.3903,2.6679,975.7688,0.0
102610,,,1600,-172.322,25.2048,,,,,,,,,,
102778,,,168,-107.812,25.8278,,,,,,,,,,
103000,,,,,,5,2,1,2946.1128,57.0008,235.0849,17.1611,4.9757,1946.4208,0.0
103500,,,,,,4,1,1,2958.083,58.1902,280.842,19.0504,3.4905,638.3873,0.0061
104000,,,,,,4,2,1,2921.8982,71.0535,183.4028,31.3456,6.5638,2805.0029,0.0
104378,,,1600,-173.1818,25.2174,,,,,,,,,,
104500,,,,,,4,1,1,2920.9202,78.3082,213.9979,39.9563,4.2514,1692.2008,0.0
105000,,,,,,4,2,1,2964.2661,37.9333,109.8118,1.8804,6.656,3110.1311,0.0004
105000,-179.2871,1600.0,,,,,,,,,,,,,
105500,,,,,,4,2,1,2967.5046,43.9146,74.6802,9.4355,6.7898,4680.6626,0.0
105978,,,1600,-172.9679,18.37,,,,,,,,,,
106000,,,,,,4,2,1,3045.7783,65.5112,115.6864,28.014,4.0906,2018.8698,0.0
106500,,,,,,3,2,1,3004.9363,35.6083,4.4968,0.3824,5.268,966.8427,0.0
107000,,,,,,4,2,1,3069.6499,48.6002,300.1019,13.0125,8.0792,2858.9653,0.0
107500,,,,,,4,2,1,2891.8635,67.0484,124.0502,34.0089,6.4417,2569.9558,0.0
107578,,,1600,-172.1314,25.8476,,,,,,,,,,
107710,,,132,-109.3244,24.6551,,,,,,,,,,
108000,,,,,,4,2,1,2884.6829,51.8621,115.0751,17.7519,3.3644,1797.0211,0.0
108500,,,,,,3,2,1,2988.0496,57.7639,38.6911,23.6469,7.2732,2870.9734,0.0
109000,,,,,,3,1,1,2904.7974,32.585,3.5754,0.1092,4.5448,1283.7579,0.0209
109310,,,1600,-173.4475,25.7049,,,,,,,,,,
109500,,,,,,3,1,1,3009.8425,31.8092,2.9302,0.0898,3.117,583.835,0.0
110000,,,,,,3,1,1,2916.667,45.3576,14.7218,13.1246,3.7169,1518.1272,0.0
110000,-172.4139,1451.2,,,,,,,,,,,,,
110500,,,,,,3,1,1,3008.7363,47.3242,4.714,15.0605,5.6796,987.6373,0.0
110910,,,1600,-172.6508,18.9461,,,,,,,,,,
111000,,,,,,4,2,1,2907.9519,48.757,70.9168,16.1708,2.1608,693.8995,0.0
111024,,,114,-107.2756,25.1067,,,,,,,,,,
111500,,,,,,4,1,1,2977.9448,56.6909,165.7557,26.2784,2.8165,1582.5674,0.0
112000,,,,,,3,1,1,2969.5581,31.6172,4.7875,0.3616,4.0806,1193.3732,0.0
112500,,,,,,3,2,1,3056.5251,30.4235,4.9752,0.5588,4.2689,1746.3579,0.0
112624,,,1600,-182.1641,24.5377,,,,,,,,,,
113000,,,,,,3,1,1,2901.9084,44.5641,4.7119,16.8443,1.8902,875.9408,0.0
113500,,,,,,3,1,1,2983.0637,29.7078,3.8031,0.1332,4.7435,2757.3135,0.0
114000,,,,,,3,1,1,2963.3879,44.5443,6.359,14.8047,2.1897,329.5468,0.0
114224,,,1600,-180.5412,26.2655,,,,,,,,,,
114500,,,,,,3,2,1,2934.5872,28.6639,5.1479,0.3314,2.1865,285.7853,0.0
115000,,,,,,3,1,1,2909.6377,43.8916,7.6888,16.9053,1.5891,641.524,0.0294
115000,-181.0245,1600.0,,,,,,,,,,,,,
115500,,,,,,4,2,1,2966.0383,41.2942,250.7406,14.6566,7.9802,1581.8702,0.0
115824,,,1600,-174.0352,18.4203,,,,,,,,,,
116000,,,,,,3,1,1,2928.2256,25.2485,2.7795,0.1199,2.0116,415.9093,0.0
116420,,,596,-180.9506,25.4952,,,,,,,,,,
116462,,,42,-123.7608,26.7018,,,,,,,,,,
116500,,,,,,3,1,1,2971.2708,33.4623,19.3807,6.7669,2.1528,1015.7164,0.0
116504,,,42,-123.2959,32.004,,,,,,,,,,
116545,,,41,-123.5106,30.334,,,,,,,,,,
116586,,,41,-123.3791,23.2352,,,,,,,,,,
116628,,,42,-123.983,25.5245,,,,,,,,,,
116669,,,41,-124.0431,26.1419,,,,,,,,,,
116710,,,41,-124.0921,24.4831,,,,,,,,,,
116751,,,41,-124.1838,25.5036,,,,,,,,,,
116792,,,41,-123.8501,23.5772,,,,,,,,,,
116833,,,41,-123.8554,22.6063,,,,,,,,,,
116874,,,41,-124.0433,28.5946,,,,,,,,,,
116916,,,42,-118.6874,29.8868,,,,,,,,,,
116957,,,41,-124.0536,31.5519,,,,,,,,,,
116998,,,41,-123.5998,31.683,,,,,,,,,,
117000,,,,,,3,2,1,2927.959,67.5991,3.973,38.8261,5.4811,2430.4717,0.0
117039,,,41,-123.6588,28.2223,,,,,,,,,,
117081,,,42,-123.8825,26.6037,,,,,,,,,,
117122,,,41,-123.8441,26.1347,,,,,,,,,,
117164,,,42,-124.2368,28.4508,,,,,,,,,,
117206,,,42,-123.47,29.9696,,,,,,,,,,
117247,,,41,-123.1845,31.5841,,,,,,,,,,
117288,,,41,-123.2183,32.5631,,,,,,,,,,
117330,,,42,-123.7099,26.8072,,,,,,,,,,
117371,,,41,-123.159,27.7765,,,,,,,,,,
117413,,,42,-123.5546,23.2729,,,,,,,,,,
117454,,,41,-123.3239,26.5095,,,,,,,,,,
117495,,,41,-123.6464,26.4926,,,,,,,,,,
117500,,,,,,3,2,1,3027.675,29.7082,4.3056,0.5939,3.4014,670.5061,0.0
117536,,,41,-119.9136,24.1801,,,,,,,,,,
117577,,,41,-123.2944,24.6553,,,,,,,,,,
117618,,,41,-123.1091,26.5859,,,,,,,,,,
117660,,,42,-123.5464,31.2148,,,,,,,,,,
117701,,,41,-123.1677,26.403,,,,,,,,,,
117743,,,42,-123.9279,31.419,,,,,,,,,,
117784,,,41,-123.5466,29.4489,,,,,,,,,,
117826,,,42,-123.3341,32.153,,,,,,,,,,
117867,,,41,-123.3381,24.4258,,,,,,,,,,
117910,,,43,-121.6044,25.249,,,,,,,,,,
117952,,,42,-123.9443,28.2377,,,,,,,,,,
117994,,,42,-123.2253,24.1271,,,,,,,,,,
118000,,,,,,4,1,1,3050.0503,48.6879,155.1878,18.419,8.223,3283.613,0.0
118036,,,42,-123.0936,24.773,,,,,,,,,,
118078,,,42,-123.0811,25.4448,,,,,,,,,,
118120,,,42,-123.1453,26.5613,,,,,,,,,,
118162,,,42,-123.4615,29.3646,,,,,,,,,,
118203,,,41,-123.5144,23.6704,,,,,,,,,,
118245,,,42,-122.5081,24.5408,,,,,,,,,,
118287,,,42,-123.2324,25.916,,,,,,,,,,
118329,,,42,-124.0019,26.2776,,,,,,,,,,
118371,,,42,-124.2468,24.5983,,,,,,,,,,
118412,,,41,-123.9438,26.8862,,,,,,,,,,
118453,,,41,-123.9236,30.199,,,,,,,,,,
118494,,,41,-124.1339,26.8197,,,,,,,,,,
118500,,,,,,4,2,1,2956.3091,67.8161,585.2665,34.7224,2.9074,577.5248,0.0
118535,,,41,-123.9671,30.1753,,,,,,,,,,
118576,,,41,-124.0451,25.0043,,,,,,,,,,
118617,,,41,-123.9629,26.1317,,,,,,,,,,
118658,,,41,-124.0177,25.7884,,,,,,,,,,
118700,,,42,-124.3522,28.3963,,,,,,,,,,
118741,,,41,-123.4799,29.4251,,,,,,,,,,
118782,,,41,-123.8852,25.9832,,,,,,,,,,
118823,,,41,-124.0943,27.8163,,,,,,,,,,
118865,,,42,-123.9446,30.0273,,,,,,,,,,
118906,,,41,-123.3145,32.3741,,,,,,,,,,
118947,,,41,-123.0859,31.7614,,,,,,,,,,
118989,,,42,-123.7702,32.268,,,,,,,,,,
119000,,,,,,3,1,1,2900.2668,71.8104,446.1201,35.2659,5.0584,1887.4379,0.0
119030,,,41,-123.2508,24.4007,,,,,,,,,,
119072,,,42,-123.8592,25.6887,,,,,,,,,,
119113,,,41,-123.5828,24.5155,,,,,,,,,,
119155,,,42,-123.5932,23.7445,,,,,,,,,,
119197,,,42,-123.4572,25.8372,,,,,,,,,,
119238,,,41,-123.3011,27.1875,,,,,,,,,,
119279,,,41,-123.6146,23.827,,,,,,,,,,
