env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
4195,,,26,118.5021,82.2614,,,,,,,
4251,,,56,225.2084,82.2533,,,,,,,
4284,,,33,161.5202,83.3757,,,,,,,
4332,,,48,232.3088,83.152,,,,,,,
4364,,,32,149.3988,82.9656,,,,,,,
4403,,,39,167.6068,83.4285,,,,,,,
4437,,,34,154.5405,83.3727,,,,,,,
4500,,,,,,3229.0498,3127.5667,7895.1885,3229.0498,12.4032,106.1957,0.3402
4503,,,66,280.4544,82.5477,,,,,,,
4539,,,36,154.1771,83.1173,,,,,,,
4596,,,57,249.0003,82.8046,,,,,,,
4650,,,54,238.6374,83.1678,,,,,,,
4711,,,61,310.2269,83.0639,,,,,,,
4744,,,33,169.5529,82.3401,,,,,,,
4774,,,30,151.586,83.2157,,,,,,,
4813,,,39,201.9053,83.2798,,,,,,,
4873,,,60,287.8957,82.4372,,,,,,,
4893,,,20,98.1734,83.1205,,,,,,,
4948,,,55,297.2659,82.4483,,,,,,,
5000,,,,,,3171.5415,3064.8574,12769.0283,3171.5415,28.9707,340.7336,0.3054
5000,340.9585,64.7,,,,,,,,,,
5001,,,53,284.5025,42.7302,,,,,,,
5047,,,46,237.6025,82.3127,,,,,,,
5103,,,56,278.8337,81.9503,,,,,,,
5142,,,39,189.4748,82.2749,,,,,,,
5170,,,28,142.118,82.5585,,,,,,,
5210,,,40,204.8233,82.8982,,,,,,,
5264,,,54,281.4281,82.4178,,,,,,,
5344,,,80,384.6482,82.3898,,,,,,,
5383,,,39,192.1269,82.5516,,,,,,,
5418,,,35,171.4986,81.5791,,,,,,,
5468,,,50,239.372,82.2882,,,,,,,
5500,,,,,,3044.5991,2925.9712,11788.4834,3044.5991,16.0958,75.1804,0.325
5516,,,48,220.3859,82.8057,,,,,,,
5562,,,46,214.0911,82.8225,,,,,,,
5612,,,50,234.0035,82.8731,,,,,,,
5708,,,96,477.2482,82.5679,,,,,,,
5749,,,41,195.8744,82.3044,,,,,,,
5791,,,42,194.4171,82.7734,,,,,,,
5874,,,83,381.2119,84.6824,,,,,,,
5931,,,57,266.1124,87.7536,,,,,,,
6000,,,,,,2961.002,2833.3645,9733.8662,2961.002,36.5161,453.9228,0.4482
6023,,,92,428.8359,87.7424,,,,,,,
6074,,,51,247.7244,83.9584,,,,,,,
6155,,,81,384.7559,87.55,,,,,,,
6187,,,32,156.1655,87.5021,,,,,,,
6252,,,65,272.6852,83.255,,,,,,,
6293,,,41,183.2101,82.8203,,,,,,,
6364,,,71,370.02,85.6466,,,,,,,
6396,,,32,163.6559,82.682,,,,,,,
6450,,,54,290.0411,82.6948,,,,,,,
6480,,,30,145.2569,82.9325,,,,,,,
6500,,,,,,2922.4539,2785.6804,12490.2197,2922.4539,23.879,180.0362,0.5246
6525,,,45,221.1474,82.6798,,,,,,,
6566,,,41,219.1619,87.6484,,,,,,,
6629,,,63,338.1516,87.506,,,,,,,
6673,,,44,213.1259,87.6733,,,,,,,
6724,,,51,243.0454,87.4334,,,,,,,
