env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
22500,,,0.7451,0.7064,0.0569,-10.977,6.2665,0.5026,1.431,4.0656,0.4756,,,
23000,,,0.7727,0.7056,0.0603,-12.208,5.9657,0.5402,1.6185,11.6618,0.6365,,,
23000,,,,,,,,,,,,1000,365.7055,41.7085
23500,,,0.7602,0.7025,0.0582,-11.7996,5.5923,0.5255,1.7245,5.3159,0.6479,,,
24000,,,0.7654,0.7219,0.0609,-12.8396,6.2979,0.5284,1.7091,6.1612,0.6901,,,
24000,,,,,,,,,,,,1000,489.6475,41.4056
24500,,,0.7595,0.7041,0.059,-13.9212,5.684,0.5236,1.7763,5.34,0.9034,,,
25000,,,0.7919,0.7049,0.0645,-15.5616,5.4535,0.5712,1.6314,3.6594,0.6001,,,
25000,1319.3951,1000.0,,,,,,,,,,,,
25000,,,,,,,,,,,,1000,653.3748,30.5126
25500,,,0.8127,0.7151,0.0665,-17.936,7.6938,0.5968,2.2564,12.8192,0.8118,,,
26000,,,0.8033,0.7199,0.066,-17.5466,7.1162,0.5828,2.4388,10.4027,0.8675,,,
26000,,,,,,,,,,,,1000,300.2686,41.664
26500,,,0.7953,0.7154,0.0649,-17.8651,6.3752,0.5711,1.9496,10.4434,0.9324,,,
27000,,,0.8413,0.7181,0.0712,-19.8499,6.7397,0.6355,2.1092,5.5931,1.0541,,,
27000,,,,,,,,,,,,1000,119.1158,35.2911
27500,,,0.8251,0.7144,0.0703,-20.8657,6.4886,0.6111,2.3693,7.1203,1.1975,,,
28000,,,0.8216,0.7154,0.0687,-21.0984,6.1601,0.6066,2.2135,6.3289,0.6989,,,
28000,,,,,,,,,,,,1000,440.3411,41.9723
28500,,,0.8405,0.7241,0.0708,-21.7555,6.8602,0.6457,2.3629,11.1605,0.6604,,,
29000,,,0.8516,0.7262,0.0728,-25.3423,7.2302,0.6518,2.6962,10.888,0.8511,,,
29000,,,,,,,,,,,,1000,1005.0659,41.7483
29500,,,0.8639,0.7297,0.0756,-26.7076,7.7917,0.6697,2.3118,13.1518,0.9162,,,
30000,,,0.8474,0.7241,0.0738,-28.8673,7.3345,0.6375,2.7475,13.898,0.8269,,,
30000,1652.4867,1000.0,,,,,,,,,,,,
30000,,,,,,,,,,,,1000,988.7514,34.0623
30500,,,0.8678,0.7367,0.0754,-30.0479,11.7115,0.6763,2.7723,13.7493,0.7389,,,
31000,,,0.9039,0.7383,0.0807,-32.5027,7.4233,0.7918,3.3353,12.5424,0.9146,,,
31000,,,,,,,,,,,,1000,851.9724,41.6777
31500,,,0.8954,0.7425,0.0793,-33.095,7.9531,0.746,2.9748,9.5494,0.8699,,,
