env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
20500,,,1.1842,0.9132,0.4525,-65.591,3.283,1.7687,-0.4664,1.7806,38.9462,1.5198,,,
21000,,,1.1849,0.881,0.4365,-65.3128,2.8398,1.5546,-0.4356,1.2133,33.0801,2.0629,,,
21000,,,,,,,,,,,,,1000,140.8419,40.0769
21500,,,1.1936,0.8675,0.4504,-69.6172,3.0117,1.6218,-0.451,1.4118,42.0893,1.6877,,,
22000,,,1.1989,0.8752,0.4457,-67.2124,2.9389,1.6299,-0.4471,1.2042,31.1445,1.4011,,,
22000,,,,,,,,,,,,,1000,502.1911,40.0048
22500,,,1.1982,0.881,0.4373,-72.1532,3.2447,1.5835,-0.4372,1.8327,30.6065,1.4048,,,
23000,,,1.1897,0.884,0.4574,-70.0521,3.1904,1.7172,-0.4556,1.2631,28.954,2.443,,,
23000,,,,,,,,,,,,,1000,534.2298,39.6336
23500,,,1.2089,0.9319,0.4573,-73.6367,3.5176,1.8294,-0.4448,1.376,34.3046,1.1421,,,
24000,,,1.2093,0.8913,0.4492,-74.9813,3.4721,1.6669,-0.4503,1.323,29.1627,2.0575,,,
24000,,,,,,,,,,,,,1000,910.1091,39.624
24500,,,1.2036,0.9981,0.4427,-76.1141,2.7269,1.8904,-0.4441,1.3781,38.756,1.4654,,,
25000,,,1.1859,0.8875,0.444,-74.3999,4.0702,1.6413,-0.4681,1.4301,70.4247,2.847,,,
25000,1024.3609,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,176.7887,35.5058
25500,,,1.2076,0.8837,0.4476,-78.0134,3.2564,1.591,-0.4426,1.7609,34.6468,2.0193,,,
26000,,,1.1959,0.8976,0.4447,-79.5231,3.2785,1.6376,-0.441,1.7185,34.2568,1.9948,,,
26000,,,,,,,,,,,,,1000,460.5736,39.5147
26500,,,1.2094,0.9933,0.45,-80.0799,3.2406,1.9586,-0.4421,1.49,31.4839,1.9536,,,
27000,,,1.2064,0.9522,0.4474,-79.64,3.8001,1.8374,-0.4442,1.6082,55.0333,2.57,,,
27000,,,,,,,,,,,,,1000,713.9888,38.4434
27500,,,1.2051,0.9547,0.4506,-82.6089,3.2823,1.8634,-0.4584,1.683,42.0092,2.5488,,,
28000,,,1.1801,0.8856,0.4397,-83.2198,2.7896,1.6016,-0.4485,1.4954,41.0255,1.6462,,,
28000,,,,,,,,,,,,,1000,561.5676,38.7371
28500,,,1.2167,0.9481,0.4532,-81.4593,3.5549,1.8266,-0.4494,1.3677,49.0038,2.8516,,,
29000,,,1.207,0.9617,0.451,-80.9561,3.0263,1.8861,-0.4598,1.4167,69.1375,2.4153,,,
29000,,,,,,,,,,,,,1000,229.8446,37.406
29500,,,1.2,0.9888,0.4484,-84.3186,3.5513,1.9696,-0.4426,1.8404,76.1652,2.325,,,
