env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-111.4966,103.2,,,,,,,,,,,,,,,,,,
53,,,53,-110.5993,5.938,,,,,,,,,,,,,,,
103,,,50,-121.0903,32.6009,,,,,,,,,,,,,,,
165,,,62,-115.1018,32.3215,,,,,,,,,,,,,,,
267,,,102,-116.0061,30.8049,,,,,,,,,,,,,,,
325,,,58,-115.8447,33.1239,,,,,,,,,,,,,,,
461,,,136,-115.0912,32.9086,,,,,,,,,,,,,,,
500,,,,,,31,8,1,3005.96,0.8543,0.7066,0.408,1.1146,0.2634,1.4047,1.0718,-0.3218,3.5257,7.8139,0.0032
745,,,284,-129.2503,32.5054,,,,,,,,,,,,,,,
824,,,79,-120.6121,30.6932,,,,,,,,,,,,,,,
909,,,85,-111.0205,32.4799,,,,,,,,,,,,,,,
958,,,49,-117.6714,32.9967,,,,,,,,,,,,,,,
999,,,41,-118.2033,32.8937,,,,,,,,,,,,,,,
1000,,,,,,32,9,2,2898.542,0.9409,0.1275,0.3818,0.5093,-1.5737,1.458,0.5001,-0.3735,0.2502,5.975,0.015
1078,,,79,-112.1157,29.551,,,,,,,,,,,,,,,
1168,,,90,-120.301,29.2975,,,,,,,,,,,,,,,
1207,,,39,-113.2289,29.5606,,,,,,,,,,,,,,,
1307,,,100,-127.2773,29.9982,,,,,,,,,,,,,,,
1347,,,40,-113.8363,27.8882,,,,,,,,,,,,,,,
1403,,,56,-117.7402,32.1573,,,,,,,,,,,,,,,
1470,,,67,-119.2798,32.9017,,,,,,,,,,,,,,,
1500,,,,,,34,10,2,2368.4639,1.1345,0.7292,0.4893,1.2185,-0.2356,2.2638,1.0979,-0.4685,1.3316,9.4884,0.0228
1548,,,78,-115.2951,32.8883,,,,,,,,,,,,,,,
1601,,,53,-111.1651,32.8443,,,,,,,,,,,,,,,
1647,,,46,-116.7632,29.6387,,,,,,,,,,,,,,,
1715,,,68,-117.8325,29.7981,,,,,,,,,,,,,,,
1770,,,55,-117.5385,29.4496,,,,,,,,,,,,,,,
1826,,,56,-122.2104,29.3204,,,,,,,,,,,,,,,
1902,,,76,-119.6072,29.7145,,,,,,,,,,,,,,,
1969,,,67,-119.9984,29.5839,,,,,,,,,,,,,,,
2000,,,,,,42,13,3,1784.434,1.0495,0.9352,0.4219,1.3571,0.3485,2.0936,1.2422,-0.4263,6.3569,17.328,0.0167
2039,,,70,-112.0398,30.3141,,,,,,,,,,,,,,,
2101,,,62,-113.8119,29.164,,,,,,,,,,,,,,,
2175,,,74,-118.2845,29.1115,,,,,,,,,,,,,,,
2225,,,50,-111.5283,32.6092,,,,,,,,,,,,,,,
2309,,,84,-113.725,33.0009,,,,,,,,,,,,,,,
2368,,,59,-108.3933,32.7393,,,,,,,,,,,,,,,
2429,,,61,-113.7485,30.3035,,,,,,,,,,,,,,,
2471,,,42,-117.0028,29.546,,,,,,,,,,,,,,,
2500,,,,,,45,14,3,1433.035,1.0366,0.5572,0.48,1.0371,1.0071,1.9329,0.7889,-0.4788,2.0043,15.4216,0.0269
2514,,,43,-118.7818,29.7417,,,,,,,,,,,,,,,
2568,,,54,-112.085,29.1979,,,,,,,,,,,,,,,
2686,,,118,-123.6174,29.6372,,,,,,,,,,,,,,,
2749,,,63,-121.3607,27.9419,,,,,,,,,,,,,,,
2820,,,71,-106.1396,31.056,,,,,,,,,,,,,,,
3000,,,,,,48,14,4,1149.9131,0.9393,0.9357,0.3766,1.3123,1.8779,1.7413,1.1738,-0.3745,1.1649,9.6467,0.091
3500,,,,,,50,15,5,940.1378,0.8437,0.7484,0.3598,1.1082,2.1794,1.7868,0.9196,-0.3591,0.5597,7.8291,0.2097
4000,,,,,,50,15,4,970.304,0.7945,0.7374,0.3252,1.0626,1.7958,1.4493,0.8918,-0.3246,4.4565,26.7144,0.3583
4420,,,1600,-123.1152,31.1141,,,,,,,,,,,,,,,
4500,,,,,,50,16,5,751.4761,0.7313,0.5478,0.2836,0.8313,2.6238,1.4642,0.678,-0.2839,2.0484,22.2238,0.2773
5000,,,,,,50,19,6,651.9596,0.666,1.3151,0.2583,1.5734,2.6495,1.9369,1.4117,-0.2529,2.311,40.8901,0.5964
5000,-109.9355,259.7,,,,,,,,,,,,,,,,,,
5483,,,1063,-171.6425,31.3266,,,,,,,,,,,,,,,
5500,,,,,,50,20,7,567.9815,0.6103,0.5325,0.2193,0.7518,1.8938,1.5946,0.6385,-0.217,3.6567,22.8324,0.3397
5528,,,45,-103.5541,33.6724,,,,,,,,,,,,,,,
5599,,,71,-103.2823,33.6333,,,,,,,,,,,,,,,
5681,,,82,-98.4794,33.5966,,,,,,,,,,,,,,,
5755,,,74,-102.1479,33.5006,,,,,,,,,,,,,,,
5801,,,46,-103.2187,31.5401,,,,,,,,,,,,,,,
6000,,,,,,50,22,9,522.2429,0.6443,1.705,0.2275,1.9326,4.4928,4.4763,1.8016,-0.23,1.7739,30.4211,0.5031
6045,,,244,-120.4636,31.8805,,,,,,,,,,,,,,,
6264,,,219,-106.644,33.6264,,,,,,,,,,,,,,,
6365,,,101,-103.3884,31.1739,,,,,,,,,,,,,,,
6436,,,71,-103.4142,31.7423,,,,,,,,,,,,,,,
6500,,,,,,50,23,9,476.7429,0.6662,0.9381,0.2259,1.164,4.9919,7.6796,1.0534,-0.2162,2.1233,20.844,0.7056
6565,,,129,-107.3661,33.6469,,,,,,,,,,,,,,,
6623,,,58,-107.7123,33.5087,,,,,,,,,,,,,,,
6696,,,73,-106.3042,33.6233,,,,,,,,,,,,,,,
6773,,,77,-106.5715,33.6648,,,,,,,,,,,,,,,
7000,,,,,,50,23,8,482.5261,0.6144,0.7336,0.2097,0.9433,2.6755,1.86,0.8452,-0.2061,2.0798,22.1485,0.2413
7154,,,381,-125.5398,32.6256,,,,,,,,,,,,,,,
7248,,,94,-106.6119,33.2574,,,,,,,,,,,,,,,
7431,,,183,-111.1752,32.9276,,,,,,,,,,,,,,,
7500,,,,,,50,24,8,507.2164,0.5858,0.7347,0.2169,0.9516,3.8892,3.4979,0.8167,-0.2192,2.1129,42.6736,0.4172
7553,,,122,-103.4344,33.6127,,,,,,,,,,,,,,,
8000,,,,,,50,25,7,483.9319,0.5482,1.5072,0.2025,1.7096,3.6032,1.8457,1.558,-0.202,1.1932,59.8983,0.1861
8500,,,,,,50,26,7,462.5495,0.4929,0.9303,0.1851,1.1154,2.3009,1.3089,0.9533,-0.1869,1.1757,29.9756,0.0616
9000,,,,,,50,26,7,421.6361,0.4887,1.1255,0.1877,1.3133,2.6461,2.2755,1.1365,-0.1889,1.2382,57.0382,0.0291
9153,,,1600,-136.543,32.0916,,,,,,,,,,,,,,,
9500,,,,,,50,27,7,437.1342,0.4262,0.126,0.1585,0.2845,0.6191,2.073,0.1609,-0.1581,1.1027,14.9848,0.0599
10000,,,,,,50,27,7,394.418,0.4647,0.7138,0.1947,0.9085,2.1825,1.1384,0.7413,-0.1816,4.0062,136.6126,0.224
10000,-181.5278,1600.0,,,,,,,,,,,,,,,,,,
10500,,,,,,50,26,7,450.9594,0.4197,0.7172,0.1422,0.8594,1.4221,1.0459,0.7454,-0.1446,1.9702,29.9044,0.0772
10539,,,1386,-250.5911,27.5316,,,,,,,,,,,,,,,
10583,,,44,-116.5344,30.0654,,,,,,,,,,,,,,,
10694,,,111,-132.0631,29.9474,,,,,,,,,,,,,,,
10851,,,157,-134.3803,29.9544,,,,,,,,,,,,,,,
10922,,,71,-116.6966,30.0208,,,,,,,,,,,,,,,
11000,,,,,,50,27,7,413.9363,0.479,0.91,0.1659,1.0759,4.3555,1.2719,0.9641,-0.167,2.0525,58.314,0.1462
11366,,,444,-160.8494,32.2882,,,,,,,,,,,,,,,
11453,,,87,-112.5503,33.5551,,,,,,,,,,,,,,,
11500,,,,,,50,28,7,376.5472,0.5291,1.1185,0.2052,1.3238,5.9779,1.6539,1.1617,-0.2069,1.6979,32.7141,0.1122
12000,,,,,,50,28,8,406.9758,0.5314,1.309,0.1909,1.4999,7.5761,3.1077,1.3664,-0.186,2.1532,34.1365,0.0863
12195,,,742,-183.2075,32.5188,,,,,,,,,,,,,,,
12500,,,,,,50,29,8,427.8031,0.516,0.5332,0.1958,0.729,6.75,5.8981,0.5785,-0.1986,2.6822,68.7548,0.0564
12765,,,570,-154.6126,31.0529,,,,,,,,,,,,,,,
12885,,,120,-113.9621,31.0301,,,,,,,,,,,,,,,
12990,,,105,-111.6464,33.4561,,,,,,,,,,,,,,,
13000,,,,,,50,28,8,415.5621,0.541,0.921,0.2113,1.1324,7.9138,5.1489,0.9762,-0.2048,3.8819,60.249,0.7302
13186,,,196,-116.7318,31.1134,,,,,,,,,,,,,,,
13500,,,,,,50,30,10,423.1531,0.5748,1.8939,0.2229,2.1168,9.5156,6.5656,1.947,-0.2216,3.7062,52.9321,0.6392
14000,,,,,,50,29,9,382.5197,0.643,0.7291,0.2493,0.9784,8.745,5.6754,0.831,-0.2478,2.6963,48.8356,3.2253
14500,,,,,,50,28,10,428.732,0.5996,0.72,0.2221,0.9421,6.4038,2.9011,0.8231,-0.2251,2.9533,36.7959,0.7871
14703,,,1517,-198.4111,32.4767,,,,,,,,,,,,,,,
14789,,,86,-118.4593,32.1849,,,,,,,,,,,,,,,
14917,,,128,-111.2291,32.0295,,,,,,,,,,,,,,,
14965,,,48,-112.0936,33.6127,,,,,,,,,,,,,,,
15000,,,,,,50,28,10,388.3919,0.6289,1.1098,0.2391,1.3489,6.9197,2.8829,1.2173,-0.2365,2.4866,40.8996,1.0825
15000,-116.9131,1600.0,,,,,,,,,,,,,,,,,,
15019,,,54,-116.9578,8.0706,,,,,,,,,,,,,,,
15384,,,365,-158.9909,29.2732,,,,,,,,,,,,,,,
15500,,,,,,50,30,12,387.9145,0.6862,0.9289,0.2675,1.1964,7.963,6.1768,1.0462,-0.2577,2.9739,118.4727,1.0246
15524,,,140,-124.8257,30.0791,,,,,,,,,,,,,,,
15662,,,138,-111.7065,30.0319,,,,,,,,,,,,,,,
15795,,,133,-125.4589,33.7097,,,,,,,,,,,,,,,
16000,,,,,,50,30,12,412.7159,0.717,0.9262,0.2753,1.2015,9.9402,4.1492,1.0711,-0.2775,1.982,50.8577,0.5918
16006,,,211,-127.5824,31.4268,,,,,,,,,,,,,,,
16073,,,67,-113.5258,31.7425,,,,,,,,,,,,,,,
16325,,,252,-114.5819,30.1133,,,,,,,,,,,,,,,
16396,,,71,-102.5343,29.6072,,,,,,,,,,,,,,,
16500,,,,,,50,30,13,368.3013,0.6648,0.5334,0.2421,0.7756,6.8755,6.074,0.6715,-0.2418,3.1153,85.058,0.3916
16880,,,484,-126.5038,29.9989,,,,,,,,,,,,,,,
17000,,,,,,50,31,13,333.1265,0.6836,0.9157,0.2538,1.1695,8.5996,6.7977,1.0618,-0.2573,2.9458,45.8174,0.8165
17077,,,197,-107.5818,30.1825,,,,,,,,,,,,,,,
17392,,,315,-113.7159,31.42,,,,,,,,,,,,,,,
17500,,,,,,50,31,13,324.6394,0.6739,0.5376,0.2478,0.7854,9.8997,4.6039,0.6731,-0.2554,3.8992,146.8548,0.5959
17530,,,138,-104.657,33.4418,,,,,,,,,,,,,,,
17715,,,185,-116.4429,33.4462,,,,,,,,,,,,,,,
17842,,,127,-106.9776,33.4323,,,,,,,,,,,,,,,
17991,,,149,-109.6947,33.5097,,,,,,,,,,,,,,,
18000,,,,,,50,32,14,311.7477,0.7345,0.3567,0.2777,0.6345,10.2011,8.9854,0.4971,-0.2751,2.5497,60.0514,0.5811
18500,,,,,,50,32,14,323.2,0.671,0.3398,0.253,0.5929,8.7907,6.5584,0.4742,-0.2493,2.4701,68.3879,0.4468
18831,,,840,-145.0582,31.1624,,,,,,,,,,,,,,,
18948,,,117,-103.8574,29.4668,,,,,,,,,,,,,,,
19000,,,,,,50,31,13,319.624,0.7092,0.9259,0.2707,1.1966,11.3169,6.8445,1.07,-0.2699,1.9029,76.5063,0.5681
19203,,,255,-117.7492,29.9716,,,,,,,,,,,,,,,
