env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
20500,,,1.8742,0.8434,0.5498,-21.1306,4.9772,0.7252,-0.5356,1.9741,6.5203,1.0198,,,
21000,,,1.9125,0.811,0.5741,-21.7548,5.8097,0.7686,-0.5803,1.6967,10.7689,0.923,,,
21000,,,,,,,,,,,,,1000,55.6878,33.5346
21500,,,1.943,0.8602,0.5728,-22.9883,6.4976,0.7834,-0.5869,1.8322,5.4838,1.0807,,,
22000,,,1.9284,0.8332,0.5791,-23.9436,5.4478,0.8378,-0.582,2.0842,12.5273,1.5735,,,
22000,,,,,,,,,,,,,1000,736.3652,33.7432
22500,,,1.9791,0.8834,0.601,-27.3839,5.7376,0.8198,-0.6174,1.7895,6.5931,1.1319,,,
23000,,,1.9666,0.8591,0.6043,-28.914,6.5893,0.7629,-0.6032,1.9631,12.0194,0.8714,,,
23000,,,,,,,,,,,,,1000,880.5751,33.6512
23500,,,2.0374,0.9235,0.6267,-30.3793,5.9959,0.7753,-0.6129,2.0247,20.5847,0.9984,,,
24000,,,2.0728,0.9445,0.6357,-31.3761,5.4998,0.816,-0.6299,2.0879,12.3828,1.1527,,,
24000,,,,,,,,,,,,,1000,989.4126,33.8054
24500,,,2.066,0.914,0.6437,-31.1873,6.4875,0.8664,-0.6292,2.6439,14.4735,1.0659,,,
25000,,,2.032,0.9432,0.6404,-32.1879,5.5397,0.7995,-0.6066,2.2367,14.0969,0.8064,,,
25000,1966.6836,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,626.6101,31.4609
25500,,,2.1537,0.9326,0.6713,-36.6526,6.568,0.9005,-0.6548,2.2739,10.4133,1.3194,,,
26000,,,2.1359,0.9464,0.6776,-38.1442,5.8207,0.8034,-0.6667,2.5223,14.5174,0.9585,,,
26000,,,,,,,,,,,,,1000,1003.725,33.7375
26500,,,2.141,0.9089,0.6686,-40.1368,6.6629,0.8487,-0.6761,2.5308,13.78,0.9828,,,
27000,,,2.1847,0.9461,0.6902,-39.3166,8.6068,0.8826,-0.6853,2.1342,12.8795,1.7751,,,
27000,,,,,,,,,,,,,1000,414.2916,33.7234
27500,,,2.1962,0.9925,0.6799,-41.0601,6.74,0.8806,-0.6669,2.4413,10.2286,0.8135,,,
28000,,,2.1411,0.9665,0.6863,-38.4701,8.4158,0.8621,-0.6762,2.5455,18.0199,1.1863,,,
28000,,,,,,,,,,,,,1000,640.5575,33.6
28500,,,2.2268,0.981,0.6901,-45.0492,6.8392,0.9104,-0.6765,2.6117,21.5323,1.3872,,,
29000,,,2.2058,0.9659,0.7058,-44.3186,5.9676,0.907,-0.714,2.9002,14.4162,1.3581,,,
29000,,,,,,,,,,,,,1000,1141.1204,33.6974
29500,,,2.2661,1.0244,0.7313,-49.2471,7.9545,0.893,-0.7071,2.7923,26.7943,0.9293,,,
30000,,,2.2384,1.0333,0.7264,-51.4695,7.7138,0.876,-0.7107,3.4977,20.26,1.3254,,,
30000,1879.7439,1000.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,1000,1259.2402,31.4363
30500,,,2.268,1.0112,0.7295,-54.0919,6.0264,0.9049,-0.7541,2.8297,17.1036,1.1669,,,
31000,,,2.3218,1.049,0.752,-53.9369,7.2795,0.8688,-0.7292,3.6028,20.3602,0.8367,,,
31000,,,,,,,,,,,,,1000,1301.607,33.6423
