env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5463,1000.0,,,,,,,,,,,,,
500,,,0.9037,0.7461,0.2092,-0.2534,0.814,0.312,-0.2008,0.2075,1.042,0.147,,,
1000,,,0.9467,0.7199,0.3009,-0.9572,0.9344,0.3163,-0.2831,0.3691,1.2299,0.2689,,,
1000,,,,,,,,,,,,,1000,-240.1355,52.0295
1500,,,0.9608,0.7259,0.3261,-1.2543,1.1215,0.3125,-0.3176,0.4794,3.7907,0.3192,,,
2000,,,0.9665,0.6983,0.311,-2.5352,2.4891,0.2943,-0.2972,0.5574,3.9886,0.4993,,,
2000,,,,,,,,,,,,,1000,-443.9035,83.2065
2500,,,0.9868,0.719,0.3172,-3.9753,2.8811,0.3201,-0.3047,0.6592,4.8947,0.6135,,,
3000,,,0.9868,0.7069,0.3386,-4.9665,2.3479,0.301,-0.3217,0.599,5.5718,0.6194,,,
3000,,,,,,,,,,,,,1000,-223.2187,81.7467
3500,,,0.9994,0.7132,0.331,-6.3649,3.6782,0.3051,-0.3244,0.6433,8.3973,1.0787,,,
4000,,,1.0188,0.7014,0.339,-7.6327,4.3485,0.285,-0.3226,0.6137,9.9499,0.8324,,,
4000,,,,,,,,,,,,,1000,-342.343,83.9088
4500,,,0.9905,0.7024,0.3606,-7.687,4.3949,0.3152,-0.3438,0.6442,8.8304,1.0297,,,
5000,,,0.9997,0.6706,0.3599,-8.3632,4.3693,0.2734,-0.3369,0.6841,15.2263,1.4244,,,
5000,304.8029,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-328.145,74.1505
5500,,,1.0031,0.7245,0.337,-9.3808,5.3026,0.3452,-0.3331,0.6788,10.4719,0.9763,,,
6000,,,1.0174,0.7461,0.3473,-10.2806,6.2271,0.3533,-0.3396,0.7326,13.8482,1.2029,,,
