env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-27.2998,1000.0,,,,,,,,,,,,
500,,,0.6489,0.7023,0.0382,0.7414,2.7572,0.2131,0.3101,0.6671,0.3195,,,
1000,,,0.619,0.6932,0.0379,0.3416,2.4027,0.184,0.5889,1.456,0.236,,,
1000,,,,,,,,,,,,1000,-230.5707,59.5219
1500,,,0.6233,0.6868,0.0404,0.1018,2.8925,0.1868,0.6896,1.0617,0.2772,,,
2000,,,0.6386,0.696,0.0434,-0.4788,8.6294,0.1979,0.881,3.9836,0.6038,,,
2000,,,,,,,,,,,,1000,-236.05,92.9979
2500,,,0.6417,0.6967,0.0437,-0.4442,3.8678,0.1999,0.8758,0.8465,0.2698,,,
3000,,,0.6428,0.6942,0.0456,-0.5411,6.337,0.2021,1.0074,3.3381,0.5364,,,
3000,,,,,,,,,,,,1000,-305.9413,95.1237
3500,,,0.661,0.6933,0.0481,-0.7668,5.3995,0.2184,1.1851,3.0071,0.6512,,,
4000,,,0.6781,0.6959,0.0508,-1.2939,8.1396,0.2325,1.4662,4.9454,0.6419,,,
4000,,,,,,,,,,,,1000,-381.3245,92.1109
4500,,,0.6887,0.6893,0.0528,-1.3894,6.4848,0.2429,1.5121,2.5627,0.6201,,,
5000,,,0.7053,0.6972,0.0549,-1.8278,3.9055,0.257,1.5522,2.3648,0.3762,,,
5000,-100.1182,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-323.4751,77.5075
5500,,,0.7278,0.7025,0.0579,-2.4399,5.4,0.279,1.5396,2.0324,0.4551,,,
6000,,,0.7673,0.7007,0.0636,-2.6247,4.8035,0.3228,1.7303,2.8219,0.3588,,,
6000,,,,,,,,,,,,1000,-336.9341,94.8497
6500,,,0.7687,0.6979,0.0644,-3.2893,5.5285,0.3205,1.6841,4.5116,0.4891,,,
7000,,,0.742,0.6965,0.0603,-3.5744,5.3335,0.2941,1.1706,2.0416,0.8461,,,
7000,,,,,,,,,,,,1000,-313.8737,93.5575
7500,,,0.7416,0.6947,0.0591,-4.3612,5.2575,0.2947,1.2245,3.5364,0.7394,,,
8000,,,0.7341,0.7018,0.0592,-5.1799,6.2155,0.2846,1.1916,2.2643,0.9994,,,
8000,,,,,,,,,,,,1000,-326.4494,91.9248
8500,,,0.7413,0.7119,0.0601,-5.3901,4.7485,0.2894,1.1737,1.8329,0.8082,,,
9000,,,0.7472,0.6948,0.0607,-5.8038,5.2548,0.3006,1.1296,3.1365,0.9803,,,
9000,,,,,,,,,,,,1000,-195.3785,93.2813
