env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
8831,,,117,224.6523,98.5599,,,,,,,
8865,,,34,11.4033,98.9362,,,,,,,
8893,,,28,8.6149,98.6415,,,,,,,
8904,,,11,-2.8934,98.6032,,,,,,,
8920,,,16,-6.4131,98.4186,,,,,,,
9000,,,,,,0.0802,-156.7356,17.6324,0.0802,158.0338,1202.9608,6.472
9036,,,116,212.9283,98.8136,,,,,,,
9170,,,134,230.2835,98.4351,,,,,,,
9178,,,8,-4.2806,99.2529,,,,,,,
9209,,,31,6.1696,98.4053,,,,,,,
9242,,,33,7.1941,97.4872,,,,,,,
9265,,,23,-5.7989,98.625,,,,,,,
9288,,,23,-1.4654,98.8751,,,,,,,
9309,,,21,-6.6449,89.8568,,,,,,,
9333,,,24,-1.3289,99.1982,,,,,,,
9366,,,33,10.2931,98.8429,,,,,,,
9394,,,28,18.1724,98.4812,,,,,,,
9434,,,40,19.9303,98.6531,,,,,,,
9443,,,9,-3.646,98.5797,,,,,,,
9471,,,28,5.2239,98.3029,,,,,,,
9500,,,,,,0.0803,-172.615,21.5882,0.0803,132.9231,1931.4962,5.3254
9507,,,36,12.5368,98.2262,,,,,,,
9532,,,25,1.2345,98.988,,,,,,,
9561,,,29,-2.5489,98.2024,,,,,,,
9590,,,29,5.7032,98.2192,,,,,,,
9651,,,61,39.9534,98.4507,,,,,,,
9686,,,35,12.7116,99.8946,,,,,,,
9715,,,29,5.4675,100.7709,,,,,,,
9823,,,108,194.4456,98.7439,,,,,,,
9840,,,17,-1.9211,98.5225,,,,,,,
9865,,,25,6.6143,98.9995,,,,,,,
9897,,,32,21.4499,98.6782,,,,,,,
9908,,,11,-6.7895,97.8572,,,,,,,
9943,,,35,7.2823,99.1291,,,,,,,
9971,,,28,2.5722,98.6878,,,,,,,
10000,,,,,,0.083,-178.6273,26.2199,0.083,157.4932,1111.0248,9.3887
10000,4.2128,43.7,,,,,,,,,,
10078,,,107,213.3225,90.2026,,,,,,,
10187,,,109,85.4696,98.4934,,,,,,,
10214,,,27,3.141,98.8012,,,,,,,
10237,,,23,-6.4529,98.6746,,,,,,,
10250,,,13,-3.5245,97.3271,,,,,,,
10403,,,153,241.2252,98.1652,,,,,,,
10457,,,54,53.1366,99.0403,,,,,,,
10500,,,,,,0.0812,-195.0607,34.8136,0.0812,163.4481,2019.6874,6.0254
10623,,,166,361.9534,98.728,,,,,,,
10633,,,10,-3.8204,98.3373,,,,,,,
10650,,,17,-0.1265,97.1328,,,,,,,
10801,,,151,224.2352,98.7184,,,,,,,
10855,,,54,27.8897,97.7222,,,,,,,
10865,,,10,-2.8497,98.5002,,,,,,,
10905,,,40,11.8185,98.3318,,,,,,,
10994,,,89,115.7164,98.301,,,,,,,
11000,,,,,,0.0895,-210.4245,31.9854,0.0895,254.6345,2228.8389,8.941
11033,,,39,18.224,98.3851,,,,,,,
11048,,,15,-2.0225,97.8533,,,,,,,
11095,,,47,32.7751,98.6823,,,,,,,
11234,,,139,289.8888,98.8967,,,,,,,
11267,,,33,14.3569,98.656,,,,,,,
11326,,,59,31.3171,97.8985,,,,,,,
11419,,,93,49.3031,98.6432,,,,,,,
11430,,,11,-0.6096,98.6899,,,,,,,
11440,,,10,-4.3658,98.2498,,,,,,,
11478,,,38,15.7314,98.3824,,,,,,,
11500,,,,,,0.0905,-221.9152,33.4502,0.0905,316.5567,2708.1519,12.0299
11502,,,24,-0.7475,98.5666,,,,,,,
11515,,,13,-3.7483,98.7728,,,,,,,
11568,,,53,24.4918,98.4497,,,,,,,
11579,,,11,-1.7385,98.5965,,,,,,,
11625,,,46,33.3466,98.7563,,,,,,,
11657,,,32,11.2348,98.356,,,,,,,
11698,,,41,30.3033,98.0554,,,,,,,
11734,,,36,8.7597,98.436,,,,,,,
11786,,,52,47.5363,98.3779,,,,,,,
11878,,,92,164.1621,97.771,,,,,,,
11921,,,43,28.3853,97.9341,,,,,,,
11957,,,36,21.3966,98.3853,,,,,,,
11997,,,40,13.9147,98.5838,,,,,,,
12000,,,,,,0.0906,-249.3823,32.0167,0.0906,339.8804,4898.3198,8.1023
12138,,,141,275.8594,98.1582,,,,,,,
12214,,,76,84.4881,98.2217,,,,,,,
12327,,,113,138.7983,98.5567,,,,,,,
12337,,,10,-2.7216,98.7808,,,,,,,
12419,,,82,105.3482,98.3956,,,,,,,
12500,,,,,,0.0951,-263.9241,37.1803,0.0951,291.7334,1922.2167,9.3682
12518,,,99,193.0053,98.0552,,,,,,,
12639,,,121,209.3025,98.61,,,,,,,
12761,,,122,236.4171,98.4224,,,,,,,
12783,,,22,9.8486,101.6073,,,,,,,
12911,,,128,213.9521,104.5802,,,,,,,
12924,,,13,-0.133,104.3821,,,,,,,
12978,,,54,48.877,104.2405,,,,,,,
12990,,,12,-1.6478,104.122,,,,,,,
13000,,,,,,0.0927,-293.5379,37.7108,0.0927,464.4348,5207.6855,14.0927
13062,,,72,110.8565,104.2262,,,,,,,
13192,,,130,192.7998,103.1985,,,,,,,
13233,,,41,23.2016,104.4737,,,,,,,
13311,,,78,127.8362,104.5534,,,,,,,
13347,,,36,27.0809,104.1219,,,,,,,
13357,,,10,-0.6878,103.0374,,,,,,,
13459,,,102,88.1951,101.8476,,,,,,,
13466,,,7,-4.0939,100.1915,,,,,,,
13491,,,25,13.0297,98.1078,,,,,,,
13500,,,,,,0.0936,-327.4237,35.9485,0.0936,570.5528,7106.8662,9.8017
13605,,,114,218.0965,98.7262,,,,,,,
13644,,,39,18.4086,98.4823,,,,,,,
13814,,,170,309.3981,98.5866,,,,,,,
13860,,,46,42.6927,98.5642,,,,,,,
13869,,,9,-5.506,98.1782,,,,,,,
13884,,,15,0.2212,98.7247,,,,,,,
13999,,,115,208.6686,98.5043,,,,,,,
14000,,,,,,0.0957,-357.7026,39.5934,0.0957,471.0536,4132.1333,8.4959
14038,,,39,33.0553,98.787,,,,,,,
14141,,,103,196.6334,98.4875,,,,,,,
14224,,,83,147.3452,97.7189,,,,,,,
14356,,,132,269.3761,101.7587,,,,,,,
14478,,,122,244.6945,105.1391,,,,,,,
14486,,,8,-4.9358,104.333,,,,,,,
14500,,,,,,0.0996,-388.4229,48.1331,0.0996,877.3263,12075.0342,21.7799
14540,,,54,24.4333,105.107,,,,,,,
14631,,,91,199.4209,99.8663,,,,,,,
14640,,,9,-5.6543,98.7639,,,,,,,
14657,,,17,1.76,99.1032,,,,,,,
14679,,,22,9.5633,97.3317,,,,,,,
14788,,,109,136.6368,103.7675,,,,,,,
14875,,,87,205.2651,105.0417,,,,,,,
14993,,,118,242.4616,102.7526,,,,,,,
15000,,,,,,0.0968,-413.2522,42.4356,0.0968,777.7567,6915.2979,14.6023
15000,222.6295,115.9,,,,,,,,,,
15012,,,19,-3.9884,45.1174,,,,,,,
15127,,,115,227.4169,101.5787,,,,,,,
15232,,,105,191.7084,104.295,,,,,,,
15243,,,11,-4.8324,103.402,,,,,,,
15315,,,72,97.8872,99.0297,,,,,,,
