env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-92.1423,97.3,,,,,,,,,,,,,,,,,,
55,,,55,-116.2145,4.6955,,,,,,,,,,,,,,,
150,,,95,-112.2188,21.5811,,,,,,,,,,,,,,,
200,,,50,-119.8706,21.6936,,,,,,,,,,,,,,,
262,,,62,-116.195,23.1931,,,,,,,,,,,,,,,
309,,,47,-120.6508,23.3283,,,,,,,,,,,,,,,
372,,,63,-116.8793,23.7024,,,,,,,,,,,,,,,
426,,,54,-112.3878,23.8773,,,,,,,,,,,,,,,
500,,,,,,24,6,1,4562.7681,0.8882,0.7152,0.4357,0.933,-0.2268,1.4856,1.1198,-0.364,5.6357,9.9021,0.0021
522,,,96,-116.7372,23.9117,,,,,,,,,,,,,,,
595,,,73,-113.4369,23.607,,,,,,,,,,,,,,,
678,,,83,-117.5073,23.8176,,,,,,,,,,,,,,,
743,,,65,-118.0438,24.0538,,,,,,,,,,,,,,,
877,,,134,-111.9726,21.7972,,,,,,,,,,,,,,,
955,,,78,-118.8853,21.909,,,,,,,,,,,,,,,
1000,,,,,,36,9,2,2158.5811,0.7496,0.9088,0.3041,1.0608,-0.1167,1.8019,1.2236,-0.2891,16.3285,15.2691,0.0303
1152,,,197,-118.583,22.6137,,,,,,,,,,,,,,,
1350,,,198,-121.5886,22.0475,,,,,,,,,,,,,,,
1496,,,146,-122.8425,23.6658,,,,,,,,,,,,,,,
1500,,,,,,43,10,3,1641.3219,0.7688,1.3005,0.2677,1.4343,0.2545,1.8386,1.6352,-0.2664,2.628,15.7414,0.002
1602,,,106,-125.9838,22.5352,,,,,,,,,,,,,,,
1797,,,195,-134.0699,23.7919,,,,,,,,,,,,,,,
1894,,,97,-122.351,23.5371,,,,,,,,,,,,,,,
1970,,,76,-119.1135,21.8285,,,,,,,,,,,,,,,
2000,,,,,,45,11,4,1371.2202,0.827,1.1109,0.2979,1.2599,0.6538,1.7862,1.4826,-0.2876,3.6559,16.9033,0.0005
2066,,,96,-125.7275,23.6396,,,,,,,,,,,,,,,
2142,,,76,-118.7638,22.8891,,,,,,,,,,,,,,,
2219,,,77,-119.6129,23.8399,,,,,,,,,,,,,,,
2299,,,80,-120.0366,23.8767,,,,,,,,,,,,,,,
2423,,,124,-121.9638,22.1306,,,,,,,,,,,,,,,
2497,,,74,-113.8063,21.9437,,,,,,,,,,,,,,,
2500,,,,,,46,14,4,1418.6455,0.7611,0.7312,0.2673,0.8648,1.1164,1.7091,1.0423,-0.2583,1.3352,10.85,0.0127
2590,,,93,-117.0409,21.6503,,,,,,,,,,,,,,,
2638,,,48,-119.3186,21.6884,,,,,,,,,,,,,,,
2688,,,50,-119.2327,21.7027,,,,,,,,,,,,,,,
2760,,,72,-116.165,21.7256,,,,,,,,,,,,,,,
2858,,,98,-110.9384,21.3737,,,,,,,,,,,,,,,
2935,,,77,-116.016,21.4497,,,,,,,,,,,,,,,
3000,,,,,,47,15,4,1196.1969,0.8211,1.5139,0.3015,1.6647,2.9583,2.3575,1.8251,-0.294,1.7998,7.2047,0.0318
3004,,,69,-109.2826,23.3033,,,,,,,,,,,,,,,
3091,,,87,-115.712,23.7015,,,,,,,,,,,,,,,
3160,,,69,-114.6182,23.3756,,,,,,,,,,,,,,,
3223,,,63,-113.057,23.222,,,,,,,,,,,,,,,
3284,,,61,-113.0455,21.7409,,,,,,,,,,,,,,,
3352,,,68,-109.0365,23.268,,,,,,,,,,,,,,,
3403,,,51,-111.6229,23.2508,,,,,,,,,,,,,,,
3464,,,61,-118.3336,21.8464,,,,,,,,,,,,,,,
3500,,,,,,49,15,4,1006.0807,0.8195,1.5262,0.3388,1.6957,3.3012,2.298,1.7922,-0.3283,2.8409,17.1375,0.2369
3530,,,66,-120.9532,23.3678,,,,,,,,,,,,,,,
3605,,,75,-101.5381,23.8916,,,,,,,,,,,,,,,
3695,,,90,-106.165,23.7618,,,,,,,,,,,,,,,
3785,,,90,-105.2781,23.6473,,,,,,,,,,,,,,,
3853,,,68,-100.6869,22.5174,,,,,,,,,,,,,,,
4000,,,,,,50,17,5,860.9194,0.7331,1.1317,0.2474,1.2554,3.5662,1.7027,1.3925,-0.2487,2.385,28.1104,0.3067
4003,,,150,-110.9754,21.9927,,,,,,,,,,,,,,,
4073,,,70,-101.6435,22.3242,,,,,,,,,,,,,,,
4138,,,65,-100.6107,22.1208,,,,,,,,,,,,,,,
4241,,,103,-108.3156,23.6443,,,,,,,,,,,,,,,
4360,,,119,-110.3497,22.5281,,,,,,,,,,,,,,,
4422,,,62,-104.3311,21.4275,,,,,,,,,,,,,,,
4500,,,,,,50,18,5,748.0245,0.6987,0.9442,0.2697,1.0791,3.1195,1.6944,1.1584,-0.2699,1.8942,41.0767,0.8539
