env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-111.4966,103.2,,,,,,,,,,,,,,,,,,
56,,,56,-112.02,3.8505,,,,,,,,,,,,,,,
128,,,72,-117.8522,6.0818,,,,,,,,,,,,,,,
207,,,79,-119.7331,6.1879,,,,,,,,,,,,,,,
256,,,49,-119.053,6.1654,,,,,,,,,,,,,,,
327,,,71,-119.367,6.0426,,,,,,,,,,,,,,,
377,,,50,-112.3365,6.2118,,,,,,,,,,,,,,,
423,,,46,-118.7029,6.1227,,,,,,,,,,,,,,,
500,,,,,,26,7,1,4092.4194,0.6263,0.0015,0.2499,0.2514,-0.5375,1.1377,0.407,-0.4401,7.4284,17.7363,0.0062
509,,,86,-120.0435,6.2088,,,,,,,,,,,,,,,
578,,,69,-120.7001,6.0857,,,,,,,,,,,,,,,
1000,,,,,,29,10,2,3517.4431,0.6171,0.0002,0.2363,0.2365,-1.6662,1.384,0.3907,-0.4496,2.1585,5.0392,0.0304
1500,,,,,,34,11,2,2653.5442,0.4803,0.0012,0.1691,0.1703,-1.4808,0.8317,0.3117,-0.3319,1.6172,8.2891,0.0209
2000,,,,,,36,12,2,2369.7644,0.4358,0.0005,0.1615,0.162,-2.1357,0.8308,0.2772,-0.3022,0.9363,16.3924,0.0107
