env_steps,return,length,success,train/return,train/length,train/success,op_loss,critic_loss,FPS
1530000,0.955,16.2,1.0,0.9407,18.7266,0.9925,0.2676,0.0015,750.6025
1540000,0.9564,15.7,1.0,0.9479,18.7266,1.0,0.2674,0.0015,749.8704
1550000,0.955,16.2,1.0,0.9444,18.1159,0.9946,0.2667,0.0015,750.1549
1560000,0.9561,15.8,1.0,0.9353,18.1488,0.9855,0.2664,0.0015,749.206
1570000,0.9569,15.5,1.0,0.9458,18.2482,0.9964,0.2653,0.0015,748.5765
1580000,0.9558,15.9,1.0,0.9424,18.2482,0.9927,0.2648,0.0015,747.7256
1590000,0.9589,14.8,1.0,0.9478,18.1159,0.9982,0.2648,0.0015,746.8277
1600000,0.9586,14.9,1.0,0.9422,18.2482,0.9927,0.2641,0.0015,748.3513
1610000,0.8608,46.5,0.9,0.9419,17.7936,0.9911,0.2638,0.0015,744.6486
1620000,0.9575,15.3,1.0,0.9454,18.3486,0.9963,0.2629,0.0014,744.0721
1630000,0.9542,16.5,1.0,0.945,18.5185,0.9963,0.2625,0.0014,744.3947
1640000,0.9581,15.1,1.0,0.9404,18.2482,0.9909,0.2626,0.0014,741.3928
1650000,0.8586,47.3,0.9,0.9392,18.0505,0.9892,0.2619,0.0014,742.4967
1660000,0.9539,16.6,1.0,0.9437,17.8253,0.9929,0.2611,0.0014,741.0462
1670000,0.9506,17.8,1.0,0.9457,18.315,0.9963,0.261,0.0014,740.7182
1680000,0.9575,15.3,1.0,0.9461,18.0832,0.9964,0.2601,0.0014,738.0587
1690000,0.9533,16.8,1.0,0.9474,18.2815,0.9982,0.2599,0.0014,741.4211
1700000,0.9581,15.1,1.0,0.9492,17.6678,0.9982,0.2594,0.0014,739.2911
1710000,0.9558,15.9,1.0,0.949,17.762,0.9982,0.2591,0.0014,742.2034
1720000,0.9536,16.7,1.0,0.9444,18.0832,0.9946,0.2587,0.0014,738.377
1730000,0.8556,48.4,0.9,0.9436,18.3486,0.9945,0.258,0.0014,740.0205
1740000,0.9539,16.6,1.0,0.9479,18.1818,0.9982,0.2581,0.0014,737.2752
1750000,0.9567,15.6,1.0,0.94,18.3486,0.9908,0.257,0.0014,734.607
1760000,0.9553,16.1,1.0,0.9465,17.9856,0.9964,0.2568,0.0014,736.5834
1770000,0.9564,15.7,1.0,0.9398,18.4843,0.9908,0.256,0.0014,725.5694
1780000,0.9567,15.6,1.0,0.9458,18.1818,0.9964,0.2556,0.0014,735.6827
1790000,0.9567,15.6,1.0,0.9499,18.0505,1.0,0.2554,0.0013,734.1694
1800000,0.9522,17.2,1.0,0.9443,18.1488,0.9946,0.2549,0.0013,736.2412
1810000,0.9569,15.5,1.0,0.943,17.9533,0.9928,0.2546,0.0013,734.4049
1820000,0.665,109.8,0.7,0.9421,17.6991,0.9912,0.2542,0.0013,729.5563
1830000,0.7639,77.8,0.8,0.9408,17.6367,0.9894,0.2534,0.0013,726.1982
1840000,0.9578,15.2,1.0,0.9446,18.018,0.9946,0.2533,0.0013,731.3567
1850000,0.9575,15.3,1.0,0.9462,18.1488,0.9964,0.2528,0.0013,731.3037
1860000,0.9525,17.1,1.0,0.946,18.0832,0.9964,0.2528,0.0013,732.8114
1870000,0.9567,15.6,1.0,0.9443,17.5747,0.993,0.2521,0.0013,730.3873
1880000,0.9567,15.6,1.0,0.9452,17.8571,0.9946,0.2516,0.0013,733.5452
1890000,0.6558,113.1,0.7,0.9459,18.2482,0.9964,0.2517,0.0013,731.5325
1900000,0.9572,15.4,1.0,0.9488,18.3486,0.9982,0.2511,0.0013,727.0877
1910000,0.9564,15.7,1.0,0.9496,17.5131,0.9982,0.2501,0.0013,726.2071
1920000,0.9564,15.7,1.0,0.9463,18.0505,0.9964,0.2499,0.0013,731.5801
1930000,0.9564,15.7,1.0,0.9466,17.9211,0.9964,0.2497,0.0013,729.5312
1940000,0.9572,15.4,1.0,0.9491,17.6991,0.9982,0.2492,0.0013,724.0653
1950000,0.9561,15.8,1.0,0.9425,18.1818,0.9927,0.249,0.0013,723.9459
1960000,0.9592,14.7,1.0,0.9498,18.0832,1.0,0.2486,0.0013,724.8222
1970000,0.9575,15.3,1.0,0.9491,17.6991,0.9982,0.2484,0.0013,724.5644
1980000,0.9564,15.7,1.0,0.9374,17.5439,0.986,0.2476,0.0013,727.9371
1990000,0.9561,15.8,1.0,0.9426,18.0832,0.9928,0.2471,0.0013,728.3772
2000000,0.9572,15.4,1.0,0.9451,17.9211,0.9946,0.2467,0.0013,724.1934
2010000,0.9581,15.1,1.0,0.947,17.8253,0.9964,0.2466,0.0013,718.6226
2020000,0.9583,15.0,1.0,0.9488,17.7936,0.9982,0.2461,0.0012,722.7945
2030000,0.9564,15.7,1.0,0.9431,17.9533,0.9928,0.2454,0.0012,720.851
2040000,0.9556,16.0,1.0,0.9505,17.8571,1.0,0.2454,0.0012,724.4466
2050000,0.9556,16.0,1.0,0.9447,18.1488,0.9946,0.245,0.0012,723.811
2060000,0.9536,16.7,1.0,0.9465,17.9856,0.9964,0.2448,0.0012,725.0304
2070000,0.9569,15.5,1.0,0.9447,17.452,0.993,0.2441,0.0012,718.3236
2080000,0.9564,15.7,1.0,0.9463,18.018,0.9964,0.2446,0.0012,721.4956
2090000,0.9553,16.1,1.0,0.9436,17.8253,0.9929,0.2441,0.0012,719.6527
2100000,0.9314,24.7,1.0,0.947,17.8253,0.9964,0.2435,0.0012,720.7129
2110000,0.9558,15.9,1.0,0.9463,18.6916,0.9981,0.2429,0.0012,721.3466
2120000,0.9567,15.6,1.0,0.9464,18.018,0.9964,0.2427,0.0012,724.4412
2130000,0.9553,16.1,1.0,0.9377,17.9533,0.9874,0.2417,0.0012,717.9531
2140000,0.955,16.2,1.0,0.9465,18.018,0.9964,0.2418,0.0012,717.4954
2150000,0.9575,15.3,1.0,0.9411,17.9856,0.991,0.2413,0.0012,717.7732
2160000,0.9575,15.3,1.0,0.9489,17.7936,0.9982,0.2418,0.0012,716.5324
2170000,0.9586,14.9,1.0,0.943,18.018,0.9928,0.2408,0.0012,717.1898
2180000,0.9572,15.4,1.0,0.9499,18.018,1.0,0.2406,0.0012,716.3304
2190000,0.9547,16.3,1.0,0.9417,17.8253,0.9911,0.2401,0.0012,715.7615
2200000,0.955,16.2,1.0,0.9451,17.8571,0.9946,0.2399,0.0012,713.2304
2210000,0.9519,17.3,1.0,0.9469,17.8571,0.9964,0.2397,0.0012,717.6986
2220000,0.7564,80.5,0.8,0.9449,17.9533,0.9946,0.2388,0.0012,715.8123
2230000,0.9569,15.5,1.0,0.9457,18.4162,0.9963,0.2384,0.0012,715.2291
2240000,0.9567,15.6,1.0,0.9454,17.762,0.9947,0.2384,0.0012,716.074
2250000,0.9578,15.2,1.0,0.9502,17.9211,1.0,0.2386,0.0012,716.8301
2260000,0.9572,15.4,1.0,0.9466,17.3913,0.9948,0.2378,0.0012,714.6775
2270000,0.9542,16.5,1.0,0.9481,18.0832,0.9982,0.2374,0.0012,711.0181
2280000,0.8556,48.4,0.9,0.9476,17.6056,0.9965,0.237,0.0012,708.0443
2290000,0.9569,15.5,1.0,0.9455,17.6991,0.9947,0.2368,0.0011,709.9967
2300000,0.9575,15.3,1.0,0.9428,17.5131,0.9912,0.2364,0.0011,708.2698
2310000,0.9533,16.8,1.0,0.9483,17.9856,0.9982,0.2363,0.0011,709.4704
2320000,0.9592,14.7,1.0,0.9485,17.8891,0.9982,0.2355,0.0011,706.3774
2330000,0.9569,15.5,1.0,0.9433,17.8891,0.9928,0.2354,0.0011,705.1715
2340000,0.9558,15.9,1.0,0.9466,17.9211,0.9964,0.2351,0.0011,701.5324
2350000,0.9519,17.3,1.0,0.9436,18.3486,0.9945,0.235,0.0011,702.7172
2360000,0.9586,14.9,1.0,0.9449,17.9533,0.9946,0.2345,0.0011,703.252
2370000,0.9575,15.3,1.0,0.9458,18.2482,0.9964,0.234,0.0011,703.4479
2380000,0.9519,17.3,1.0,0.9485,17.8891,0.9982,0.234,0.0011,698.871
2390000,0.955,16.2,1.0,0.943,18.622,0.9944,0.2344,0.0011,702.1054
2400000,0.9569,15.5,1.0,0.9391,18.1488,0.9891,0.233,0.0011,699.2287
2410000,0.9547,16.3,1.0,0.9422,18.2149,0.9927,0.2328,0.0011,699.6999
2420000,0.9561,15.8,1.0,0.9451,18.4502,0.9963,0.2329,0.0011,699.5698
2430000,0.955,16.2,1.0,0.9482,18.018,0.9982,0.2324,0.0011,697.0495
2440000,0.9583,15.0,1.0,0.9439,18.2815,0.9945,0.2322,0.0011,697.8591
2450000,0.9531,16.9,1.0,0.9398,19.0114,0.9924,0.2322,0.0011,693.4288
2460000,0.9528,17.0,1.0,0.9466,17.9211,0.9964,0.2316,0.0011,697.2918
2470000,0.9567,15.6,1.0,0.9459,18.1488,0.9964,0.2323,0.0011,692.8906
2480000,0.9503,17.9,1.0,0.9438,18.2815,0.9945,0.2316,0.0011,695.2226
2490000,0.9544,16.4,1.0,0.9438,17.762,0.9929,0.2312,0.0011,689.2756
2500000,0.9561,15.8,1.0,0.9444,18.0832,0.9946,0.2308,0.0011,693.4499
2510000,0.9586,14.9,1.0,0.9409,18.0832,0.991,0.2306,0.0011,691.248
2520000,0.9575,15.3,1.0,0.9489,17.762,0.9982,0.23,0.0011,695.1694
2530000,0.8481,51.1,0.9,0.944,18.315,0.9945,0.23,0.0011,694.9199
2540000,0.9575,15.3,1.0,0.9457,18.8324,0.9981,0.23,0.0011,693.3896
2550000,0.9536,16.7,1.0,0.9408,18.0832,0.991,0.2292,0.0011,688.4677
