env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
22500,,,0.7641,0.7023,0.0614,-15.3597,6.1108,0.5232,1.6226,7.2312,0.8443,,,
23000,,,0.7657,0.7092,0.0623,-15.5222,6.2344,0.5242,1.7101,5.6883,0.758,,,
23000,,,,,,,,,,,,1000,38.2043,94.4161
23500,,,0.7716,0.7104,0.063,-17.3877,5.771,0.5323,1.8469,12.224,0.8376,,,
24000,,,0.7637,0.72,0.0626,-18.2025,6.1293,0.5211,2.0499,5.4575,0.9314,,,
24000,,,,,,,,,,,,1000,368.0545,92.9375
24500,,,0.765,0.7095,0.0632,-17.7247,5.972,0.5233,1.7722,5.5213,1.233,,,
25000,,,0.7972,0.7083,0.0675,-17.4685,6.486,0.5698,2.0433,16.2631,0.8325,,,
25000,1464.9197,1000.0,,,,,,,,,,,,
25000,,,,,,,,,,,,1000,74.7456,77.4144
25500,,,0.7943,0.7074,0.0671,-21.2518,6.0113,0.5604,2.406,5.5286,0.9073,,,
26000,,,0.8134,0.7091,0.0701,-21.8703,6.335,0.5901,1.8757,8.1358,0.7121,,,
26000,,,,,,,,,,,,1000,438.0364,92.4843
26500,,,0.8107,0.7208,0.07,-23.7815,6.9794,0.586,2.0855,6.4804,0.714,,,
27000,,,0.8208,0.7193,0.071,-23.7174,8.5794,0.599,2.6342,14.6273,1.2428,,,
27000,,,,,,,,,,,,1000,36.8267,94.2128
27500,,,0.8215,0.7229,0.0716,-25.1255,6.549,0.6015,2.3803,6.9565,1.1637,,,
28000,,,0.8239,0.7267,0.0709,-25.2647,6.9816,0.6069,2.738,15.9923,0.9594,,,
28000,,,,,,,,,,,,1000,972.9364,94.6503
28500,,,0.8476,0.728,0.0735,-27.6336,6.9154,0.644,2.3832,7.5187,1.0243,,,
29000,,,0.8606,0.7236,0.0774,-28.6254,10.9738,0.6614,2.8256,18.7195,0.8878,,,
29000,,,,,,,,,,,,1000,805.053,92.2857
29500,,,0.838,0.7249,0.0748,-32.5157,7.4851,0.6208,3.0925,18.4805,1.413,,,
30000,,,0.8837,0.7305,0.0804,-35.1616,9.5885,0.6914,2.8772,7.8741,0.9207,,,
30000,1490.2707,1000.0,,,,,,,,,,,,
30000,,,,,,,,,,,,1000,951.6527,78.181
30500,,,0.8642,0.7332,0.0777,-35.1442,8.9782,0.6619,3.0701,19.6027,1.0797,,,
31000,,,0.8908,0.7262,0.0818,-38.9957,8.5321,0.7019,3.274,14.7598,1.0929,,,
31000,,,,,,,,,,,,1000,868.02,92.5344
31500,,,0.9093,0.7337,0.0844,-41.1006,8.7365,0.7235,3.5898,21.2808,1.2188,,,
32000,,,0.8889,0.7349,0.0822,-38.9323,7.8104,0.7009,3.1002,20.606,1.3325,,,
32000,,,,,,,,,,,,1000,132.4835,93.2585
32500,,,0.9204,0.7354,0.0852,-43.1674,9.2075,0.7577,3.4338,8.5707,2.3833,,,
33000,,,0.9095,0.7335,0.0838,-45.0336,8.3082,0.7332,3.712,15.1686,1.2253,,,
33000,,,,,,,,,,,,1000,1103.5266,93.8979
33500,,,0.8903,0.7354,0.0815,-46.1423,7.3806,0.7005,2.927,18.6851,1.1002,,,
34000,,,0.9235,0.7392,0.0847,-49.5768,9.4608,0.755,3.5862,22.2528,1.5769,,,
34000,,,,,,,,,,,,1000,1014.9377,93.6602
34500,,,0.8987,0.7377,0.0825,-51.8196,9.3949,0.7139,3.4297,19.4322,1.9937,,,
35000,,,0.9089,0.7437,0.0837,-52.1117,9.5302,0.7296,2.8159,11.7215,1.5215,,,
35000,1333.9245,1000.0,,,,,,,,,,,,
35000,,,,,,,,,,,,1000,1167.5959,77.4242
35500,,,0.9119,0.747,0.0836,-53.2343,9.1911,0.7333,3.2357,12.4163,2.4173,,,
36000,,,0.9114,0.7501,0.0849,-54.7477,10.92,0.7316,3.1195,16.4811,1.8175,,,
36000,,,,,,,,,,,,1000,205.2246,94.1658
36500,,,0.9062,0.738,0.0841,-54.9283,10.5937,0.7311,2.9504,15.0789,0.887,,,
37000,,,0.9198,0.7524,0.0856,-57.0694,9.3576,0.7492,2.7843,16.8653,1.0677,,,
37000,,,,,,,,,,,,1000,359.4047,92.5545
37500,,,0.9289,0.7422,0.0863,-59.0598,9.2225,0.7668,3.3166,16.4011,0.8228,,,
38000,,,0.9414,0.7566,0.0881,-61.2911,9.5466,0.785,3.3828,10.7908,1.6572,,,
38000,,,,,,,,,,,,1000,819.992,93.1833
38500,,,0.9335,0.7556,0.0882,-59.9762,9.103,0.7772,4.2238,16.6682,1.7382,,,
39000,,,0.902,0.7491,0.0828,-61.0817,8.8197,0.7234,3.1863,15.0074,1.3988,,,
39000,,,,,,,,,,,,1000,798.7676,92.5465
39500,,,0.9114,0.7412,0.0843,-62.619,10.0344,0.7369,2.697,11.4551,1.431,,,
