env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
10500,,,0.9229,0.7515,0.0844,-73.8348,10.3416,0.7508,38.5973,127.8249,5.4056,,,
10520,,,,,,,,,,,,132,-73.3828,85.0709
10534,,,,,,,,,,,,14,-10.9131,85.0643
10553,,,,,,,,,,,,19,-23.1751,85.2824
10583,,,,,,,,,,,,30,-45.8251,85.0729
10704,,,,,,,,,,,,121,-125.1954,85.2148
10755,,,,,,,,,,,,51,-28.141,85.3046
10799,,,,,,,,,,,,44,-24.6786,85.6117
10834,,,,,,,,,,,,35,-30.1591,85.3656
10849,,,,,,,,,,,,15,3.2519,85.8555
11000,,,0.9259,0.7385,0.0847,-79.6137,12.5593,0.7576,45.2012,135.7482,4.7672,,,
11500,,,0.9116,0.7437,0.084,-80.7241,12.7113,0.7313,39.5589,117.539,3.0673,,,
11849,,,,,,,,,,,,1000,-978.6927,83.7982
11863,,,,,,,,,,,,14,-10.5046,85.0603
11876,,,,,,,,,,,,13,-21.2959,86.0764
11912,,,,,,,,,,,,36,-28.7286,84.5875
11926,,,,,,,,,,,,14,-9.6751,85.4509
11985,,,,,,,,,,,,59,-54.4101,83.2935
12000,,,0.9101,0.7409,0.0841,-82.9774,8.5755,0.7354,43.9503,218.497,3.878,,,
12033,,,,,,,,,,,,48,-30.1569,85.6328
12073,,,,,,,,,,,,40,-3.471,84.1148
12104,,,,,,,,,,,,31,-42.7706,85.4832
12226,,,,,,,,,,,,122,-138.0881,85.0994
12243,,,,,,,,,,,,17,-15.2457,86.0156
12373,,,,,,,,,,,,130,-157.0595,85.4046
12394,,,,,,,,,,,,21,-15.152,86.009
12422,,,,,,,,,,,,28,-39.7015,84.7297
12475,,,,,,,,,,,,53,-25.1501,84.3611
12500,,,0.9206,0.7622,0.0864,-89.0921,11.1204,0.7458,62.1225,138.5841,6.1343,,,
12523,,,,,,,,,,,,48,-38.2445,85.1813
13000,,,0.9081,0.7468,0.0835,-89.8689,9.8132,0.7311,72.9511,173.0521,2.902,,,
13500,,,0.9138,0.7381,0.0849,-94.4659,12.3874,0.738,53.7869,139.1511,5.0217,,,
13523,,,,,,,,,,,,1000,-906.3277,85.303
13564,,,,,,,,,,,,41,-37.4757,85.6757
13581,,,,,,,,,,,,17,-16.0311,85.6792
14000,,,0.9057,0.7441,0.0843,-98.0324,12.7402,0.7193,81.8885,407.4196,4.4423,,,
14500,,,0.901,0.7429,0.0826,-99.4912,17.9174,0.7207,58.0718,212.7573,5.6379,,,
14581,,,,,,,,,,,,1000,-908.679,83.7064
14627,,,,,,,,,,,,46,-36.7559,81.8096
14708,,,,,,,,,,,,81,-132.1886,82.0599
14868,,,,,,,,,,,,160,-175.6752,82.9998
14927,,,,,,,,,,,,59,-51.7096,83.4843
14990,,,,,,,,,,,,63,-70.9016,83.64
15000,,,0.8918,0.7512,0.081,-103.7577,13.0475,0.7038,86.4621,217.1847,4.2714,,,
15000,-575.3986,1000.0,,,,,,,,,,,,
15213,,,,,,,,,,,,223,-383.9351,29.1247
15254,,,,,,,,,,,,41,-44.9043,85.3623
15368,,,,,,,,,,,,114,-88.6363,85.0282
15403,,,,,,,,,,,,35,-34.1287,85.2338
